model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,scope,score_source,calibration_n,error_count,error_rate,mean_predicted_error_risk,brier_error_risk,ece_error_risk
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.1,0.2,test,candidate,calibrated,263,110.0,0.41825095057,0.384911852699,0.233518104903,0.070210531013
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.1,0.2,test,candidate,raw,263,110.0,0.41825095057,0.029200282026,0.390016650871,0.389050668544
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.1,0.2,test,deferred,calibrated,26,14.0,0.538461538462,0.439907241097,0.258145916726,0.098554297364
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.1,0.2,test,deferred,raw,26,14.0,0.538461538462,0.091846238347,0.447713156421,0.446615300114
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.1,0.2,test,residual,calibrated,237,96.0,0.405063291139,0.378878603339,0.230816319639,0.067101088291
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.1,0.2,test,residual,raw,237,96.0,0.405063291139,0.022327729856,0.383687076423,0.382735561283
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.1,0.2,validation,candidate,calibrated,1313,527.0,0.401370906321,0.386325911092,0.229937383263,0.053298506227
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.1,0.2,validation,candidate,raw,1313,527.0,0.401370906321,0.029719301954,0.37393755896,0.371651604367
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.1,0.2,validation,deferred,calibrated,131,64.0,0.488549618321,0.444141508718,0.251497661697,0.044408109602
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.1,0.2,validation,deferred,raw,131,64.0,0.488549618321,0.078191322113,0.418149181899,0.410358296208
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.1,0.2,validation,residual,calibrated,1182,463.0,0.391708967851,0.379918260256,0.227547876939,0.054283820912
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.1,0.2,validation,residual,raw,1182,463.0,0.391708967851,0.024347191429,0.369037624438,0.367361776422
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.2,0.2,test,candidate,calibrated,263,110.0,0.41825095057,0.384911852699,0.233518104903,0.070210531013
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.2,0.2,test,candidate,raw,263,110.0,0.41825095057,0.029200282026,0.390016650871,0.389050668544
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.2,0.2,test,deferred,calibrated,53,28.0,0.528301886792,0.436565388023,0.257669244904,0.091736498769
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.2,0.2,test,deferred,raw,53,28.0,0.528301886792,0.081510143561,0.449046682234,0.446791743231
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.2,0.2,test,residual,calibrated,210,82.0,0.390476190476,0.37187548426,0.227422817188,0.06477778677
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.2,0.2,test,residual,raw,210,82.0,0.390476190476,0.015998269353,0.375118595337,0.374477921123
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.2,0.2,validation,candidate,calibrated,1313,527.0,0.401370906321,0.386325911092,0.229937383263,0.053298506227
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.2,0.2,validation,candidate,raw,1313,527.0,0.401370906321,0.029719301954,0.37393755896,0.371651604367
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.2,0.2,validation,deferred,calibrated,263,128.0,0.486692015209,0.438520323886,0.251904799829,0.048171691324
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.2,0.2,validation,deferred,raw,263,128.0,0.486692015209,0.07594655377,0.418851440686,0.410745461439
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.2,0.2,validation,residual,calibrated,1050,399.0,0.38,0.373252453412,0.224435068447,0.054582651293
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.2,0.2,validation,residual,raw,1050,399.0,0.38,0.018140476023,0.362687700966,0.361859523977
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.1,0.2,test,candidate,calibrated,199,77.0,0.386934673367,0.368846963437,0.226245621978,0.066817292423
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.1,0.2,test,candidate,raw,199,77.0,0.386934673367,0.013865094851,0.373306328425,0.373069578516
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.1,0.2,test,deferred,calibrated,20,11.0,0.55,0.420967977876,0.263905484963,0.129032022124
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.1,0.2,test,deferred,raw,20,11.0,0.55,0.043428709459,0.503686686436,0.506571290541
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.1,0.2,test,residual,calibrated,179,66.0,0.368715083799,0.363023386405,0.222037816058,0.059865925976
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.1,0.2,test,residual,raw,179,66.0,0.368715083799,0.010561897688,0.358738690658,0.358153186111
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.1,0.2,validation,candidate,calibrated,964,354.0,0.367219917012,0.368945655038,0.221310499997,0.05037681378
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.1,0.2,validation,candidate,raw,964,354.0,0.367219917012,0.013728387589,0.354268035839,0.353491529423
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.1,0.2,validation,deferred,calibrated,96,44.0,0.458333333333,0.424647217366,0.249117824762,0.033686115967
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.1,0.2,validation,deferred,raw,96,44.0,0.458333333333,0.038408403296,0.423079286568,0.419924930038
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.1,0.2,validation,residual,calibrated,868,310.0,0.357142857143,0.362785113582,0.218235035507,0.052222789575
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.1,0.2,validation,residual,raw,868,310.0,0.357142857143,0.010998800599,0.346657574929,0.346144056544
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.2,0.2,test,candidate,calibrated,199,77.0,0.386934673367,0.368846963437,0.226245621978,0.066817292423
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.2,0.2,test,candidate,raw,199,77.0,0.386934673367,0.013865094851,0.373306328425,0.373069578516
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.2,0.2,test,deferred,calibrated,40,21.0,0.525,0.417747894604,0.260217555131,0.107252105396
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.2,0.2,test,deferred,raw,40,21.0,0.525,0.038437745449,0.485136636307,0.486562254551
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.2,0.2,test,residual,calibrated,159,56.0,0.352201257862,0.356544842389,0.217699223701,0.05664501243
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.2,0.2,test,residual,raw,159,56.0,0.352201257862,0.007683295958,0.345172917637,0.344517961903
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.2,0.2,validation,candidate,calibrated,964,354.0,0.367219917012,0.368945655038,0.221310499997,0.05037681378
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.2,0.2,validation,candidate,raw,964,354.0,0.367219917012,0.013728387589,0.354268035839,0.353491529423
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.2,0.2,validation,deferred,calibrated,193,92.0,0.476683937824,0.418753270329,0.252738670496,0.057930667495
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.2,0.2,validation,deferred,raw,193,92.0,0.476683937824,0.036766179737,0.441627168398,0.439917758087
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.2,0.2,validation,residual,calibrated,771,262.0,0.339818417639,0.356477600886,0.213443266656,0.048485900982
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.2,0.2,validation,residual,raw,771,262.0,0.339818417639,0.007961469451,0.332399926132,0.331856948188
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,candidate,calibrated,263,110.0,0.41825095057,0.384911852699,0.233518104903,0.070210531013
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,candidate,raw,263,110.0,0.41825095057,0.029200282026,0.390016650871,0.389050668544
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,deferred,calibrated,26,14.0,0.538461538462,0.439907241097,0.258145916726,0.098554297364
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,deferred,raw,26,14.0,0.538461538462,0.091846238347,0.447713156421,0.446615300114
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,residual,calibrated,237,96.0,0.405063291139,0.378878603339,0.230816319639,0.067101088291
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,residual,raw,237,96.0,0.405063291139,0.022327729856,0.383687076423,0.382735561283
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.2,validation,candidate,calibrated,1313,527.0,0.401370906321,0.389527874724,0.235846318274,0.027914304531
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.2,validation,candidate,raw,1313,527.0,0.401370906321,0.029719301954,0.37393755896,0.371651604367
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.2,validation,deferred,calibrated,131,65.0,0.496183206107,0.463397885251,0.251646496042,0.032785320856
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.2,validation,deferred,raw,131,65.0,0.496183206107,0.080113209051,0.423678149074,0.416069997056
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.2,validation,residual,calibrated,1182,462.0,0.390862944162,0.381340927703,0.234095198742,0.02737445416
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.2,validation,residual,raw,1182,462.0,0.390862944162,0.024134190423,0.368424853965,0.366728753739
DrugBAN,bindingdb,seed_4,target,base,0.8,0.2,0.2,test,candidate,calibrated,263,110.0,0.41825095057,0.384911852699,0.233518104903,0.070210531013
DrugBAN,bindingdb,seed_4,target,base,0.8,0.2,0.2,test,candidate,raw,263,110.0,0.41825095057,0.029200282026,0.390016650871,0.389050668544
DrugBAN,bindingdb,seed_4,target,base,0.8,0.2,0.2,test,deferred,calibrated,53,28.0,0.528301886792,0.436565388023,0.257669244904,0.091736498769
DrugBAN,bindingdb,seed_4,target,base,0.8,0.2,0.2,test,deferred,raw,53,28.0,0.528301886792,0.081510143561,0.449046682234,0.446791743231
DrugBAN,bindingdb,seed_4,target,base,0.8,0.2,0.2,test,residual,calibrated,210,82.0,0.390476190476,0.37187548426,0.227422817188,0.06477778677
DrugBAN,bindingdb,seed_4,target,base,0.8,0.2,0.2,test,residual,raw,210,82.0,0.390476190476,0.015998269353,0.375118595337,0.374477921123
DrugBAN,bindingdb,seed_4,target,base,0.8,0.2,0.2,validation,candidate,calibrated,1313,527.0,0.401370906321,0.389527874724,0.235846318274,0.027914304531
DrugBAN,bindingdb,seed_4,target,base,0.8,0.2,0.2,validation,candidate,raw,1313,527.0,0.401370906321,0.029719301954,0.37393755896,0.371651604367
DrugBAN,bindingdb,seed_4,target,base,0.8,0.2,0.2,validation,deferred,calibrated,263,140.0,0.532319391635,0.45701988334,0.255495087834,0.075299508295
DrugBAN,bindingdb,seed_4,target,base,0.8,0.2,0.2,validation,deferred,raw,263,140.0,0.532319391635,0.070650570489,0.462032882066,0.461668821146
DrugBAN,bindingdb,seed_4,target,base,0.8,0.2,0.2,validation,residual,calibrated,1050,387.0,0.368571428571,0.372622733518,0.230924769327,0.033449250085
DrugBAN,bindingdb,seed_4,target,base,0.8,0.2,0.2,validation,residual,raw,1050,387.0,0.368571428571,0.01946699374,0.35187177803,0.349104434831
DrugBAN,bindingdb,seed_4,target,base,0.9,0.1,0.2,test,candidate,calibrated,199,77.0,0.386934673367,0.368846963437,0.226245621978,0.066817292423
DrugBAN,bindingdb,seed_4,target,base,0.9,0.1,0.2,test,candidate,raw,199,77.0,0.386934673367,0.013865094851,0.373306328425,0.373069578516
DrugBAN,bindingdb,seed_4,target,base,0.9,0.1,0.2,test,deferred,calibrated,20,11.0,0.55,0.420967977876,0.263905484963,0.129032022124
DrugBAN,bindingdb,seed_4,target,base,0.9,0.1,0.2,test,deferred,raw,20,11.0,0.55,0.043428709459,0.503686686436,0.506571290541
DrugBAN,bindingdb,seed_4,target,base,0.9,0.1,0.2,test,residual,calibrated,179,66.0,0.368715083799,0.363023386405,0.222037816058,0.059865925976
DrugBAN,bindingdb,seed_4,target,base,0.9,0.1,0.2,test,residual,raw,179,66.0,0.368715083799,0.010561897688,0.358738690658,0.358153186111
DrugBAN,bindingdb,seed_4,target,base,0.9,0.1,0.2,validation,candidate,calibrated,964,354.0,0.367219917012,0.372086797669,0.230592903563,0.045536691948
DrugBAN,bindingdb,seed_4,target,base,0.9,0.1,0.2,validation,candidate,raw,964,354.0,0.367219917012,0.013728387589,0.354268035839,0.353491529423
DrugBAN,bindingdb,seed_4,target,base,0.9,0.1,0.2,validation,deferred,calibrated,96,44.0,0.458333333333,0.443491361866,0.248024588352,0.014841971468
DrugBAN,bindingdb,seed_4,target,base,0.9,0.1,0.2,validation,deferred,raw,96,44.0,0.458333333333,0.039635225695,0.421997719632,0.418698107638
DrugBAN,bindingdb,seed_4,target,base,0.9,0.1,0.2,validation,residual,calibrated,868,310.0,0.357142857143,0.36418951868,0.228664975291,0.052214516473
DrugBAN,bindingdb,seed_4,target,base,0.9,0.1,0.2,validation,residual,raw,868,310.0,0.357142857143,0.010863115172,0.346777195235,0.346279741971
