model,dataset,test_run,group_axis,confidence_source,split,added_component,delta_validation_fold_mean_auprc,delta_error_detection_auprc,delta_review_lift,delta_retained_accuracy_gain_vs_residual
DrugBAN,bindingdb,seed_4,drug,base,test,combined_empirical_support,,0.10245542896,0.267771928231,0.025784819201
DrugBAN,bindingdb,seed_4,drug,base,test,empirical_support,,0.083140559576,0.216723351628,0.020609512052
DrugBAN,bindingdb,seed_4,drug,base,test,empirical_support_after_prior,,0.092753255667,0.214115290152,0.021155192542
DrugBAN,bindingdb,seed_4,drug,base,test,fit_support,,0.072591349043,0.082765823125,0.007876334192
DrugBAN,bindingdb,seed_4,drug,base,test,fit_support_after_legacy_source_domain,,0.062126794732,-0.042361736894,-0.003325275015
DrugBAN,bindingdb,seed_4,drug,base,test,fit_support_after_native_source_domain,,0.038565470283,0.129241915913,0.01198564783
DrugBAN,bindingdb,seed_4,drug,base,test,general_target_joint_support,,0.025848160637,0.083758786094,0.007884376295
DrugBAN,bindingdb,seed_4,drug,base,test,legacy_empirical_support,,0.103290195901,0.188347800253,0.01780562734
DrugBAN,bindingdb,seed_4,drug,base,test,legacy_source_domain_support_after_fit,,0.030698846858,0.105581977128,0.009929293148
DrugBAN,bindingdb,seed_4,drug,base,test,legacy_support_after_native,,0.019314869383,0.051048576602,0.005175307149
DrugBAN,bindingdb,seed_4,drug,base,test,native_source_domain_support,,0.044575089294,0.087481435715,0.008623864221
DrugBAN,bindingdb,seed_4,drug,base,test,native_source_domain_support_after_fit,,0.010549210534,0.133957528503,0.01273317786
DrugBAN,bindingdb,seed_4,drug,base,test,native_support_after_legacy,,-0.000834766942,0.079424127978,0.007979191861
DrugBAN,bindingdb,seed_4,drug,base,test,prior,,0.028217439989,0.07037855966,0.006205572643
DrugBAN,bindingdb,seed_4,drug,base,test,prior_after_empirical_support,,0.037830136078,0.067770498184,0.006751253133
DrugBAN,bindingdb,seed_4,drug,base,test,source_domain_support,,0.041163401169,0.230709537147,0.021130902355
DrugBAN,bindingdb,seed_4,drug,base,test,target_sequence_support,,0.024071200745,0.155505213786,0.014617226778
DrugBAN,bindingdb,seed_4,drug,base,validation,combined_empirical_support,0.055472594634,0.045705374786,0.188476493729,0.017472621797
DrugBAN,bindingdb,seed_4,drug,base,validation,empirical_support,0.049595118721,0.041424323999,0.15190266389,0.014258176567
DrugBAN,bindingdb,seed_4,drug,base,validation,empirical_support_after_prior,0.046776034676,0.044628148484,0.130882526076,0.012425403492
DrugBAN,bindingdb,seed_4,drug,base,validation,fit_support,0.019373711238,0.01456684895,0.108718181138,0.010129103295
DrugBAN,bindingdb,seed_4,drug,base,validation,fit_support_after_legacy_source_domain,-0.005097076885,-0.005435928925,-0.095987958762,-0.008186606469
DrugBAN,bindingdb,seed_4,drug,base,validation,fit_support_after_native_source_domain,0.002241606633,0.001678461667,-0.080640066466,-0.007240926468
