split,group_axis,added_component,measure,num_independent_runs,num_model_dataset_strata,mean,run_win_rate,ci_low,ci_high
test,drug,combined_empirical_support,delta_error_detection_auprc,41,9,0.177475410765,0.80487804878,0.087194858917,0.259123539079
test,drug,combined_empirical_support,delta_review_lift,40,9,0.830342788455,0.75,0.373883221385,1.266696980393
test,drug,combined_empirical_support,delta_retained_accuracy_gain_vs_residual,40,9,0.031427954965,0.75,0.012946636573,0.049623562874
test,drug,empirical_support,delta_error_detection_auprc,41,9,0.174453661291,0.829268292683,0.093443122076,0.251440132381
test,drug,empirical_support,delta_review_lift,40,9,0.869049313177,0.85,0.444639945588,1.268258674083
test,drug,empirical_support,delta_retained_accuracy_gain_vs_residual,40,9,0.030014132038,0.85,0.013967811813,0.04580830399
test,drug,empirical_support_after_prior,delta_error_detection_auprc,41,9,0.137956728192,0.853658536585,0.071561578867,0.211552304051
test,drug,empirical_support_after_prior,delta_review_lift,40,9,0.755201226341,0.9,0.449845969509,1.039655877364
test,drug,empirical_support_after_prior,delta_retained_accuracy_gain_vs_residual,40,9,0.026670333718,0.9,0.014034332306,0.03938330873
test,drug,fit_support,delta_error_detection_auprc,41,9,0.160094602757,0.878048780488,0.091830934548,0.228108103542
test,drug,fit_support,delta_review_lift,40,9,0.851380236526,0.825,0.415261709155,1.26638003973
test,drug,fit_support,delta_retained_accuracy_gain_vs_residual,40,9,0.028407510334,0.825,0.013730799815,0.043376690004
test,drug,fit_support_after_legacy_source_domain,delta_error_detection_auprc,41,9,0.10550241136,0.90243902439,0.015682103009,0.167747395221
test,drug,fit_support_after_legacy_source_domain,delta_review_lift,40,9,0.699964679252,0.9,0.445528304882,0.961854970172
test,drug,fit_support_after_legacy_source_domain,delta_retained_accuracy_gain_vs_residual,40,9,0.023090342817,0.9,0.014951866957,0.031783410167
test,drug,fit_support_after_native_source_domain,delta_error_detection_auprc,41,9,0.103759082559,0.878048780488,0.064005011196,0.146805791027
test,drug,fit_support_after_native_source_domain,delta_review_lift,40,9,0.600622818392,0.875,0.336670941448,0.878492887021
test,drug,fit_support_after_native_source_domain,delta_retained_accuracy_gain_vs_residual,40,9,0.020276441264,0.875,0.011344949633,0.029859826017
test,drug,general_target_joint_support,delta_error_detection_auprc,41,9,0.037167469353,0.853658536585,0.011452693027,0.068848122428
test,drug,general_target_joint_support,delta_review_lift,40,9,0.123710103175,0.625,-0.029213089974,0.283941457011
test,drug,general_target_joint_support,delta_retained_accuracy_gain_vs_residual,40,9,0.004434166295,0.6,-0.001410202072,0.010660966148
test,drug,legacy_empirical_support,delta_error_detection_auprc,41,9,0.162447983508,0.80487804878,0.075738936175,0.245402377688
test,drug,legacy_empirical_support,delta_review_lift,40,9,0.945401510634,0.8,0.504480798751,1.396246499449
test,drug,legacy_empirical_support,delta_retained_accuracy_gain_vs_residual,40,9,0.030417166292,0.8,0.015846838919,0.045266944254
test,drug,legacy_source_domain_support_after_fit,delta_error_detection_auprc,41,9,0.002353380751,0.560975609756,-0.048149281984,0.055711791829
test,drug,legacy_source_domain_support_after_fit,delta_review_lift,40,9,0.094021274108,0.475,-0.270185254252,0.609794075784
test,drug,legacy_source_domain_support_after_fit,delta_retained_accuracy_gain_vs_residual,40,9,0.002009655958,0.475,-0.00694921283,0.012349842816
test,drug,legacy_support_after_native,delta_error_detection_auprc,41,9,0.003021749474,0.390243902439,-0.02514353058,0.031081873792
test,drug,legacy_support_after_native,delta_review_lift,40,9,-0.038706524722,0.325,-0.275991846256,0.187475027062
test,drug,legacy_support_after_native,delta_retained_accuracy_gain_vs_residual,40,9,0.001413822928,0.325,-0.005466681544,0.008982508408
test,drug,native_source_domain_support,delta_error_detection_auprc,41,9,0.070694578731,0.658536585366,-0.008485788201,0.152280885807
test,drug,native_source_domain_support,delta_review_lift,40,9,0.268426494785,0.7,-0.242801377571,0.713299115467
test,drug,native_source_domain_support,delta_retained_accuracy_gain_vs_residual,40,9,0.009737690773,0.7,-0.008220301326,0.02513183375
test,drug,native_source_domain_support_after_fit,delta_error_detection_auprc,41,9,0.014359058533,0.585365853659,-0.03042508741,0.063421998881
test,drug,native_source_domain_support_after_fit,delta_review_lift,40,9,0.017669076651,0.5,-0.165862032087,0.195560404702
test,drug,native_source_domain_support_after_fit,delta_retained_accuracy_gain_vs_residual,40,9,0.001606621704,0.5,-0.006955572931,0.010589516242
test,drug,native_support_after_legacy,delta_error_detection_auprc,41,9,0.015027427257,0.512195121951,-0.009605880909,0.045440945986
test,drug,native_support_after_legacy,delta_review_lift,40,9,-0.115058722179,0.475,-0.558193479717,0.143649914033
test,drug,native_support_after_legacy,delta_retained_accuracy_gain_vs_residual,40,9,0.001010788673,0.5,-0.006197030861,0.008827092314
test,drug,prior,delta_error_detection_auprc,41,9,0.029097339164,0.658536585366,-0.008548319218,0.072533966837
test,drug,prior,delta_review_lift,40,9,0.072494652734,0.575,-0.2665011752,0.392965162526
test,drug,prior,delta_retained_accuracy_gain_vs_residual,40,9,0.003653261928,0.55,-0.007305866274,0.014225475207
test,drug,prior_after_empirical_support,delta_error_detection_auprc,41,9,-0.007399593935,0.439024390244,-0.033565740924,0.019840856401
test,drug,prior_after_empirical_support,delta_review_lift,40,9,-0.041353434102,0.375,-0.185230250731,0.10695677919
test,drug,prior_after_empirical_support,delta_retained_accuracy_gain_vs_residual,40,9,0.000309463608,0.375,-0.004990006992,0.00665022402
test,drug,source_domain_support,delta_error_detection_auprc,41,9,0.056945572149,0.609756097561,-0.02679340694,0.153690492269
test,drug,source_domain_support,delta_review_lift,40,9,0.245436831382,0.6,-0.147155474975,0.665979971689
test,drug,source_domain_support,delta_retained_accuracy_gain_vs_residual,40,9,0.007326823475,0.6,-0.005777498873,0.021689456628
test,drug,target_sequence_support,delta_error_detection_auprc,41,9,0.018203823547,0.536585365854,-0.009929768407,0.052677766407
test,drug,target_sequence_support,delta_review_lift,40,9,0.071001585798,0.475,-0.063164827268,0.234518316615
test,drug,target_sequence_support,delta_retained_accuracy_gain_vs_residual,40,9,0.004315570657,0.475,-0.001884311779,0.011631221182
test,target,combined_empirical_support,delta_error_detection_auprc,41,9,0.179200869384,0.853658536585,0.09477228354,0.258278121875
test,target,combined_empirical_support,delta_review_lift,40,9,0.914480630465,0.85,0.506086993928,1.307338643582
test,target,combined_empirical_support,delta_retained_accuracy_gain_vs_residual,40,9,0.034597206194,0.85,0.018127482889,0.050787293295
test,target,empirical_support,delta_error_detection_auprc,41,9,0.176063824557,0.829268292683,0.098494609751,0.25013749101
test,target,empirical_support,delta_review_lift,40,9,0.895707187376,0.825,0.462876627288,1.308351879679
test,target,empirical_support,delta_retained_accuracy_gain_vs_residual,40,9,0.031364368907,0.825,0.015710366232,0.047361649319
test,target,empirical_support_after_prior,delta_error_detection_auprc,41,9,0.14850839644,0.878048780488,0.087997478642,0.216173514499
test,target,empirical_support_after_prior,delta_review_lift,40,9,0.792136983285,0.9,0.508332372771,1.047412789146
test,target,empirical_support_after_prior,delta_retained_accuracy_gain_vs_residual,40,9,0.02759642244,0.9,0.016102958862,0.038930659155
test,target,fit_support,delta_error_detection_auprc,41,9,0.157924998747,0.878048780488,0.092947013469,0.22750159091
test,target,fit_support,delta_review_lift,40,9,0.944921057734,0.85,0.538569552088,1.362514597175
test,target,fit_support,delta_retained_accuracy_gain_vs_residual,40,9,0.028860801023,0.85,0.015479103154,0.043830199694
test,target,fit_support_after_legacy_source_domain,delta_error_detection_auprc,41,9,0.132042587625,0.926829268293,0.090043426285,0.176494007644
test,target,fit_support_after_legacy_source_domain,delta_review_lift,40,9,0.794456506868,0.925,0.518684255187,1.038560772568
test,target,fit_support_after_legacy_source_domain,delta_retained_accuracy_gain_vs_residual,40,9,0.026760813227,0.925,0.01547109459,0.038143491742
test,target,fit_support_after_native_source_domain,delta_error_detection_auprc,41,9,0.10939247232,0.926829268293,0.066369768861,0.154678312055
test,target,fit_support_after_native_source_domain,delta_review_lift,40,9,0.665542094049,0.95,0.399308505263,0.938953316829
test,target,fit_support_after_native_source_domain,delta_retained_accuracy_gain_vs_residual,40,9,0.02247450025,0.925,0.012617456427,0.032903694703
test,target,general_target_joint_support,delta_error_detection_auprc,41,9,0.031945553613,0.780487804878,0.005051247925,0.065950349288
test,target,general_target_joint_support,delta_review_lift,40,9,0.01225523507,0.575,-0.211671005639,0.197978710512
test,target,general_target_joint_support,delta_retained_accuracy_gain_vs_residual,40,9,0.001451985343,0.575,-0.005188302721,0.007703875971
test,target,legacy_empirical_support,delta_error_detection_auprc,41,9,0.161758835992,0.80487804878,0.072974451501,0.243059753726
test,target,legacy_empirical_support,delta_review_lift,40,9,0.872199753932,0.825,0.448678829023,1.267495887577
test,target,legacy_empirical_support,delta_retained_accuracy_gain_vs_residual,40,9,0.032188937332,0.825,0.015808495178,0.047896011471
test,target,legacy_source_domain_support_after_fit,delta_error_detection_auprc,41,9,0.003833837245,0.439024390244,-0.052355719087,0.060830959245
test,target,legacy_source_domain_support_after_fit,delta_review_lift,40,9,-0.072721303802,0.425,-0.516055503443,0.290130124355
test,target,legacy_source_domain_support_after_fit,delta_retained_accuracy_gain_vs_residual,40,9,0.003328136309,0.425,-0.008256337481,0.015734099478
test,target,legacy_support_after_native,delta_error_detection_auprc,41,9,0.003137044827,0.487804878049,-0.02193747627,0.029593787519
test,target,legacy_support_after_native,delta_review_lift,40,9,0.018773443089,0.45,-0.176245012823,0.191288429726
test,target,legacy_support_after_native,delta_retained_accuracy_gain_vs_residual,40,9,0.003232837286,0.45,-0.002246217888,0.008956628911
test,target,native_source_domain_support,delta_error_detection_auprc,41,9,0.066671352237,0.658536585366,-0.018587730618,0.149747011855
test,target,native_source_domain_support,delta_review_lift,40,9,0.230165093328,0.675,-0.304547108858,0.68437190138
test,target,native_source_domain_support,delta_retained_accuracy_gain_vs_residual,40,9,0.008889868658,0.675,-0.010025539815,0.024494525364
test,target,native_source_domain_support_after_fit,delta_error_detection_auprc,41,9,0.01813882581,0.487804878049,-0.031127043589,0.068733856207
test,target,native_source_domain_support_after_fit,delta_review_lift,40,9,-0.049213870358,0.625,-0.47178401686,0.235916792098
test,target,native_source_domain_support_after_fit,delta_retained_accuracy_gain_vs_residual,40,9,0.002503567884,0.625,-0.006445021926,0.012094671994
test,target,native_support_after_legacy,delta_error_detection_auprc,41,9,0.017442033392,0.609756097561,-0.007471539149,0.043935443993
test,target,native_support_after_legacy,delta_review_lift,40,9,0.042280876533,0.55,-0.091210255141,0.172075045602
test,target,native_support_after_legacy,delta_retained_accuracy_gain_vs_residual,40,9,0.002408268861,0.55,-0.00253519706,0.007945852829
test,target,prior,delta_error_detection_auprc,41,9,0.030395920254,0.609756097561,-0.005646395179,0.071979747148
test,target,prior,delta_review_lift,40,9,0.102377692381,0.55,-0.265176195577,0.436456148864
test,target,prior,delta_retained_accuracy_gain_vs_residual,40,9,0.004487303374,0.55,-0.007131074732,0.015336850737
test,target,prior_after_empirical_support,delta_error_detection_auprc,41,9,0.002840492137,0.536585365854,-0.018136222738,0.024645603874
test,target,prior_after_empirical_support,delta_review_lift,40,9,-0.00119251171,0.425,-0.139773464658,0.142505833542
test,target,prior_after_empirical_support,delta_retained_accuracy_gain_vs_residual,40,9,0.000719356907,0.425,-0.004877960128,0.006466041859
test,target,source_domain_support,delta_error_detection_auprc,41,9,0.029716248367,0.536585365854,-0.049900858081,0.111636223034
test,target,source_domain_support,delta_review_lift,40,9,0.077743247065,0.575,-0.408130656114,0.568387405654
test,target,source_domain_support,delta_retained_accuracy_gain_vs_residual,40,9,0.005428124105,0.575,-0.011571489691,0.023733296196
test,target,target_sequence_support,delta_error_detection_auprc,41,9,0.018045848272,0.560975609756,-0.012043447855,0.053343186546
test,target,target_sequence_support,delta_review_lift,40,9,0.041896085189,0.425,-0.074903243018,0.180221113907
