model,dataset,test_run,group_axis,validation_delta_fold_auprc,test_delta_auprc,same_direction,both_positive
DrugBAN,bindingdb,seed_4,drug,0.022336906154,0.025848160637,True,True
DrugBAN,bindingdb,seed_5,drug,0.04905628547,0.031767639518,True,True
DrugBAN,bindingdb,seed_6,drug,0.006087226627,0.012662393944,True,True
DrugBAN,bindingdb,seed_7,drug,0.112405755461,0.008895387678,True,True
DrugBAN,bindingdb,seed_8,drug,-0.01213452402,-0.083333333334,True,False
DrugBAN,biosnap,seed_4,drug,0.087291620391,0.033227926619,True,True
DrugBAN,biosnap,seed_5,drug,-0.009340749229,-0.044764351094,True,False
DrugBAN,biosnap,seed_6,drug,0.019723218584,0.04544099928,True,True
DrugBAN,biosnap,seed_7,drug,-0.006314077531,0.017931890011,False,False
DrugBAN,biosnap,seed_8,drug,0.011018442564,0.005834384862,True,True
DrugBAN,human,seed_4,drug,,,,
DrugBAN,human,seed_5,drug,,0.052344577247,,
DrugBAN,human,seed_6,drug,,,,
DrugBAN,human,seed_7,drug,,0.011471653878,,
DrugBAN,human,seed_8,drug,-0.004166666666,0.029863557752,False,False
PACE,bindingdb,seed_4,drug,0.025440243685,0.031117187488,True,True
PACE,bindingdb,seed_5,drug,0.002917660408,0.01439510597,True,True
PACE,bindingdb,seed_6,drug,0.022126167369,0.146198477448,True,True
PACE,bindingdb,seed_7,drug,-0.130738972045,0.12079078474,False,False
PACE,bindingdb,seed_8,drug,0.075303642882,0.113921708922,True,True
PACE,biosnap,seed_4,drug,0.003412044993,0.064048246152,True,True
PACE,biosnap,seed_5,drug,0.080513855643,0.195775107557,True,True
PACE,biosnap,seed_6,drug,0.014108671526,0.22231655998,True,True
PACE,biosnap,seed_7,drug,0.042278626858,0.038445011118,True,True
PACE,biosnap,seed_8,drug,0.006425072949,0.107445267524,True,True
PACE,human,seed_4,drug,0.238624338624,0.000754929416,True,True
PACE,human,seed_5,drug,-0.039578500204,0.011373069223,False,False
PACE,human,seed_6,drug,0.0,0.028255156793,False,False
PACE,human,seed_7,drug,,-0.067392670109,,
PACE,human,seed_8,drug,,0.164875741936,,
TAPB,bindingdb,seed_4,drug,,,,
TAPB,bindingdb,seed_5,drug,-5.2187087e-05,0.013788623968,False,False
TAPB,bindingdb,seed_6,drug,,,,
TAPB,bindingdb,seed_7,drug,0.006083368818,0.027881976595,True,True
TAPB,bindingdb,seed_8,drug,3.5232479e-05,0.027208452943,True,True
TAPB,biosnap,seed_4,drug,0.057610190775,0.051366882642,True,True
TAPB,biosnap,seed_5,drug,0.156817951318,0.054756342919,True,True
TAPB,biosnap,seed_6,drug,0.096473886506,0.002807660103,True,True
TAPB,biosnap,seed_7,drug,0.029093930148,0.047021994344,True,True
TAPB,biosnap,seed_8,drug,0.106706955976,0.002279972493,True,True
TAPB,human,seed_4,drug,,-0.015729354141,,
TAPB,human,seed_5,drug,0.0,0.017157802311,False,False
TAPB,human,seed_6,drug,0.0,-0.000119910479,False,False
TAPB,human,seed_7,drug,-0.153174603174,0.003723644157,False,False
TAPB,human,seed_8,drug,-0.037321937322,-0.007491099713,True,False
DrugBAN,bindingdb,seed_4,target,-0.003801113636,0.044732799112,False,False
DrugBAN,bindingdb,seed_5,target,0.063189116184,0.010041380858,True,True
DrugBAN,bindingdb,seed_6,target,0.027406085457,-0.020678912147,False,False
DrugBAN,bindingdb,seed_7,target,0.027420241751,0.013215944965,True,True
DrugBAN,bindingdb,seed_8,target,-0.032573608309,0.0,False,False
DrugBAN,biosnap,seed_4,target,-0.01865276335,0.029789483792,False,False
DrugBAN,biosnap,seed_5,target,-0.011753793547,-0.022353203137,True,False
DrugBAN,biosnap,seed_6,target,-0.02843882254,0.044809321994,False,False
DrugBAN,biosnap,seed_7,target,0.001796343433,0.018637365284,True,True
DrugBAN,biosnap,seed_8,target,0.002003876262,0.025008569997,True,True
DrugBAN,human,seed_4,target,,,,
DrugBAN,human,seed_5,target,,0.000439922123,,
DrugBAN,human,seed_6,target,,,,
DrugBAN,human,seed_7,target,-0.006944444444,-0.00257034632,True,False
DrugBAN,human,seed_8,target,0.166666666667,0.011417359384,True,True
PACE,bindingdb,seed_4,target,-0.005252743685,0.08461299856,False,False
PACE,bindingdb,seed_5,target,-0.049082382732,0.023640720071,False,False
PACE,bindingdb,seed_6,target,0.068248814238,0.13907368503,True,True
PACE,bindingdb,seed_7,target,0.051367996254,0.090537268416,True,True
PACE,bindingdb,seed_8,target,0.036935594694,0.031894746756,True,True
PACE,biosnap,seed_4,target,-0.019152466663,0.068753793165,False,False
PACE,biosnap,seed_5,target,0.050440060146,0.209997070269,True,True
PACE,biosnap,seed_6,target,0.021367171183,0.245647191112,True,True
PACE,biosnap,seed_7,target,0.071186756126,0.011854645344,True,True
PACE,biosnap,seed_8,target,-0.000976279376,0.135703133872,False,False
PACE,human,seed_4,target,-0.169312169312,-0.105017420839,True,False
PACE,human,seed_5,target,-0.007239057239,0.031826976949,False,False
PACE,human,seed_6,target,,-0.013405057307,,
PACE,human,seed_7,target,0.0125,-0.027803262184,False,False
PACE,human,seed_8,target,0.022619047619,0.000555489087,True,True
TAPB,bindingdb,seed_4,target,,,,
TAPB,bindingdb,seed_5,target,-0.014385475298,0.024131334221,False,False
TAPB,bindingdb,seed_6,target,,,,
TAPB,bindingdb,seed_7,target,-0.041892615769,0.004051510401,False,False
TAPB,bindingdb,seed_8,target,-0.029368255062,0.051363960023,False,False
TAPB,biosnap,seed_4,target,0.08228927396,0.079512908223,True,True
TAPB,biosnap,seed_5,target,0.091307258676,0.051086743601,True,True
TAPB,biosnap,seed_6,target,0.080796523482,0.030771344992,True,True
TAPB,biosnap,seed_7,target,0.062097867111,0.032222896068,True,True
TAPB,biosnap,seed_8,target,0.110280077232,-0.036120832831,False,False
TAPB,human,seed_4,target,-0.0625,0.000844319317,False,False
TAPB,human,seed_5,target,-0.333333333333,0.054987721173,False,False
TAPB,human,seed_6,target,-0.154320987654,-0.003111249151,True,False
TAPB,human,seed_7,target,0.023178652894,0.000460384723,True,True
TAPB,human,seed_8,target,0.102380952381,0.007764714393,True,True
