excluded_dataset,split,group_axis,added_component,measure,num_independent_runs,num_model_dataset_strata,mean,run_win_rate,ci_low,ci_high
biosnap,test,drug,general_target_joint_support,delta_error_detection_auprc,26,6,0.027620074213,0.807692307692,0.002900015032,0.057971002011
biosnap,test,drug,general_target_joint_support,delta_review_lift,25,6,0.091374414079,0.56,-0.118193021122,0.322538432485
biosnap,test,drug,general_target_joint_support,delta_retained_accuracy_gain_vs_residual,25,6,0.004061076503,0.52,-0.004228738505,0.013398255333
biosnap,test,target,general_target_joint_support,delta_error_detection_auprc,26,6,0.017074316028,0.730769230769,-0.00762519977,0.044423481061
biosnap,test,target,general_target_joint_support,delta_review_lift,25,6,-0.086090983328,0.4,-0.367159140285,0.154227683838
biosnap,test,target,general_target_joint_support,delta_retained_accuracy_gain_vs_residual,25,6,-0.000808278139,0.4,-0.009863110556,0.008204752166
biosnap,validation,drug,general_target_joint_support,delta_validation_fold_mean_auprc,21,6,0.008523337914,0.52380952381,-0.027242805546,0.053362339245
biosnap,validation,drug,general_target_joint_support,delta_error_detection_auprc,21,6,0.036657565149,0.571428571429,-0.009570525681,0.094607937852
biosnap,validation,drug,general_target_joint_support,delta_review_lift,21,6,0.026488962809,0.428571428571,-0.253432492539,0.303681553296
biosnap,validation,drug,general_target_joint_support,delta_retained_accuracy_gain_vs_residual,21,6,0.001807819367,0.52380952381,-0.00772177745,0.009974808352
biosnap,validation,target,general_target_joint_support,delta_validation_fold_mean_auprc,24,6,-0.005365509794,0.458333333333,-0.059621534898,0.04793312448
biosnap,validation,target,general_target_joint_support,delta_error_detection_auprc,24,6,0.015672407326,0.5,-0.019834638097,0.059811408857
biosnap,validation,target,general_target_joint_support,delta_review_lift,24,6,0.111741287922,0.291666666667,-0.33002206281,0.733157316373
biosnap,validation,target,general_target_joint_support,delta_retained_accuracy_gain_vs_residual,24,6,0.000573359277,0.291666666667,-0.011702656286,0.01398217831
bindingdb,test,drug,general_target_joint_support,delta_error_detection_auprc,28,6,0.037849139512,0.821428571429,0.007824160718,0.079762336565
bindingdb,test,drug,general_target_joint_support,delta_review_lift,28,6,0.085394866873,0.535714285714,-0.107903843841,0.259375640959
bindingdb,test,drug,general_target_joint_support,delta_retained_accuracy_gain_vs_residual,28,6,0.002087912018,0.535714285714,-0.004647590448,0.007932180263
bindingdb,test,target,general_target_joint_support,delta_error_detection_auprc,28,6,0.029596709107,0.75,-0.00597605104,0.078462310735
bindingdb,test,target,general_target_joint_support,delta_review_lift,28,6,-0.061239668722,0.535714285714,-0.359533298468,0.201991198263
bindingdb,test,target,general_target_joint_support,delta_retained_accuracy_gain_vs_residual,28,6,-0.00209878339,0.535714285714,-0.009952786327,0.005059524476
bindingdb,validation,drug,general_target_joint_support,delta_validation_fold_mean_auprc,23,6,0.025620289885,0.608695652174,-0.017428037845,0.073078420708
bindingdb,validation,drug,general_target_joint_support,delta_error_detection_auprc,23,6,0.050521343677,0.652173913043,0.00373711708,0.104741686199
bindingdb,validation,drug,general_target_joint_support,delta_review_lift,23,6,0.092899538387,0.652173913043,-0.219937875877,0.409500394779
bindingdb,validation,drug,general_target_joint_support,delta_retained_accuracy_gain_vs_residual,23,6,0.000859213803,0.608695652174,-0.007867698458,0.008149697447
bindingdb,validation,target,general_target_joint_support,delta_validation_fold_mean_auprc,26,6,0.009750389944,0.576923076923,-0.051577835881,0.066483605455
bindingdb,validation,target,general_target_joint_support,delta_error_detection_auprc,26,6,0.018205853399,0.5,-0.013868199851,0.056945494524
bindingdb,validation,target,general_target_joint_support,delta_review_lift,26,6,0.124366407413,0.423076923077,-0.31406184725,0.731974867797
bindingdb,validation,target,general_target_joint_support,delta_retained_accuracy_gain_vs_residual,26,6,3.5420295e-05,0.423076923077,-0.010871298158,0.011802966224
human,test,drug,general_target_joint_support,delta_error_detection_auprc,28,6,0.046033194334,0.928571428571,0.011629765233,0.088073423138
human,test,drug,general_target_joint_support,delta_review_lift,27,6,0.194361028574,0.777777777778,0.069473069231,0.363457857245
human,test,drug,general_target_joint_support,delta_retained_accuracy_gain_vs_residual,27,6,0.007153510363,0.740740740741,0.003167323048,0.014138515103
human,test,target,general_target_joint_support,delta_error_detection_auprc,28,6,0.049165635704,0.857142857143,0.017814639678,0.092081678876
human,test,target,general_target_joint_support,delta_review_lift,27,6,0.18409635726,0.777777777778,0.067950288729,0.313701233587
human,test,target,general_target_joint_support,delta_retained_accuracy_gain_vs_residual,27,6,0.007263017556,0.777777777778,0.003336520855,0.011584662877
human,validation,drug,general_target_joint_support,delta_validation_fold_mean_auprc,28,6,0.029291024127,0.821428571429,0.002563297396,0.05925772694
human,validation,drug,general_target_joint_support,delta_error_detection_auprc,28,6,0.028713581876,0.75,6.4320171e-05,0.059572321325
human,validation,drug,general_target_joint_support,delta_review_lift,28,6,0.160366234883,0.785714285714,0.030623470423,0.335597136314
human,validation,drug,general_target_joint_support,delta_retained_accuracy_gain_vs_residual,28,6,0.005362816273,0.821428571429,0.001434650178,0.009768212775
human,validation,target,general_target_joint_support,delta_validation_fold_mean_auprc,28,6,0.017856839071,0.571428571429,-0.009820414233,0.049943354531
human,validation,target,general_target_joint_support,delta_error_detection_auprc,28,6,0.019286413608,0.607142857143,-0.00690905744,0.048636321334
human,validation,target,general_target_joint_support,delta_review_lift,28,6,0.120031582019,0.571428571429,-0.040465452752,0.302424221868
human,validation,target,general_target_joint_support,delta_retained_accuracy_gain_vs_residual,28,6,0.00329541105,0.571428571429,-0.003668253526,0.010886314065
