excluded_model,split,group_axis,added_component,measure,num_independent_runs,num_model_dataset_strata,mean,run_win_rate,ci_low,ci_high
DrugBAN,test,drug,general_target_joint_support,delta_error_detection_auprc,28,6,0.048763068043,0.857142857143,0.014476974785,0.091027129042
DrugBAN,test,drug,general_target_joint_support,delta_review_lift,28,6,0.1123448155,0.607142857143,-0.099615653368,0.331125413701
DrugBAN,test,drug,general_target_joint_support,delta_retained_accuracy_gain_vs_residual,28,6,0.003316491076,0.571428571429,-0.004423442034,0.012348110744
DrugBAN,test,target,general_target_joint_support,delta_error_detection_auprc,28,6,0.042628964552,0.821428571429,0.003187251823,0.090237661947
DrugBAN,test,target,general_target_joint_support,delta_review_lift,28,6,0.071544828578,0.571428571429,-0.150943792328,0.279060983336
DrugBAN,test,target,general_target_joint_support,delta_retained_accuracy_gain_vs_residual,28,6,0.001213211465,0.571428571429,-0.007293367936,0.008571385577
DrugBAN,validation,drug,general_target_joint_support,delta_validation_fold_mean_auprc,25,6,0.023074100258,0.68,-0.02043289217,0.071754701255
DrugBAN,validation,drug,general_target_joint_support,delta_error_detection_auprc,25,6,0.019536355622,0.68,-0.010831234931,0.053333082815
DrugBAN,validation,drug,general_target_joint_support,delta_review_lift,25,6,0.104143514527,0.6,-0.220409974253,0.411638369125
DrugBAN,validation,drug,general_target_joint_support,delta_retained_accuracy_gain_vs_residual,25,6,0.001778125128,0.64,-0.007472876197,0.009223354939
DrugBAN,validation,target,general_target_joint_support,delta_validation_fold_mean_auprc,27,6,-0.003075844298,0.555555555556,-0.057977909685,0.044258665725
DrugBAN,validation,target,general_target_joint_support,delta_error_detection_auprc,27,6,0.007884150579,0.555555555556,-0.019398052461,0.03535425459
DrugBAN,validation,target,general_target_joint_support,delta_review_lift,27,6,-0.046673279958,0.444444444444,-0.343186365211,0.220316069233
DrugBAN,validation,target,general_target_joint_support,delta_retained_accuracy_gain_vs_residual,27,6,-0.002869913758,0.444444444444,-0.012309673346,0.005882292111
PACE,test,drug,general_target_joint_support,delta_error_detection_auprc,26,6,0.016007214558,0.807692307692,0.001113138346,0.029385199056
PACE,test,drug,general_target_joint_support,delta_review_lift,25,6,0.100474521977,0.6,-0.001929680787,0.222647512597
PACE,test,drug,general_target_joint_support,delta_retained_accuracy_gain_vs_residual,25,6,0.003964784555,0.56,-1.6834875e-05,0.00823525178
PACE,test,target,general_target_joint_support,delta_error_detection_auprc,26,6,0.016989264476,0.769230769231,0.006145456778,0.02949030817
PACE,test,target,general_target_joint_support,delta_review_lift,25,6,-0.024540006141,0.56,-0.281375200782,0.15207456225
PACE,test,target,general_target_joint_support,delta_retained_accuracy_gain_vs_residual,25,6,0.001701793959,0.56,-0.004714196115,0.007977925099
PACE,validation,drug,general_target_joint_support,delta_validation_fold_mean_auprc,23,6,0.01593299002,0.608695652174,-0.020181631292,0.05227133471
PACE,validation,drug,general_target_joint_support,delta_error_detection_auprc,23,6,0.050817089369,0.652173913043,0.005118314622,0.105685785899
PACE,validation,drug,general_target_joint_support,delta_review_lift,23,6,0.031335510894,0.608695652174,-0.25614542828,0.287474640007
PACE,validation,drug,general_target_joint_support,delta_retained_accuracy_gain_vs_residual,23,6,0.000850546619,0.565217391304,-0.008033793649,0.008194878429
PACE,validation,target,general_target_joint_support,delta_validation_fold_mean_auprc,25,6,0.009511116393,0.52,-0.049309201291,0.065127543996
PACE,validation,target,general_target_joint_support,delta_error_detection_auprc,25,6,0.024713507882,0.52,-0.009907995052,0.065552109589
PACE,validation,target,general_target_joint_support,delta_review_lift,25,6,0.224992364271,0.36,-0.109529494567,0.797913673475
PACE,validation,target,general_target_joint_support,delta_retained_accuracy_gain_vs_residual,25,6,0.003687669914,0.4,-0.005112452675,0.014653439315
TAPB,test,drug,general_target_joint_support,delta_error_detection_auprc,28,6,0.046732125458,0.892857142857,0.009870031975,0.089682574963
TAPB,test,drug,general_target_joint_support,delta_review_lift,27,6,0.158310972048,0.666666666667,-0.063241477826,0.373794519754
TAPB,test,drug,general_target_joint_support,delta_retained_accuracy_gain_vs_residual,27,6,0.006021223252,0.666666666667,-0.002235844836,0.014481307019
TAPB,test,target,general_target_joint_support,delta_error_detection_auprc,28,6,0.036218431811,0.75,-0.003333438794,0.085907191769
TAPB,test,target,general_target_joint_support,delta_review_lift,27,6,-0.010239117227,0.592592592593,-0.327375827124,0.264983321471
TAPB,test,target,general_target_joint_support,delta_retained_accuracy_gain_vs_residual,27,6,0.001440950604,0.592592592593,-0.008087042786,0.010193337492
TAPB,validation,drug,general_target_joint_support,delta_validation_fold_mean_auprc,24,6,0.024427561648,0.708333333333,-0.003627642987,0.063562233513
TAPB,validation,drug,general_target_joint_support,delta_error_detection_auprc,24,6,0.04553904571,0.666666666667,0.001889748186,0.099939558773
TAPB,validation,drug,general_target_joint_support,delta_review_lift,24,6,0.144275710658,0.708333333333,0.01681308622,0.355757814426
TAPB,validation,drug,general_target_joint_support,delta_retained_accuracy_gain_vs_residual,24,6,0.005401177695,0.791666666667,0.000989465538,0.01096273212
TAPB,validation,target,general_target_joint_support,delta_validation_fold_mean_auprc,26,6,0.015806447126,0.538461538462,-0.019649789529,0.057741052868
TAPB,validation,target,general_target_joint_support,delta_error_detection_auprc,26,6,0.020567015872,0.538461538462,-0.011896818702,0.061732226992
TAPB,validation,target,general_target_joint_support,delta_review_lift,26,6,0.177820193041,0.5,-0.266469840444,0.774887385101
TAPB,validation,target,general_target_joint_support,delta_retained_accuracy_gain_vs_residual,26,6,0.003086434466,0.461538461538,-0.009122129646,0.015233788302
