model,dataset,test_run,group_axis,split,delta_validation_fold_mean_auprc,delta_error_detection_auprc,delta_deduplicated_error_detection_auprc,delta_review_lift,delta_retained_accuracy_gain_vs_residual
DrugBAN,bindingdb,seed_4,drug,test,,0.025848160637,,0.083758786094,0.007884376295
DrugBAN,bindingdb,seed_4,drug,validation,0.022336906154,0.026789190974,,0.132512874378,0.011844050807
DrugBAN,bindingdb,seed_4,target,test,,0.044732799112,,0.219579990603,0.02042684574
DrugBAN,bindingdb,seed_4,target,validation,-0.003801113636,0.001569533316,,-0.01739812656,-0.00132605727
DrugBAN,bindingdb,seed_5,drug,test,,0.031767639518,,0.194216061264,0.00918519742
DrugBAN,bindingdb,seed_5,drug,validation,0.04905628547,0.059393467388,,0.400775046421,0.019458431807
DrugBAN,bindingdb,seed_5,target,test,,0.010041380858,,0.17580330329,0.007927696135
DrugBAN,bindingdb,seed_5,target,validation,0.063189116184,0.042262324278,,0.3070396551,0.020612134684
DrugBAN,bindingdb,seed_6,drug,test,,0.012662393944,,-0.147472087748,-0.003962058919
DrugBAN,bindingdb,seed_6,drug,validation,0.006087226627,-0.018698319593,,-0.178291781344,-0.005113588854
DrugBAN,bindingdb,seed_6,target,test,,-0.020678912147,,-0.322937926258,-0.009517614475
DrugBAN,bindingdb,seed_6,target,validation,0.027406085457,0.035742171973,,-0.064102564103,-0.002100840336
DrugBAN,bindingdb,seed_7,drug,test,,0.008895387678,,0.099615068198,0.005872300592
DrugBAN,bindingdb,seed_7,drug,validation,0.112405755461,0.129009434005,,0.458196788585,0.02372774046
DrugBAN,bindingdb,seed_7,target,test,,0.013215944965,,0.434945709197,0.023452660845
DrugBAN,bindingdb,seed_7,target,validation,0.027420241751,0.231185850248,,1.002385003873,0.052923108169
DrugBAN,bindingdb,seed_8,drug,test,,-0.083333333334,,,
DrugBAN,bindingdb,seed_8,drug,validation,-0.01213452402,0.033073000423,,0.188461538462,0.01282051282
DrugBAN,bindingdb,seed_8,target,test,,0.0,,,
DrugBAN,bindingdb,seed_8,target,validation,-0.032573608309,-0.065519977986,,-0.175,-0.01282051282
DrugBAN,biosnap,seed_4,drug,test,,0.033227926619,,0.138899790686,0.005134158927
DrugBAN,biosnap,seed_4,drug,validation,0.087291620391,0.084147111436,,0.04185244319,0.002514781321
DrugBAN,biosnap,seed_4,target,test,,0.029789483792,,0.063979316423,0.00399380805
DrugBAN,biosnap,seed_4,target,validation,-0.01865276335,-0.0240514437,,-0.206602230928,-0.009003858224
DrugBAN,biosnap,seed_5,drug,test,,-0.044764351094,,-0.022313470843,-0.000538174512
DrugBAN,biosnap,seed_5,drug,validation,-0.009340749229,-0.009509037362,,-0.07183908046,-0.002604166667
DrugBAN,biosnap,seed_5,target,test,,-0.022353203137,,0.129330162505,0.00632032474
DrugBAN,biosnap,seed_5,target,validation,-0.011753793547,-0.01005092218,,-0.126146133145,-0.004677509248
