split,group_axis,model,dataset,measure,num_independent_runs,mean,run_win_rate,min,max
test,drug,DrugBAN,bindingdb,delta_error_detection_auprc,5,-0.000831950311,0.8,-0.083333333334,0.031767639518
test,drug,DrugBAN,bindingdb,delta_review_lift,4,0.057529456952,0.75,-0.147472087748,0.194216061264
test,drug,DrugBAN,bindingdb,delta_retained_accuracy_gain_vs_residual,4,0.004744953847,0.75,-0.003962058919,0.00918519742
test,drug,DrugBAN,biosnap,delta_error_detection_auprc,5,0.011534169936,0.8,-0.044764351094,0.04544099928
test,drug,DrugBAN,biosnap,delta_review_lift,5,0.091194288025,0.6,-0.072478991597,0.323355328009
test,drug,DrugBAN,biosnap,delta_retained_accuracy_gain_vs_residual,5,0.004419864917,0.6,-0.002272727273,0.013857485476
test,drug,DrugBAN,human,delta_error_detection_auprc,3,0.031226596293,1.0,0.011471653878,0.052344577247
test,drug,DrugBAN,human,delta_review_lift,3,0.290598290598,0.666666666667,0.0,0.621794871795
test,drug,DrugBAN,human,delta_retained_accuracy_gain_vs_residual,3,0.010843731432,0.666666666667,0.0,0.021167557932
test,drug,PACE,bindingdb,delta_error_detection_auprc,5,0.085284652914,1.0,0.01439510597,0.146198477448
test,drug,PACE,bindingdb,delta_review_lift,5,0.477461875481,0.8,-0.073172905526,1.05625
test,drug,PACE,bindingdb,delta_retained_accuracy_gain_vs_residual,5,0.019084793177,0.8,-0.003949004975,0.058390022676
test,drug,PACE,biosnap,delta_error_detection_auprc,5,0.125606038466,1.0,0.038445011118,0.22231655998
test,drug,PACE,biosnap,delta_review_lift,5,0.296244384224,1.0,0.012620192308,0.631508905702
test,drug,PACE,biosnap,delta_retained_accuracy_gain_vs_residual,5,0.007026857439,1.0,0.000301083902,0.012762635756
test,drug,PACE,human,delta_error_detection_auprc,5,0.027573245452,0.8,-0.067392670109,0.164875741936
test,drug,PACE,human,delta_review_lift,5,-0.263162462991,0.2,-0.658088235294,0.394871794872
test,drug,PACE,human,delta_retained_accuracy_gain_vs_residual,5,-0.009992861297,0.2,-0.026589527816,0.016129032258
test,drug,TAPB,bindingdb,delta_error_detection_auprc,3,0.022959684502,1.0,0.013788623968,0.027881976595
test,drug,TAPB,bindingdb,delta_review_lift,3,0.066030394906,1.0,0.00445966071,0.101547240947
test,drug,TAPB,bindingdb,delta_retained_accuracy_gain_vs_residual,3,0.003550277523,0.666666666667,-0.000128775719,0.007442413638
test,drug,TAPB,biosnap,delta_error_detection_auprc,5,0.0316465705,1.0,0.002279972493,0.054756342919
test,drug,TAPB,biosnap,delta_review_lift,5,0.177705771853,0.6,-0.05946969697,0.565787017775
test,drug,TAPB,biosnap,delta_retained_accuracy_gain_vs_residual,5,0.004094315276,0.6,-0.000759808436,0.013976120478
test,drug,TAPB,human,delta_error_detection_auprc,5,-0.000491783573,0.4,-0.015729354141,0.017157802311
test,drug,TAPB,human,delta_review_lift,5,-0.080211070472,0.2,-0.179912053057,0.021244868084
test,drug,TAPB,human,delta_retained_accuracy_gain_vs_residual,5,-0.003864435661,0.2,-0.007960034048,0.000467775468
test,target,DrugBAN,bindingdb,delta_error_detection_auprc,5,0.009462242558,0.6,-0.020678912147,0.044732799112
test,target,DrugBAN,bindingdb,delta_review_lift,4,0.126847769208,0.75,-0.322937926258,0.434945709197
test,target,DrugBAN,bindingdb,delta_retained_accuracy_gain_vs_residual,4,0.010572397061,0.75,-0.009517614475,0.023452660845
test,target,DrugBAN,biosnap,delta_error_detection_auprc,5,0.019178307586,0.8,-0.022353203137,0.044809321994
test,target,DrugBAN,biosnap,delta_review_lift,5,0.10193678521,0.8,-0.044387755102,0.293540799558
test,target,DrugBAN,biosnap,delta_retained_accuracy_gain_vs_residual,5,0.005305214528,0.8,-0.001798561151,0.013242998387
test,target,DrugBAN,human,delta_error_detection_auprc,3,0.003095645062,0.666666666667,-0.00257034632,0.011417359384
test,target,DrugBAN,human,delta_review_lift,3,-0.547756410256,0.0,-1.1875,-0.105769230769
test,target,DrugBAN,human,delta_retained_accuracy_gain_vs_residual,3,-0.010089012295,0.0,-0.016666666667,-0.000779857398
test,target,PACE,bindingdb,delta_error_detection_auprc,5,0.073951883767,1.0,0.023640720071,0.13907368503
test,target,PACE,bindingdb,delta_review_lift,5,0.305321267681,0.8,-0.009854334854,0.65625
test,target,PACE,bindingdb,delta_retained_accuracy_gain_vs_residual,5,0.011389070753,0.8,-0.000252972426,0.029667422525
test,target,PACE,biosnap,delta_error_detection_auprc,5,0.134391166752,1.0,0.011854645344,0.245647191112
test,target,PACE,biosnap,delta_review_lift,5,0.353673327134,1.0,0.009848484848,0.843348141736
test,target,PACE,biosnap,delta_retained_accuracy_gain_vs_residual,5,0.008278062333,1.0,0.000265634487,0.016626461988
test,target,PACE,human,delta_error_detection_auprc,5,-0.022768654859,0.4,-0.105017420839,0.031826976949
test,target,PACE,human,delta_review_lift,5,-0.40145744234,0.0,-0.45986133964,-0.294907407408
test,target,PACE,human,delta_retained_accuracy_gain_vs_residual,5,-0.016810028758,0.0,-0.0226050323,-0.008335648791
test,target,TAPB,bindingdb,delta_error_detection_auprc,3,0.026515601548,1.0,0.004051510401,0.051363960023
test,target,TAPB,bindingdb,delta_review_lift,3,0.045566091073,0.333333333333,-0.051549145299,0.194446104889
test,target,TAPB,bindingdb,delta_retained_accuracy_gain_vs_residual,3,0.003699100606,0.333333333333,-0.00487012987,0.01621024443
test,target,TAPB,biosnap,delta_error_detection_auprc,5,0.031494612011,0.8,-0.036120832831,0.079512908223
test,target,TAPB,biosnap,delta_review_lift,5,0.171232903252,0.8,-0.254761904762,0.445471736819
test,target,TAPB,biosnap,delta_retained_accuracy_gain_vs_residual,5,0.004334260058,0.8,-0.002906976744,0.010684658852
test,target,TAPB,human,delta_error_detection_auprc,5,0.012189178091,0.8,-0.003111249151,0.054987721173
test,target,TAPB,human,delta_review_lift,5,-0.045067175334,0.4,-0.248768433765,0.204166666667
test,target,TAPB,human,delta_retained_accuracy_gain_vs_residual,5,-0.003611196202,0.4,-0.014332514332,0.008033090739
validation,drug,DrugBAN,bindingdb,delta_validation_fold_mean_auprc,5,0.035550329938,0.8,-0.01213452402,0.112405755461
validation,drug,DrugBAN,bindingdb,delta_error_detection_auprc,5,0.045913354639,0.8,-0.018698319593,0.129009434005
validation,drug,DrugBAN,bindingdb,delta_review_lift,5,0.2003308933,0.8,-0.178291781344,0.458196788585
validation,drug,DrugBAN,bindingdb,delta_retained_accuracy_gain_vs_residual,5,0.012547429408,0.8,-0.005113588854,0.02372774046
validation,drug,DrugBAN,biosnap,delta_validation_fold_mean_auprc,5,0.020475690956,0.6,-0.009340749229,0.087291620391
validation,drug,DrugBAN,biosnap,delta_error_detection_auprc,5,0.01513206432,0.4,-0.009531560268,0.084147111436
validation,drug,DrugBAN,biosnap,delta_review_lift,5,0.014072227777,0.8,-0.07183908046,0.053030851991
validation,drug,DrugBAN,biosnap,delta_retained_accuracy_gain_vs_residual,5,0.000873368152,0.8,-0.002604166667,0.002685864599
validation,drug,DrugBAN,human,delta_validation_fold_mean_auprc,1,-0.004166666666,0.0,-0.004166666666,-0.004166666666
validation,drug,DrugBAN,human,delta_error_detection_auprc,1,0.169413919414,1.0,0.169413919414,0.169413919414
validation,drug,DrugBAN,human,delta_review_lift,1,0.0,0.0,0.0,0.0
validation,drug,DrugBAN,human,delta_retained_accuracy_gain_vs_residual,1,0.0,0.0,0.0,0.0
validation,drug,PACE,bindingdb,delta_validation_fold_mean_auprc,5,-0.00099025154,0.8,-0.130738972045,0.075303642882
validation,drug,PACE,bindingdb,delta_error_detection_auprc,5,-0.004021901123,0.6,-0.153616432102,0.088951684348
validation,drug,PACE,bindingdb,delta_review_lift,5,0.105481030697,0.6,-0.048571988131,0.211868015077
validation,drug,PACE,bindingdb,delta_retained_accuracy_gain_vs_residual,5,0.007227188623,1.0,0.000220864695,0.014690982776
validation,drug,PACE,biosnap,delta_validation_fold_mean_auprc,5,0.029347654394,1.0,0.003412044993,0.080513855643
validation,drug,PACE,biosnap,delta_error_detection_auprc,5,0.026861260992,1.0,0.002095466037,0.062093880634
validation,drug,PACE,biosnap,delta_review_lift,5,0.153367665085,1.0,0.056583130251,0.257590091577
validation,drug,PACE,biosnap,delta_retained_accuracy_gain_vs_residual,5,0.003321883362,1.0,0.001442058752,0.005451590395
validation,drug,PACE,human,delta_validation_fold_mean_auprc,3,0.066348612807,0.333333333333,-0.039578500204,0.238624338624
validation,drug,PACE,human,delta_error_detection_auprc,3,0.019935576021,0.333333333333,-0.053694585439,0.113501313501
validation,drug,PACE,human,delta_review_lift,3,0.39240244709,0.333333333333,-0.194320436508,1.371527777778
validation,drug,PACE,human,delta_retained_accuracy_gain_vs_residual,3,0.008437196627,0.333333333333,-0.006356130969,0.031667720852
validation,drug,TAPB,bindingdb,delta_validation_fold_mean_auprc,3,0.00202213807,0.666666666667,-5.2187087e-05,0.006083368818
validation,drug,TAPB,bindingdb,delta_error_detection_auprc,3,0.00265795653,0.666666666667,-0.001206155318,0.007911113823
validation,drug,TAPB,bindingdb,delta_review_lift,3,-0.023944946082,0.333333333333,-0.091339533422,0.02066189574
validation,drug,TAPB,bindingdb,delta_retained_accuracy_gain_vs_residual,3,-0.000840352523,0.333333333333,-0.004393804721,0.001950480386
validation,drug,TAPB,biosnap,delta_validation_fold_mean_auprc,5,0.089340582945,1.0,0.029093930148,0.156817951318
validation,drug,TAPB,biosnap,delta_error_detection_auprc,5,0.0857387559,1.0,0.025898763626,0.169367654837
validation,drug,TAPB,biosnap,delta_review_lift,5,0.512890538519,1.0,0.010415319662,0.966683031021
validation,drug,TAPB,biosnap,delta_retained_accuracy_gain_vs_residual,5,0.009047380615,0.8,-7.5567428e-05,0.017500010322
validation,drug,TAPB,human,delta_validation_fold_mean_auprc,4,-0.047624135124,0.0,-0.153174603174,0.0
validation,drug,TAPB,human,delta_error_detection_auprc,4,-0.013953514588,0.25,-0.031667887827,0.000853829476
validation,drug,TAPB,human,delta_review_lift,4,-0.515335648148,0.0,-1.207175925926,0.0
validation,drug,TAPB,human,delta_retained_accuracy_gain_vs_residual,4,-0.016524545936,0.0,-0.035795153442,0.0
validation,target,DrugBAN,bindingdb,delta_validation_fold_mean_auprc,5,0.01632814429,0.6,-0.032573608309,0.063189116184
