model,dataset,test_run,group_axis,confidence_source,delta_error_detection_auprc_vs_uncertainty,delta_review_error_rate_vs_uncertainty,delta_retained_accuracy_gain_vs_residual_vs_uncertainty
DrugBAN,bindingdb,seed_4,drug,base,0.069669628116,0.053975113982,0.013447595021
DrugBAN,bindingdb,seed_4,target,base,0.007468073154,0.013888888889,0.003496503496
DrugBAN,bindingdb,seed_5,drug,base,0.168040717182,0.16051064524,0.039917560367
DrugBAN,bindingdb,seed_5,target,base,-0.033030736195,-0.06309650053,-0.015683865684
DrugBAN,bindingdb,seed_6,drug,base,0.34798254754,0.209624824684,0.052626358461
DrugBAN,bindingdb,seed_6,target,base,0.0,0.0,0.0
DrugBAN,bindingdb,seed_7,drug,base,0.392243464588,0.346797035797,0.086412928547
DrugBAN,bindingdb,seed_7,target,base,0.0,0.0,0.0
DrugBAN,bindingdb,seed_8,drug,base,0.629166666666,,
DrugBAN,bindingdb,seed_8,target,base,-0.041666666666,,
DrugBAN,biosnap,seed_4,drug,base,0.282186034822,0.149179197995,0.037140412184
DrugBAN,biosnap,seed_4,target,base,0.071118020794,0.023809523809,0.005830753354
DrugBAN,biosnap,seed_5,drug,base,0.344920535137,0.268274254481,0.066632729538
DrugBAN,biosnap,seed_5,target,base,0.060080300763,-0.001802507837,-0.00048814112
DrugBAN,biosnap,seed_6,drug,base,0.219547095426,0.247247328473,0.061771004446
DrugBAN,biosnap,seed_6,target,base,0.058139086661,0.029135338346,0.00727294229
DrugBAN,biosnap,seed_7,drug,base,0.357404162594,0.367750783699,0.091362694503
DrugBAN,biosnap,seed_7,target,base,0.130659614003,0.145376175548,0.036104665723
DrugBAN,biosnap,seed_8,drug,base,0.29850342904,0.25754608295,0.064869238091
DrugBAN,biosnap,seed_8,target,base,0.010479417213,0.030414746544,0.007662162953
DrugBAN,human,seed_4,drug,base,0.0,,
DrugBAN,human,seed_4,target,base,0.0,,
DrugBAN,human,seed_5,drug,base,0.0,0.0,0.0
DrugBAN,human,seed_5,target,base,0.0,0.0,0.0
DrugBAN,human,seed_6,drug,base,0.0,,
DrugBAN,human,seed_6,target,base,0.0,,
DrugBAN,human,seed_7,drug,base,0.0,0.0,0.0
DrugBAN,human,seed_7,target,base,0.0,0.0,0.0
DrugBAN,human,seed_8,drug,base,-0.031335304859,-0.022727272727,-0.005434782609
DrugBAN,human,seed_8,target,base,0.068943931903,0.025,0.00641025641
PACE,bindingdb,seed_4,drug,base,0.206107200848,0.228846153846,0.057147424187
PACE,bindingdb,seed_4,target,base,0.010715693714,0.0,0.0
PACE,bindingdb,seed_5,drug,base,0.516946140326,0.186204481793,0.04710129906
PACE,bindingdb,seed_5,target,base,0.194444444444,0.035714285714,0.009259259259
PACE,bindingdb,seed_6,drug,base,0.12413105902,0.1125,0.02786377709
PACE,bindingdb,seed_6,target,base,0.045052253838,0.1,0.026315789474
PACE,bindingdb,seed_7,drug,base,-0.106980391268,-0.154761904762,-0.038926681784
PACE,bindingdb,seed_7,target,base,-0.023565712696,-0.083333333334,-0.020408163266
PACE,bindingdb,seed_8,drug,base,0.311138608568,0.158170995671,0.041288144962
PACE,bindingdb,seed_8,target,base,0.223930481284,0.071428571428,0.018518518518
PACE,biosnap,seed_4,drug,base,0.285457083453,0.236328671329,0.059096787138
PACE,biosnap,seed_4,target,base,0.081258011068,0.064825174825,0.016260485165
PACE,biosnap,seed_5,drug,base,0.279214158818,0.193795787546,0.048358576054
PACE,biosnap,seed_5,target,base,0.184173100852,0.12396978022,0.030833123137
PACE,biosnap,seed_6,drug,base,0.167132073759,0.048648931714,0.012087510443
PACE,biosnap,seed_6,target,base,0.011811585686,-0.008928571428,-0.002232142857
PACE,biosnap,seed_7,drug,base,-0.010969098935,0.023772204807,0.00600132626
PACE,biosnap,seed_7,target,base,0.0,0.0,0.0
PACE,biosnap,seed_8,drug,base,0.231859987981,0.163657407407,0.040675280814
PACE,biosnap,seed_8,target,base,0.100715980544,0.118518518518,0.029390558591
PACE,human,seed_4,drug,base,-0.006325058157,-0.016666666667,-0.004098360656
PACE,human,seed_4,target,base,-0.05126890967,-0.048039215686,-0.012085176072
PACE,human,seed_5,drug,base,-0.039687304286,-0.016666666667,-0.004032258065
PACE,human,seed_5,target,base,-0.001166912458,0.016666666667,0.004032258065
PACE,human,seed_6,drug,base,-0.005355852669,0.0,0.0
PACE,human,seed_6,target,base,0.0,0.0,0.0
PACE,human,seed_7,drug,base,0.0,0.0,0.0
PACE,human,seed_7,target,base,-0.101397127906,-0.083333333333,-0.020161290322
PACE,human,seed_8,drug,base,0.0,0.0,0.0
PACE,human,seed_8,target,base,-0.009416288298,0.0,0.0
TAPB,bindingdb,seed_4,drug,base,,,
TAPB,bindingdb,seed_4,target,base,,,
TAPB,bindingdb,seed_5,drug,base,0.125531215268,0.221530234471,0.055093627672
TAPB,bindingdb,seed_5,target,base,0.060931058804,0.09,0.0225
TAPB,bindingdb,seed_6,drug,base,,,
TAPB,bindingdb,seed_6,target,base,,,
TAPB,bindingdb,seed_7,drug,base,0.245234981383,0.258520550331,0.063930818504
TAPB,bindingdb,seed_7,target,base,0.126847449806,0.117437304075,0.029056986374
TAPB,bindingdb,seed_8,drug,base,0.151099333774,0.205030487805,0.051352810982
TAPB,bindingdb,seed_8,target,base,0.118319187489,0.159044715447,0.039728658577
TAPB,biosnap,seed_4,drug,base,0.223191657177,0.119255050505,0.029748423258
TAPB,biosnap,seed_4,target,base,0.017367015618,0.001388888889,0.000370392319
TAPB,biosnap,seed_5,drug,base,0.070590122021,0.018719806763,0.004679951691
TAPB,biosnap,seed_5,target,base,-0.007249634542,0.015625,0.00390625
TAPB,biosnap,seed_6,drug,base,0.052427528612,0.013157894737,0.003378378378
TAPB,biosnap,seed_6,target,base,0.00512696805,0.0,0.0
TAPB,biosnap,seed_7,drug,base,0.08909432627,0.047964400099,0.012080026455
TAPB,biosnap,seed_7,target,base,0.035670032186,0.000312695435,6.9693349e-05
TAPB,biosnap,seed_8,drug,base,0.161074053586,0.035185185185,0.008727990286
TAPB,biosnap,seed_8,target,base,0.044380321546,0.036363636364,0.008956529748
TAPB,human,seed_4,drug,base,0.0,0.0,0.0
TAPB,human,seed_4,target,base,0.0,0.0,0.0
TAPB,human,seed_5,drug,base,0.015952180753,-0.016666666667,-0.004237288135
TAPB,human,seed_5,target,base,-0.004792774593,-0.019230769231,-0.004807692308
TAPB,human,seed_6,drug,base,0.106618616558,0.107142857143,0.027777777778
TAPB,human,seed_6,target,base,0.219427757769,0.166666666666,0.040408163265
TAPB,human,seed_7,drug,base,0.035675087144,0.011609907121,0.003007518797
TAPB,human,seed_7,target,base,0.029662367438,0.03947368421,0.009868421053
TAPB,human,seed_8,drug,base,0.0,0.0,0.0
TAPB,human,seed_8,target,base,0.048129433409,0.041666666667,0.010273972603
