excluded_dataset,split,group_axis,added_component,measure,num_independent_runs,num_model_dataset_strata,mean,run_win_rate,ci_low,ci_high
biosnap,test,drug,target_sequence_support,delta_error_detection_auprc,26,6,0.02643758951,0.538461538462,-0.01169308974,0.072224031007
biosnap,test,drug,target_sequence_support,delta_review_lift,25,6,0.097470371191,0.44,-0.084403751883,0.32303596867
biosnap,test,drug,target_sequence_support,delta_retained_accuracy_gain_vs_residual,25,6,0.005977163039,0.44,-0.003218914956,0.016256780567
biosnap,test,target,target_sequence_support,delta_error_detection_auprc,26,6,0.029146297657,0.576923076923,-0.010490968202,0.076133852737
biosnap,test,target,target_sequence_support,delta_review_lift,25,6,0.080687830494,0.48,-0.079916418292,0.271149425272
biosnap,test,target,target_sequence_support,delta_retained_accuracy_gain_vs_residual,25,6,0.004965465527,0.48,-0.003328555958,0.014402399861
biosnap,validation,drug,target_sequence_support,delta_validation_fold_mean_auprc,21,6,0.039447377126,0.52380952381,-0.025444547894,0.112369837306
biosnap,validation,drug,target_sequence_support,delta_error_detection_auprc,21,6,0.078362638412,0.619047619048,-0.016278606426,0.206521973387
biosnap,validation,drug,target_sequence_support,delta_review_lift,21,6,0.091098556973,0.52380952381,-0.275989931445,0.423696871342
biosnap,validation,drug,target_sequence_support,delta_retained_accuracy_gain_vs_residual,21,6,0.003536736066,0.571428571429,-0.007517261311,0.013121353113
biosnap,validation,target,target_sequence_support,delta_validation_fold_mean_auprc,24,6,0.015285468278,0.458333333333,-0.026376450294,0.065536146443
biosnap,validation,target,target_sequence_support,delta_error_detection_auprc,24,6,0.004578708851,0.5,-0.022054504966,0.034577956496
biosnap,validation,target,target_sequence_support,delta_review_lift,24,6,0.014107814961,0.291666666667,-0.180516509388,0.220690808687
biosnap,validation,target,target_sequence_support,delta_retained_accuracy_gain_vs_residual,24,6,0.000935843885,0.291666666667,-0.005778139046,0.008458109065
bindingdb,test,drug,target_sequence_support,delta_error_detection_auprc,28,6,0.010813876485,0.535714285714,-0.021842771978,0.047473074222
bindingdb,test,drug,target_sequence_support,delta_review_lift,28,6,0.066025461876,0.428571428571,-0.093346424273,0.269960924591
bindingdb,test,drug,target_sequence_support,delta_retained_accuracy_gain_vs_residual,28,6,0.003327379759,0.428571428571,-0.002495419886,0.011763352279
bindingdb,test,target,target_sequence_support,delta_error_detection_auprc,28,6,0.004333425677,0.5,-0.024484408341,0.038763683099
bindingdb,test,target,target_sequence_support,delta_review_lift,28,6,-0.009722976636,0.321428571429,-0.127974949488,0.150404071193
bindingdb,test,target,target_sequence_support,delta_retained_accuracy_gain_vs_residual,28,6,-0.000106433807,0.321428571429,-0.004835399881,0.006494693554
bindingdb,validation,drug,target_sequence_support,delta_validation_fold_mean_auprc,23,6,0.013687150311,0.304347826087,-0.040383544036,0.091787551948
bindingdb,validation,drug,target_sequence_support,delta_error_detection_auprc,23,6,0.051287465635,0.391304347826,-0.030310141932,0.1867058789
bindingdb,validation,drug,target_sequence_support,delta_review_lift,23,6,-0.047031713248,0.173913043478,-0.367373328198,0.305619816435
bindingdb,validation,drug,target_sequence_support,delta_retained_accuracy_gain_vs_residual,23,6,-0.001789382474,0.173913043478,-0.010386110178,0.007047758267
bindingdb,validation,target,target_sequence_support,delta_validation_fold_mean_auprc,26,6,0.004637376042,0.384615384615,-0.028139944536,0.049769908115
bindingdb,validation,target,target_sequence_support,delta_error_detection_auprc,26,6,0.001267735965,0.423076923077,-0.022143287175,0.02893421125
bindingdb,validation,target,target_sequence_support,delta_review_lift,26,6,-0.072238662177,0.346153846154,-0.220640071154,0.044493507668
bindingdb,validation,target,target_sequence_support,delta_retained_accuracy_gain_vs_residual,26,6,-0.00156405853,0.346153846154,-0.005777778378,0.002101519077
human,test,drug,target_sequence_support,delta_error_detection_auprc,28,6,0.017360004647,0.535714285714,-0.015991922841,0.060532192678
human,test,drug,target_sequence_support,delta_review_lift,27,6,0.049508924326,0.555555555556,-0.089070200477,0.204886650486
human,test,drug,target_sequence_support,delta_retained_accuracy_gain_vs_residual,27,6,0.003642169173,0.555555555556,-0.003249869116,0.012183424461
human,test,target,target_sequence_support,delta_error_detection_auprc,28,6,0.020657821484,0.607142857143,-0.014601235486,0.065756723941
human,test,target,target_sequence_support,delta_review_lift,27,6,0.054723401709,0.481481481481,-0.079162750327,0.214753417932
human,test,target,target_sequence_support,delta_retained_accuracy_gain_vs_residual,27,6,0.004192331516,0.481481481481,-0.002037885466,0.01250695616
human,validation,drug,target_sequence_support,delta_validation_fold_mean_auprc,28,6,0.016553027661,0.571428571429,-0.011049221129,0.052515290578
human,validation,drug,target_sequence_support,delta_error_detection_auprc,28,6,0.021002127692,0.571428571429,-0.009321663651,0.06093145797
human,validation,drug,target_sequence_support,delta_review_lift,28,6,0.052289947782,0.392857142857,-0.08355869499,0.215582865162
human,validation,drug,target_sequence_support,delta_retained_accuracy_gain_vs_residual,28,6,0.003258797957,0.428571428571,-0.001927617711,0.009796255927
human,validation,target,target_sequence_support,delta_validation_fold_mean_auprc,28,6,0.013770205874,0.535714285714,-0.007118777769,0.04509842424
human,validation,target,target_sequence_support,delta_error_detection_auprc,28,6,0.005633513403,0.535714285714,-0.006659752116,0.022148190193
human,validation,target,target_sequence_support,delta_review_lift,28,6,0.078142300932,0.571428571429,-0.071866404118,0.251918707542
human,validation,target,target_sequence_support,delta_retained_accuracy_gain_vs_residual,28,6,0.003308899682,0.571428571429,-0.002550549982,0.009735232253
