split,group_axis,model,dataset,measure,num_independent_runs,mean,run_win_rate,min,max
test,drug,DrugBAN,bindingdb,delta_error_detection_auprc,5,0.002225716882,0.4,-0.060523053086,0.050978251892
test,drug,DrugBAN,bindingdb,delta_review_lift,4,0.108131735107,0.5,-0.322937926258,0.648636323928
test,drug,DrugBAN,bindingdb,delta_retained_accuracy_gain_vs_residual,4,0.007761755097,0.5,-0.009517614475,0.028366145958
test,drug,DrugBAN,biosnap,delta_error_detection_auprc,5,-0.014534756911,0.2,-0.057160248696,0.010655417052
test,drug,DrugBAN,biosnap,delta_review_lift,5,0.098239776676,0.8,-0.048763736264,0.213782431865
test,drug,DrugBAN,biosnap,delta_retained_accuracy_gain_vs_residual,5,0.004378027463,0.8,-0.002192982456,0.009603242264
test,drug,DrugBAN,human,delta_error_detection_auprc,3,0.050717022093,0.666666666667,-0.03912270707,0.177028055298
test,drug,DrugBAN,human,delta_review_lift,3,0.366666666667,0.333333333333,0.0,1.1
test,drug,DrugBAN,human,delta_retained_accuracy_gain_vs_residual,3,0.015637140637,0.333333333333,0.0,0.046911421912
test,drug,PACE,bindingdb,delta_error_detection_auprc,5,0.098557309431,0.8,-0.023888525518,0.26079962343
test,drug,PACE,bindingdb,delta_review_lift,5,0.239482937056,0.8,-0.65625,0.846382783882
test,drug,PACE,bindingdb,delta_retained_accuracy_gain_vs_residual,5,0.018354851044,0.8,-0.014705882353,0.048185941044
test,drug,PACE,biosnap,delta_error_detection_auprc,5,0.047674892279,1.0,0.025750432492,0.072262629517
test,drug,PACE,biosnap,delta_review_lift,5,0.103183436308,0.8,0.0,0.211305361305
test,drug,PACE,biosnap,delta_retained_accuracy_gain_vs_residual,5,0.002188739454,0.8,0.0,0.004002305328
test,drug,PACE,human,delta_error_detection_auprc,5,0.036892266253,0.6,-0.014436151469,0.081405858012
test,drug,PACE,human,delta_review_lift,5,0.089656373946,0.4,-0.427777777778,0.789743589744
test,drug,PACE,human,delta_retained_accuracy_gain_vs_residual,5,0.004428737904,0.4,-0.016129032258,0.032258064516
test,drug,TAPB,bindingdb,delta_error_detection_auprc,3,-0.001831873297,0.333333333333,-0.017993367895,0.021252914143
test,drug,TAPB,bindingdb,delta_review_lift,3,-0.10475317124,0.333333333333,-0.198191854442,0.016760099774
test,drug,TAPB,bindingdb,delta_retained_accuracy_gain_vs_residual,3,-0.007240748782,0.333333333333,-0.016364730775,0.001721956447
test,drug,TAPB,biosnap,delta_error_detection_auprc,5,-0.027931260504,0.4,-0.082222993559,0.017551669594
test,drug,TAPB,biosnap,delta_review_lift,5,-0.147231167955,0.0,-0.401113104732,0.0
test,drug,TAPB,biosnap,delta_retained_accuracy_gain_vs_residual,5,-0.003589609237,0.0,-0.009346490848,0.0
test,drug,TAPB,human,delta_error_detection_auprc,5,-0.027934904299,0.4,-0.133592618985,0.013091359998
test,drug,TAPB,human,delta_review_lift,5,-0.114362314387,0.2,-0.56130952381,0.195683639344
test,drug,TAPB,human,delta_retained_accuracy_gain_vs_residual,5,-0.003078757668,0.2,-0.017773892774,0.01050790006
test,target,DrugBAN,bindingdb,delta_error_detection_auprc,5,0.011619687664,0.6,-0.031449880486,0.042905066472
