model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,reference_role,evaluation_role,reference_n,evaluation_n,reference_outcomes_used_for_support,evaluation_batch_appended_to_reference,reference_frozen_before_test_scoring,exact_pair_support_enabled_in_core,overlap_drug_count,overlap_target_count,overlap_pair_count
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,1182,237,False,False,True,False,60,52,0
DrugBAN,bindingdb,seed_4,target,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,1050,210,False,False,True,False,53,42,0
DrugBAN,bindingdb,seed_4,target,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,868,179,False,False,True,False,45,33,0
DrugBAN,bindingdb,seed_4,target,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,771,159,False,False,True,False,37,26,0
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,1182,237,False,False,True,False,59,52,0
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,1050,210,False,False,True,False,48,44,0
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,868,179,False,False,True,False,44,34,0
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,771,159,False,False,True,False,39,27,0
DrugBAN,bindingdb,seed_5,target,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,895,231,False,False,True,False,25,35,0
DrugBAN,bindingdb,seed_5,target,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,795,206,False,False,True,False,25,32,0
DrugBAN,bindingdb,seed_5,target,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,582,149,False,False,True,False,11,21,0
DrugBAN,bindingdb,seed_5,target,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,518,132,False,False,True,False,10,20,0
DrugBAN,bindingdb,seed_5,drug,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,895,231,False,False,True,False,22,36,0
DrugBAN,bindingdb,seed_5,drug,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,795,206,False,False,True,False,20,33,0
DrugBAN,bindingdb,seed_5,drug,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,582,149,False,False,True,False,11,20,0
DrugBAN,bindingdb,seed_5,drug,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,518,132,False,False,True,False,8,17,0
DrugBAN,bindingdb,seed_6,target,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,595,155,False,False,True,False,12,15,0
DrugBAN,bindingdb,seed_6,target,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,529,138,False,False,True,False,9,12,0
DrugBAN,bindingdb,seed_6,target,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,447,127,False,False,True,False,5,10,0
DrugBAN,bindingdb,seed_6,target,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,398,113,False,False,True,False,4,7,0
