model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,support_reference,support_state,residual_n,residual_share,error_count,error_rate,error_rate_delta_vs_all
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,audit_fit,all,237,1.0,96.0,0.405063291139,0.0
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,audit_fit,both_seen,59,0.248945147679,27.0,0.457627118644,0.052563827505
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,audit_fit,both_unseen,7,0.029535864979,3.0,0.428571428571,0.023508137432
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,audit_fit,drug_unseen,165,0.696202531646,62.0,0.375757575758,-0.029305715382
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,audit_fit,target_unseen,6,0.025316455696,4.0,0.666666666667,0.261603375527
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,source_train,all,237,1.0,96.0,0.405063291139,0.0
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,source_train,both_unseen,237,1.0,96.0,0.405063291139,0.0
DrugBAN,bindingdb,seed_4,target,base,0.8,0.2,0.2,test,audit_fit,all,210,1.0,82.0,0.390476190476,0.0
DrugBAN,bindingdb,seed_4,target,base,0.8,0.2,0.2,test,audit_fit,both_seen,50,0.238095238095,21.0,0.42,0.029523809524
DrugBAN,bindingdb,seed_4,target,base,0.8,0.2,0.2,test,audit_fit,both_unseen,8,0.038095238095,2.0,0.25,-0.140476190476
DrugBAN,bindingdb,seed_4,target,base,0.8,0.2,0.2,test,audit_fit,drug_unseen,145,0.690476190476,54.0,0.372413793103,-0.018062397373
DrugBAN,bindingdb,seed_4,target,base,0.8,0.2,0.2,test,audit_fit,target_unseen,7,0.033333333333,5.0,0.714285714286,0.32380952381
DrugBAN,bindingdb,seed_4,target,base,0.8,0.2,0.2,test,source_train,all,210,1.0,82.0,0.390476190476,0.0
DrugBAN,bindingdb,seed_4,target,base,0.8,0.2,0.2,test,source_train,both_unseen,210,1.0,82.0,0.390476190476,0.0
DrugBAN,bindingdb,seed_4,target,base,0.9,0.1,0.2,test,audit_fit,all,179,1.0,66.0,0.368715083799,0.0
DrugBAN,bindingdb,seed_4,target,base,0.9,0.1,0.2,test,audit_fit,both_seen,42,0.234636871508,19.0,0.452380952381,0.083665868582
DrugBAN,bindingdb,seed_4,target,base,0.9,0.1,0.2,test,audit_fit,both_unseen,8,0.04469273743,2.0,0.25,-0.118715083799
DrugBAN,bindingdb,seed_4,target,base,0.9,0.1,0.2,test,audit_fit,drug_unseen,123,0.687150837989,41.0,0.333333333333,-0.035381750466
DrugBAN,bindingdb,seed_4,target,base,0.9,0.1,0.2,test,audit_fit,target_unseen,6,0.033519553073,4.0,0.666666666667,0.297951582868
DrugBAN,bindingdb,seed_4,target,base,0.9,0.1,0.2,test,source_train,all,179,1.0,66.0,0.368715083799,0.0
DrugBAN,bindingdb,seed_4,target,base,0.9,0.1,0.2,test,source_train,both_unseen,179,1.0,66.0,0.368715083799,0.0
DrugBAN,bindingdb,seed_4,target,base,0.9,0.2,0.2,test,audit_fit,all,159,1.0,56.0,0.352201257862,0.0
DrugBAN,bindingdb,seed_4,target,base,0.9,0.2,0.2,test,audit_fit,both_seen,35,0.220125786164,14.0,0.4,0.047798742138
DrugBAN,bindingdb,seed_4,target,base,0.9,0.2,0.2,test,audit_fit,both_unseen,12,0.075471698113,3.0,0.25,-0.102201257862
DrugBAN,bindingdb,seed_4,target,base,0.9,0.2,0.2,test,audit_fit,drug_unseen,108,0.679245283019,36.0,0.333333333333,-0.018867924528
DrugBAN,bindingdb,seed_4,target,base,0.9,0.2,0.2,test,audit_fit,target_unseen,4,0.025157232704,3.0,0.75,0.397798742138
DrugBAN,bindingdb,seed_4,target,base,0.9,0.2,0.2,test,source_train,all,159,1.0,56.0,0.352201257862,0.0
DrugBAN,bindingdb,seed_4,target,base,0.9,0.2,0.2,test,source_train,both_unseen,159,1.0,56.0,0.352201257862,0.0
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.1,0.2,test,audit_fit,all,237,1.0,96.0,0.405063291139,0.0
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.1,0.2,test,audit_fit,both_seen,57,0.240506329114,27.0,0.473684210526,0.068620919387
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.1,0.2,test,audit_fit,both_unseen,6,0.025316455696,1.0,0.166666666667,-0.238396624473
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.1,0.2,test,audit_fit,drug_unseen,167,0.704641350211,63.0,0.377245508982,-0.027817782157
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.1,0.2,test,audit_fit,target_unseen,7,0.029535864979,5.0,0.714285714286,0.309222423146
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.1,0.2,test,source_train,all,237,1.0,96.0,0.405063291139,0.0
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.1,0.2,test,source_train,both_unseen,237,1.0,96.0,0.405063291139,0.0
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.2,0.2,test,audit_fit,all,210,1.0,82.0,0.390476190476,0.0
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.2,0.2,test,audit_fit,both_seen,45,0.214285714286,20.0,0.444444444444,0.053968253968
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.2,0.2,test,audit_fit,both_unseen,6,0.028571428571,1.0,0.166666666667,-0.22380952381
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.2,0.2,test,audit_fit,drug_unseen,152,0.72380952381,56.0,0.368421052632,-0.022055137845
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.2,0.2,test,audit_fit,target_unseen,7,0.033333333333,5.0,0.714285714286,0.32380952381
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.2,0.2,test,source_train,all,210,1.0,82.0,0.390476190476,0.0
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.2,0.2,test,source_train,both_unseen,210,1.0,82.0,0.390476190476,0.0
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.1,0.2,test,audit_fit,all,179,1.0,66.0,0.368715083799,0.0
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.1,0.2,test,audit_fit,both_seen,42,0.234636871508,19.0,0.452380952381,0.083665868582
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.1,0.2,test,audit_fit,both_unseen,8,0.04469273743,2.0,0.25,-0.118715083799
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.1,0.2,test,audit_fit,drug_unseen,124,0.692737430168,41.0,0.33064516129,-0.038069922509
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.1,0.2,test,audit_fit,target_unseen,5,0.027932960894,4.0,0.8,0.431284916201
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.1,0.2,test,source_train,all,179,1.0,66.0,0.368715083799,0.0
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.1,0.2,test,source_train,both_unseen,179,1.0,66.0,0.368715083799,0.0
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.2,0.2,test,audit_fit,all,159,1.0,56.0,0.352201257862,0.0
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.2,0.2,test,audit_fit,both_seen,37,0.232704402516,16.0,0.432432432432,0.080231174571
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.2,0.2,test,audit_fit,both_unseen,7,0.044025157233,2.0,0.285714285714,-0.066486972147
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.2,0.2,test,audit_fit,drug_unseen,111,0.698113207547,35.0,0.315315315315,-0.036885942546
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.2,0.2,test,audit_fit,target_unseen,4,0.025157232704,3.0,0.75,0.397798742138
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.2,0.2,test,source_train,all,159,1.0,56.0,0.352201257862,0.0
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.2,0.2,test,source_train,both_unseen,159,1.0,56.0,0.352201257862,0.0
DrugBAN,bindingdb,seed_5,target,base,0.8,0.1,0.2,test,audit_fit,all,231,1.0,47.0,0.203463203463,0.0
DrugBAN,bindingdb,seed_5,target,base,0.8,0.1,0.2,test,audit_fit,both_seen,26,0.112554112554,7.0,0.269230769231,0.065767565768
DrugBAN,bindingdb,seed_5,target,base,0.8,0.1,0.2,test,audit_fit,both_unseen,6,0.025974025974,1.0,0.166666666667,-0.036796536797
DrugBAN,bindingdb,seed_5,target,base,0.8,0.1,0.2,test,audit_fit,drug_unseen,197,0.852813852814,38.0,0.192893401015,-0.010569802448
DrugBAN,bindingdb,seed_5,target,base,0.8,0.1,0.2,test,audit_fit,target_unseen,2,0.008658008658,1.0,0.5,0.296536796537
DrugBAN,bindingdb,seed_5,target,base,0.8,0.1,0.2,test,source_train,all,231,1.0,47.0,0.203463203463,0.0
DrugBAN,bindingdb,seed_5,target,base,0.8,0.1,0.2,test,source_train,both_unseen,231,1.0,47.0,0.203463203463,0.0
DrugBAN,bindingdb,seed_5,target,base,0.8,0.2,0.2,test,audit_fit,all,206,1.0,39.0,0.18932038835,0.0
DrugBAN,bindingdb,seed_5,target,base,0.8,0.2,0.2,test,audit_fit,both_seen,26,0.126213592233,7.0,0.269230769231,0.079910380881
DrugBAN,bindingdb,seed_5,target,base,0.8,0.2,0.2,test,audit_fit,both_unseen,2,0.009708737864,0.0,0.0,-0.18932038835
DrugBAN,bindingdb,seed_5,target,base,0.8,0.2,0.2,test,audit_fit,drug_unseen,176,0.854368932039,31.0,0.176136363636,-0.013184024713
DrugBAN,bindingdb,seed_5,target,base,0.8,0.2,0.2,test,audit_fit,target_unseen,2,0.009708737864,1.0,0.5,0.31067961165
DrugBAN,bindingdb,seed_5,target,base,0.8,0.2,0.2,test,source_train,all,206,1.0,39.0,0.18932038835,0.0
DrugBAN,bindingdb,seed_5,target,base,0.8,0.2,0.2,test,source_train,both_unseen,206,1.0,39.0,0.18932038835,0.0
DrugBAN,bindingdb,seed_5,target,base,0.9,0.1,0.2,test,audit_fit,all,149,1.0,25.0,0.167785234899,0.0
DrugBAN,bindingdb,seed_5,target,base,0.9,0.1,0.2,test,audit_fit,both_seen,10,0.06711409396,1.0,0.1,-0.067785234899
DrugBAN,bindingdb,seed_5,target,base,0.9,0.1,0.2,test,audit_fit,both_unseen,2,0.013422818792,1.0,0.5,0.332214765101
