model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,calibration_status,candidate_n,candidate_error_count,deferred_n,deferred_error_count,residual_n,residual_error_count,residual_has_two_classes
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.2,validation,cross_fitted,1313,527.0,131,65.0,1182,462.0,True
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,fitted,263,110.0,26,14.0,237,96.0,True
DrugBAN,bindingdb,seed_4,target,base,0.8,0.2,0.2,validation,cross_fitted,1313,527.0,263,140.0,1050,387.0,True
DrugBAN,bindingdb,seed_4,target,base,0.8,0.2,0.2,test,fitted,263,110.0,53,28.0,210,82.0,True
DrugBAN,bindingdb,seed_4,target,base,0.9,0.1,0.2,validation,cross_fitted,964,354.0,96,44.0,868,310.0,True
DrugBAN,bindingdb,seed_4,target,base,0.9,0.1,0.2,test,fitted,199,77.0,20,11.0,179,66.0,True
DrugBAN,bindingdb,seed_4,target,base,0.9,0.2,0.2,validation,cross_fitted,964,354.0,193,87.0,771,267.0,True
DrugBAN,bindingdb,seed_4,target,base,0.9,0.2,0.2,test,fitted,199,77.0,40,21.0,159,56.0,True
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.1,0.2,validation,cross_fitted,1313,527.0,131,64.0,1182,463.0,True
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.1,0.2,test,fitted,263,110.0,26,14.0,237,96.0,True
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.2,0.2,validation,cross_fitted,1313,527.0,263,128.0,1050,399.0,True
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.2,0.2,test,fitted,263,110.0,53,28.0,210,82.0,True
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.1,0.2,validation,cross_fitted,964,354.0,96,44.0,868,310.0,True
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.1,0.2,test,fitted,199,77.0,20,11.0,179,66.0,True
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.2,0.2,validation,cross_fitted,964,354.0,193,92.0,771,262.0,True
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.2,0.2,test,fitted,199,77.0,40,21.0,159,56.0,True
DrugBAN,bindingdb,seed_5,target,base,0.8,0.1,0.2,validation,cross_fitted,994,250.0,99,16.0,895,234.0,True
DrugBAN,bindingdb,seed_5,target,base,0.8,0.1,0.2,test,fitted,257,56.0,26,9.0,231,47.0,True
DrugBAN,bindingdb,seed_5,target,base,0.8,0.2,0.2,validation,cross_fitted,994,250.0,199,28.0,795,222.0,True
DrugBAN,bindingdb,seed_5,target,base,0.8,0.2,0.2,test,fitted,257,56.0,51,17.0,206,39.0,True
DrugBAN,bindingdb,seed_5,target,base,0.9,0.1,0.2,validation,cross_fitted,647,116.0,65,8.0,582,108.0,True
DrugBAN,bindingdb,seed_5,target,base,0.9,0.1,0.2,test,fitted,165,28.0,16,3.0,149,25.0,True
DrugBAN,bindingdb,seed_5,target,base,0.9,0.2,0.2,validation,cross_fitted,647,116.0,129,17.0,518,99.0,True
DrugBAN,bindingdb,seed_5,target,base,0.9,0.2,0.2,test,fitted,165,28.0,33,8.0,132,20.0,True
DrugBAN,bindingdb,seed_5,drug,base,0.8,0.1,0.2,validation,cross_fitted,994,250.0,99,45.0,895,205.0,True
DrugBAN,bindingdb,seed_5,drug,base,0.8,0.1,0.2,test,fitted,257,56.0,26,9.0,231,47.0,True
DrugBAN,bindingdb,seed_5,drug,base,0.8,0.2,0.2,validation,cross_fitted,994,250.0,199,81.0,795,169.0,True
DrugBAN,bindingdb,seed_5,drug,base,0.8,0.2,0.2,test,fitted,257,56.0,51,17.0,206,39.0,True
DrugBAN,bindingdb,seed_5,drug,base,0.9,0.1,0.2,validation,cross_fitted,647,116.0,65,12.0,582,104.0,True
DrugBAN,bindingdb,seed_5,drug,base,0.9,0.1,0.2,test,fitted,165,28.0,16,3.0,149,25.0,True
DrugBAN,bindingdb,seed_5,drug,base,0.9,0.2,0.2,validation,cross_fitted,647,116.0,129,31.0,518,85.0,True
DrugBAN,bindingdb,seed_5,drug,base,0.9,0.2,0.2,test,fitted,165,28.0,33,8.0,132,20.0,True
DrugBAN,bindingdb,seed_6,target,base,0.8,0.1,0.2,validation,cross_fitted,661,90.0,66,12.0,595,78.0,True
DrugBAN,bindingdb,seed_6,target,base,0.8,0.1,0.2,test,fitted,172,23.0,17,6.0,155,17.0,True
DrugBAN,bindingdb,seed_6,target,base,0.8,0.2,0.2,validation,cross_fitted,661,90.0,132,17.0,529,73.0,True
DrugBAN,bindingdb,seed_6,target,base,0.8,0.2,0.2,test,fitted,172,23.0,34,7.0,138,16.0,True
DrugBAN,bindingdb,seed_6,target,base,0.9,0.1,0.2,validation,cross_fitted,497,59.0,50,3.0,447,56.0,True
DrugBAN,bindingdb,seed_6,target,base,0.9,0.1,0.2,test,fitted,141,17.0,14,2.0,127,15.0,True
DrugBAN,bindingdb,seed_6,target,base,0.9,0.2,0.2,validation,cross_fitted,497,59.0,99,16.0,398,43.0,True
DrugBAN,bindingdb,seed_6,target,base,0.9,0.2,0.2,test,fitted,141,17.0,28,3.0,113,14.0,True
DrugBAN,bindingdb,seed_6,drug,base,0.8,0.1,0.2,validation,cross_fitted,661,90.0,66,16.0,595,74.0,True
DrugBAN,bindingdb,seed_6,drug,base,0.8,0.1,0.2,test,fitted,172,23.0,17,6.0,155,17.0,True
DrugBAN,bindingdb,seed_6,drug,base,0.8,0.2,0.2,validation,cross_fitted,661,90.0,132,28.0,529,62.0,True
DrugBAN,bindingdb,seed_6,drug,base,0.8,0.2,0.2,test,fitted,172,23.0,34,7.0,138,16.0,True
DrugBAN,bindingdb,seed_6,drug,base,0.9,0.1,0.2,validation,cross_fitted,497,59.0,50,9.0,447,50.0,True
DrugBAN,bindingdb,seed_6,drug,base,0.9,0.1,0.2,test,fitted,141,17.0,14,2.0,127,15.0,True
