model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,reference_role,evaluation_role,reference_n,evaluation_n,reference_outcomes_used_for_support,evaluation_batch_appended_to_reference,reference_frozen_before_test_scoring,exact_pair_support_enabled_in_core,overlap_drug_count,overlap_target_count,overlap_pair_count
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,582,142,False,False,True,False,74,38,0
DrugBAN,biosnap,seed_4,target,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,518,126,False,False,True,False,64,34,0
DrugBAN,biosnap,seed_4,target,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,458,106,False,False,True,False,61,30,0
DrugBAN,biosnap,seed_4,target,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,407,94,False,False,True,False,54,23,0
DrugBAN,biosnap,seed_4,drug,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,582,142,False,False,True,False,74,37,0
DrugBAN,biosnap,seed_4,drug,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,518,126,False,False,True,False,64,34,0
DrugBAN,biosnap,seed_4,drug,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,458,106,False,False,True,False,59,28,0
DrugBAN,biosnap,seed_4,drug,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,407,94,False,False,True,False,55,24,0
DrugBAN,biosnap,seed_5,target,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,717,167,False,False,True,False,92,42,0
DrugBAN,biosnap,seed_5,target,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,638,149,False,False,True,False,81,36,0
DrugBAN,biosnap,seed_5,target,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,600,147,False,False,True,False,77,34,0
DrugBAN,biosnap,seed_5,target,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,534,130,False,False,True,False,67,30,0
DrugBAN,biosnap,seed_5,drug,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,717,167,False,False,True,False,90,43,0
DrugBAN,biosnap,seed_5,drug,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,638,149,False,False,True,False,78,38,0
DrugBAN,biosnap,seed_5,drug,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,600,147,False,False,True,False,74,34,0
DrugBAN,biosnap,seed_5,drug,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,534,130,False,False,True,False,64,31,0
DrugBAN,biosnap,seed_6,target,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,775,189,False,False,True,False,90,51,0
DrugBAN,biosnap,seed_6,target,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,689,168,False,False,True,False,76,44,0
DrugBAN,biosnap,seed_6,target,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,655,157,False,False,True,False,72,41,0
DrugBAN,biosnap,seed_6,target,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,582,140,False,False,True,False,66,33,0
DrugBAN,biosnap,seed_6,drug,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,775,189,False,False,True,False,91,52,0
DrugBAN,biosnap,seed_6,drug,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,689,168,False,False,True,False,76,46,0
DrugBAN,biosnap,seed_6,drug,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,655,157,False,False,True,False,73,42,0
DrugBAN,biosnap,seed_6,drug,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,582,140,False,False,True,False,68,34,0
DrugBAN,biosnap,seed_7,target,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,689,165,False,False,True,False,79,61,0
DrugBAN,biosnap,seed_7,target,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,612,146,False,False,True,False,65,48,0
DrugBAN,biosnap,seed_7,target,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,528,122,False,False,True,False,52,36,0
DrugBAN,biosnap,seed_7,target,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,470,109,False,False,True,False,45,31,0
DrugBAN,biosnap,seed_7,drug,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,689,165,False,False,True,False,80,63,0
DrugBAN,biosnap,seed_7,drug,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,612,146,False,False,True,False,67,52,0
DrugBAN,biosnap,seed_7,drug,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,528,122,False,False,True,False,54,37,0
DrugBAN,biosnap,seed_7,drug,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,470,109,False,False,True,False,45,30,0
DrugBAN,biosnap,seed_8,target,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,722,174,False,False,True,False,94,40,0
DrugBAN,biosnap,seed_8,target,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,642,154,False,False,True,False,85,31,0
DrugBAN,biosnap,seed_8,target,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,632,156,False,False,True,False,86,31,0
DrugBAN,biosnap,seed_8,target,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,562,138,False,False,True,False,75,21,0
DrugBAN,biosnap,seed_8,drug,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,722,174,False,False,True,False,93,43,0
DrugBAN,biosnap,seed_8,drug,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,642,154,False,False,True,False,86,31,0
DrugBAN,biosnap,seed_8,drug,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,632,156,False,False,True,False,87,32,0
DrugBAN,biosnap,seed_8,drug,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,562,138,False,False,True,False,72,21,0
