model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,scope,score_source,calibration_n,error_count,error_rate,mean_predicted_error_risk,brier_error_risk,ece_error_risk
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,candidate,raw,647,145.0,0.224111282844,0.023554991819,0.208912127081,0.200556291025
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,candidate,calibrated,647,145.0,0.224111282844,0.272420834819,0.166693410725,0.057025393433
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,deferred,raw,65,25.0,0.384615384615,0.072465781829,0.334691228543,0.312149602786
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,deferred,calibrated,65,25.0,0.384615384615,0.365576198467,0.236679616965,0.019039186148
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,residual,raw,582,120.0,0.20618556701,0.018092446543,0.194864632932,0.188093120468
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,residual,calibrated,582,120.0,0.20618556701,0.262016885271,0.158877081849,0.061267839264
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.2,test,candidate,raw,158,32.0,0.20253164557,0.026789124315,0.186786369729,0.175742521255
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.2,test,candidate,calibrated,158,32.0,0.20253164557,0.273151833182,0.15563766456,0.070620187612
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.2,test,deferred,raw,16,6.0,0.375,0.086728499199,0.315294550575,0.288271500801
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.2,test,deferred,calibrated,16,6.0,0.375,0.360407246523,0.233545130881,0.014592753477
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.2,test,residual,raw,142,26.0,0.183098591549,0.020035391933,0.172306574704,0.163063199616
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.2,test,residual,calibrated,142,26.0,0.183098591549,0.263320237312,0.146859358496,0.080221645763
DrugBAN,biosnap,seed_4,target,base,0.8,0.2,0.2,validation,candidate,raw,647,145.0,0.224111282844,0.023554991819,0.208912127081,0.200556291025
DrugBAN,biosnap,seed_4,target,base,0.8,0.2,0.2,validation,candidate,calibrated,647,145.0,0.224111282844,0.272420834819,0.166693410725,0.057025393433
DrugBAN,biosnap,seed_4,target,base,0.8,0.2,0.2,validation,deferred,raw,129,51.0,0.395348837209,0.067722343316,0.347821079509,0.327626493893
DrugBAN,biosnap,seed_4,target,base,0.8,0.2,0.2,validation,deferred,calibrated,129,51.0,0.395348837209,0.355452302059,0.240594105337,0.03989653515
DrugBAN,biosnap,seed_4,target,base,0.8,0.2,0.2,validation,residual,raw,518,94.0,0.181467181467,0.012555786523,0.174318970975,0.168911394944
DrugBAN,biosnap,seed_4,target,base,0.8,0.2,0.2,validation,residual,calibrated,518,94.0,0.181467181467,0.251743114213,0.148289569788,0.071297480589
DrugBAN,biosnap,seed_4,target,base,0.8,0.2,0.2,test,candidate,raw,158,32.0,0.20253164557,0.026789124315,0.186786369729,0.175742521255
DrugBAN,biosnap,seed_4,target,base,0.8,0.2,0.2,test,candidate,calibrated,158,32.0,0.20253164557,0.273151833182,0.15563766456,0.070620187612
DrugBAN,biosnap,seed_4,target,base,0.8,0.2,0.2,test,deferred,raw,32,10.0,0.3125,0.076997089466,0.26753934533,0.235502910534
DrugBAN,biosnap,seed_4,target,base,0.8,0.2,0.2,test,deferred,calibrated,32,10.0,0.3125,0.355228136045,0.215179925123,0.042728136045
DrugBAN,biosnap,seed_4,target,base,0.8,0.2,0.2,test,residual,raw,126,22.0,0.174603174603,0.01403789507,0.166277677513,0.160565279533
DrugBAN,biosnap,seed_4,target,base,0.8,0.2,0.2,test,residual,calibrated,126,22.0,0.174603174603,0.252307057851,0.140515820608,0.099068436955
DrugBAN,biosnap,seed_4,target,base,0.9,0.1,0.2,validation,candidate,raw,509,91.0,0.178781925344,0.010751214239,0.172987920167,0.168030711105
DrugBAN,biosnap,seed_4,target,base,0.9,0.1,0.2,validation,candidate,calibrated,509,91.0,0.178781925344,0.251016257371,0.146715165666,0.073273942602
DrugBAN,biosnap,seed_4,target,base,0.9,0.1,0.2,validation,deferred,raw,51,15.0,0.294117647059,0.03064016474,0.27668677216,0.263477482319
DrugBAN,biosnap,seed_4,target,base,0.9,0.1,0.2,validation,deferred,calibrated,51,15.0,0.294117647059,0.338392031543,0.20654251616,0.044274384484
DrugBAN,biosnap,seed_4,target,base,0.9,0.1,0.2,validation,residual,raw,458,76.0,0.165938864629,0.008536505777,0.161440668089,0.157402358852
DrugBAN,biosnap,seed_4,target,base,0.9,0.1,0.2,validation,residual,calibrated,458,76.0,0.165938864629,0.241286640597,0.140053168122,0.076503151039
DrugBAN,biosnap,seed_4,target,base,0.9,0.1,0.2,test,candidate,raw,118,19.0,0.161016949153,0.011383710393,0.154635837828,0.149633238759
DrugBAN,biosnap,seed_4,target,base,0.9,0.1,0.2,test,candidate,calibrated,118,19.0,0.161016949153,0.246307348185,0.134070952033,0.103466485252
DrugBAN,biosnap,seed_4,target,base,0.9,0.1,0.2,test,deferred,raw,12,5.0,0.416666666667,0.039528738199,0.384365705677,0.377137928468
DrugBAN,biosnap,seed_4,target,base,0.9,0.1,0.2,test,deferred,calibrated,12,5.0,0.416666666667,0.329096483643,0.249830924538,0.087570183024
DrugBAN,biosnap,seed_4,target,base,0.9,0.1,0.2,test,residual,raw,106,14.0,0.132075471698,0.00819748083,0.128628682977,0.123877990868
DrugBAN,biosnap,seed_4,target,base,0.9,0.1,0.2,test,residual,calibrated,106,14.0,0.132075471698,0.236934993228,0.120966049485,0.105266066637
DrugBAN,biosnap,seed_4,target,base,0.9,0.2,0.2,validation,candidate,raw,509,91.0,0.178781925344,0.010751214239,0.172987920167,0.168030711105
DrugBAN,biosnap,seed_4,target,base,0.9,0.2,0.2,validation,candidate,calibrated,509,91.0,0.178781925344,0.251016257371,0.146715165666,0.073273942602
DrugBAN,biosnap,seed_4,target,base,0.9,0.2,0.2,validation,deferred,raw,102,29.0,0.28431372549,0.030408414341,0.266897258849,0.253905311149
DrugBAN,biosnap,seed_4,target,base,0.9,0.2,0.2,validation,deferred,calibrated,102,29.0,0.28431372549,0.327774117449,0.204050117784,0.043460391959
DrugBAN,biosnap,seed_4,target,base,0.9,0.2,0.2,validation,residual,raw,407,62.0,0.152334152334,0.005824839766,0.149452901627,0.146509312568
DrugBAN,biosnap,seed_4,target,base,0.9,0.2,0.2,validation,residual,calibrated,407,62.0,0.152334152334,0.231779643789,0.132346209607,0.088003426677
DrugBAN,biosnap,seed_4,target,base,0.9,0.2,0.2,test,candidate,raw,118,19.0,0.161016949153,0.011383710393,0.154635837828,0.149633238759
DrugBAN,biosnap,seed_4,target,base,0.9,0.2,0.2,test,candidate,calibrated,118,19.0,0.161016949153,0.246307348185,0.134070952033,0.103466485252
DrugBAN,biosnap,seed_4,target,base,0.9,0.2,0.2,test,deferred,raw,24,9.0,0.375,0.032733345391,0.350618907143,0.342266654609
DrugBAN,biosnap,seed_4,target,base,0.9,0.2,0.2,test,deferred,calibrated,24,9.0,0.375,0.32126629033,0.236316223455,0.05373370967
DrugBAN,biosnap,seed_4,target,base,0.9,0.2,0.2,test,residual,raw,94,10.0,0.106382978723,0.005932739755,0.104597607364,0.100450238968
DrugBAN,biosnap,seed_4,target,base,0.9,0.2,0.2,test,residual,calibrated,94,10.0,0.106382978723,0.227168894872,0.10796577635,0.120785916148
DrugBAN,biosnap,seed_4,drug,base,0.8,0.1,0.2,validation,candidate,raw,647,145.0,0.224111282844,0.023554991819,0.208912127081,0.200556291025
DrugBAN,biosnap,seed_4,drug,base,0.8,0.1,0.2,validation,candidate,calibrated,647,145.0,0.224111282844,0.26428706605,0.164423852703,0.046771130865
DrugBAN,biosnap,seed_4,drug,base,0.8,0.1,0.2,validation,deferred,raw,65,24.0,0.369230769231,0.083876960377,0.314602067357,0.285353808854
DrugBAN,biosnap,seed_4,drug,base,0.8,0.1,0.2,validation,deferred,calibrated,65,24.0,0.369230769231,0.359901691269,0.23329703233,0.009329077962
DrugBAN,biosnap,seed_4,drug,base,0.8,0.1,0.2,validation,residual,raw,582,121.0,0.207903780069,0.016818002203,0.197108267772,0.191085777866
DrugBAN,biosnap,seed_4,drug,base,0.8,0.1,0.2,validation,residual,calibrated,582,121.0,0.207903780069,0.253608456704,0.156731830923,0.05095280344
DrugBAN,biosnap,seed_4,drug,base,0.8,0.1,0.2,test,candidate,raw,158,32.0,0.20253164557,0.026789124315,0.186786369729,0.175742521255
DrugBAN,biosnap,seed_4,drug,base,0.8,0.1,0.2,test,candidate,calibrated,158,32.0,0.20253164557,0.273151833182,0.15563766456,0.070620187612
DrugBAN,biosnap,seed_4,drug,base,0.8,0.1,0.2,test,deferred,raw,16,6.0,0.375,0.086728499199,0.315294550575,0.288271500801
DrugBAN,biosnap,seed_4,drug,base,0.8,0.1,0.2,test,deferred,calibrated,16,6.0,0.375,0.360407246523,0.233545130881,0.014592753477
DrugBAN,biosnap,seed_4,drug,base,0.8,0.1,0.2,test,residual,raw,142,26.0,0.183098591549,0.020035391933,0.172306574704,0.163063199616
