model,dataset,test_run,group_axis,confidence_source,split,added_component,delta_validation_fold_mean_auprc,delta_error_detection_auprc,delta_review_lift,delta_retained_accuracy_gain_vs_residual
DrugBAN,biosnap,seed_4,drug,base,test,combined_empirical_support,,0.310330639253,0.993118341558,0.033220376217
DrugBAN,biosnap,seed_4,drug,base,test,empirical_support,,0.282186034822,1.057782486937,0.037140412184
DrugBAN,biosnap,seed_4,drug,base,test,empirical_support_after_prior,,0.214178459814,1.147918541358,0.040081588654
DrugBAN,biosnap,seed_4,drug,base,test,fit_support,,0.281111356566,0.885334540147,0.031614096394
DrugBAN,biosnap,seed_4,drug,base,test,fit_support_after_legacy_source_domain,,0.224922903916,0.483165919294,0.01808621729
DrugBAN,biosnap,seed_4,drug,base,test,fit_support_after_native_source_domain,,0.255548354881,0.6453575372,0.026392218169
DrugBAN,biosnap,seed_4,drug,base,test,general_target_joint_support,,0.03322792662,0.138899790686,0.005134158927
DrugBAN,biosnap,seed_4,drug,base,test,legacy_empirical_support,,0.258634305435,0.9517460234,0.032472182203
DrugBAN,biosnap,seed_4,drug,base,test,legacy_source_domain_support_after_fit,,-0.022477051131,0.066411483254,0.000858085809
DrugBAN,biosnap,seed_4,drug,base,test,legacy_support_after_native,,0.028144604431,-0.064664145378,-0.003920035966
DrugBAN,biosnap,seed_4,drug,base,test,native_source_domain_support,,0.026637679941,0.412424949737,0.010748194014
DrugBAN,biosnap,seed_4,drug,base,test,native_source_domain_support_after_fit,,0.001074678256,0.17244794679,0.005526315789
DrugBAN,biosnap,seed_4,drug,base,test,native_support_after_legacy,,0.051696333817,0.041372318158,0.000748194014
DrugBAN,biosnap,seed_4,drug,base,test,prior,,0.02867940862,-0.090136054422,-0.002941176471
DrugBAN,biosnap,seed_4,drug,base,test,prior_after_empirical_support,,-0.039328166387,0.0,0.0
DrugBAN,biosnap,seed_4,drug,base,test,source_domain_support,,0.03371140152,0.468580104106,0.014385964912
DrugBAN,biosnap,seed_4,drug,base,test,target_sequence_support,,-0.057160248696,-0.048763736264,-0.002192982456
DrugBAN,biosnap,seed_4,drug,base,validation,combined_empirical_support,0.23749993156,0.2238557568,1.15613242476,0.047353261958
DrugBAN,biosnap,seed_4,drug,base,validation,empirical_support,0.277237723007,0.259743691209,1.406571456935,0.057401082888
DrugBAN,biosnap,seed_4,drug,base,validation,empirical_support_after_prior,0.149236255772,0.136690843146,1.137610052784,0.046658390522
DrugBAN,biosnap,seed_4,drug,base,validation,fit_support,0.276009215912,0.243947850518,1.492280317489,0.061398649501
DrugBAN,biosnap,seed_4,drug,base,validation,fit_support_after_legacy_source_domain,0.092749521272,0.094634314369,0.506475346076,0.019878522638
DrugBAN,biosnap,seed_4,drug,base,validation,fit_support_after_native_source_domain,0.101830958906,0.086150853348,0.371261318904,0.014161488559
DrugBAN,biosnap,seed_4,drug,base,validation,general_target_joint_support,0.087291620391,0.084147111436,0.041852443191,0.002514781321
DrugBAN,biosnap,seed_4,drug,base,validation,legacy_empirical_support,0.223711654806,0.217576676353,1.256861136341,0.051335317244
DrugBAN,biosnap,seed_4,drug,base,validation,legacy_source_domain_support_after_fit,-0.052297561107,-0.026371174165,-0.235419181149,-0.010063332257
DrugBAN,biosnap,seed_4,drug,base,validation,legacy_support_after_native,-0.039737791447,-0.035887934408,-0.250439032175,-0.01004782093
DrugBAN,biosnap,seed_4,drug,base,validation,native_source_domain_support,0.175406764101,0.173592837861,1.035310138031,0.043239594329
DrugBAN,biosnap,seed_4,drug,base,validation,native_source_domain_support_after_fit,0.001228507095,0.015795840691,-0.085708860554,-0.003997566613
DrugBAN,biosnap,seed_4,drug,base,validation,native_support_after_legacy,0.013788276754,0.006279080447,-0.100728711581,-0.003982055286
DrugBAN,biosnap,seed_4,drug,base,validation,prior,0.088674354122,0.07688701659,0.198936774571,0.00868078503
DrugBAN,biosnap,seed_4,drug,base,validation,prior_after_empirical_support,-0.039327113113,-0.046165831473,-0.07002462958,-0.002061907337
DrugBAN,biosnap,seed_4,drug,base,validation,source_domain_support,0.130962133534,0.122942361984,0.750385790264,0.031456794606
DrugBAN,biosnap,seed_4,drug,base,validation,target_sequence_support,-0.020197789958,-0.011288606515,-0.048374147991,-0.001663894745
DrugBAN,biosnap,seed_4,target,base,test,combined_empirical_support,,0.273849446606,0.845709559864,0.027803952222
DrugBAN,biosnap,seed_4,target,base,test,empirical_support,,0.237045704581,1.132702961199,0.038280763061
DrugBAN,biosnap,seed_4,target,base,test,empirical_support_after_prior,,0.208359696084,1.132702961199,0.038280763061
DrugBAN,biosnap,seed_4,target,base,test,fit_support,,0.278912058718,0.843962221989,0.03086590238
DrugBAN,biosnap,seed_4,target,base,test,fit_support_after_legacy_source_domain,,0.193107538832,0.424145854146,0.018672919924
DrugBAN,biosnap,seed_4,target,base,test,fit_support_after_native_source_domain,,0.215013207205,0.728787002471,0.027814834115
DrugBAN,biosnap,seed_4,target,base,test,general_target_joint_support,,0.029789483792,0.063979316423,0.00399380805
DrugBAN,biosnap,seed_4,target,base,test,legacy_empirical_support,,0.224712813952,0.959137441506,0.033916970644
DrugBAN,biosnap,seed_4,target,base,test,legacy_source_domain_support_after_fit,,-0.054199244765,0.115175219517,0.003051068265
DrugBAN,biosnap,seed_4,target,base,test,legacy_support_after_native,,0.036803742025,-0.286993401336,-0.010476810839
DrugBAN,biosnap,seed_4,target,base,test,native_source_domain_support,,0.022032497376,0.403915958728,0.010465928946
DrugBAN,biosnap,seed_4,target,base,test,native_source_domain_support_after_fit,,-0.041866354137,0.288740739211,0.007414860681
DrugBAN,biosnap,seed_4,target,base,test,native_support_after_legacy,,0.049136632654,-0.113427881642,-0.006113018423
DrugBAN,biosnap,seed_4,target,base,test,prior,,0.031062930242,-0.090136054422,-0.002941176471
DrugBAN,biosnap,seed_4,target,base,test,prior_after_empirical_support,,0.002376921745,-0.090136054422,-0.002941176471
DrugBAN,biosnap,seed_4,target,base,test,source_domain_support,,0.03160527512,0.53499158736,0.015244050721
DrugBAN,biosnap,seed_4,target,base,test,target_sequence_support,,-0.065915873941,0.0,0.0
DrugBAN,biosnap,seed_4,target,base,validation,combined_empirical_support,0.151275667827,0.152760958705,0.658442965874,0.028370086887
DrugBAN,biosnap,seed_4,target,base,validation,empirical_support,0.113726413717,0.110886864778,0.522482723248,0.023159475526
DrugBAN,biosnap,seed_4,target,base,validation,empirical_support_after_prior,0.037143148059,0.035586288986,0.661160484408,0.0302011085
DrugBAN,biosnap,seed_4,target,base,validation,fit_support,-0.045369872153,0.004817426467,0.159197379941,0.006169139651
DrugBAN,biosnap,seed_4,target,base,validation,fit_support_after_legacy_source_domain,-0.016772718415,0.017775363782,0.047424287556,0.001998223289
DrugBAN,biosnap,seed_4,target,base,validation,fit_support_after_native_source_domain,-0.063384650762,-0.06379711294,-0.460440016174,-0.018411404023
DrugBAN,biosnap,seed_4,target,base,validation,general_target_joint_support,-0.018652763349,-0.0240514437,-0.206602230927,-0.009003858224
DrugBAN,biosnap,seed_4,target,base,validation,legacy_empirical_support,0.124112656068,0.142736796542,0.807732624265,0.034802131141
DrugBAN,biosnap,seed_4,target,base,validation,legacy_source_domain_support_after_fit,0.169482528221,0.137919370075,0.648535244324,0.02863299149
DrugBAN,biosnap,seed_4,target,base,validation,legacy_support_after_native,0.03754925411,0.041874093928,0.135960242626,0.005210611362
DrugBAN,biosnap,seed_4,target,base,validation,native_source_domain_support,0.177111064479,0.174683977718,0.982922739422,0.041570879549
DrugBAN,biosnap,seed_4,target,base,validation,native_source_domain_support_after_fit,0.15909628587,0.106069438311,0.363285343307,0.016990335875
DrugBAN,biosnap,seed_4,target,base,validation,native_support_after_legacy,0.027163011759,0.010024162164,-0.149289658392,-0.006432044253
DrugBAN,biosnap,seed_4,target,base,validation,prior,0.066751009288,0.067439683825,0.125919111265,0.004749482429
DrugBAN,biosnap,seed_4,target,base,validation,prior_after_empirical_support,-0.00983225637,-0.007860891966,0.264596872425,0.011791115404
DrugBAN,biosnap,seed_4,target,base,validation,source_domain_support,0.140885374483,0.12496143276,0.760308336709,0.032803907852
DrugBAN,biosnap,seed_4,target,base,validation,target_sequence_support,0.000833499037,-0.000108854461,0.039239289391,0.001475589646
DrugBAN,biosnap,seed_5,drug,base,test,combined_empirical_support,,0.33425193074,1.409265415171,0.066347527452
DrugBAN,biosnap,seed_5,drug,base,test,empirical_support,,0.344920535137,1.425091246097,0.066632729538
