model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,added_component,baseline_profile,augmented_profile,baseline_model_status,augmented_model_status,baseline_validation_fold_mean_auprc,augmented_validation_fold_mean_auprc,delta_validation_fold_mean_auprc,baseline_error_detection_auroc,augmented_error_detection_auroc,delta_error_detection_auroc,baseline_error_detection_auprc,augmented_error_detection_auprc,delta_error_detection_auprc,baseline_review_error_rate,augmented_review_error_rate,delta_review_error_rate,baseline_review_lift,augmented_review_lift,delta_review_lift,baseline_review_recall_of_residual_errors,augmented_review_recall_of_residual_errors,delta_review_recall_of_residual_errors,baseline_combined_recall_of_candidate_errors,augmented_combined_recall_of_candidate_errors,delta_combined_recall_of_candidate_errors,baseline_retained_accuracy_after_review,augmented_retained_accuracy_after_review,delta_retained_accuracy_after_review,baseline_retained_accuracy_gain_vs_residual,augmented_retained_accuracy_gain_vs_residual,delta_retained_accuracy_gain_vs_residual
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,prior,uncertainty,uncertainty_prior,complete,complete,0.369827049367,0.396410161521,0.026583112154,0.6806998557,0.678589466089,-0.00211038961,0.354395838499,0.335874187183,-0.018521651316,0.353448275862,0.301724137931,-0.051724137931,1.714224137931,1.463362068966,-0.250862068966,0.341666666667,0.291666666667,-0.05,0.455172413793,0.413793103448,-0.041379310345,0.830472103004,0.817596566524,-0.012875536481,0.036657670015,0.023782133534,-0.012875536481
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,empirical_support,uncertainty,uncertainty_support,complete,complete,0.369827049367,0.462538651402,0.092711602035,0.6806998557,0.73676046176,0.056060606061,0.354395838499,0.394935475054,0.040539636555,0.353448275862,0.422413793103,0.068965517241,1.714224137931,2.048706896552,0.334482758621,0.341666666667,0.408333333333,0.066666666667,0.455172413793,0.510344827586,0.055172413793,0.830472103004,0.847639484979,0.017167381974,0.036657670015,0.053825051989,0.017167381974
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,empirical_support_after_prior,uncertainty_prior,uncertainty_prior_support,complete,complete,0.396410161521,0.488737368382,0.092327206861,0.678589466089,0.770418470418,0.091829004329,0.335874187183,0.415556650699,0.079682463516,0.301724137931,0.474137931034,0.172413793103,1.463362068966,2.299568965517,0.836206896552,0.291666666667,0.458333333333,0.166666666667,0.413793103448,0.551724137931,0.137931034483,0.817596566524,0.860515021459,0.042918454936,0.023782133534,0.06670058847,0.042918454936
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,prior_after_empirical_support,uncertainty_support,uncertainty_prior_support,complete,complete,0.462538651402,0.488737368382,0.02619871698,0.73676046176,0.770418470418,0.033658008658,0.394935475054,0.415556650699,0.020621175645,0.422413793103,0.474137931034,0.051724137931,2.048706896552,2.299568965517,0.250862068966,0.408333333333,0.458333333333,0.05,0.510344827586,0.551724137931,0.041379310345,0.847639484979,0.860515021459,0.012875536481,0.053825051989,0.06670058847,0.012875536481
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,legacy_source_domain_support_after_fit,fit_support,legacy_support,complete,complete,0.299123224353,0.515494133611,0.216370909258,0.639898989899,0.731764069264,0.091865079365,0.323238438614,0.479157790327,0.155919351713,0.293103448276,0.465517241379,0.172413793103,1.421551724138,2.25775862069,0.836206896552,0.283333333333,0.45,0.166666666667,0.406896551724,0.544827586207,0.137931034483,0.815450643777,0.858369098712,0.042918454936,0.021636210787,0.064554665723,0.042918454936
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,fit_support_after_legacy_source_domain,source_domain_support,legacy_support,complete,complete,0.488443119515,0.515494133611,0.027051014096,0.751280663781,0.731764069264,-0.019516594517,0.421293311667,0.479157790327,0.057864478659,0.448275862069,0.465517241379,0.01724137931,2.174137931034,2.25775862069,0.083620689655,0.433333333333,0.45,0.016666666667,0.531034482759,0.544827586207,0.013793103448,0.854077253219,0.858369098712,0.004291845494,0.060262820229,0.064554665723,0.004291845494
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,native_source_domain_support_after_fit,fit_support,uncertainty_support,complete,complete,0.299123224353,0.462538651402,0.163415427049,0.639898989899,0.73676046176,0.096861471861,0.323238438614,0.394935475054,0.07169703644,0.293103448276,0.422413793103,0.129310344828,1.421551724138,2.048706896552,0.627155172414,0.283333333333,0.408333333333,0.125,0.406896551724,0.510344827586,0.103448275862,0.815450643777,0.847639484979,0.032188841202,0.021636210787,0.053825051989,0.032188841202
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,fit_support_after_native_source_domain,native_source_domain_support,uncertainty_support,complete,complete,0.536251945319,0.462538651402,-0.073713293917,0.77196969697,0.73676046176,-0.035209235209,0.452368407967,0.394935475054,-0.057432932914,0.439655172414,0.422413793103,-0.01724137931,2.132327586207,2.048706896552,-0.083620689655,0.425,0.408333333333,-0.016666666667,0.524137931034,0.510344827586,-0.013793103448,0.851931330472,0.847639484979,-0.004291845494,0.058116897482,0.053825051989,-0.004291845494
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,native_support_after_legacy,legacy_support,combined_support,complete,complete,0.515494133611,0.507138002091,-0.00835613152,0.731764069264,0.742622655123,0.010858585859,0.479157790327,0.477455866537,-0.001701923789,0.465517241379,0.474137931034,0.008620689655,2.25775862069,2.299568965517,0.041810344828,0.45,0.458333333333,0.008333333333,0.544827586207,0.551724137931,0.006896551724,0.858369098712,0.860515021459,0.002145922747,0.064554665723,0.06670058847,0.002145922747
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,legacy_support_after_native,uncertainty_support,combined_support,complete,complete,0.462538651402,0.507138002091,0.044599350689,0.73676046176,0.742622655123,0.005862193362,0.394935475054,0.477455866537,0.082520391484,0.422413793103,0.474137931034,0.051724137931,2.048706896552,2.299568965517,0.250862068966,0.408333333333,0.458333333333,0.05,0.510344827586,0.551724137931,0.041379310345,0.847639484979,0.860515021459,0.012875536481,0.053825051989,0.06670058847,0.012875536481
