model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,support_reference,support_state,residual_n,residual_share,error_count,error_rate,error_rate_delta_vs_all
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.2,test,audit_fit,all,142,1.0,26.0,0.183098591549,0.0
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.2,test,audit_fit,both_seen,78,0.549295774648,5.0,0.064102564103,-0.118996027447
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.2,test,audit_fit,both_unseen,15,0.105633802817,10.0,0.666666666667,0.483568075117
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.2,test,audit_fit,drug_unseen,40,0.281690140845,7.0,0.175,-0.008098591549
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.2,test,audit_fit,target_unseen,9,0.06338028169,4.0,0.444444444444,0.261345852895
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.2,test,source_train,all,142,1.0,26.0,0.183098591549,0.0
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.2,test,source_train,both_unseen,142,1.0,26.0,0.183098591549,0.0
DrugBAN,biosnap,seed_4,target,base,0.8,0.2,0.2,test,audit_fit,all,126,1.0,22.0,0.174603174603,0.0
DrugBAN,biosnap,seed_4,target,base,0.8,0.2,0.2,test,audit_fit,both_seen,70,0.555555555556,5.0,0.071428571429,-0.103174603175
DrugBAN,biosnap,seed_4,target,base,0.8,0.2,0.2,test,audit_fit,both_unseen,17,0.134920634921,12.0,0.705882352941,0.531279178338
DrugBAN,biosnap,seed_4,target,base,0.8,0.2,0.2,test,audit_fit,drug_unseen,36,0.285714285714,5.0,0.138888888889,-0.035714285714
DrugBAN,biosnap,seed_4,target,base,0.8,0.2,0.2,test,audit_fit,target_unseen,3,0.02380952381,0.0,0.0,-0.174603174603
DrugBAN,biosnap,seed_4,target,base,0.8,0.2,0.2,test,source_train,all,126,1.0,22.0,0.174603174603,0.0
DrugBAN,biosnap,seed_4,target,base,0.8,0.2,0.2,test,source_train,both_unseen,126,1.0,22.0,0.174603174603,0.0
DrugBAN,biosnap,seed_4,target,base,0.9,0.1,0.2,test,audit_fit,all,106,1.0,14.0,0.132075471698,0.0
DrugBAN,biosnap,seed_4,target,base,0.9,0.1,0.2,test,audit_fit,both_seen,65,0.61320754717,5.0,0.076923076923,-0.055152394775
DrugBAN,biosnap,seed_4,target,base,0.9,0.1,0.2,test,audit_fit,both_unseen,8,0.075471698113,6.0,0.75,0.617924528302
DrugBAN,biosnap,seed_4,target,base,0.9,0.1,0.2,test,audit_fit,drug_unseen,31,0.292452830189,3.0,0.096774193548,-0.03530127815
DrugBAN,biosnap,seed_4,target,base,0.9,0.1,0.2,test,audit_fit,target_unseen,2,0.018867924528,0.0,0.0,-0.132075471698
DrugBAN,biosnap,seed_4,target,base,0.9,0.1,0.2,test,source_train,all,106,1.0,14.0,0.132075471698,0.0
DrugBAN,biosnap,seed_4,target,base,0.9,0.1,0.2,test,source_train,both_unseen,106,1.0,14.0,0.132075471698,0.0
DrugBAN,biosnap,seed_4,target,base,0.9,0.2,0.2,test,audit_fit,all,94,1.0,10.0,0.106382978723,0.0
DrugBAN,biosnap,seed_4,target,base,0.9,0.2,0.2,test,audit_fit,both_seen,58,0.617021276596,3.0,0.051724137931,-0.054658840792
DrugBAN,biosnap,seed_4,target,base,0.9,0.2,0.2,test,audit_fit,both_unseen,6,0.063829787234,4.0,0.666666666667,0.560283687943
DrugBAN,biosnap,seed_4,target,base,0.9,0.2,0.2,test,audit_fit,drug_unseen,28,0.297872340426,2.0,0.071428571429,-0.034954407295
DrugBAN,biosnap,seed_4,target,base,0.9,0.2,0.2,test,audit_fit,target_unseen,2,0.021276595745,1.0,0.5,0.393617021277
