model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,calibration_status,candidate_n,candidate_error_count,deferred_n,deferred_error_count,residual_n,residual_error_count,residual_has_two_classes
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,cross_fitted,647,145.0,65,25.0,582,120.0,True
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.2,test,fitted,158,32.0,16,6.0,142,26.0,True
DrugBAN,biosnap,seed_4,target,base,0.8,0.2,0.2,validation,cross_fitted,647,145.0,129,51.0,518,94.0,True
DrugBAN,biosnap,seed_4,target,base,0.8,0.2,0.2,test,fitted,158,32.0,32,10.0,126,22.0,True
DrugBAN,biosnap,seed_4,target,base,0.9,0.1,0.2,validation,cross_fitted,509,91.0,51,15.0,458,76.0,True
DrugBAN,biosnap,seed_4,target,base,0.9,0.1,0.2,test,fitted,118,19.0,12,5.0,106,14.0,True
DrugBAN,biosnap,seed_4,target,base,0.9,0.2,0.2,validation,cross_fitted,509,91.0,102,29.0,407,62.0,True
DrugBAN,biosnap,seed_4,target,base,0.9,0.2,0.2,test,fitted,118,19.0,24,9.0,94,10.0,True
DrugBAN,biosnap,seed_4,drug,base,0.8,0.1,0.2,validation,cross_fitted,647,145.0,65,24.0,582,121.0,True
DrugBAN,biosnap,seed_4,drug,base,0.8,0.1,0.2,test,fitted,158,32.0,16,6.0,142,26.0,True
DrugBAN,biosnap,seed_4,drug,base,0.8,0.2,0.2,validation,cross_fitted,647,145.0,129,49.0,518,96.0,True
DrugBAN,biosnap,seed_4,drug,base,0.8,0.2,0.2,test,fitted,158,32.0,32,10.0,126,22.0,True
DrugBAN,biosnap,seed_4,drug,base,0.9,0.1,0.2,validation,cross_fitted,509,91.0,51,18.0,458,73.0,True
DrugBAN,biosnap,seed_4,drug,base,0.9,0.1,0.2,test,fitted,118,19.0,12,5.0,106,14.0,True
DrugBAN,biosnap,seed_4,drug,base,0.9,0.2,0.2,validation,cross_fitted,509,91.0,102,34.0,407,57.0,True
DrugBAN,biosnap,seed_4,drug,base,0.9,0.2,0.2,test,fitted,118,19.0,24,9.0,94,10.0,True
DrugBAN,biosnap,seed_5,target,base,0.8,0.1,0.2,validation,cross_fitted,797,164.0,80,34.0,717,130.0,True
DrugBAN,biosnap,seed_5,target,base,0.8,0.1,0.2,test,fitted,186,41.0,19,7.0,167,34.0,True
DrugBAN,biosnap,seed_5,target,base,0.8,0.2,0.2,validation,cross_fitted,797,164.0,159,58.0,638,106.0,True
DrugBAN,biosnap,seed_5,target,base,0.8,0.2,0.2,test,fitted,186,41.0,37,12.0,149,29.0,True
DrugBAN,biosnap,seed_5,target,base,0.9,0.1,0.2,validation,cross_fitted,667,109.0,67,20.0,600,89.0,True
DrugBAN,biosnap,seed_5,target,base,0.9,0.1,0.2,test,fitted,163,32.0,16,3.0,147,29.0,True
DrugBAN,biosnap,seed_5,target,base,0.9,0.2,0.2,validation,cross_fitted,667,109.0,133,33.0,534,76.0,True
DrugBAN,biosnap,seed_5,target,base,0.9,0.2,0.2,test,fitted,163,32.0,33,11.0,130,21.0,True
DrugBAN,biosnap,seed_5,drug,base,0.8,0.1,0.2,validation,cross_fitted,797,164.0,80,37.0,717,127.0,True
DrugBAN,biosnap,seed_5,drug,base,0.8,0.1,0.2,test,fitted,186,41.0,19,7.0,167,34.0,True
