model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,reference_role,evaluation_role,reference_n,evaluation_n,reference_outcomes_used_for_support,evaluation_batch_appended_to_reference,reference_frozen_before_test_scoring,exact_pair_support_enabled_in_core,overlap_drug_count,overlap_target_count,overlap_pair_count
DrugBAN,human,seed_4,target,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,13,15,False,False,True,False,3,2,0
DrugBAN,human,seed_4,target,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,12,14,False,False,True,False,2,2,0
DrugBAN,human,seed_4,target,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,5,5,False,False,True,False,0,0,0
DrugBAN,human,seed_4,target,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,5,5,False,False,True,False,0,0,0
DrugBAN,human,seed_4,drug,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,13,15,False,False,True,False,3,2,0
DrugBAN,human,seed_4,drug,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,12,14,False,False,True,False,2,2,0
DrugBAN,human,seed_4,drug,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,5,5,False,False,True,False,0,0,0
DrugBAN,human,seed_4,drug,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,5,5,False,False,True,False,0,0,0
DrugBAN,human,seed_5,target,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,27,55,False,False,True,False,11,9,7
DrugBAN,human,seed_5,target,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,24,49,False,False,True,False,10,8,6
DrugBAN,human,seed_5,target,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,14,21,False,False,True,False,5,3,3
DrugBAN,human,seed_5,target,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,13,18,False,False,True,False,4,2,2
DrugBAN,human,seed_5,drug,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,27,55,False,False,True,False,11,9,7
DrugBAN,human,seed_5,drug,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,24,49,False,False,True,False,11,9,7
DrugBAN,human,seed_5,drug,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,14,21,False,False,True,False,5,3,3
DrugBAN,human,seed_5,drug,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,13,18,False,False,True,False,5,3,3
DrugBAN,human,seed_6,target,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,10,17,False,False,True,False,4,1,1
DrugBAN,human,seed_6,target,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,9,15,False,False,True,False,4,1,1
DrugBAN,human,seed_6,target,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,3,5,False,False,True,False,1,0,0
DrugBAN,human,seed_6,target,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,2,4,False,False,True,False,0,0,0
DrugBAN,human,seed_6,drug,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,10,17,False,False,True,False,4,1,1
DrugBAN,human,seed_6,drug,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,9,15,False,False,True,False,4,1,1
DrugBAN,human,seed_6,drug,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,3,5,False,False,True,False,1,0,0
DrugBAN,human,seed_6,drug,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,2,4,False,False,True,False,0,0,0
DrugBAN,human,seed_7,target,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,24,38,False,False,True,False,8,3,2
DrugBAN,human,seed_7,target,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,22,34,False,False,True,False,8,3,2
DrugBAN,human,seed_7,target,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,10,19,False,False,True,False,3,1,1
DrugBAN,human,seed_7,target,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,9,17,False,False,True,False,3,1,1
