model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,scope,score_source,calibration_n,error_count,error_rate,mean_predicted_error_risk,brier_error_risk,ece_error_risk
DrugBAN,human,seed_4,target,base,0.8,0.1,0.2,validation,candidate,raw,15,1.0,0.066666666667,0.06391197808,0.066119635981,0.002754688587
DrugBAN,human,seed_4,target,base,0.8,0.1,0.2,validation,candidate,calibrated,15,1.0,0.066666666667,0.05134653972,0.066735052551,0.015320126947
DrugBAN,human,seed_4,target,base,0.8,0.1,0.2,validation,deferred,raw,2,0.0,0.0,0.0983907131,0.009682319006,0.0983907131
DrugBAN,human,seed_4,target,base,0.8,0.1,0.2,validation,deferred,calibrated,2,0.0,0.0,0.0895219227,0.008014691486,0.0895219227
DrugBAN,human,seed_4,target,base,0.8,0.1,0.2,validation,residual,raw,13,1.0,0.076923076923,0.058607557307,0.074802300131,0.018315519616
DrugBAN,human,seed_4,target,base,0.8,0.1,0.2,validation,residual,calibrated,13,1.0,0.076923076923,0.045473403877,0.075768954253,0.031449673046
DrugBAN,human,seed_4,target,base,0.8,0.1,0.2,test,candidate,raw,17,1.0,0.058823529412,0.059137967389,0.054887639572,0.000314437977
DrugBAN,human,seed_4,target,base,0.8,0.1,0.2,test,candidate,calibrated,17,1.0,0.058823529412,0.047130913045,0.055167688517,0.011692616367
DrugBAN,human,seed_4,target,base,0.8,0.1,0.2,test,deferred,raw,2,0.0,0.0,0.095495193059,0.009122008282,0.095495193059
DrugBAN,human,seed_4,target,base,0.8,0.1,0.2,test,deferred,calibrated,2,0.0,0.0,0.084974175358,0.007224247318,0.084974175358
DrugBAN,human,seed_4,target,base,0.8,0.1,0.2,test,residual,raw,15,1.0,0.066666666667,0.0542903373,0.060989723744,0.012376329367
DrugBAN,human,seed_4,target,base,0.8,0.1,0.2,test,residual,calibrated,15,1.0,0.066666666667,0.042085144737,0.061560147344,0.02458152193
DrugBAN,human,seed_4,target,base,0.8,0.2,0.2,validation,candidate,raw,15,1.0,0.066666666667,0.06391197808,0.066119635981,0.002754688587
DrugBAN,human,seed_4,target,base,0.8,0.2,0.2,validation,candidate,calibrated,15,1.0,0.066666666667,0.05134653972,0.066735052551,0.015320126947
DrugBAN,human,seed_4,target,base,0.8,0.2,0.2,validation,deferred,raw,3,0.0,0.0,0.096799080916,0.009376186374,0.096799080916
DrugBAN,human,seed_4,target,base,0.8,0.2,0.2,validation,deferred,calibrated,3,0.0,0.0,0.08776690311,0.00770953403,0.08776690311
DrugBAN,human,seed_4,target,base,0.8,0.2,0.2,validation,residual,raw,12,1.0,0.083333333333,0.055690202371,0.080305498383,0.027643130963
DrugBAN,human,seed_4,target,base,0.8,0.2,0.2,validation,residual,calibrated,12,1.0,0.083333333333,0.042241448873,0.081491432181,0.041091884461
DrugBAN,human,seed_4,target,base,0.8,0.2,0.2,test,candidate,raw,17,1.0,0.058823529412,0.059137967389,0.054887639572,0.000314437977
DrugBAN,human,seed_4,target,base,0.8,0.2,0.2,test,candidate,calibrated,17,1.0,0.058823529412,0.047130913045,0.055167688517,0.011692616367
DrugBAN,human,seed_4,target,base,0.8,0.2,0.2,test,deferred,raw,3,0.0,0.0,0.093746926565,0.008796383368,0.093746926565
DrugBAN,human,seed_4,target,base,0.8,0.2,0.2,test,deferred,calibrated,3,0.0,0.0,0.0829513388,0.006891532904,0.0829513388
DrugBAN,human,seed_4,target,base,0.8,0.2,0.2,test,residual,raw,14,1.0,0.071428571429,0.051721761851,0.06476433733,0.019706809577
DrugBAN,human,seed_4,target,base,0.8,0.2,0.2,test,residual,calibrated,14,1.0,0.071428571429,0.039455107526,0.065512579006,0.031973463902
DrugBAN,human,seed_4,target,base,0.9,0.1,0.2,validation,candidate,raw,6,1.0,0.166666666667,0.034997309138,0.154685742465,0.131669357529
DrugBAN,human,seed_4,target,base,0.9,0.1,0.2,validation,candidate,calibrated,6,1.0,0.166666666667,0.021751156645,0.158930975573,0.144915510022
DrugBAN,human,seed_4,target,base,0.9,0.1,0.2,validation,deferred,raw,1,0.0,0.0,0.040946358031,0.001676604236,0.040946358031
DrugBAN,human,seed_4,target,base,0.9,0.1,0.2,validation,deferred,calibrated,1,0.0,0.0,0.027206581959,0.000740198102,0.027206581959
DrugBAN,human,seed_4,target,base,0.9,0.1,0.2,validation,residual,raw,5,1.0,0.2,0.033807499359,0.185287570111,0.166192500641
DrugBAN,human,seed_4,target,base,0.9,0.1,0.2,validation,residual,calibrated,5,1.0,0.2,0.020660071582,0.190569131067,0.179339928418
DrugBAN,human,seed_4,target,base,0.9,0.1,0.2,test,candidate,raw,6,0.0,0.0,0.0327944301,0.001330273924,0.0327944301
DrugBAN,human,seed_4,target,base,0.9,0.1,0.2,test,candidate,calibrated,6,0.0,0.0,0.022005673059,0.000644911213,0.022005673059
DrugBAN,human,seed_4,target,base,0.9,0.1,0.2,test,deferred,raw,1,0.0,0.0,0.047579606307,0.002263818936,0.047579606307
DrugBAN,human,seed_4,target,base,0.9,0.1,0.2,test,deferred,calibrated,1,0.0,0.0,0.03403480038,0.001158367637,0.03403480038
DrugBAN,human,seed_4,target,base,0.9,0.1,0.2,test,residual,raw,5,0.0,0.0,0.029837394859,0.001143564922,0.029837394859
DrugBAN,human,seed_4,target,base,0.9,0.1,0.2,test,residual,calibrated,5,0.0,0.0,0.019599847595,0.000542219928,0.019599847595
DrugBAN,human,seed_4,target,base,0.9,0.2,0.2,validation,candidate,raw,6,1.0,0.166666666667,0.034997309138,0.154685742465,0.131669357529
DrugBAN,human,seed_4,target,base,0.9,0.2,0.2,validation,candidate,calibrated,6,1.0,0.166666666667,0.021751156645,0.158930975573,0.144915510022
DrugBAN,human,seed_4,target,base,0.9,0.2,0.2,validation,deferred,raw,1,0.0,0.0,0.040946358031,0.001676604236,0.040946358031
DrugBAN,human,seed_4,target,base,0.9,0.2,0.2,validation,deferred,calibrated,1,0.0,0.0,0.027206581959,0.000740198102,0.027206581959
DrugBAN,human,seed_4,target,base,0.9,0.2,0.2,validation,residual,raw,5,1.0,0.2,0.033807499359,0.185287570111,0.166192500641
DrugBAN,human,seed_4,target,base,0.9,0.2,0.2,validation,residual,calibrated,5,1.0,0.2,0.020660071582,0.190569131067,0.179339928418
DrugBAN,human,seed_4,target,base,0.9,0.2,0.2,test,candidate,raw,6,0.0,0.0,0.0327944301,0.001330273924,0.0327944301
DrugBAN,human,seed_4,target,base,0.9,0.2,0.2,test,candidate,calibrated,6,0.0,0.0,0.022005673059,0.000644911213,0.022005673059
DrugBAN,human,seed_4,target,base,0.9,0.2,0.2,test,deferred,raw,1,0.0,0.0,0.047579606307,0.002263818936,0.047579606307
