model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,support_reference,support_state,residual_n,residual_share,error_count,error_rate,error_rate_delta_vs_all
DrugBAN,human,seed_4,target,base,0.8,0.1,0.2,test,audit_fit,all,15,1.0,1.0,0.066666666667,0.0
DrugBAN,human,seed_4,target,base,0.8,0.1,0.2,test,audit_fit,both_seen,1,0.066666666667,0.0,0.0,-0.066666666667
DrugBAN,human,seed_4,target,base,0.8,0.1,0.2,test,audit_fit,both_unseen,5,0.333333333333,1.0,0.2,0.133333333333
DrugBAN,human,seed_4,target,base,0.8,0.1,0.2,test,audit_fit,drug_unseen,2,0.133333333333,0.0,0.0,-0.066666666667
DrugBAN,human,seed_4,target,base,0.8,0.1,0.2,test,audit_fit,target_unseen,7,0.466666666667,0.0,0.0,-0.066666666667
DrugBAN,human,seed_4,target,base,0.8,0.1,0.2,test,source_train,all,15,1.0,1.0,0.066666666667,0.0
DrugBAN,human,seed_4,target,base,0.8,0.1,0.2,test,source_train,both_unseen,15,1.0,1.0,0.066666666667,0.0
DrugBAN,human,seed_4,target,base,0.8,0.2,0.2,test,audit_fit,all,14,1.0,1.0,0.071428571429,0.0
DrugBAN,human,seed_4,target,base,0.8,0.2,0.2,test,audit_fit,both_seen,1,0.071428571429,0.0,0.0,-0.071428571429
DrugBAN,human,seed_4,target,base,0.8,0.2,0.2,test,audit_fit,both_unseen,5,0.357142857143,1.0,0.2,0.128571428571
DrugBAN,human,seed_4,target,base,0.8,0.2,0.2,test,audit_fit,drug_unseen,2,0.142857142857,0.0,0.0,-0.071428571429
DrugBAN,human,seed_4,target,base,0.8,0.2,0.2,test,audit_fit,target_unseen,6,0.428571428571,0.0,0.0,-0.071428571429
DrugBAN,human,seed_4,target,base,0.8,0.2,0.2,test,source_train,all,14,1.0,1.0,0.071428571429,0.0
DrugBAN,human,seed_4,target,base,0.8,0.2,0.2,test,source_train,both_unseen,14,1.0,1.0,0.071428571429,0.0
DrugBAN,human,seed_4,target,base,0.9,0.1,0.2,test,audit_fit,all,5,1.0,0.0,0.0,0.0
DrugBAN,human,seed_4,target,base,0.9,0.1,0.2,test,audit_fit,both_unseen,5,1.0,0.0,0.0,0.0
DrugBAN,human,seed_4,target,base,0.9,0.1,0.2,test,source_train,all,5,1.0,0.0,0.0,0.0
DrugBAN,human,seed_4,target,base,0.9,0.1,0.2,test,source_train,both_unseen,5,1.0,0.0,0.0,0.0
DrugBAN,human,seed_4,target,base,0.9,0.2,0.2,test,audit_fit,all,5,1.0,0.0,0.0,0.0
DrugBAN,human,seed_4,target,base,0.9,0.2,0.2,test,audit_fit,both_unseen,5,1.0,0.0,0.0,0.0
DrugBAN,human,seed_4,target,base,0.9,0.2,0.2,test,source_train,all,5,1.0,0.0,0.0,0.0
DrugBAN,human,seed_4,target,base,0.9,0.2,0.2,test,source_train,both_unseen,5,1.0,0.0,0.0,0.0
DrugBAN,human,seed_4,drug,base,0.8,0.1,0.2,test,audit_fit,all,15,1.0,1.0,0.066666666667,0.0
DrugBAN,human,seed_4,drug,base,0.8,0.1,0.2,test,audit_fit,both_seen,1,0.066666666667,0.0,0.0,-0.066666666667
DrugBAN,human,seed_4,drug,base,0.8,0.1,0.2,test,audit_fit,both_unseen,5,0.333333333333,1.0,0.2,0.133333333333
DrugBAN,human,seed_4,drug,base,0.8,0.1,0.2,test,audit_fit,drug_unseen,2,0.133333333333,0.0,0.0,-0.066666666667
DrugBAN,human,seed_4,drug,base,0.8,0.1,0.2,test,audit_fit,target_unseen,7,0.466666666667,0.0,0.0,-0.066666666667
DrugBAN,human,seed_4,drug,base,0.8,0.1,0.2,test,source_train,all,15,1.0,1.0,0.066666666667,0.0
DrugBAN,human,seed_4,drug,base,0.8,0.1,0.2,test,source_train,both_unseen,15,1.0,1.0,0.066666666667,0.0
DrugBAN,human,seed_4,drug,base,0.8,0.2,0.2,test,audit_fit,all,14,1.0,1.0,0.071428571429,0.0
DrugBAN,human,seed_4,drug,base,0.8,0.2,0.2,test,audit_fit,both_seen,1,0.071428571429,0.0,0.0,-0.071428571429
DrugBAN,human,seed_4,drug,base,0.8,0.2,0.2,test,audit_fit,both_unseen,8,0.571428571429,1.0,0.125,0.053571428571
DrugBAN,human,seed_4,drug,base,0.8,0.2,0.2,test,audit_fit,drug_unseen,2,0.142857142857,0.0,0.0,-0.071428571429
DrugBAN,human,seed_4,drug,base,0.8,0.2,0.2,test,audit_fit,target_unseen,3,0.214285714286,0.0,0.0,-0.071428571429
DrugBAN,human,seed_4,drug,base,0.8,0.2,0.2,test,source_train,all,14,1.0,1.0,0.071428571429,0.0
DrugBAN,human,seed_4,drug,base,0.8,0.2,0.2,test,source_train,both_unseen,14,1.0,1.0,0.071428571429,0.0
DrugBAN,human,seed_4,drug,base,0.9,0.1,0.2,test,audit_fit,all,5,1.0,0.0,0.0,0.0
DrugBAN,human,seed_4,drug,base,0.9,0.1,0.2,test,audit_fit,both_unseen,5,1.0,0.0,0.0,0.0
DrugBAN,human,seed_4,drug,base,0.9,0.1,0.2,test,source_train,all,5,1.0,0.0,0.0,0.0
DrugBAN,human,seed_4,drug,base,0.9,0.1,0.2,test,source_train,both_unseen,5,1.0,0.0,0.0,0.0
DrugBAN,human,seed_4,drug,base,0.9,0.2,0.2,test,audit_fit,all,5,1.0,0.0,0.0,0.0
DrugBAN,human,seed_4,drug,base,0.9,0.2,0.2,test,audit_fit,both_unseen,5,1.0,0.0,0.0,0.0
DrugBAN,human,seed_4,drug,base,0.9,0.2,0.2,test,source_train,all,5,1.0,0.0,0.0,0.0
DrugBAN,human,seed_4,drug,base,0.9,0.2,0.2,test,source_train,both_unseen,5,1.0,0.0,0.0,0.0
DrugBAN,human,seed_5,target,base,0.8,0.1,0.2,test,audit_fit,all,55,1.0,10.0,0.181818181818,0.0
DrugBAN,human,seed_5,target,base,0.8,0.1,0.2,test,audit_fit,both_seen,10,0.181818181818,0.0,0.0,-0.181818181818
DrugBAN,human,seed_5,target,base,0.8,0.1,0.2,test,audit_fit,both_unseen,27,0.490909090909,8.0,0.296296296296,0.114478114478
DrugBAN,human,seed_5,target,base,0.8,0.1,0.2,test,audit_fit,drug_unseen,9,0.163636363636,2.0,0.222222222222,0.040404040404
DrugBAN,human,seed_5,target,base,0.8,0.1,0.2,test,audit_fit,target_unseen,9,0.163636363636,0.0,0.0,-0.181818181818
DrugBAN,human,seed_5,target,base,0.8,0.1,0.2,test,source_train,all,55,1.0,10.0,0.181818181818,0.0
DrugBAN,human,seed_5,target,base,0.8,0.1,0.2,test,source_train,both_unseen,55,1.0,10.0,0.181818181818,0.0
