model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,calibration_status,candidate_n,candidate_error_count,deferred_n,deferred_error_count,residual_n,residual_error_count,residual_has_two_classes
DrugBAN,human,seed_4,target,base,0.8,0.1,0.2,validation,cross_fitted,15,1.0,2,0.0,13,1.0,True
DrugBAN,human,seed_4,target,base,0.8,0.1,0.2,test,fitted,17,1.0,2,0.0,15,1.0,True
DrugBAN,human,seed_4,target,base,0.8,0.2,0.2,validation,cross_fitted,15,1.0,3,0.0,12,1.0,True
DrugBAN,human,seed_4,target,base,0.8,0.2,0.2,test,fitted,17,1.0,3,0.0,14,1.0,True
DrugBAN,human,seed_4,target,base,0.9,0.1,0.2,validation,cross_fitted,6,1.0,1,0.0,5,1.0,True
DrugBAN,human,seed_4,target,base,0.9,0.1,0.2,test,fitted,6,0.0,1,0.0,5,0.0,False
DrugBAN,human,seed_4,target,base,0.9,0.2,0.2,validation,cross_fitted,6,1.0,1,0.0,5,1.0,True
DrugBAN,human,seed_4,target,base,0.9,0.2,0.2,test,fitted,6,0.0,1,0.0,5,0.0,False
DrugBAN,human,seed_4,drug,base,0.8,0.1,0.2,validation,cross_fitted,15,1.0,2,0.0,13,1.0,True
DrugBAN,human,seed_4,drug,base,0.8,0.1,0.2,test,fitted,17,1.0,2,0.0,15,1.0,True
DrugBAN,human,seed_4,drug,base,0.8,0.2,0.2,validation,cross_fitted,15,1.0,3,0.0,12,1.0,True
DrugBAN,human,seed_4,drug,base,0.8,0.2,0.2,test,fitted,17,1.0,3,0.0,14,1.0,True
DrugBAN,human,seed_4,drug,base,0.9,0.1,0.2,validation,cross_fitted,6,1.0,1,0.0,5,1.0,True
DrugBAN,human,seed_4,drug,base,0.9,0.1,0.2,test,fitted,6,0.0,1,0.0,5,0.0,False
DrugBAN,human,seed_4,drug,base,0.9,0.2,0.2,validation,cross_fitted,6,1.0,1,0.0,5,1.0,True
DrugBAN,human,seed_4,drug,base,0.9,0.2,0.2,test,fitted,6,0.0,1,0.0,5,0.0,False
DrugBAN,human,seed_5,target,base,0.8,0.1,0.2,validation,cross_fitted,30,3.0,3,0.0,27,3.0,True
DrugBAN,human,seed_5,target,base,0.8,0.1,0.2,test,fitted,61,14.0,6,4.0,55,10.0,True
DrugBAN,human,seed_5,target,base,0.8,0.2,0.2,validation,cross_fitted,30,3.0,6,0.0,24,3.0,True
DrugBAN,human,seed_5,target,base,0.8,0.2,0.2,test,fitted,61,14.0,12,7.0,49,7.0,True
DrugBAN,human,seed_5,target,base,0.9,0.1,0.2,validation,cross_fitted,16,1.0,2,1.0,14,0.0,False
DrugBAN,human,seed_5,target,base,0.9,0.1,0.2,test,fitted,23,2.0,2,0.0,21,2.0,True
DrugBAN,human,seed_5,target,base,0.9,0.2,0.2,validation,cross_fitted,16,1.0,3,1.0,13,0.0,False
DrugBAN,human,seed_5,target,base,0.9,0.2,0.2,test,fitted,23,2.0,5,0.0,18,2.0,True
DrugBAN,human,seed_5,drug,base,0.8,0.1,0.2,validation,cross_fitted,30,3.0,3,0.0,27,3.0,True
DrugBAN,human,seed_5,drug,base,0.8,0.1,0.2,test,fitted,61,14.0,6,4.0,55,10.0,True
DrugBAN,human,seed_5,drug,base,0.8,0.2,0.2,validation,cross_fitted,30,3.0,6,0.0,24,3.0,True
DrugBAN,human,seed_5,drug,base,0.8,0.2,0.2,test,fitted,61,14.0,12,7.0,49,7.0,True
DrugBAN,human,seed_5,drug,base,0.9,0.1,0.2,validation,cross_fitted,16,1.0,2,0.0,14,1.0,True
DrugBAN,human,seed_5,drug,base,0.9,0.1,0.2,test,fitted,23,2.0,2,0.0,21,2.0,True
DrugBAN,human,seed_5,drug,base,0.9,0.2,0.2,validation,cross_fitted,16,1.0,3,1.0,13,0.0,False
DrugBAN,human,seed_5,drug,base,0.9,0.2,0.2,test,fitted,23,2.0,5,0.0,18,2.0,True
DrugBAN,human,seed_6,target,base,0.8,0.1,0.2,validation,cross_fitted,11,0.0,1,0.0,10,0.0,False
DrugBAN,human,seed_6,target,base,0.8,0.1,0.2,test,fitted,19,3.0,2,0.0,17,3.0,True
DrugBAN,human,seed_6,target,base,0.8,0.2,0.2,validation,cross_fitted,11,0.0,2,0.0,9,0.0,False
DrugBAN,human,seed_6,target,base,0.8,0.2,0.2,test,fitted,19,3.0,4,1.0,15,2.0,True
DrugBAN,human,seed_6,target,base,0.9,0.1,0.2,validation,cross_fitted,3,0.0,0,0.0,3,0.0,False
DrugBAN,human,seed_6,target,base,0.9,0.1,0.2,test,fitted,5,0.0,0,0.0,5,0.0,False
DrugBAN,human,seed_6,target,base,0.9,0.2,0.2,validation,cross_fitted,3,0.0,1,0.0,2,0.0,False
DrugBAN,human,seed_6,target,base,0.9,0.2,0.2,test,fitted,5,0.0,1,0.0,4,0.0,False
