model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,profile,primary_candidate,complexity,model_status,used_features,validation_fold_mean_auprc,validation_fold_se_auprc,validation_finite_folds,universe_n,universe_error_count,universe_error_rate,error_detection_auroc,error_detection_auprc,reviewed_n,review_error_count,review_error_rate,review_lift,review_recall_of_residual_errors,combined_recall_of_candidate_errors,retained_accuracy_after_review,retained_accuracy_gain_vs_residual,selected_profile,selection_fallback,selection_reason,best_profile,best_validation_fold_mean_auprc,one_se_threshold,validation_gain_vs_uncertainty
DrugBAN,human,seed_4,target,base,0.8,0.1,0.2,uncertainty,True,0,group_cv_unavailable,,,,0,13,1.0,0.076923076923,0.25,0.1,0,,,,,,,,uncertainty,True,no_finite_group_cv_candidate,,,,
DrugBAN,human,seed_4,target,base,0.8,0.2,0.2,uncertainty,True,0,group_cv_unavailable,,,,0,12,1.0,0.083333333333,0.272727272727,0.111111111111,0,,,,,,,,uncertainty,True,no_finite_group_cv_candidate,,,,
DrugBAN,human,seed_4,target,base,0.9,0.1,0.2,uncertainty,True,0,group_cv_unavailable,,,,0,5,1.0,0.2,0.75,0.5,0,,,,,,,,uncertainty,True,no_finite_group_cv_candidate,,,,
DrugBAN,human,seed_4,target,base,0.9,0.2,0.2,uncertainty,True,0,group_cv_unavailable,,,,0,5,1.0,0.2,0.75,0.5,0,,,,,,,,uncertainty,True,no_finite_group_cv_candidate,,,,
DrugBAN,human,seed_4,drug,base,0.8,0.1,0.2,uncertainty,True,0,group_cv_unavailable,,,,0,13,1.0,0.076923076923,0.166666666667,0.090909090909,0,,,,,,,,uncertainty,True,no_finite_group_cv_candidate,,,,
DrugBAN,human,seed_4,drug,base,0.8,0.2,0.2,uncertainty,True,0,group_cv_unavailable,,,,0,12,1.0,0.083333333333,0.181818181818,0.1,0,,,,,,,,uncertainty,True,no_finite_group_cv_candidate,,,,
DrugBAN,human,seed_4,drug,base,0.9,0.1,0.2,uncertainty,True,0,group_cv_unavailable,,,,0,5,1.0,0.2,0.5,0.333333333333,0,,,,,,,,uncertainty,True,no_finite_group_cv_candidate,,,,
DrugBAN,human,seed_4,drug,base,0.9,0.2,0.2,uncertainty,True,0,group_cv_unavailable,,,,0,5,1.0,0.2,0.5,0.333333333333,0,,,,,,,,uncertainty,True,no_finite_group_cv_candidate,,,,
DrugBAN,human,seed_5,target,base,0.8,0.1,0.2,uncertainty,True,0,group_cv_unavailable,,,,0,27,3.0,0.111111111111,0.652777777778,0.197712418301,5,0.0,0.0,0.0,0.0,0.0,0.863636363636,-0.025252525253,uncertainty,True,no_finite_group_cv_candidate,,,,
DrugBAN,human,seed_5,target,base,0.8,0.2,0.2,uncertainty,True,0,group_cv_unavailable,,,,0,24,3.0,0.125,0.746031746032,0.315873015873,5,2.0,0.4,3.2,0.666666666667,0.666666666667,0.947368421053,0.072368421053,uncertainty,True,no_finite_group_cv_candidate,,,,
DrugBAN,human,seed_5,target,base,0.9,0.1,0.2,uncertainty,True,0,single_residual_class,,,,0,14,0.0,0.0,,,0,,,,,,,,uncertainty,True,no_finite_group_cv_candidate,,,,
DrugBAN,human,seed_5,target,base,0.9,0.2,0.2,uncertainty,True,0,single_residual_class,,,,0,13,0.0,0.0,,,0,,,,,,,,uncertainty,True,no_finite_group_cv_candidate,,,,
DrugBAN,human,seed_5,drug,base,0.8,0.1,0.2,uncertainty,True,0,group_cv_unavailable,,,,0,27,3.0,0.111111111111,0.597222222222,0.164021164021,5,0.0,0.0,0.0,0.0,0.0,0.863636363636,-0.025252525253,uncertainty,True,no_finite_group_cv_candidate,,,,
DrugBAN,human,seed_5,drug,base,0.8,0.2,0.2,uncertainty,True,0,group_cv_unavailable,,,,0,24,3.0,0.125,0.68253968254,0.220538720539,5,0.0,0.0,0.0,0.0,0.0,0.842105263158,-0.032894736842,uncertainty,True,no_finite_group_cv_candidate,,,,
DrugBAN,human,seed_5,drug,base,0.9,0.1,0.2,uncertainty,True,0,group_cv_unavailable,,,,0,14,1.0,0.071428571429,1.0,1.0,0,,,,,,,,uncertainty,True,no_finite_group_cv_candidate,,,,
DrugBAN,human,seed_5,drug,base,0.9,0.2,0.2,uncertainty,True,0,single_residual_class,,,,0,13,0.0,0.0,,,0,,,,,,,,uncertainty,True,no_finite_group_cv_candidate,,,,
DrugBAN,human,seed_6,target,base,0.8,0.1,0.2,uncertainty,True,0,single_residual_class,,,,0,10,0.0,0.0,,,0,,,,,,,,uncertainty,True,no_finite_group_cv_candidate,,,,
DrugBAN,human,seed_6,target,base,0.8,0.2,0.2,uncertainty,True,0,single_residual_class,,,,0,9,0.0,0.0,,,0,,,,,,,,uncertainty,True,no_finite_group_cv_candidate,,,,
DrugBAN,human,seed_6,target,base,0.9,0.1,0.2,uncertainty,True,0,single_residual_class,,,,0,3,0.0,0.0,,,0,,,,,,,,uncertainty,True,no_finite_group_cv_candidate,,,,
DrugBAN,human,seed_6,target,base,0.9,0.2,0.2,uncertainty,True,0,single_residual_class,,,,0,2,0.0,0.0,,,0,,,,,,,,uncertainty,True,no_finite_group_cv_candidate,,,,
DrugBAN,human,seed_6,drug,base,0.8,0.1,0.2,uncertainty,True,0,single_residual_class,,,,0,10,0.0,0.0,,,0,,,,,,,,uncertainty,True,no_finite_group_cv_candidate,,,,
DrugBAN,human,seed_6,drug,base,0.8,0.2,0.2,uncertainty,True,0,single_residual_class,,,,0,9,0.0,0.0,,,0,,,,,,,,uncertainty,True,no_finite_group_cv_candidate,,,,
DrugBAN,human,seed_6,drug,base,0.9,0.1,0.2,uncertainty,True,0,single_residual_class,,,,0,3,0.0,0.0,,,0,,,,,,,,uncertainty,True,no_finite_group_cv_candidate,,,,
DrugBAN,human,seed_6,drug,base,0.9,0.2,0.2,uncertainty,True,0,single_residual_class,,,,0,2,0.0,0.0,,,0,,,,,,,,uncertainty,True,no_finite_group_cv_candidate,,,,
DrugBAN,human,seed_7,target,base,0.8,0.1,0.2,uncertainty,True,0,complete,calibrated_error_risk,0.666666666667,0.333333333333,2,24,2.0,0.083333333333,0.909090909091,0.45,5,2.0,0.4,4.8,1.0,1.0,1.0,0.083333333333,uncertainty,True,uncertainty_selected,uncertainty,0.666666666667,0.333333333333,0.0
DrugBAN,human,seed_7,target,base,0.8,0.2,0.2,uncertainty,True,0,group_cv_unavailable,,,,0,22,1.0,0.045454545455,0.904761904762,0.333333333333,4,1.0,0.25,5.5,1.0,1.0,1.0,0.045454545455,uncertainty,True,no_finite_group_cv_candidate,,,,
DrugBAN,human,seed_7,target,base,0.9,0.1,0.2,uncertainty,True,0,single_residual_class,,,,0,10,0.0,0.0,,,0,,,,,,,,uncertainty,True,no_finite_group_cv_candidate,,,,
DrugBAN,human,seed_7,target,base,0.9,0.2,0.2,uncertainty,True,0,single_residual_class,,,,0,9,0.0,0.0,,,0,,,,,,,,uncertainty,True,no_finite_group_cv_candidate,,,,
DrugBAN,human,seed_7,drug,base,0.8,0.1,0.2,uncertainty,True,0,group_cv_unavailable,,,,0,24,2.0,0.083333333333,0.909090909091,0.416666666667,5,2.0,0.4,4.8,1.0,1.0,1.0,0.083333333333,uncertainty,True,no_finite_group_cv_candidate,,,,
DrugBAN,human,seed_7,drug,base,0.8,0.2,0.2,uncertainty,True,0,group_cv_unavailable,,,,0,22,2.0,0.090909090909,1.0,1.0,4,2.0,0.5,5.5,1.0,1.0,1.0,0.090909090909,uncertainty,True,no_finite_group_cv_candidate,,,,
DrugBAN,human,seed_7,drug,base,0.9,0.1,0.2,uncertainty,True,0,single_residual_class,,,,0,10,0.0,0.0,,,0,,,,,,,,uncertainty,True,no_finite_group_cv_candidate,,,,
DrugBAN,human,seed_7,drug,base,0.9,0.2,0.2,uncertainty,True,0,single_residual_class,,,,0,9,0.0,0.0,,,0,,,,,,,,uncertainty,True,no_finite_group_cv_candidate,,,,
DrugBAN,human,seed_8,target,base,0.8,0.1,0.2,uncertainty,True,0,group_cv_unavailable,,,,0,39,4.0,0.102564102564,0.692857142857,0.246982758621,8,2.0,0.25,2.4375,0.5,0.5,0.935483870968,0.038047973532,uncertainty,True,no_finite_group_cv_candidate,,,,
DrugBAN,human,seed_8,target,base,0.8,0.2,0.2,uncertainty,True,0,group_cv_unavailable,,,,0,34,2.0,0.058823529412,0.515625,0.091666666667,7,0.0,0.0,0.0,0.0,0.5,0.925925925926,-0.015250544662,uncertainty,True,no_finite_group_cv_candidate,,,,
DrugBAN,human,seed_8,target,base,0.9,0.1,0.2,uncertainty,True,0,group_cv_unavailable,,,,0,37,4.0,0.108108108108,0.734848484848,0.386396011396,7,2.0,0.285714285714,2.642857142857,0.5,0.5,0.933333333333,0.041441441441,uncertainty,True,no_finite_group_cv_candidate,,,,
DrugBAN,human,seed_8,target,base,0.9,0.2,0.2,uncertainty_prior_support,True,3,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability|target_esm_knn_distance|target_esm_nearest_train_distance,0.75,0.25,2,33,2.0,0.060606060606,0.725806451613,0.552631578947,7,1.0,0.142857142857,2.357142857143,0.5,0.75,0.961538461538,0.022144522145,uncertainty_prior_support,False,one_standard_error,uncertainty_prior_support,0.75,0.5,0.611111111111
