model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,reference_role,evaluation_role,reference_n,evaluation_n,reference_outcomes_used_for_support,evaluation_batch_appended_to_reference,reference_frozen_before_test_scoring,exact_pair_support_enabled_in_core,overlap_drug_count,overlap_target_count,overlap_pair_count
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,824,193,False,False,True,False,31,38,0
PACE,bindingdb,seed_4,target,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,733,172,False,False,True,False,27,32,0
PACE,bindingdb,seed_4,target,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,382,85,False,False,True,False,6,14,0
PACE,bindingdb,seed_4,target,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,339,75,False,False,True,False,4,10,0
PACE,bindingdb,seed_4,drug,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,824,193,False,False,True,False,31,38,0
PACE,bindingdb,seed_4,drug,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,733,172,False,False,True,False,27,34,0
PACE,bindingdb,seed_4,drug,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,382,85,False,False,True,False,6,13,0
PACE,bindingdb,seed_4,drug,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,339,75,False,False,True,False,5,10,0
PACE,bindingdb,seed_5,target,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,662,168,False,False,True,False,21,34,0
PACE,bindingdb,seed_5,target,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,589,150,False,False,True,False,18,30,0
PACE,bindingdb,seed_5,target,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,149,34,False,False,True,False,4,6,0
PACE,bindingdb,seed_5,target,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,132,30,False,False,True,False,4,5,0
PACE,bindingdb,seed_5,drug,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,662,168,False,False,True,False,20,35,0
PACE,bindingdb,seed_5,drug,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,589,150,False,False,True,False,18,30,0
PACE,bindingdb,seed_5,drug,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,149,34,False,False,True,False,4,6,0
PACE,bindingdb,seed_5,drug,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,132,30,False,False,True,False,4,5,0
PACE,bindingdb,seed_6,target,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,204,48,False,False,True,False,4,10,0
PACE,bindingdb,seed_6,target,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,182,42,False,False,True,False,2,9,0
PACE,bindingdb,seed_6,target,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,21,4,False,False,True,False,1,1,0
PACE,bindingdb,seed_6,target,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,18,3,False,False,True,False,1,1,0
PACE,bindingdb,seed_6,drug,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,204,48,False,False,True,False,5,10,0
PACE,bindingdb,seed_6,drug,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,182,42,False,False,True,False,3,9,0
PACE,bindingdb,seed_6,drug,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,21,4,False,False,True,False,1,1,0
PACE,bindingdb,seed_6,drug,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,18,3,False,False,True,False,1,1,0
PACE,bindingdb,seed_7,target,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,294,68,False,False,True,False,7,19,0
PACE,bindingdb,seed_7,target,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,262,61,False,False,True,False,7,16,0
PACE,bindingdb,seed_7,target,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,59,11,False,False,True,False,2,1,0
PACE,bindingdb,seed_7,target,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,53,10,False,False,True,False,2,1,0
PACE,bindingdb,seed_7,drug,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,294,68,False,False,True,False,7,20,0
PACE,bindingdb,seed_7,drug,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,262,61,False,False,True,False,7,17,0
PACE,bindingdb,seed_7,drug,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,59,11,False,False,True,False,2,1,0
PACE,bindingdb,seed_7,drug,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,53,10,False,False,True,False,2,1,0
PACE,bindingdb,seed_8,target,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,671,167,False,False,True,False,23,40,0
PACE,bindingdb,seed_8,target,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,597,148,False,False,True,False,18,35,0
PACE,bindingdb,seed_8,target,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,175,38,False,False,True,False,4,7,0
PACE,bindingdb,seed_8,target,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,156,34,False,False,True,False,4,6,0
PACE,bindingdb,seed_8,drug,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,671,167,False,False,True,False,23,40,0
PACE,bindingdb,seed_8,drug,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,597,148,False,False,True,False,20,34,0
PACE,bindingdb,seed_8,drug,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,175,38,False,False,True,False,4,7,0
PACE,bindingdb,seed_8,drug,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,156,34,False,False,True,False,4,6,0
