model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,scope,score_source,calibration_n,error_count,error_rate,mean_predicted_error_risk,brier_error_risk,ece_error_risk
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.2,validation,candidate,raw,916,180.0,0.196506550218,0.056324457179,0.175011906796,0.140182093039
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.2,validation,candidate,calibrated,916,180.0,0.196506550218,0.268815654806,0.159626974836,0.081817812926
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.2,validation,deferred,raw,92,37.0,0.402173913043,0.093063406908,0.335838831341,0.309110506136
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.2,validation,deferred,calibrated,92,37.0,0.402173913043,0.320711832606,0.24694154693,0.081462080438
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.2,validation,residual,raw,824,143.0,0.17354368932,0.052222535607,0.157055502599,0.121321153713
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.2,validation,residual,calibrated,824,143.0,0.17354368932,0.263021421362,0.149878260476,0.089805574074
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,candidate,raw,215,41.0,0.190697674419,0.056199799941,0.171644646858,0.134497874478
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,candidate,calibrated,215,41.0,0.190697674419,0.270760815307,0.159719895013,0.080063140889
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,deferred,raw,22,5.0,0.227272727273,0.093449445028,0.193580076518,0.133823282245
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,deferred,calibrated,22,5.0,0.227272727273,0.317188923513,0.183746545387,0.08991619624
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,residual,raw,193,36.0,0.186528497409,0.051953726408,0.169144235187,0.134574771002
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,residual,calibrated,193,36.0,0.186528497409,0.265468492092,0.156981105852,0.078939994683
PACE,bindingdb,seed_4,target,base,0.8,0.2,0.2,validation,candidate,raw,916,180.0,0.196506550218,0.056324457179,0.175011906796,0.140182093039
PACE,bindingdb,seed_4,target,base,0.8,0.2,0.2,validation,candidate,calibrated,916,180.0,0.196506550218,0.268815654806,0.159626974836,0.081817812926
