model,dataset,test_run,group_axis,confidence_source,split,added_component,delta_validation_fold_mean_auprc,delta_error_detection_auprc,delta_review_lift,delta_retained_accuracy_gain_vs_residual
PACE,bindingdb,seed_4,drug,base,test,combined_empirical_support,,0.239978198213,1.615255207404,0.06548075752
PACE,bindingdb,seed_4,drug,base,test,empirical_support,,0.206107200848,1.365255207404,0.057147424187
PACE,bindingdb,seed_4,drug,base,test,empirical_support_after_prior,,0.14140918534,1.378630518929,0.058529301048
PACE,bindingdb,seed_4,drug,base,test,fit_support,,0.166285859422,1.255726049725,0.052089076737
PACE,bindingdb,seed_4,drug,base,test,fit_support_after_legacy_source_domain,,0.111782678647,0.674741319191,0.027184846271
PACE,bindingdb,seed_4,drug,base,test,fit_support_after_native_source_domain,,0.1377771849,0.471969150219,0.02085132472
PACE,bindingdb,seed_4,drug,base,test,general_target_joint_support,,0.031117187488,0.230193821394,0.006763238892
PACE,bindingdb,seed_4,drug,base,test,legacy_empirical_support,,0.207708844106,1.733824340323,0.069459206608
PACE,bindingdb,seed_4,drug,base,test,legacy_source_domain_support_after_fit,,0.041422984684,0.478098290598,0.01737012987
PACE,bindingdb,seed_4,drug,base,test,legacy_support_after_native,,0.033870997365,0.25,0.008333333333
PACE,bindingdb,seed_4,drug,base,test,native_source_domain_support,,0.068330015947,0.893286057185,0.036296099467
PACE,bindingdb,seed_4,drug,base,test,native_source_domain_support_after_fit,,0.039821341425,0.109529157679,0.00505834745
PACE,bindingdb,seed_4,drug,base,test,native_support_after_legacy,,0.032269354107,-0.118569132919,-0.003978449087
PACE,bindingdb,seed_4,drug,base,test,prior,,0.071660427793,0.015470842321,-0.000891680783
PACE,bindingdb,seed_4,drug,base,test,prior_after_empirical_support,,0.006962412286,0.028846153846,0.000490196078
PACE,bindingdb,seed_4,drug,base,test,source_domain_support,,0.09592616546,1.059083021132,0.042274360337
PACE,bindingdb,seed_4,drug,base,test,target_sequence_support,,0.058440753388,0.340633903134,0.010876623377
PACE,bindingdb,seed_4,drug,base,validation,combined_empirical_support,0.277638890556,0.264257203432,1.902481831081,0.071172653322
PACE,bindingdb,seed_4,drug,base,validation,empirical_support,0.229253964935,0.222141601982,1.381893703079,0.052645989935
PACE,bindingdb,seed_4,drug,base,validation,empirical_support_after_prior,0.179599621273,0.178230429705,1.526154933946,0.057543392603
PACE,bindingdb,seed_4,drug,base,validation,fit_support,0.209606239323,0.209226682102,1.459591679058,0.055213495721
PACE,bindingdb,seed_4,drug,base,validation,fit_support_after_legacy_source_domain,0.159101717887,0.154161197918,0.475135983796,0.019708734175
