model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,added_component,baseline_profile,augmented_profile,baseline_model_status,augmented_model_status,baseline_validation_fold_mean_auprc,augmented_validation_fold_mean_auprc,delta_validation_fold_mean_auprc,baseline_error_detection_auroc,augmented_error_detection_auroc,delta_error_detection_auroc,baseline_error_detection_auprc,augmented_error_detection_auprc,delta_error_detection_auprc,baseline_review_error_rate,augmented_review_error_rate,delta_review_error_rate,baseline_review_lift,augmented_review_lift,delta_review_lift,baseline_review_recall_of_residual_errors,augmented_review_recall_of_residual_errors,delta_review_recall_of_residual_errors,baseline_combined_recall_of_candidate_errors,augmented_combined_recall_of_candidate_errors,delta_combined_recall_of_candidate_errors,baseline_retained_accuracy_after_review,augmented_retained_accuracy_after_review,delta_retained_accuracy_after_review,baseline_retained_accuracy_gain_vs_residual,augmented_retained_accuracy_gain_vs_residual,delta_retained_accuracy_gain_vs_residual
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.2,validation,prior,uncertainty,uncertainty_prior,complete,complete,0.37893525733,0.335054532872,-0.043880724458,0.592998778021,0.606399474241,0.01340069622,0.262520358958,0.221704735983,-0.040815622975,0.266666666667,0.175757575758,-0.090909090909,1.536596736597,1.01275694003,-0.523839796567,0.307692307692,0.202797202797,-0.104895104895,0.45,0.366666666667,-0.083333333333,0.849772382398,0.827010622155,-0.022761760243,0.023316071718,0.000554311475,-0.022761760243
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.2,validation,empirical_support,uncertainty,uncertainty_support,complete,complete,0.37893525733,0.376427308659,-0.002507948671,0.592998778021,0.668268588973,0.075269810953,0.262520358958,0.307367618137,0.044847259179,0.266666666667,0.272727272727,0.006060606061,1.536596736597,1.571519389701,0.034922653104,0.307692307692,0.314685314685,0.006993006993,0.45,0.455555555556,0.005555555556,0.849772382398,0.85128983308,0.001517450683,0.023316071718,0.024833522401,0.001517450683
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.2,validation,empirical_support_after_prior,uncertainty_prior,uncertainty_prior_support,complete,complete,0.335054532872,0.451560101997,0.116505569125,0.606399474241,0.634741176591,0.028341702351,0.221704735983,0.293663248401,0.071958512418,0.175757575758,0.284848484848,0.109090909091,1.01275694003,1.64136469591,0.62860775588,0.202797202797,0.328671328671,0.125874125874,0.366666666667,0.466666666667,0.1,0.827010622155,0.854324734446,0.027314112291,0.000554311475,0.027868423767,0.027314112291
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.2,validation,prior_after_empirical_support,uncertainty_support,uncertainty_prior_support,complete,complete,0.376427308659,0.451560101997,0.075132793338,0.668268588973,0.634741176591,-0.033527412382,0.307367618137,0.293663248401,-0.013704369736,0.272727272727,0.284848484848,0.012121212121,1.571519389701,1.64136469591,0.069845306209,0.314685314685,0.328671328671,0.013986013986,0.455555555556,0.466666666667,0.011111111111,0.85128983308,0.854324734446,0.003034901366,0.024833522401,0.027868423767,0.003034901366
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.2,validation,legacy_source_domain_support_after_fit,fit_support,legacy_support,complete,complete,0.307079202547,0.274549997529,-0.032529205018,0.381637452122,0.350708029122,-0.030929423,0.131740209091,0.125617393307,-0.006122815784,0.060606060606,0.048484848485,-0.012121212121,0.349226531045,0.279381224836,-0.069845306209,0.06993006993,0.055944055944,-0.013986013986,0.261111111111,0.25,-0.011111111111,0.798179059181,0.795144157815,-0.003034901366,-0.028277251499,-0.031312152865,-0.003034901366
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.2,validation,fit_support_after_legacy_source_domain,source_domain_support,legacy_support,complete,complete,0.258676070234,0.274549997529,0.015873927295,0.338108294055,0.350708029122,0.012599735067,0.123163946634,0.125617393307,0.002453446673,0.054545454545,0.048484848485,-0.006060606061,0.31430387794,0.279381224836,-0.034922653104,0.062937062937,0.055944055944,-0.006993006993,0.255555555556,0.25,-0.005555555556,0.796661608498,0.795144157815,-0.001517450683,-0.029794702182,-0.031312152865,-0.001517450683
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.2,validation,native_source_domain_support_after_fit,fit_support,uncertainty_support,complete,complete,0.307079202547,0.376427308659,0.069348106112,0.381637452122,0.668268588973,0.286631136851,0.131740209091,0.307367618137,0.175627409046,0.060606060606,0.272727272727,0.212121212121,0.349226531045,1.571519389701,1.222292858656,0.06993006993,0.314685314685,0.244755244755,0.261111111111,0.455555555556,0.194444444444,0.798179059181,0.85128983308,0.0531107739,-0.028277251499,0.024833522401,0.0531107739
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.2,validation,fit_support_after_native_source_domain,native_source_domain_support,uncertainty_support,complete,complete,0.213757017333,0.376427308659,0.162670291327,0.357280018073,0.668268588973,0.3109885709,0.129489908025,0.307367618137,0.177877710112,0.060606060606,0.272727272727,0.212121212121,0.349226531045,1.571519389701,1.222292858656,0.06993006993,0.314685314685,0.244755244755,0.261111111111,0.455555555556,0.194444444444,0.798179059181,0.85128983308,0.0531107739,-0.028277251499,0.024833522401,0.0531107739
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.2,validation,native_support_after_legacy,legacy_support,combined_support,complete,complete,0.274549997529,0.233316517632,-0.041233479897,0.350708029122,0.492539765668,0.141831736545,0.125617393307,0.234311071274,0.108693677967,0.048484848485,0.242424242424,0.193939393939,0.279381224836,1.396906124179,1.117524899343,0.055944055944,0.27972027972,0.223776223776,0.25,0.427777777778,0.177777777778,0.795144157815,0.843702579666,0.048558421851,-0.031312152865,0.017246268987,0.048558421851
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.2,validation,legacy_support_after_native,uncertainty_support,combined_support,complete,complete,0.376427308659,0.233316517632,-0.143110791027,0.668268588973,0.492539765668,-0.175728823306,0.307367618137,0.234311071274,-0.073056546863,0.272727272727,0.242424242424,-0.030303030303,1.571519389701,1.396906124179,-0.174613265522,0.314685314685,0.27972027972,-0.034965034965,0.455555555556,0.427777777778,-0.027777777778,0.85128983308,0.843702579666,-0.007587253414,0.024833522401,0.017246268987,-0.007587253414
