model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,support_reference,support_state,residual_n,residual_share,error_count,error_rate,error_rate_delta_vs_all
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,audit_fit,all,193,1.0,36.0,0.186528497409,0.0
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,audit_fit,both_seen,25,0.129533678756,10.0,0.4,0.213471502591
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,audit_fit,both_unseen,2,0.010362694301,1.0,0.5,0.313471502591
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,audit_fit,drug_unseen,156,0.80829015544,20.0,0.128205128205,-0.058323369204
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,audit_fit,target_unseen,10,0.051813471503,5.0,0.5,0.313471502591
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,source_train,all,193,1.0,36.0,0.186528497409,0.0
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,source_train,both_unseen,193,1.0,36.0,0.186528497409,0.0
PACE,bindingdb,seed_4,target,base,0.8,0.2,0.2,test,audit_fit,all,172,1.0,31.0,0.18023255814,0.0
PACE,bindingdb,seed_4,target,base,0.8,0.2,0.2,test,audit_fit,both_seen,19,0.110465116279,7.0,0.368421052632,0.188188494492
PACE,bindingdb,seed_4,target,base,0.8,0.2,0.2,test,audit_fit,both_unseen,2,0.011627906977,1.0,0.5,0.31976744186
PACE,bindingdb,seed_4,target,base,0.8,0.2,0.2,test,audit_fit,drug_unseen,140,0.813953488372,19.0,0.135714285714,-0.044518272425
PACE,bindingdb,seed_4,target,base,0.8,0.2,0.2,test,audit_fit,target_unseen,11,0.063953488372,4.0,0.363636363636,0.183403805497
PACE,bindingdb,seed_4,target,base,0.8,0.2,0.2,test,source_train,all,172,1.0,31.0,0.18023255814,0.0
PACE,bindingdb,seed_4,target,base,0.8,0.2,0.2,test,source_train,both_unseen,172,1.0,31.0,0.18023255814,0.0
PACE,bindingdb,seed_4,target,base,0.9,0.1,0.2,test,audit_fit,all,85,1.0,13.0,0.152941176471,0.0
PACE,bindingdb,seed_4,target,base,0.9,0.1,0.2,test,audit_fit,both_seen,3,0.035294117647,1.0,0.333333333333,0.180392156863
PACE,bindingdb,seed_4,target,base,0.9,0.1,0.2,test,audit_fit,both_unseen,4,0.047058823529,2.0,0.5,0.347058823529
PACE,bindingdb,seed_4,target,base,0.9,0.1,0.2,test,audit_fit,drug_unseen,75,0.882352941176,10.0,0.133333333333,-0.019607843137
PACE,bindingdb,seed_4,target,base,0.9,0.1,0.2,test,audit_fit,target_unseen,3,0.035294117647,0.0,0.0,-0.152941176471
PACE,bindingdb,seed_4,target,base,0.9,0.1,0.2,test,source_train,all,85,1.0,13.0,0.152941176471,0.0
PACE,bindingdb,seed_4,target,base,0.9,0.1,0.2,test,source_train,both_unseen,85,1.0,13.0,0.152941176471,0.0
PACE,bindingdb,seed_4,target,base,0.9,0.2,0.2,test,audit_fit,all,75,1.0,10.0,0.133333333333,0.0
PACE,bindingdb,seed_4,target,base,0.9,0.2,0.2,test,audit_fit,both_seen,3,0.04,1.0,0.333333333333,0.2
PACE,bindingdb,seed_4,target,base,0.9,0.2,0.2,test,audit_fit,both_unseen,6,0.08,2.0,0.333333333333,0.2
PACE,bindingdb,seed_4,target,base,0.9,0.2,0.2,test,audit_fit,drug_unseen,65,0.866666666667,7.0,0.107692307692,-0.025641025641
PACE,bindingdb,seed_4,target,base,0.9,0.2,0.2,test,audit_fit,target_unseen,1,0.013333333333,0.0,0.0,-0.133333333333
PACE,bindingdb,seed_4,target,base,0.9,0.2,0.2,test,source_train,all,75,1.0,10.0,0.133333333333,0.0
PACE,bindingdb,seed_4,target,base,0.9,0.2,0.2,test,source_train,both_unseen,75,1.0,10.0,0.133333333333,0.0
PACE,bindingdb,seed_4,drug,base,0.8,0.1,0.2,test,audit_fit,all,193,1.0,36.0,0.186528497409,0.0
