model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,calibration_status,candidate_n,candidate_error_count,deferred_n,deferred_error_count,residual_n,residual_error_count,residual_has_two_classes
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.2,validation,cross_fitted,916,180.0,92,37.0,824,143.0,True
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,fitted,215,41.0,22,5.0,193,36.0,True
PACE,bindingdb,seed_4,target,base,0.8,0.2,0.2,validation,cross_fitted,916,180.0,183,63.0,733,117.0,True
PACE,bindingdb,seed_4,target,base,0.8,0.2,0.2,test,fitted,215,41.0,43,10.0,172,31.0,True
PACE,bindingdb,seed_4,target,base,0.9,0.1,0.2,validation,cross_fitted,424,60.0,42,10.0,382,50.0,True
PACE,bindingdb,seed_4,target,base,0.9,0.1,0.2,test,fitted,94,15.0,9,2.0,85,13.0,True
PACE,bindingdb,seed_4,target,base,0.9,0.2,0.2,validation,cross_fitted,424,60.0,85,16.0,339,44.0,True
PACE,bindingdb,seed_4,target,base,0.9,0.2,0.2,test,fitted,94,15.0,19,5.0,75,10.0,True
PACE,bindingdb,seed_4,drug,base,0.8,0.1,0.2,validation,cross_fitted,916,180.0,92,34.0,824,146.0,True
PACE,bindingdb,seed_4,drug,base,0.8,0.1,0.2,test,fitted,215,41.0,22,5.0,193,36.0,True
PACE,bindingdb,seed_4,drug,base,0.8,0.2,0.2,validation,cross_fitted,916,180.0,183,63.0,733,117.0,True
PACE,bindingdb,seed_4,drug,base,0.8,0.2,0.2,test,fitted,215,41.0,43,10.0,172,31.0,True
PACE,bindingdb,seed_4,drug,base,0.9,0.1,0.2,validation,cross_fitted,424,60.0,42,6.0,382,54.0,True
PACE,bindingdb,seed_4,drug,base,0.9,0.1,0.2,test,fitted,94,15.0,9,2.0,85,13.0,True
PACE,bindingdb,seed_4,drug,base,0.9,0.2,0.2,validation,cross_fitted,424,60.0,85,14.0,339,46.0,True
PACE,bindingdb,seed_4,drug,base,0.9,0.2,0.2,test,fitted,94,15.0,19,5.0,75,10.0,True
PACE,bindingdb,seed_5,target,base,0.8,0.1,0.2,validation,cross_fitted,736,141.0,74,16.0,662,125.0,True
PACE,bindingdb,seed_5,target,base,0.8,0.1,0.2,test,fitted,187,37.0,19,2.0,168,35.0,True
PACE,bindingdb,seed_5,target,base,0.8,0.2,0.2,validation,cross_fitted,736,141.0,147,34.0,589,107.0,True
PACE,bindingdb,seed_5,target,base,0.8,0.2,0.2,test,fitted,187,37.0,37,4.0,150,33.0,True
PACE,bindingdb,seed_5,target,base,0.9,0.1,0.2,validation,cross_fitted,165,21.0,16,2.0,149,19.0,True
