model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,profile,primary_candidate,complexity,model_status,used_features,validation_fold_mean_auprc,validation_fold_se_auprc,validation_finite_folds,universe_n,universe_error_count,universe_error_rate,error_detection_auroc,error_detection_auprc,reviewed_n,review_error_count,review_error_rate,review_lift,review_recall_of_residual_errors,combined_recall_of_candidate_errors,retained_accuracy_after_review,retained_accuracy_gain_vs_residual,selected_profile,selection_fallback,selection_reason,best_profile,best_validation_fold_mean_auprc,one_se_threshold,validation_gain_vs_uncertainty
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.2,uncertainty,True,0,complete,calibrated_error_risk,0.37893525733,0.112299418534,3,824,143.0,0.17354368932,0.592998778021,0.262520358958,165,44.0,0.266666666667,1.536596736597,0.307692307692,0.45,0.849772382398,0.023316071718,uncertainty,True,uncertainty_selected,uncertainty_prior_support,0.451560101997,0.301423731169,0.0
PACE,bindingdb,seed_4,target,base,0.8,0.2,0.2,uncertainty,True,0,complete,calibrated_error_risk,0.25692497795,0.050530931705,3,733,117.0,0.159618008186,0.564768564769,0.203964289693,147,30.0,0.204081632653,1.278562707134,0.25641025641,0.516666666667,0.851535836177,0.011153844363,uncertainty,True,uncertainty_selected,uncertainty_support,0.334243588011,0.176777495732,0.0
PACE,bindingdb,seed_4,target,base,0.9,0.1,0.2,prior,True,1,complete,prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability,0.452878304142,0.148915740695,3,382,50.0,0.130890052356,0.648313253012,0.279411490406,76,17.0,0.223684210526,1.708947368421,0.34,0.45,0.892156862745,0.023046915101,prior,False,one_standard_error,uncertainty_prior_support,0.498956659082,0.232101329812,0.270069501593
PACE,bindingdb,seed_4,target,base,0.9,0.2,0.2,uncertainty,True,0,complete,calibrated_error_risk,0.216287393968,0.017911395567,3,339,44.0,0.129793510324,0.47842835131,0.136490573198,68,12.0,0.176470588235,1.359625668449,0.272727272727,0.466666666667,0.881918819188,0.011712329513,uncertainty,True,uncertainty_selected,uncertainty_support,0.407185917739,0.110609823228,0.0
PACE,bindingdb,seed_4,drug,base,0.8,0.1,0.2,uncertainty_support,True,2,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|target_esm_knn_distance|target_esm_nearest_train_distance,0.418608437048,0.01491966327,3,824,146.0,0.177184466019,0.775275791005,0.406856757085,165,73.0,0.442424242424,2.49696969697,0.5,0.594444444444,0.889226100152,0.066410566171,uncertainty_support,False,one_standard_error,uncertainty_support,0.418608437048,0.403688773778,0.134180900054
PACE,bindingdb,seed_4,drug,base,0.8,0.2,0.2,uncertainty_support,True,2,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|target_esm_knn_distance|target_esm_nearest_train_distance,0.464973695863,0.019505879148,3,733,117.0,0.159618008186,0.785755910756,0.439485984322,147,67.0,0.455782312925,2.8554567126,0.57264957265,0.722222222222,0.914675767918,0.074293776104,uncertainty_support,False,one_standard_error,uncertainty_support,0.464973695863,0.445467816715,0.275220901707
PACE,bindingdb,seed_4,drug,base,0.9,0.1,0.2,uncertainty_support,True,2,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|target_esm_knn_distance|target_esm_nearest_train_distance,0.449509445316,0.015611988251,3,382,54.0,0.141361256545,0.778060072267,0.427222019381,76,27.0,0.355263157895,2.513157894737,0.5,0.55,0.911764705882,0.053125962427,uncertainty_support,False,one_standard_error,uncertainty_support,0.449509445316,0.433897457065,0.269227824177
PACE,bindingdb,seed_4,drug,base,0.9,0.2,0.2,uncertainty_support,True,2,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|target_esm_knn_distance|target_esm_nearest_train_distance,0.387152213827,0.068980648281,3,339,46.0,0.135693215339,0.773111737647,0.356822244681,68,23.0,0.338235294118,2.492647058824,0.5,0.616666666667,0.915129151292,0.050822366631,uncertainty_support,False,one_standard_error,uncertainty_support,0.387152213827,0.318171565545,0.238386233802
PACE,bindingdb,seed_5,target,base,0.8,0.1,0.2,uncertainty,True,0,complete,calibrated_error_risk,0.359579071522,0.099203823344,3,662,125.0,0.188821752266,0.588603351955,0.237401423639,132,39.0,0.295454545455,1.564727272727,0.312,0.390070921986,0.837735849057,0.026557601322,uncertainty,True,uncertainty_selected,uncertainty_prior,0.373960303563,0.216540383066,0.0
PACE,bindingdb,seed_5,target,base,0.8,0.2,0.2,uncertainty,True,0,complete,calibrated_error_risk,0.338043844818,0.071514916452,3,589,107.0,0.181663837012,0.588183968666,0.262667935155,118,33.0,0.279661016949,1.539442420402,0.308411214953,0.475177304965,0.842887473461,0.024551310473,uncertainty,True,uncertainty_selected,uncertainty_prior_support,0.42040183363,0.289874639472,0.0
