model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,scope,score_source,calibration_n,error_count,error_rate,mean_predicted_error_risk,brier_error_risk,ece_error_risk
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,candidate,raw,1039,190.0,0.182868142445,0.0167877584,0.173900860715,0.166080384045
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,candidate,calibrated,1039,190.0,0.182868142445,0.179870000137,0.14320950513,0.018549195839
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,deferred,raw,104,36.0,0.346153846154,0.071218902616,0.300801868516,0.274934943538
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,deferred,calibrated,104,36.0,0.346153846154,0.277195581036,0.23073407701,0.078738493978
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,residual,raw,935,154.0,0.164705882353,0.010733385139,0.159785668403,0.153972497214
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,residual,calibrated,935,154.0,0.164705882353,0.169044480978,0.13347415168,0.011854343425
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,test,candidate,raw,278,45.0,0.161870503597,0.018710991817,0.153615213795,0.14315951178
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,test,candidate,calibrated,278,45.0,0.161870503597,0.184136817377,0.129892883176,0.041919922625
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,test,deferred,raw,28,7.0,0.25,0.075806729319,0.221794081855,0.174193270681
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,test,deferred,calibrated,28,7.0,0.25,0.276165216479,0.190917243119,0.026165216479
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,test,residual,raw,250,38.0,0.152,0.012316269217,0.145979180573,0.139683730783
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,test,residual,calibrated,250,38.0,0.152,0.173829636677,0.123058154862,0.049545458205
PACE,biosnap,seed_4,target,base,0.8,0.2,0.2,validation,candidate,raw,1039,190.0,0.182868142445,0.0167877584,0.173900860715,0.166080384045
PACE,biosnap,seed_4,target,base,0.8,0.2,0.2,validation,candidate,calibrated,1039,190.0,0.182868142445,0.179870000137,0.14320950513,0.018549195839
PACE,biosnap,seed_4,target,base,0.8,0.2,0.2,validation,deferred,raw,208,60.0,0.288461538462,0.055567127965,0.256517139775,0.232894410496
PACE,biosnap,seed_4,target,base,0.8,0.2,0.2,validation,deferred,calibrated,208,60.0,0.288461538462,0.260719909527,0.203842797506,0.032631743365
PACE,biosnap,seed_4,target,base,0.8,0.2,0.2,validation,residual,raw,831,130.0,0.156438026474,0.007081249531,0.153221936474,0.149356776943
PACE,biosnap,seed_4,target,base,0.8,0.2,0.2,validation,residual,calibrated,831,130.0,0.156438026474,0.159633199712,0.128032940974,0.01502432233
PACE,biosnap,seed_4,target,base,0.8,0.2,0.2,test,candidate,raw,278,45.0,0.161870503597,0.018710991817,0.153615213795,0.14315951178
PACE,biosnap,seed_4,target,base,0.8,0.2,0.2,test,candidate,calibrated,278,45.0,0.161870503597,0.184136817377,0.129892883176,0.041919922625
PACE,biosnap,seed_4,target,base,0.8,0.2,0.2,test,deferred,raw,56,17.0,0.303571428571,0.059589903378,0.274395854351,0.243981525193
PACE,biosnap,seed_4,target,base,0.8,0.2,0.2,test,deferred,calibrated,56,17.0,0.303571428571,0.262007153018,0.215667431903,0.041564275553
PACE,biosnap,seed_4,target,base,0.8,0.2,0.2,test,residual,raw,222,28.0,0.126126126126,0.008399194306,0.123148025187,0.11772693182
PACE,biosnap,seed_4,target,base,0.8,0.2,0.2,test,residual,calibrated,222,28.0,0.126126126126,0.164493849828,0.108256060073,0.0420096354
PACE,biosnap,seed_4,target,base,0.9,0.1,0.2,validation,candidate,raw,934,154.0,0.164882226981,0.010492429071,0.160084109835,0.15438979791
