model,dataset,test_run,group_axis,confidence_source,split,added_component,delta_validation_fold_mean_auprc,delta_error_detection_auprc,delta_review_lift,delta_retained_accuracy_gain_vs_residual
PACE,biosnap,seed_4,drug,base,test,combined_empirical_support,,0.194377739719,1.652533504507,0.05232938953
PACE,biosnap,seed_4,drug,base,test,empirical_support,,0.285457083453,1.855484975551,0.059096787138
PACE,biosnap,seed_4,drug,base,test,empirical_support_after_prior,,0.229780888279,1.388013850185,0.044687451458
PACE,biosnap,seed_4,drug,base,test,fit_support,,0.243239064786,1.744646800568,0.055192292756
PACE,biosnap,seed_4,drug,base,test,fit_support_after_legacy_source_domain,,0.164295877976,1.015614411174,0.032378579195
PACE,biosnap,seed_4,drug,base,test,fit_support_after_native_source_domain,,0.157882770834,1.355727879577,0.043413374411
PACE,biosnap,seed_4,drug,base,test,general_target_joint_support,,0.064048246152,0.393473941994,0.012612100658
PACE,biosnap,seed_4,drug,base,test,legacy_empirical_support,,0.201182528313,1.518604933079,0.048067752291
PACE,biosnap,seed_4,drug,base,test,legacy_source_domain_support_after_fit,,-0.042056536473,-0.226041867489,-0.007124540465
PACE,biosnap,seed_4,drug,base,test,legacy_support_after_native,,-0.091079343734,-0.202951471044,-0.006767397608
PACE,biosnap,seed_4,drug,base,test,native_source_domain_support,,0.127574312619,0.499757095974,0.015683412727
PACE,biosnap,seed_4,drug,base,test,native_source_domain_support_after_fit,,0.042218018667,0.110838174983,0.003904494382
PACE,biosnap,seed_4,drug,base,test,native_support_after_legacy,,-0.006804788594,0.133928571429,0.004261637239
PACE,biosnap,seed_4,drug,base,test,prior,,0.079758572647,0.410268459611,0.012850346917
PACE,biosnap,seed_4,drug,base,test,prior_after_empirical_support,,0.024082377474,-0.057202665755,-0.001558988764
PACE,biosnap,seed_4,drug,base,test,source_domain_support,,0.036886650337,0.502990521905,0.015689173096
PACE,biosnap,seed_4,drug,base,test,target_sequence_support,,0.027783721401,0.044439935065,0.001428571429
PACE,biosnap,seed_4,drug,base,validation,combined_empirical_support,0.210289892251,0.193554400841,1.40525646261,0.053342912128
PACE,biosnap,seed_4,drug,base,validation,empirical_support,0.230553533398,0.203319913183,1.508074997682,0.057187361527
PACE,biosnap,seed_4,drug,base,validation,empirical_support_after_prior,0.084999519245,0.078007878965,0.530936447785,0.020141338644
