split,group_axis,added_component,measure,num_independent_runs,num_model_dataset_strata,mean,run_win_rate,ci_low,ci_high
test,drug,combined_empirical_support,delta_error_detection_auprc,5,1,0.124861461444,0.8,0.05305765032,0.196208171651
test,drug,combined_empirical_support,delta_review_lift,5,1,0.777821370877,0.6,0.29639259452,1.639944390953
test,drug,combined_empirical_support,delta_retained_accuracy_gain_vs_residual,5,1,0.019848787197,0.6,0.002622432302,0.034605109008
test,drug,empirical_support,delta_error_detection_auprc,5,1,0.190538841015,0.8,0.091254259901,0.25047958458
test,drug,empirical_support,delta_review_lift,5,1,1.532055279657,1.0,0.858830587682,2.12787109929
test,drug,empirical_support,delta_retained_accuracy_gain_vs_residual,5,1,0.033243896142,1.0,0.017759683284,0.047492954614
test,drug,empirical_support_after_prior,delta_error_detection_auprc,5,1,0.093719611722,1.0,0.041696682238,0.133756365047
test,drug,empirical_support_after_prior,delta_review_lift,5,1,0.621241767567,1.0,0.162367679196,0.879846868606
test,drug,empirical_support_after_prior,delta_retained_accuracy_gain_vs_residual,5,1,0.015276373368,1.0,0.003846245421,0.026012157835
test,drug,fit_support,delta_error_detection_auprc,5,1,0.198165700569,0.8,0.109960156804,0.273135322648
test,drug,fit_support,delta_review_lift,5,1,1.550048993411,1.0,0.748395141969,2.258474953412
test,drug,fit_support,delta_retained_accuracy_gain_vs_residual,5,1,0.033702082572,1.0,0.01887503874,0.048632817808
test,drug,fit_support_after_legacy_source_domain,delta_error_detection_auprc,5,1,0.133269731191,1.0,0.110930887313,0.151891759524
test,drug,fit_support_after_legacy_source_domain,delta_review_lift,5,1,0.889790729517,1.0,0.771854542316,1.038826790895
test,drug,fit_support_after_legacy_source_domain,delta_retained_accuracy_gain_vs_residual,5,1,0.018227456422,1.0,0.011688340875,0.025053160085
test,drug,fit_support_after_native_source_domain,delta_error_detection_auprc,5,1,0.086272415852,0.8,0.045423951674,0.108573076724
test,drug,fit_support_after_native_source_domain,delta_review_lift,5,1,0.708057426265,1.0,0.310871212121,1.064342756613
test,drug,fit_support_after_native_source_domain,delta_retained_accuracy_gain_vs_residual,5,1,0.016192934424,1.0,0.006683251401,0.02603428458
test,drug,general_target_joint_support,delta_error_detection_auprc,5,1,0.125606038466,1.0,0.064176766115,0.194917309404
test,drug,general_target_joint_support,delta_review_lift,5,1,0.296244384225,1.0,0.172466641546,0.422402476541
test,drug,general_target_joint_support,delta_retained_accuracy_gain_vs_residual,5,1,0.007026857439,1.0,0.003290248058,0.009927826371
test,drug,legacy_empirical_support,delta_error_detection_auprc,5,1,0.131636189682,0.8,0.045547984108,0.209312106469
test,drug,legacy_empirical_support,delta_review_lift,5,1,0.874307072676,0.6,0.133185783914,1.48492438204
test,drug,legacy_empirical_support,delta_retained_accuracy_gain_vs_residual,5,1,0.021284643638,0.6,0.003343174941,0.034343342293
test,drug,legacy_source_domain_support_after_fit,delta_error_detection_auprc,5,1,-0.066529510887,0.2,-0.100764501435,-0.020861861756
test,drug,legacy_source_domain_support_after_fit,delta_review_lift,5,1,-0.675741920735,0.0,-1.022237831774,-0.396782456533
test,drug,legacy_source_domain_support_after_fit,delta_retained_accuracy_gain_vs_residual,5,1,-0.012417438934,0.0,-0.020067187621,-0.007423665708
test,drug,legacy_support_after_native,delta_error_detection_auprc,5,1,-0.065677379571,0.0,-0.08588844531,-0.039343560687
test,drug,legacy_support_after_native,delta_review_lift,5,1,-0.75423390878,0.0,-1.08049535853,-0.47867131178
test,drug,legacy_support_after_native,delta_retained_accuracy_gain_vs_residual,5,1,-0.013395108945,0.0,-0.017987306589,-0.010434662021
test,drug,native_source_domain_support,delta_error_detection_auprc,5,1,0.104266425164,1.0,0.062685122683,0.144276299569
test,drug,native_source_domain_support,delta_review_lift,5,1,0.823997853392,1.0,0.365209373969,1.066982439761
test,drug,native_source_domain_support,delta_retained_accuracy_gain_vs_residual,5,1,0.017050961718,1.0,0.012702284157,0.025871329255
test,drug,native_source_domain_support_after_fit,delta_error_detection_auprc,5,1,-0.007626859553,0.6,-0.06281285349,0.041575046183
test,drug,native_source_domain_support_after_fit,delta_review_lift,5,1,-0.017993713753,0.6,-0.385898839472,0.143029638125
test,drug,native_source_domain_support_after_fit,delta_retained_accuracy_gain_vs_residual,5,1,-0.000458186431,0.6,-0.004189873342,0.002458702757
test,drug,native_support_after_legacy,delta_error_detection_auprc,5,1,-0.006774728238,0.4,-0.021592636242,0.017483170489
test,drug,native_support_after_legacy,delta_review_lift,5,1,-0.096485701798,0.6,-0.257872159091,0.057795038295
test,drug,native_support_after_legacy,delta_retained_accuracy_gain_vs_residual,5,1,-0.001435856441,0.6,-0.005854329714,0.002316676056
test,drug,prior,delta_error_detection_auprc,5,1,0.073016758199,0.8,0.033403342645,0.113023408879
test,drug,prior,delta_review_lift,5,1,0.745793398797,0.8,-0.010644247843,1.529069391546
test,drug,prior,delta_retained_accuracy_gain_vs_residual,5,1,0.01475819222,0.8,0.008061746985,0.025679291602
test,drug,prior_after_empirical_support,delta_error_detection_auprc,5,1,-0.023802471095,0.2,-0.054213833955,-0.000965837788
test,drug,prior_after_empirical_support,delta_review_lift,5,1,-0.165020113293,0.0,-0.253828601954,-0.052393787682
test,drug,prior_after_empirical_support,delta_retained_accuracy_gain_vs_residual,5,1,-0.003209330554,0.0,-0.006995611607,-0.000934646251
test,drug,source_domain_support,delta_error_detection_auprc,5,1,-0.001633541509,0.6,-0.076530936122,0.072751446308
test,drug,source_domain_support,delta_review_lift,5,1,-0.015483656842,0.6,-0.900237162987,0.718949889748
test,drug,source_domain_support,delta_retained_accuracy_gain_vs_residual,5,1,0.003057187217,0.6,-0.011288067303,0.017398264612
test,drug,target_sequence_support,delta_error_detection_auprc,5,1,0.047674892279,1.0,0.033050545587,0.058834064192
test,drug,target_sequence_support,delta_review_lift,5,1,0.103183436308,0.8,0.045854052104,0.172105109839
test,drug,target_sequence_support,delta_retained_accuracy_gain_vs_residual,5,1,0.002188739454,0.8,0.001159432234,0.00309927697
test,target,combined_empirical_support,delta_error_detection_auprc,5,1,0.140536695069,0.8,0.030563617512,0.231218845819
test,target,combined_empirical_support,delta_review_lift,5,1,0.913983033917,0.8,0.316442118411,1.507780718087
test,target,combined_empirical_support,delta_retained_accuracy_gain_vs_residual,5,1,0.021789152046,0.8,0.007800628548,0.031631702263
test,target,empirical_support,delta_error_detection_auprc,5,1,0.190138977409,1.0,0.10421162747,0.230121753996
test,target,empirical_support,delta_review_lift,5,1,1.491273139648,1.0,0.822445833177,2.061100978071
test,target,empirical_support,delta_retained_accuracy_gain_vs_residual,5,1,0.031726941776,1.0,0.015306790183,0.047690516386
test,target,empirical_support_after_prior,delta_error_detection_auprc,5,1,0.100639744662,1.0,0.072645506395,0.139206267286
test,target,empirical_support_after_prior,delta_review_lift,5,1,0.939583401531,1.0,0.617460813884,1.364227981802
test,target,empirical_support_after_prior,delta_retained_accuracy_gain_vs_residual,5,1,0.017906816303,1.0,0.013361350388,0.021518869379
test,target,fit_support,delta_error_detection_auprc,5,1,0.193541199422,1.0,0.116532626121,0.275838696034
test,target,fit_support,delta_review_lift,5,1,1.442604887217,1.0,0.878971148427,2.083619130869
test,target,fit_support,delta_retained_accuracy_gain_vs_residual,5,1,0.031032580579,1.0,0.024680004923,0.044146352373
test,target,fit_support_after_legacy_source_domain,delta_error_detection_auprc,5,1,0.143773404073,1.0,0.107902821002,0.181420122583
test,target,fit_support_after_legacy_source_domain,delta_review_lift,5,1,1.028422537541,1.0,0.919429942723,1.159906501941
test,target,fit_support_after_legacy_source_domain,delta_retained_accuracy_gain_vs_residual,5,1,0.019966758096,1.0,0.016579424088,0.023378932316
test,target,fit_support_after_native_source_domain,delta_error_detection_auprc,5,1,0.087540919091,1.0,0.054733169544,0.116237361839
test,target,fit_support_after_native_source_domain,delta_review_lift,5,1,0.639389711811,1.0,0.335932035492,0.879473156901
test,target,fit_support_after_native_source_domain,delta_retained_accuracy_gain_vs_residual,5,1,0.013937885151,0.8,0.004552792049,0.020826191091
test,target,general_target_joint_support,delta_error_detection_auprc,5,1,0.134391166752,1.0,0.099609721825,0.188180702426
test,target,general_target_joint_support,delta_review_lift,5,1,0.353673327134,1.0,0.097944440976,0.629714124215
test,target,general_target_joint_support,delta_retained_accuracy_gain_vs_residual,5,1,0.008278062333,1.0,0.003150172674,0.011550227833
test,target,legacy_empirical_support,delta_error_detection_auprc,5,1,0.146623891792,1.0,0.08161718768,0.187830807306
test,target,legacy_empirical_support,delta_review_lift,5,1,1.070728539873,0.6,0.05733708315,1.813881637734
test,target,legacy_empirical_support,delta_retained_accuracy_gain_vs_residual,5,1,0.024002781292,0.6,0.006787984086,0.03536518575
test,target,legacy_source_domain_support_after_fit,delta_error_detection_auprc,5,1,-0.04691730763,0.2,-0.081900644149,-0.009310563269
test,target,legacy_source_domain_support_after_fit,delta_review_lift,5,1,-0.371876347343,0.0,-0.734002681728,-0.148855322309
test,target,legacy_source_domain_support_after_fit,delta_retained_accuracy_gain_vs_residual,5,1,-0.007029799287,0.0,-0.011895003215,-0.002794422113
test,target,legacy_support_after_native,delta_error_detection_auprc,5,1,-0.04960228234,0.2,-0.072996038608,-0.019054036701
test,target,legacy_support_after_native,delta_review_lift,5,1,-0.577290105731,0.0,-0.865403804529,-0.364893014653
