model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,support_reference,support_state,residual_n,residual_share,error_count,error_rate,error_rate_delta_vs_all
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,test,audit_fit,all,250,1.0,38.0,0.152,0.0
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,test,audit_fit,both_seen,149,0.596,9.0,0.060402684564,-0.091597315436
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,test,audit_fit,both_unseen,19,0.076,10.0,0.526315789474,0.374315789474
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,test,audit_fit,drug_unseen,70,0.28,14.0,0.2,0.048
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,test,audit_fit,target_unseen,12,0.048,5.0,0.416666666667,0.264666666667
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,test,source_train,all,250,1.0,38.0,0.152,0.0
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,test,source_train,both_unseen,250,1.0,38.0,0.152,0.0
PACE,biosnap,seed_4,target,base,0.8,0.2,0.2,test,audit_fit,all,222,1.0,28.0,0.126126126126,0.0
PACE,biosnap,seed_4,target,base,0.8,0.2,0.2,test,audit_fit,both_seen,135,0.608108108108,6.0,0.044444444444,-0.081681681682
PACE,biosnap,seed_4,target,base,0.8,0.2,0.2,test,audit_fit,both_unseen,13,0.058558558559,8.0,0.615384615385,0.489258489258
PACE,biosnap,seed_4,target,base,0.8,0.2,0.2,test,audit_fit,drug_unseen,65,0.292792792793,11.0,0.169230769231,0.043104643105
PACE,biosnap,seed_4,target,base,0.8,0.2,0.2,test,audit_fit,target_unseen,9,0.040540540541,3.0,0.333333333333,0.207207207207
PACE,biosnap,seed_4,target,base,0.8,0.2,0.2,test,source_train,all,222,1.0,28.0,0.126126126126,0.0
PACE,biosnap,seed_4,target,base,0.8,0.2,0.2,test,source_train,both_unseen,222,1.0,28.0,0.126126126126,0.0
PACE,biosnap,seed_4,target,base,0.9,0.1,0.2,test,audit_fit,all,219,1.0,28.0,0.127853881279,0.0
PACE,biosnap,seed_4,target,base,0.9,0.1,0.2,test,audit_fit,both_seen,135,0.616438356164,6.0,0.044444444444,-0.083409436834
PACE,biosnap,seed_4,target,base,0.9,0.1,0.2,test,audit_fit,both_unseen,12,0.054794520548,8.0,0.666666666667,0.538812785388
PACE,biosnap,seed_4,target,base,0.9,0.1,0.2,test,audit_fit,drug_unseen,62,0.283105022831,11.0,0.177419354839,0.04956547356
PACE,biosnap,seed_4,target,base,0.9,0.1,0.2,test,audit_fit,target_unseen,10,0.045662100457,3.0,0.3,0.172146118721
PACE,biosnap,seed_4,target,base,0.9,0.1,0.2,test,source_train,all,219,1.0,28.0,0.127853881279,0.0
PACE,biosnap,seed_4,target,base,0.9,0.1,0.2,test,source_train,both_unseen,219,1.0,28.0,0.127853881279,0.0
PACE,biosnap,seed_4,target,base,0.9,0.2,0.2,test,audit_fit,all,194,1.0,21.0,0.10824742268,0.0
PACE,biosnap,seed_4,target,base,0.9,0.2,0.2,test,audit_fit,both_seen,128,0.659793814433,6.0,0.046875,-0.06137242268
PACE,biosnap,seed_4,target,base,0.9,0.2,0.2,test,audit_fit,both_unseen,8,0.041237113402,5.0,0.625,0.51675257732
PACE,biosnap,seed_4,target,base,0.9,0.2,0.2,test,audit_fit,drug_unseen,51,0.262886597938,8.0,0.156862745098,0.048615322418
PACE,biosnap,seed_4,target,base,0.9,0.2,0.2,test,audit_fit,target_unseen,7,0.036082474227,2.0,0.285714285714,0.177466863034
PACE,biosnap,seed_4,target,base,0.9,0.2,0.2,test,source_train,all,194,1.0,21.0,0.10824742268,0.0
PACE,biosnap,seed_4,target,base,0.9,0.2,0.2,test,source_train,both_unseen,194,1.0,21.0,0.10824742268,0.0
PACE,biosnap,seed_4,drug,base,0.8,0.1,0.2,test,audit_fit,all,250,1.0,38.0,0.152,0.0
PACE,biosnap,seed_4,drug,base,0.8,0.1,0.2,test,audit_fit,both_seen,149,0.596,8.0,0.053691275168,-0.098308724832
PACE,biosnap,seed_4,drug,base,0.8,0.1,0.2,test,audit_fit,both_unseen,18,0.072,10.0,0.555555555556,0.403555555556
PACE,biosnap,seed_4,drug,base,0.8,0.1,0.2,test,audit_fit,drug_unseen,71,0.284,15.0,0.211267605634,0.059267605634
PACE,biosnap,seed_4,drug,base,0.8,0.1,0.2,test,audit_fit,target_unseen,12,0.048,5.0,0.416666666667,0.264666666667
PACE,biosnap,seed_4,drug,base,0.8,0.1,0.2,test,source_train,all,250,1.0,38.0,0.152,0.0
PACE,biosnap,seed_4,drug,base,0.8,0.1,0.2,test,source_train,both_unseen,250,1.0,38.0,0.152,0.0
PACE,biosnap,seed_4,drug,base,0.8,0.2,0.2,test,audit_fit,all,222,1.0,28.0,0.126126126126,0.0
PACE,biosnap,seed_4,drug,base,0.8,0.2,0.2,test,audit_fit,both_seen,138,0.621621621622,7.0,0.050724637681,-0.075401488445
PACE,biosnap,seed_4,drug,base,0.8,0.2,0.2,test,audit_fit,both_unseen,14,0.063063063063,9.0,0.642857142857,0.516731016731
PACE,biosnap,seed_4,drug,base,0.8,0.2,0.2,test,audit_fit,drug_unseen,60,0.27027027027,9.0,0.15,0.023873873874
PACE,biosnap,seed_4,drug,base,0.8,0.2,0.2,test,audit_fit,target_unseen,10,0.045045045045,3.0,0.3,0.173873873874
PACE,biosnap,seed_4,drug,base,0.8,0.2,0.2,test,source_train,all,222,1.0,28.0,0.126126126126,0.0
PACE,biosnap,seed_4,drug,base,0.8,0.2,0.2,test,source_train,both_unseen,222,1.0,28.0,0.126126126126,0.0
PACE,biosnap,seed_4,drug,base,0.9,0.1,0.2,test,audit_fit,all,219,1.0,28.0,0.127853881279,0.0
PACE,biosnap,seed_4,drug,base,0.9,0.1,0.2,test,audit_fit,both_seen,137,0.625570776256,7.0,0.051094890511,-0.076758990768
PACE,biosnap,seed_4,drug,base,0.9,0.1,0.2,test,audit_fit,both_unseen,13,0.059360730594,8.0,0.615384615385,0.487530734106
PACE,biosnap,seed_4,drug,base,0.9,0.1,0.2,test,audit_fit,drug_unseen,59,0.269406392694,10.0,0.169491525424,0.041637644145
PACE,biosnap,seed_4,drug,base,0.9,0.1,0.2,test,audit_fit,target_unseen,10,0.045662100457,3.0,0.3,0.172146118721
PACE,biosnap,seed_4,drug,base,0.9,0.1,0.2,test,source_train,all,219,1.0,28.0,0.127853881279,0.0
PACE,biosnap,seed_4,drug,base,0.9,0.1,0.2,test,source_train,both_unseen,219,1.0,28.0,0.127853881279,0.0
PACE,biosnap,seed_4,drug,base,0.9,0.2,0.2,test,audit_fit,all,194,1.0,21.0,0.10824742268,0.0
PACE,biosnap,seed_4,drug,base,0.9,0.2,0.2,test,audit_fit,both_seen,129,0.664948453608,5.0,0.038759689922,-0.069487732758
PACE,biosnap,seed_4,drug,base,0.9,0.2,0.2,test,audit_fit,both_unseen,8,0.041237113402,5.0,0.625,0.51675257732
PACE,biosnap,seed_4,drug,base,0.9,0.2,0.2,test,audit_fit,drug_unseen,50,0.257731958763,8.0,0.16,0.05175257732
PACE,biosnap,seed_4,drug,base,0.9,0.2,0.2,test,audit_fit,target_unseen,7,0.036082474227,3.0,0.428571428571,0.320324005891
PACE,biosnap,seed_4,drug,base,0.9,0.2,0.2,test,source_train,all,194,1.0,21.0,0.10824742268,0.0
PACE,biosnap,seed_4,drug,base,0.9,0.2,0.2,test,source_train,both_unseen,194,1.0,21.0,0.10824742268,0.0
PACE,biosnap,seed_5,target,base,0.8,0.1,0.2,test,audit_fit,all,158,1.0,14.0,0.088607594937,0.0
PACE,biosnap,seed_5,target,base,0.8,0.1,0.2,test,audit_fit,both_seen,100,0.632911392405,4.0,0.04,-0.048607594937
PACE,biosnap,seed_5,target,base,0.8,0.1,0.2,test,audit_fit,both_unseen,2,0.012658227848,2.0,1.0,0.911392405063
PACE,biosnap,seed_5,target,base,0.8,0.1,0.2,test,audit_fit,drug_unseen,53,0.335443037975,8.0,0.150943396226,0.06233580129
PACE,biosnap,seed_5,target,base,0.8,0.1,0.2,test,audit_fit,target_unseen,3,0.018987341772,0.0,0.0,-0.088607594937
PACE,biosnap,seed_5,target,base,0.8,0.1,0.2,test,source_train,all,158,1.0,14.0,0.088607594937,0.0
PACE,biosnap,seed_5,target,base,0.8,0.1,0.2,test,source_train,both_unseen,158,1.0,14.0,0.088607594937,0.0
PACE,biosnap,seed_5,target,base,0.8,0.2,0.2,test,audit_fit,all,141,1.0,10.0,0.070921985816,0.0
PACE,biosnap,seed_5,target,base,0.8,0.2,0.2,test,audit_fit,both_seen,87,0.617021276596,1.0,0.011494252874,-0.059427732942
PACE,biosnap,seed_5,target,base,0.8,0.2,0.2,test,audit_fit,both_unseen,1,0.007092198582,1.0,1.0,0.929078014184
PACE,biosnap,seed_5,target,base,0.8,0.2,0.2,test,audit_fit,drug_unseen,50,0.354609929078,8.0,0.16,0.089078014184
PACE,biosnap,seed_5,target,base,0.8,0.2,0.2,test,audit_fit,target_unseen,3,0.021276595745,0.0,0.0,-0.070921985816
PACE,biosnap,seed_5,target,base,0.8,0.2,0.2,test,source_train,all,141,1.0,10.0,0.070921985816,0.0
PACE,biosnap,seed_5,target,base,0.8,0.2,0.2,test,source_train,both_unseen,141,1.0,10.0,0.070921985816,0.0
PACE,biosnap,seed_5,target,base,0.9,0.1,0.2,test,audit_fit,all,132,1.0,9.0,0.068181818182,0.0
PACE,biosnap,seed_5,target,base,0.9,0.1,0.2,test,audit_fit,both_seen,84,0.636363636364,1.0,0.011904761905,-0.056277056277
PACE,biosnap,seed_5,target,base,0.9,0.1,0.2,test,audit_fit,both_unseen,2,0.015151515152,1.0,0.5,0.431818181818
PACE,biosnap,seed_5,target,base,0.9,0.1,0.2,test,audit_fit,drug_unseen,43,0.325757575758,7.0,0.162790697674,0.094608879493
PACE,biosnap,seed_5,target,base,0.9,0.1,0.2,test,audit_fit,target_unseen,3,0.022727272727,0.0,0.0,-0.068181818182
PACE,biosnap,seed_5,target,base,0.9,0.1,0.2,test,source_train,all,132,1.0,9.0,0.068181818182,0.0
PACE,biosnap,seed_5,target,base,0.9,0.1,0.2,test,source_train,both_unseen,132,1.0,9.0,0.068181818182,0.0
PACE,biosnap,seed_5,target,base,0.9,0.2,0.2,test,audit_fit,all,118,1.0,8.0,0.067796610169,0.0
PACE,biosnap,seed_5,target,base,0.9,0.2,0.2,test,audit_fit,both_seen,76,0.64406779661,1.0,0.013157894737,-0.054638715433
PACE,biosnap,seed_5,target,base,0.9,0.2,0.2,test,audit_fit,both_unseen,3,0.025423728814,1.0,0.333333333333,0.265536723164
PACE,biosnap,seed_5,target,base,0.9,0.2,0.2,test,audit_fit,drug_unseen,37,0.313559322034,6.0,0.162162162162,0.094365551993
PACE,biosnap,seed_5,target,base,0.9,0.2,0.2,test,audit_fit,target_unseen,2,0.016949152542,0.0,0.0,-0.067796610169
PACE,biosnap,seed_5,target,base,0.9,0.2,0.2,test,source_train,all,118,1.0,8.0,0.067796610169,0.0
PACE,biosnap,seed_5,target,base,0.9,0.2,0.2,test,source_train,both_unseen,118,1.0,8.0,0.067796610169,0.0
PACE,biosnap,seed_5,drug,base,0.8,0.1,0.2,test,audit_fit,all,158,1.0,14.0,0.088607594937,0.0
PACE,biosnap,seed_5,drug,base,0.8,0.1,0.2,test,audit_fit,both_seen,100,0.632911392405,3.0,0.03,-0.058607594937
PACE,biosnap,seed_5,drug,base,0.8,0.1,0.2,test,audit_fit,both_unseen,1,0.006329113924,1.0,1.0,0.911392405063
PACE,biosnap,seed_5,drug,base,0.8,0.1,0.2,test,audit_fit,drug_unseen,54,0.341772151899,10.0,0.185185185185,0.096577590248
PACE,biosnap,seed_5,drug,base,0.8,0.1,0.2,test,audit_fit,target_unseen,3,0.018987341772,0.0,0.0,-0.088607594937
PACE,biosnap,seed_5,drug,base,0.8,0.1,0.2,test,source_train,all,158,1.0,14.0,0.088607594937,0.0
PACE,biosnap,seed_5,drug,base,0.8,0.1,0.2,test,source_train,both_unseen,158,1.0,14.0,0.088607594937,0.0
PACE,biosnap,seed_5,drug,base,0.8,0.2,0.2,test,audit_fit,all,141,1.0,10.0,0.070921985816,0.0
PACE,biosnap,seed_5,drug,base,0.8,0.2,0.2,test,audit_fit,both_seen,87,0.617021276596,1.0,0.011494252874,-0.059427732942
PACE,biosnap,seed_5,drug,base,0.8,0.2,0.2,test,audit_fit,both_unseen,1,0.007092198582,1.0,1.0,0.929078014184
PACE,biosnap,seed_5,drug,base,0.8,0.2,0.2,test,audit_fit,drug_unseen,50,0.354609929078,8.0,0.16,0.089078014184
PACE,biosnap,seed_5,drug,base,0.8,0.2,0.2,test,audit_fit,target_unseen,3,0.021276595745,0.0,0.0,-0.070921985816
PACE,biosnap,seed_5,drug,base,0.8,0.2,0.2,test,source_train,all,141,1.0,10.0,0.070921985816,0.0
PACE,biosnap,seed_5,drug,base,0.8,0.2,0.2,test,source_train,both_unseen,141,1.0,10.0,0.070921985816,0.0
PACE,biosnap,seed_5,drug,base,0.9,0.1,0.2,test,audit_fit,all,132,1.0,9.0,0.068181818182,0.0
PACE,biosnap,seed_5,drug,base,0.9,0.1,0.2,test,audit_fit,both_seen,83,0.628787878788,1.0,0.012048192771,-0.056133625411
PACE,biosnap,seed_5,drug,base,0.9,0.1,0.2,test,audit_fit,both_unseen,2,0.015151515152,1.0,0.5,0.431818181818
PACE,biosnap,seed_5,drug,base,0.9,0.1,0.2,test,audit_fit,drug_unseen,43,0.325757575758,7.0,0.162790697674,0.094608879493
PACE,biosnap,seed_5,drug,base,0.9,0.1,0.2,test,audit_fit,target_unseen,4,0.030303030303,0.0,0.0,-0.068181818182
PACE,biosnap,seed_5,drug,base,0.9,0.1,0.2,test,source_train,all,132,1.0,9.0,0.068181818182,0.0
PACE,biosnap,seed_5,drug,base,0.9,0.1,0.2,test,source_train,both_unseen,132,1.0,9.0,0.068181818182,0.0
PACE,biosnap,seed_5,drug,base,0.9,0.2,0.2,test,audit_fit,all,118,1.0,8.0,0.067796610169,0.0
PACE,biosnap,seed_5,drug,base,0.9,0.2,0.2,test,audit_fit,both_seen,77,0.652542372881,1.0,0.012987012987,-0.054809597182
PACE,biosnap,seed_5,drug,base,0.9,0.2,0.2,test,audit_fit,both_unseen,4,0.033898305085,1.0,0.25,0.182203389831
PACE,biosnap,seed_5,drug,base,0.9,0.2,0.2,test,audit_fit,drug_unseen,35,0.296610169492,6.0,0.171428571429,0.103631961259
PACE,biosnap,seed_5,drug,base,0.9,0.2,0.2,test,audit_fit,target_unseen,2,0.016949152542,0.0,0.0,-0.067796610169
PACE,biosnap,seed_5,drug,base,0.9,0.2,0.2,test,source_train,all,118,1.0,8.0,0.067796610169,0.0
PACE,biosnap,seed_5,drug,base,0.9,0.2,0.2,test,source_train,both_unseen,118,1.0,8.0,0.067796610169,0.0
PACE,biosnap,seed_6,target,base,0.8,0.1,0.2,test,audit_fit,all,187,1.0,18.0,0.096256684492,0.0
PACE,biosnap,seed_6,target,base,0.8,0.1,0.2,test,audit_fit,both_seen,120,0.641711229947,8.0,0.066666666667,-0.029590017825
PACE,biosnap,seed_6,target,base,0.8,0.1,0.2,test,audit_fit,both_unseen,5,0.026737967914,2.0,0.4,0.303743315508
PACE,biosnap,seed_6,target,base,0.8,0.1,0.2,test,audit_fit,drug_unseen,59,0.31550802139,8.0,0.135593220339,0.039336535847
PACE,biosnap,seed_6,target,base,0.8,0.1,0.2,test,audit_fit,target_unseen,3,0.016042780749,0.0,0.0,-0.096256684492
PACE,biosnap,seed_6,target,base,0.8,0.1,0.2,test,source_train,all,187,1.0,18.0,0.096256684492,0.0
PACE,biosnap,seed_6,target,base,0.8,0.1,0.2,test,source_train,both_unseen,187,1.0,18.0,0.096256684492,0.0
PACE,biosnap,seed_6,target,base,0.8,0.2,0.2,test,audit_fit,all,166,1.0,13.0,0.078313253012,0.0
PACE,biosnap,seed_6,target,base,0.8,0.2,0.2,test,audit_fit,both_seen,112,0.674698795181,6.0,0.053571428571,-0.024741824441
PACE,biosnap,seed_6,target,base,0.8,0.2,0.2,test,audit_fit,both_unseen,2,0.012048192771,1.0,0.5,0.421686746988
PACE,biosnap,seed_6,target,base,0.8,0.2,0.2,test,audit_fit,drug_unseen,50,0.301204819277,6.0,0.12,0.041686746988
PACE,biosnap,seed_6,target,base,0.8,0.2,0.2,test,audit_fit,target_unseen,2,0.012048192771,0.0,0.0,-0.078313253012
PACE,biosnap,seed_6,target,base,0.8,0.2,0.2,test,source_train,all,166,1.0,13.0,0.078313253012,0.0
PACE,biosnap,seed_6,target,base,0.8,0.2,0.2,test,source_train,both_unseen,166,1.0,13.0,0.078313253012,0.0
PACE,biosnap,seed_6,target,base,0.9,0.1,0.2,test,audit_fit,all,157,1.0,11.0,0.070063694268,0.0
PACE,biosnap,seed_6,target,base,0.9,0.1,0.2,test,audit_fit,both_seen,107,0.68152866242,6.0,0.056074766355,-0.013988927912
PACE,biosnap,seed_6,target,base,0.9,0.1,0.2,test,audit_fit,both_unseen,3,0.019108280255,1.0,0.333333333333,0.263269639066
PACE,biosnap,seed_6,target,base,0.9,0.1,0.2,test,audit_fit,drug_unseen,45,0.286624203822,4.0,0.088888888889,0.018825194621
PACE,biosnap,seed_6,target,base,0.9,0.1,0.2,test,audit_fit,target_unseen,2,0.012738853503,0.0,0.0,-0.070063694268
PACE,biosnap,seed_6,target,base,0.9,0.1,0.2,test,source_train,all,157,1.0,11.0,0.070063694268,0.0
