model,dataset,test_run,group_axis,confidence_source,delta_error_detection_auprc_vs_uncertainty,delta_review_error_rate_vs_uncertainty,delta_retained_accuracy_gain_vs_residual_vs_uncertainty
PACE,biosnap,seed_4,drug,base,0.285457083453,0.236328671329,0.059096787138
PACE,biosnap,seed_4,target,base,0.081258011069,0.064825174825,0.016260485165
PACE,biosnap,seed_5,drug,base,0.279214158818,0.193795787546,0.048358576054
PACE,biosnap,seed_5,target,base,0.184173100852,0.12396978022,0.030833123137
PACE,biosnap,seed_6,drug,base,0.167132073759,0.048648931713,0.012087510443
PACE,biosnap,seed_6,target,base,0.011811585686,-0.008928571429,-0.002232142857
PACE,biosnap,seed_7,drug,base,-0.010969098935,0.023772204807,0.00600132626
PACE,biosnap,seed_7,target,base,0.0,0.0,0.0
PACE,biosnap,seed_8,drug,base,0.231859987981,0.163657407407,0.040675280814
PACE,biosnap,seed_8,target,base,0.100715980544,0.118518518519,0.029390558591
