model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,profile,primary_candidate,complexity,model_status,used_features,validation_fold_mean_auprc,validation_fold_se_auprc,validation_finite_folds,universe_n,universe_error_count,universe_error_rate,error_detection_auroc,error_detection_auprc,reviewed_n,review_error_count,review_error_rate,review_lift,review_recall_of_residual_errors,combined_recall_of_candidate_errors,retained_accuracy_after_review,retained_accuracy_gain_vs_residual,selected_profile,selection_fallback,selection_reason,best_profile,best_validation_fold_mean_auprc,one_se_threshold,validation_gain_vs_uncertainty
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,prior,True,1,complete,prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability,0.382839501146,0.035421305414,3,935,154.0,0.164705882353,0.763947320285,0.371027959628,187,75.0,0.401069518717,2.435064935065,0.487012987013,0.584210526316,0.894385026738,0.059090909091,prior,False,one_standard_error,prior,0.382839501146,0.347418195731,0.106565226784
PACE,biosnap,seed_4,target,base,0.8,0.2,0.2,prior,True,1,complete,prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability,0.409514427011,0.044754462478,3,831,130.0,0.156438026474,0.784538571272,0.386685835182,166,69.0,0.415662650602,2.657043558851,0.530769230769,0.678947368421,0.908270676692,0.064708703166,prior,False,one_standard_error,uncertainty_prior,0.410032033542,0.365326276578,0.136511789403
PACE,biosnap,seed_4,target,base,0.9,0.1,0.2,prior,True,1,complete,prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability,0.38506572658,0.035845174461,3,841,132.0,0.156956004756,0.771957943326,0.360465370041,168,67.0,0.39880952381,2.54090007215,0.507575757576,0.577922077922,0.903417533432,0.060373538189,prior,False,one_standard_error,uncertainty_prior,0.385081974093,0.349238778131,0.113789151282
PACE,biosnap,seed_4,target,base,0.9,0.2,0.2,prior,True,1,complete,prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability,0.37004661518,0.035260379182,3,747,106.0,0.141900937082,0.747211020516,0.357844297974,149,57.0,0.38255033557,2.695897176143,0.537735849057,0.681818181818,0.918060200669,0.059961137751,prior,False,one_standard_error,uncertainty_prior,0.370198723526,0.334522595863,0.11780089424
PACE,biosnap,seed_4,drug,base,0.8,0.1,0.2,uncertainty_support,True,2,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|target_esm_knn_distance|target_esm_nearest_train_distance,0.491344812156,0.065636043596,3,935,154.0,0.164705882353,0.849410512663,0.438059799732,187,86.0,0.459893048128,2.792207792208,0.558441558442,0.642105263158,0.909090909091,0.073796791444,uncertainty_support,False,one_standard_error,uncertainty_support,0.491344812156,0.425708768561,0.227450502475
PACE,biosnap,seed_4,drug,base,0.8,0.2,0.2,uncertainty_support,True,2,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|target_esm_knn_distance|target_esm_nearest_train_distance,0.464787342091,0.032845341983,3,831,126.0,0.151624548736,0.847112462006,0.423132378049,166,79.0,0.475903614458,3.138697647734,0.626984126984,0.752631578947,0.929323308271,0.080947857007,uncertainty_support,False,one_standard_error,uncertainty_support,0.464787342091,0.431942000107,0.215109090233
PACE,biosnap,seed_4,drug,base,0.9,0.1,0.2,uncertainty_support,True,2,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|target_esm_knn_distance|target_esm_nearest_train_distance,0.437379943454,0.036864318769,3,841,127.0,0.151010701546,0.85449612916,0.436916277812,168,78.0,0.464285714286,3.074521934758,0.614173228346,0.681818181818,0.927191679049,0.078202380595,uncertainty_support,False,one_standard_error,uncertainty_prior_support,0.441342082986,0.407099800004,0.20394421504
PACE,biosnap,seed_4,drug,base,0.9,0.2,0.2,uncertainty_support,True,2,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|target_esm_knn_distance|target_esm_nearest_train_distance,0.523747491436,0.059487575579,3,747,107.0,0.143239625167,0.86875,0.459804122858,149,70.0,0.469798657718,3.279809320705,0.654205607477,0.75974025974,0.938127090301,0.081366715468,uncertainty_support,False,one_standard_error,uncertainty_support,0.523747491436,0.464259915857,0.275710325842
PACE,biosnap,seed_5,target,base,0.8,0.1,0.2,uncertainty,True,0,complete,calibrated_error_risk,0.217946299182,0.049209921323,3,619,60.0,0.096930533118,0.638133571855,0.160651598787,124,21.0,0.16935483871,1.747177419355,0.35,0.472972972973,0.921212121212,0.01814265433,uncertainty,True,uncertainty_selected,prior,0.258538085464,0.21207517588,0.0
PACE,biosnap,seed_5,target,base,0.8,0.2,0.2,prior,True,1,complete,prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability,0.255800350754,0.035037827477,3,550,46.0,0.083636363636,0.754917184265,0.186823464594,110,24.0,0.218181818182,2.608695652174,0.521739130435,0.702702702703,0.95,0.033636363636,prior,False,one_standard_error,prior,0.255800350754,0.220762523278,0.126348608606
PACE,biosnap,seed_5,target,base,0.9,0.1,0.2,prior,True,1,complete,prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability,0.233658567079,0.024924162099,3,529,43.0,0.081285444234,0.752942865346,0.192037167377,106,22.0,0.207547169811,2.553312856516,0.511627906977,0.618181818182,0.950354609929,0.031640054163,prior,False,one_standard_error,prior,0.233658567079,0.20873440498,0.110275187067
PACE,biosnap,seed_5,target,base,0.9,0.2,0.2,prior,True,1,complete,prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability,0.275853048474,0.058484075913,3,470,37.0,0.078723404255,0.721365707509,0.169506234894,94,15.0,0.159574468085,2.027027027027,0.405405405405,0.6,0.941489361702,0.020212765957,prior,False,one_standard_error,uncertainty_prior,0.278913347038,0.222259771759,0.152604049422
PACE,biosnap,seed_5,drug,base,0.8,0.1,0.2,uncertainty_support,True,2,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|target_esm_knn_distance|target_esm_nearest_train_distance,0.333716751837,0.080419013684,3,619,60.0,0.096930533118,0.799522957662,0.298393394833,124,38.0,0.306451612903,3.161559139785,0.633333333333,0.702702702703,0.955555555556,0.052486088673,uncertainty_support,False,one_standard_error,uncertainty_support,0.333716751837,0.253297738153,0.158071877323
PACE,biosnap,seed_5,drug,base,0.8,0.2,0.2,uncertainty_support,True,2,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|target_esm_knn_distance|target_esm_nearest_train_distance,0.332025904099,0.019030560679,3,550,48.0,0.087272727273,0.830552788845,0.308658394316,110,34.0,0.309090909091,3.541666666667,0.708333333333,0.810810810811,0.968181818182,0.055454545455,uncertainty_support,False,one_standard_error,uncertainty_support,0.332025904099,0.31299534342,0.133894669238
PACE,biosnap,seed_5,drug,base,0.9,0.1,0.2,uncertainty_support,True,2,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|target_esm_knn_distance|target_esm_nearest_train_distance,0.347716369837,0.057463279688,3,529,41.0,0.077504725898,0.833016793283,0.331961378712,106,25.0,0.235849056604,3.04302807179,0.609756097561,0.709090909091,0.962174940898,0.039679666796,uncertainty_support,False,one_standard_error,uncertainty_support,0.347716369837,0.290253090149,0.230537689262
PACE,biosnap,seed_5,drug,base,0.9,0.2,0.2,uncertainty_support,True,2,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|target_esm_knn_distance|target_esm_nearest_train_distance,0.279172558003,0.025056005283,3,470,37.0,0.078723404255,0.827476437176,0.250326090533,94,24.0,0.255319148936,3.243243243243,0.648648648649,0.763636363636,0.965425531915,0.04414893617,uncertainty_support,False,one_standard_error,uncertainty_prior_support,0.29883912968,0.266182638091,0.14436766793
PACE,biosnap,seed_6,target,base,0.8,0.1,0.2,prior,True,1,complete,prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability,0.249610565112,0.037483702692,3,773,82.0,0.106080206986,0.74727330486,0.24631326547,155,36.0,0.232258064516,2.189457120378,0.439024390244,0.557692307692,0.925566343042,0.031646550028,prior,False,one_standard_error,uncertainty_prior_support,0.272996806209,0.2364634987,0.029669043416
PACE,biosnap,seed_6,target,base,0.8,0.2,0.2,uncertainty,True,0,complete,calibrated_error_risk,0.208252681949,0.033085047631,3,687,61.0,0.088791848617,0.706986853821,0.187825494116,137,30.0,0.21897810219,2.46619600335,0.491803278689,0.701923076923,0.943636363636,0.032428212254,uncertainty,True,uncertainty_selected,prior,0.251077893993,0.203791081516,0.0
PACE,biosnap,seed_6,target,base,0.9,0.1,0.2,uncertainty,True,0,complete,calibrated_error_risk,0.207011025761,0.054245306128,3,635,51.0,0.08031496063,0.702256244964,0.175112612393,127,25.0,0.196850393701,2.450980392157,0.490196078431,0.606060606061,0.948818897638,0.029133858268,uncertainty,True,uncertainty_selected,prior,0.25150536217,0.196687610508,0.0
