model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,reference_role,evaluation_role,reference_n,evaluation_n,reference_outcomes_used_for_support,evaluation_batch_appended_to_reference,reference_frozen_before_test_scoring,exact_pair_support_enabled_in_core,overlap_drug_count,overlap_target_count,overlap_pair_count
PACE,human,seed_4,target,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,44,85,False,False,True,False,13,13,6
PACE,human,seed_4,target,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,39,76,False,False,True,False,12,11,5
PACE,human,seed_4,target,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,42,82,False,False,True,False,13,13,6
PACE,human,seed_4,target,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,38,73,False,False,True,False,12,10,5
PACE,human,seed_4,drug,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,44,85,False,False,True,False,14,12,7
PACE,human,seed_4,drug,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,39,76,False,False,True,False,13,12,6
PACE,human,seed_4,drug,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,42,82,False,False,True,False,13,12,6
PACE,human,seed_4,drug,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,38,73,False,False,True,False,11,11,5
PACE,human,seed_5,target,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,47,86,False,False,True,False,15,14,6
PACE,human,seed_5,target,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,42,77,False,False,True,False,14,12,6
PACE,human,seed_5,target,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,46,86,False,False,True,False,15,14,6
PACE,human,seed_5,target,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,41,77,False,False,True,False,13,12,5
PACE,human,seed_5,drug,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,47,86,False,False,True,False,14,14,6
PACE,human,seed_5,drug,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,42,77,False,False,True,False,13,13,6
PACE,human,seed_5,drug,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,46,86,False,False,True,False,14,14,6
PACE,human,seed_5,drug,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,41,77,False,False,True,False,13,13,6
PACE,human,seed_6,target,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,41,77,False,False,True,False,14,10,7
PACE,human,seed_6,target,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,36,68,False,False,True,False,12,10,6
PACE,human,seed_6,target,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,38,73,False,False,True,False,14,10,7
PACE,human,seed_6,target,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,34,65,False,False,True,False,12,10,6
PACE,human,seed_6,drug,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,41,77,False,False,True,False,14,10,7
PACE,human,seed_6,drug,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,36,68,False,False,True,False,12,10,6
PACE,human,seed_6,drug,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,38,73,False,False,True,False,13,10,7
PACE,human,seed_6,drug,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,34,65,False,False,True,False,12,10,6
PACE,human,seed_7,target,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,43,82,False,False,True,False,15,13,8
PACE,human,seed_7,target,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,38,73,False,False,True,False,14,10,7
PACE,human,seed_7,target,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,41,77,False,False,True,False,15,11,8
PACE,human,seed_7,target,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,37,68,False,False,True,False,13,10,6
PACE,human,seed_7,drug,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,43,82,False,False,True,False,15,12,8
PACE,human,seed_7,drug,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,38,73,False,False,True,False,14,10,7
PACE,human,seed_7,drug,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,41,77,False,False,True,False,15,12,8
PACE,human,seed_7,drug,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,37,68,False,False,True,False,13,10,7
PACE,human,seed_8,target,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,48,85,False,False,True,False,15,14,8
PACE,human,seed_8,target,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,42,76,False,False,True,False,15,12,7
PACE,human,seed_8,target,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,48,84,False,False,True,False,15,14,8
PACE,human,seed_8,target,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,42,74,False,False,True,False,15,12,7
PACE,human,seed_8,drug,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,48,85,False,False,True,False,15,14,8
PACE,human,seed_8,drug,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,42,76,False,False,True,False,12,13,6
PACE,human,seed_8,drug,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,48,84,False,False,True,False,15,14,8
PACE,human,seed_8,drug,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,42,74,False,False,True,False,12,13,6
