model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,scope,score_source,calibration_n,error_count,error_rate,mean_predicted_error_risk,brier_error_risk,ece_error_risk
PACE,human,seed_4,target,base,0.8,0.1,0.2,validation,candidate,raw,49,7.0,0.142857142857,0.005895179166,0.137296338837,0.136961963692
PACE,human,seed_4,target,base,0.8,0.1,0.2,validation,candidate,calibrated,49,7.0,0.142857142857,0.13559562012,0.115414568934,0.107695541307
PACE,human,seed_4,target,base,0.8,0.1,0.2,validation,deferred,raw,5,1.0,0.2,0.038973172723,0.16582861237,0.161026827277
PACE,human,seed_4,target,base,0.8,0.1,0.2,validation,deferred,calibrated,5,1.0,0.2,0.26784745979,0.152003995183,0.222490992155
PACE,human,seed_4,target,base,0.8,0.1,0.2,validation,residual,raw,44,6.0,0.136363636364,0.002136316261,0.134054035026,0.134227320102
PACE,human,seed_4,target,base,0.8,0.1,0.2,validation,residual,calibrated,44,6.0,0.136363636364,0.120567001975,0.111256679587,0.094650603711
PACE,human,seed_4,target,base,0.8,0.1,0.2,test,candidate,raw,95,20.0,0.210526315789,0.006222094325,0.207374462507,0.204304221464
PACE,human,seed_4,target,base,0.8,0.1,0.2,test,candidate,calibrated,95,20.0,0.210526315789,0.119531062441,0.168798017297,0.11498578729
PACE,human,seed_4,target,base,0.8,0.1,0.2,test,deferred,raw,10,3.0,0.3,0.044962788862,0.279039792351,0.255037211138
PACE,human,seed_4,target,base,0.8,0.1,0.2,test,deferred,calibrated,10,3.0,0.3,0.257867003014,0.218897102151,0.102181564913
PACE,human,seed_4,target,base,0.8,0.1,0.2,test,residual,raw,85,17.0,0.2,0.001664365556,0.198943247231,0.198335634444
PACE,human,seed_4,target,base,0.8,0.1,0.2,test,residual,calibrated,85,17.0,0.2,0.103256245903,0.162904007314,0.116492166393
PACE,human,seed_4,target,base,0.8,0.2,0.2,validation,candidate,raw,49,7.0,0.142857142857,0.005895179166,0.137296338837,0.136961963692
PACE,human,seed_4,target,base,0.8,0.2,0.2,validation,candidate,calibrated,49,7.0,0.142857142857,0.13559562012,0.115414568934,0.107695541307
