model,dataset,test_run,group_axis,confidence_source,split,added_component,delta_validation_fold_mean_auprc,delta_error_detection_auprc,delta_review_lift,delta_retained_accuracy_gain_vs_residual
PACE,human,seed_4,drug,base,test,combined_empirical_support,,-0.248402765835,-1.368611168244,-0.062547863331
PACE,human,seed_4,drug,base,test,empirical_support,,-0.192954821003,-0.811313931167,-0.035844470375
PACE,human,seed_4,drug,base,test,empirical_support_after_prior,,0.042039715382,0.001214349376,0.002520130309
PACE,human,seed_4,drug,base,test,fit_support,,-0.03940837407,-0.501569141643,-0.018185735418
PACE,human,seed_4,drug,base,test,fit_support_after_legacy_source_domain,,0.005646067117,-0.075367647059,-0.003787878788
PACE,human,seed_4,drug,base,test,fit_support_after_native_source_domain,,0.073296832543,0.78924568079,0.035533988507
PACE,human,seed_4,drug,base,test,general_target_joint_support,,0.000754929416,-0.200358220211,-0.010830338096
PACE,human,seed_4,drug,base,test,legacy_empirical_support,,-0.216503810841,-0.78924568079,-0.035533988507
PACE,human,seed_4,drug,base,test,legacy_source_domain_support_after_fit,,-0.177095436771,-0.287676539147,-0.017348253089
PACE,human,seed_4,drug,base,test,legacy_support_after_native,,-0.055447944833,-0.557297237077,-0.026703392956
PACE,human,seed_4,drug,base,test,native_source_domain_support,,-0.266251653546,-1.600559611957,-0.071378458881
PACE,human,seed_4,drug,base,test,native_source_domain_support_after_fit,,-0.153546446933,-0.309744789524,-0.017658734957
PACE,human,seed_4,drug,base,test,native_support_after_legacy,,-0.031898954994,-0.579365487454,-0.027013874824
PACE,human,seed_4,drug,base,test,prior,,0.014662104388,-0.170965309201,-0.007774831244
PACE,human,seed_4,drug,base,test,prior_after_empirical_support,,0.249656640773,0.641562971342,0.03058976944
PACE,human,seed_4,drug,base,test,source_domain_support,,-0.222149877959,-0.713878033731,-0.031746109719
PACE,human,seed_4,drug,base,test,target_sequence_support,,0.065759863664,0.266562971342,0.0117617837
PACE,human,seed_4,drug,base,validation,combined_empirical_support,0.069731040564,0.012588753839,0.121527777778,0.000358422939
PACE,human,seed_4,drug,base,validation,empirical_support,0.000418871252,0.038520692271,-0.84375,-0.020556609741
PACE,human,seed_4,drug,base,validation,empirical_support_after_prior,0.111111111111,0.186208736209,0.0,0.0
PACE,human,seed_4,drug,base,validation,fit_support,-0.234365480199,-0.214562481265,-0.84375,-0.020556609741
PACE,human,seed_4,drug,base,validation,fit_support_after_legacy_source_domain,0.047222222222,-0.004071296351,0.0,0.0
PACE,human,seed_4,drug,base,validation,fit_support_after_native_source_domain,-0.060229276896,-0.020543625478,-0.934027777778,-0.021863799283
PACE,human,seed_4,drug,base,validation,general_target_joint_support,0.238624338624,0.113501313501,1.371527777778,0.031667720852
PACE,human,seed_4,drug,base,validation,legacy_empirical_support,0.166820987654,0.061293290043,0.934027777778,0.021863799283
PACE,human,seed_4,drug,base,validation,legacy_source_domain_support_after_fit,0.401186467853,0.275855771309,1.777777777778,0.042420409024
PACE,human,seed_4,drug,base,validation,legacy_support_after_native,0.069312169312,-0.025931938432,0.965277777778,0.02091503268
PACE,human,seed_4,drug,base,validation,native_source_domain_support,0.060648148148,0.059064317749,0.090277777778,0.001307189542
PACE,human,seed_4,drug,base,validation,native_source_domain_support_after_fit,0.234784351451,0.253083173536,0.0,0.0
PACE,human,seed_4,drug,base,validation,native_support_after_legacy,-0.09708994709,-0.048704536205,-0.8125,-0.021505376344
PACE,human,seed_4,drug,base,validation,prior,0.161265432099,0.24118974494,1.868055555556,0.043727598566
PACE,human,seed_4,drug,base,validation,prior_after_empirical_support,0.271957671958,0.388877788878,2.711805555556,0.064284208307
PACE,human,seed_4,drug,base,validation,source_domain_support,0.119598765432,0.065364586394,0.934027777778,0.021863799283
PACE,human,seed_4,drug,base,validation,target_sequence_support,-0.050348725349,0.020947802198,1.402777777778,0.030718954248
PACE,human,seed_4,target,base,test,combined_empirical_support,,-0.172818847651,-0.603271973125,-0.027435764891
PACE,human,seed_4,target,base,test,empirical_support,,-0.066369544618,-0.402913752914,-0.016605426795
PACE,human,seed_4,target,base,test,empirical_support_after_prior,,0.019519393755,0.001838235294,0.0001114082
PACE,human,seed_4,target,base,test,fit_support,,0.043233493752,0.089752159605,0.006519993269
PACE,human,seed_4,target,base,test,fit_support_after_legacy_source_domain,,0.05997725119,0.25950311943,0.011774694204
PACE,human,seed_4,target,base,test,fit_support_after_native_source_domain,,0.198735636272,1.023004079254,0.046775384443
PACE,human,seed_4,target,base,test,general_target_joint_support,,-0.105017420839,-0.459861339641,-0.0226050323
PACE,human,seed_4,target,base,test,legacy_empirical_support,,-0.175532156343,-0.638510386672,-0.027958230931
PACE,human,seed_4,target,base,test,legacy_source_domain_support_after_fit,,-0.218765650095,-0.728262546277,-0.0344782242
PACE,human,seed_4,target,base,test,legacy_support_after_native,,-0.106449303033,-0.200358220211,-0.010830338096
PACE,human,seed_4,target,base,test,native_source_domain_support,,-0.26510518089,-1.425917832168,-0.063380811238
PACE,human,seed_4,target,base,test,native_source_domain_support_after_fit,,-0.10960303837,-0.492665912519,-0.023125420064
PACE,human,seed_4,target,base,test,native_support_after_legacy,,0.002713308692,0.035238413547,0.00052246604
PACE,human,seed_4,target,base,test,prior,,-0.037923189974,-0.097435897436,-0.004098360656
PACE,human,seed_4,target,base,test,prior_after_empirical_support,,0.047965748399,0.307316090772,0.012618474339
PACE,human,seed_4,target,base,test,source_domain_support,,-0.235509407533,-0.898013506102,-0.039732925135
PACE,human,seed_4,target,base,test,target_sequence_support,,0.053856787886,0.062197483889,0.003575894616
PACE,human,seed_4,target,base,validation,combined_empirical_support,0.176322751323,0.248197641307,0.988078703704,0.031605222734
PACE,human,seed_4,target,base,validation,empirical_support,0.179894179894,0.229024555406,1.284953703704,0.039938556068
PACE,human,seed_4,target,base,validation,empirical_support_after_prior,0.051967592593,0.169218067058,0.948032407407,0.030683563748
PACE,human,seed_4,target,base,validation,fit_support,0.045271164021,-0.065217261051,-0.422453703704,-0.014495798319
PACE,human,seed_4,target,base,validation,fit_support_after_legacy_source_domain,0.123842592593,0.049000420875,-0.70625,-0.023481973435
PACE,human,seed_4,target,base,validation,fit_support_after_native_source_domain,0.016071428571,-0.080978641457,0.0,0.0
PACE,human,seed_4,target,base,validation,general_target_joint_support,-0.169312169312,-0.037267811165,-0.963078703704,-0.030893647782
PACE,human,seed_4,target,base,validation,legacy_empirical_support,0.284887566138,0.288004940489,0.8125,0.024019607843
PACE,human,seed_4,target,base,validation,legacy_source_domain_support_after_fit,0.239616402116,0.35322220154,1.234953703704,0.038515406162
PACE,human,seed_4,target,base,validation,legacy_support_after_native,-0.003571428571,0.019173085901,-0.296875,-0.008333333333
PACE,human,seed_4,target,base,validation,native_source_domain_support,0.163822751323,0.310003196862,1.284953703704,0.039938556068
PACE,human,seed_4,target,base,validation,native_source_domain_support_after_fit,0.134623015873,0.294241816456,1.707407407407,0.054434354387
PACE,human,seed_4,target,base,validation,native_support_after_legacy,-0.108564814815,-0.039807299182,0.175578703704,0.007585614891
