model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,support_reference,support_state,residual_n,residual_share,error_count,error_rate,error_rate_delta_vs_all
PACE,human,seed_4,target,base,0.8,0.1,0.2,test,audit_fit,all,85,1.0,17.0,0.2,0.0
PACE,human,seed_4,target,base,0.8,0.1,0.2,test,audit_fit,both_seen,11,0.129411764706,0.0,0.0,-0.2
PACE,human,seed_4,target,base,0.8,0.1,0.2,test,audit_fit,both_unseen,38,0.447058823529,14.0,0.368421052632,0.168421052632
PACE,human,seed_4,target,base,0.8,0.1,0.2,test,audit_fit,drug_unseen,21,0.247058823529,2.0,0.095238095238,-0.104761904762
PACE,human,seed_4,target,base,0.8,0.1,0.2,test,audit_fit,target_unseen,15,0.176470588235,1.0,0.066666666667,-0.133333333333
PACE,human,seed_4,target,base,0.8,0.1,0.2,test,source_train,all,85,1.0,17.0,0.2,0.0
PACE,human,seed_4,target,base,0.8,0.1,0.2,test,source_train,both_unseen,85,1.0,17.0,0.2,0.0
PACE,human,seed_4,target,base,0.8,0.2,0.2,test,audit_fit,all,76,1.0,13.0,0.171052631579,0.0
PACE,human,seed_4,target,base,0.8,0.2,0.2,test,audit_fit,both_seen,9,0.118421052632,0.0,0.0,-0.171052631579
PACE,human,seed_4,target,base,0.8,0.2,0.2,test,audit_fit,both_unseen,36,0.473684210526,10.0,0.277777777778,0.106725146199
PACE,human,seed_4,target,base,0.8,0.2,0.2,test,audit_fit,drug_unseen,15,0.197368421053,2.0,0.133333333333,-0.037719298246
PACE,human,seed_4,target,base,0.8,0.2,0.2,test,audit_fit,target_unseen,16,0.210526315789,1.0,0.0625,-0.108552631579
PACE,human,seed_4,target,base,0.8,0.2,0.2,test,source_train,all,76,1.0,13.0,0.171052631579,0.0
PACE,human,seed_4,target,base,0.8,0.2,0.2,test,source_train,both_unseen,76,1.0,13.0,0.171052631579,0.0
PACE,human,seed_4,target,base,0.9,0.1,0.2,test,audit_fit,all,82,1.0,17.0,0.207317073171,0.0
PACE,human,seed_4,target,base,0.9,0.1,0.2,test,audit_fit,both_seen,11,0.134146341463,0.0,0.0,-0.207317073171
PACE,human,seed_4,target,base,0.9,0.1,0.2,test,audit_fit,both_unseen,37,0.451219512195,14.0,0.378378378378,0.171061305208
PACE,human,seed_4,target,base,0.9,0.1,0.2,test,audit_fit,drug_unseen,19,0.231707317073,2.0,0.105263157895,-0.102053915276
PACE,human,seed_4,target,base,0.9,0.1,0.2,test,audit_fit,target_unseen,15,0.182926829268,1.0,0.066666666667,-0.140650406504
PACE,human,seed_4,target,base,0.9,0.1,0.2,test,source_train,all,82,1.0,17.0,0.207317073171,0.0
PACE,human,seed_4,target,base,0.9,0.1,0.2,test,source_train,both_unseen,82,1.0,17.0,0.207317073171,0.0
PACE,human,seed_4,target,base,0.9,0.2,0.2,test,audit_fit,all,73,1.0,11.0,0.150684931507,0.0
PACE,human,seed_4,target,base,0.9,0.2,0.2,test,audit_fit,both_seen,9,0.123287671233,0.0,0.0,-0.150684931507
PACE,human,seed_4,target,base,0.9,0.2,0.2,test,audit_fit,both_unseen,34,0.465753424658,9.0,0.264705882353,0.114020950846
PACE,human,seed_4,target,base,0.9,0.2,0.2,test,audit_fit,drug_unseen,14,0.191780821918,1.0,0.071428571429,-0.079256360078
PACE,human,seed_4,target,base,0.9,0.2,0.2,test,audit_fit,target_unseen,16,0.219178082192,1.0,0.0625,-0.088184931507
PACE,human,seed_4,target,base,0.9,0.2,0.2,test,source_train,all,73,1.0,11.0,0.150684931507,0.0
PACE,human,seed_4,target,base,0.9,0.2,0.2,test,source_train,both_unseen,73,1.0,11.0,0.150684931507,0.0
PACE,human,seed_4,drug,base,0.8,0.1,0.2,test,audit_fit,all,85,1.0,17.0,0.2,0.0
PACE,human,seed_4,drug,base,0.8,0.1,0.2,test,audit_fit,both_seen,12,0.141176470588,0.0,0.0,-0.2
PACE,human,seed_4,drug,base,0.8,0.1,0.2,test,audit_fit,both_unseen,41,0.482352941176,14.0,0.341463414634,0.141463414634
PACE,human,seed_4,drug,base,0.8,0.1,0.2,test,audit_fit,drug_unseen,16,0.188235294118,2.0,0.125,-0.075
PACE,human,seed_4,drug,base,0.8,0.1,0.2,test,audit_fit,target_unseen,16,0.188235294118,1.0,0.0625,-0.1375
PACE,human,seed_4,drug,base,0.8,0.1,0.2,test,source_train,all,85,1.0,17.0,0.2,0.0
PACE,human,seed_4,drug,base,0.8,0.1,0.2,test,source_train,both_unseen,85,1.0,17.0,0.2,0.0
PACE,human,seed_4,drug,base,0.8,0.2,0.2,test,audit_fit,all,76,1.0,13.0,0.171052631579,0.0
PACE,human,seed_4,drug,base,0.8,0.2,0.2,test,audit_fit,both_seen,10,0.131578947368,0.0,0.0,-0.171052631579
PACE,human,seed_4,drug,base,0.8,0.2,0.2,test,audit_fit,both_unseen,35,0.460526315789,10.0,0.285714285714,0.114661654135
PACE,human,seed_4,drug,base,0.8,0.2,0.2,test,audit_fit,drug_unseen,15,0.197368421053,2.0,0.133333333333,-0.037719298246
PACE,human,seed_4,drug,base,0.8,0.2,0.2,test,audit_fit,target_unseen,16,0.210526315789,1.0,0.0625,-0.108552631579
PACE,human,seed_4,drug,base,0.8,0.2,0.2,test,source_train,all,76,1.0,13.0,0.171052631579,0.0
PACE,human,seed_4,drug,base,0.8,0.2,0.2,test,source_train,both_unseen,76,1.0,13.0,0.171052631579,0.0
PACE,human,seed_4,drug,base,0.9,0.1,0.2,test,audit_fit,all,82,1.0,17.0,0.207317073171,0.0
PACE,human,seed_4,drug,base,0.9,0.1,0.2,test,audit_fit,both_seen,10,0.121951219512,0.0,0.0,-0.207317073171
PACE,human,seed_4,drug,base,0.9,0.1,0.2,test,audit_fit,both_unseen,40,0.487804878049,14.0,0.35,0.142682926829
PACE,human,seed_4,drug,base,0.9,0.1,0.2,test,audit_fit,drug_unseen,16,0.19512195122,2.0,0.125,-0.082317073171
PACE,human,seed_4,drug,base,0.9,0.1,0.2,test,audit_fit,target_unseen,16,0.19512195122,1.0,0.0625,-0.144817073171
PACE,human,seed_4,drug,base,0.9,0.1,0.2,test,source_train,all,82,1.0,17.0,0.207317073171,0.0
PACE,human,seed_4,drug,base,0.9,0.1,0.2,test,source_train,both_unseen,82,1.0,17.0,0.207317073171,0.0
PACE,human,seed_4,drug,base,0.9,0.2,0.2,test,audit_fit,all,73,1.0,11.0,0.150684931507,0.0
PACE,human,seed_4,drug,base,0.9,0.2,0.2,test,audit_fit,both_seen,9,0.123287671233,0.0,0.0,-0.150684931507
PACE,human,seed_4,drug,base,0.9,0.2,0.2,test,audit_fit,both_unseen,34,0.465753424658,9.0,0.264705882353,0.114020950846
PACE,human,seed_4,drug,base,0.9,0.2,0.2,test,audit_fit,drug_unseen,15,0.205479452055,2.0,0.133333333333,-0.017351598174
PACE,human,seed_4,drug,base,0.9,0.2,0.2,test,audit_fit,target_unseen,15,0.205479452055,0.0,0.0,-0.150684931507
PACE,human,seed_4,drug,base,0.9,0.2,0.2,test,source_train,all,73,1.0,11.0,0.150684931507,0.0
PACE,human,seed_4,drug,base,0.9,0.2,0.2,test,source_train,both_unseen,73,1.0,11.0,0.150684931507,0.0
PACE,human,seed_5,target,base,0.8,0.1,0.2,test,audit_fit,all,86,1.0,15.0,0.174418604651,0.0
PACE,human,seed_5,target,base,0.8,0.1,0.2,test,audit_fit,both_seen,11,0.127906976744,0.0,0.0,-0.174418604651
PACE,human,seed_5,target,base,0.8,0.1,0.2,test,audit_fit,both_unseen,35,0.406976744186,12.0,0.342857142857,0.168438538206
PACE,human,seed_5,target,base,0.8,0.1,0.2,test,audit_fit,drug_unseen,21,0.244186046512,2.0,0.095238095238,-0.079180509413
PACE,human,seed_5,target,base,0.8,0.1,0.2,test,audit_fit,target_unseen,19,0.220930232558,1.0,0.052631578947,-0.121787025704
PACE,human,seed_5,target,base,0.8,0.1,0.2,test,source_train,all,86,1.0,15.0,0.174418604651,0.0
PACE,human,seed_5,target,base,0.8,0.1,0.2,test,source_train,both_unseen,86,1.0,15.0,0.174418604651,0.0
PACE,human,seed_5,target,base,0.8,0.2,0.2,test,audit_fit,all,77,1.0,12.0,0.155844155844,0.0
PACE,human,seed_5,target,base,0.8,0.2,0.2,test,audit_fit,both_seen,11,0.142857142857,0.0,0.0,-0.155844155844
PACE,human,seed_5,target,base,0.8,0.2,0.2,test,audit_fit,both_unseen,32,0.415584415584,10.0,0.3125,0.156655844156
PACE,human,seed_5,target,base,0.8,0.2,0.2,test,audit_fit,drug_unseen,19,0.246753246753,1.0,0.052631578947,-0.103212576897
PACE,human,seed_5,target,base,0.8,0.2,0.2,test,audit_fit,target_unseen,15,0.194805194805,1.0,0.066666666667,-0.089177489177
PACE,human,seed_5,target,base,0.8,0.2,0.2,test,source_train,all,77,1.0,12.0,0.155844155844,0.0
PACE,human,seed_5,target,base,0.8,0.2,0.2,test,source_train,both_unseen,77,1.0,12.0,0.155844155844,0.0
PACE,human,seed_5,target,base,0.9,0.1,0.2,test,audit_fit,all,86,1.0,15.0,0.174418604651,0.0
PACE,human,seed_5,target,base,0.9,0.1,0.2,test,audit_fit,both_seen,11,0.127906976744,0.0,0.0,-0.174418604651
PACE,human,seed_5,target,base,0.9,0.1,0.2,test,audit_fit,both_unseen,35,0.406976744186,12.0,0.342857142857,0.168438538206
PACE,human,seed_5,target,base,0.9,0.1,0.2,test,audit_fit,drug_unseen,21,0.244186046512,2.0,0.095238095238,-0.079180509413
PACE,human,seed_5,target,base,0.9,0.1,0.2,test,audit_fit,target_unseen,19,0.220930232558,1.0,0.052631578947,-0.121787025704
PACE,human,seed_5,target,base,0.9,0.1,0.2,test,source_train,all,86,1.0,15.0,0.174418604651,0.0
PACE,human,seed_5,target,base,0.9,0.1,0.2,test,source_train,both_unseen,86,1.0,15.0,0.174418604651,0.0
PACE,human,seed_5,target,base,0.9,0.2,0.2,test,audit_fit,all,77,1.0,12.0,0.155844155844,0.0
PACE,human,seed_5,target,base,0.9,0.2,0.2,test,audit_fit,both_seen,10,0.12987012987,0.0,0.0,-0.155844155844
PACE,human,seed_5,target,base,0.9,0.2,0.2,test,audit_fit,both_unseen,32,0.415584415584,10.0,0.3125,0.156655844156
PACE,human,seed_5,target,base,0.9,0.2,0.2,test,audit_fit,drug_unseen,20,0.25974025974,1.0,0.05,-0.105844155844
PACE,human,seed_5,target,base,0.9,0.2,0.2,test,audit_fit,target_unseen,15,0.194805194805,1.0,0.066666666667,-0.089177489177
PACE,human,seed_5,target,base,0.9,0.2,0.2,test,source_train,all,77,1.0,12.0,0.155844155844,0.0
PACE,human,seed_5,target,base,0.9,0.2,0.2,test,source_train,both_unseen,77,1.0,12.0,0.155844155844,0.0
PACE,human,seed_5,drug,base,0.8,0.1,0.2,test,audit_fit,all,86,1.0,15.0,0.174418604651,0.0
PACE,human,seed_5,drug,base,0.8,0.1,0.2,test,audit_fit,both_seen,11,0.127906976744,0.0,0.0,-0.174418604651
PACE,human,seed_5,drug,base,0.8,0.1,0.2,test,audit_fit,both_unseen,36,0.418604651163,12.0,0.333333333333,0.158914728682
PACE,human,seed_5,drug,base,0.8,0.1,0.2,test,audit_fit,drug_unseen,21,0.244186046512,2.0,0.095238095238,-0.079180509413
PACE,human,seed_5,drug,base,0.8,0.1,0.2,test,audit_fit,target_unseen,18,0.209302325581,1.0,0.055555555556,-0.118863049096
PACE,human,seed_5,drug,base,0.8,0.1,0.2,test,source_train,all,86,1.0,15.0,0.174418604651,0.0
PACE,human,seed_5,drug,base,0.8,0.1,0.2,test,source_train,both_unseen,86,1.0,15.0,0.174418604651,0.0
PACE,human,seed_5,drug,base,0.8,0.2,0.2,test,audit_fit,all,77,1.0,12.0,0.155844155844,0.0
PACE,human,seed_5,drug,base,0.8,0.2,0.2,test,audit_fit,both_seen,11,0.142857142857,0.0,0.0,-0.155844155844
PACE,human,seed_5,drug,base,0.8,0.2,0.2,test,audit_fit,both_unseen,31,0.402597402597,11.0,0.354838709677,0.198994553833
PACE,human,seed_5,drug,base,0.8,0.2,0.2,test,audit_fit,drug_unseen,20,0.25974025974,1.0,0.05,-0.105844155844
PACE,human,seed_5,drug,base,0.8,0.2,0.2,test,audit_fit,target_unseen,15,0.194805194805,0.0,0.0,-0.155844155844
PACE,human,seed_5,drug,base,0.8,0.2,0.2,test,source_train,all,77,1.0,12.0,0.155844155844,0.0
PACE,human,seed_5,drug,base,0.8,0.2,0.2,test,source_train,both_unseen,77,1.0,12.0,0.155844155844,0.0
PACE,human,seed_5,drug,base,0.9,0.1,0.2,test,audit_fit,all,86,1.0,15.0,0.174418604651,0.0
PACE,human,seed_5,drug,base,0.9,0.1,0.2,test,audit_fit,both_seen,11,0.127906976744,0.0,0.0,-0.174418604651
PACE,human,seed_5,drug,base,0.9,0.1,0.2,test,audit_fit,both_unseen,36,0.418604651163,12.0,0.333333333333,0.158914728682
PACE,human,seed_5,drug,base,0.9,0.1,0.2,test,audit_fit,drug_unseen,21,0.244186046512,2.0,0.095238095238,-0.079180509413
PACE,human,seed_5,drug,base,0.9,0.1,0.2,test,audit_fit,target_unseen,18,0.209302325581,1.0,0.055555555556,-0.118863049096
PACE,human,seed_5,drug,base,0.9,0.1,0.2,test,source_train,all,86,1.0,15.0,0.174418604651,0.0
PACE,human,seed_5,drug,base,0.9,0.1,0.2,test,source_train,both_unseen,86,1.0,15.0,0.174418604651,0.0
PACE,human,seed_5,drug,base,0.9,0.2,0.2,test,audit_fit,all,77,1.0,12.0,0.155844155844,0.0
PACE,human,seed_5,drug,base,0.9,0.2,0.2,test,audit_fit,both_seen,11,0.142857142857,0.0,0.0,-0.155844155844
PACE,human,seed_5,drug,base,0.9,0.2,0.2,test,audit_fit,both_unseen,31,0.402597402597,11.0,0.354838709677,0.198994553833
PACE,human,seed_5,drug,base,0.9,0.2,0.2,test,audit_fit,drug_unseen,20,0.25974025974,1.0,0.05,-0.105844155844
PACE,human,seed_5,drug,base,0.9,0.2,0.2,test,audit_fit,target_unseen,15,0.194805194805,0.0,0.0,-0.155844155844
PACE,human,seed_5,drug,base,0.9,0.2,0.2,test,source_train,all,77,1.0,12.0,0.155844155844,0.0
PACE,human,seed_5,drug,base,0.9,0.2,0.2,test,source_train,both_unseen,77,1.0,12.0,0.155844155844,0.0
PACE,human,seed_6,target,base,0.8,0.1,0.2,test,audit_fit,all,77,1.0,13.0,0.168831168831,0.0
PACE,human,seed_6,target,base,0.8,0.1,0.2,test,audit_fit,both_seen,12,0.155844155844,0.0,0.0,-0.168831168831
PACE,human,seed_6,target,base,0.8,0.1,0.2,test,audit_fit,both_unseen,34,0.441558441558,12.0,0.352941176471,0.184110007639
