model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,calibration_status,candidate_n,candidate_error_count,deferred_n,deferred_error_count,residual_n,residual_error_count,residual_has_two_classes
PACE,human,seed_4,target,base,0.8,0.1,0.2,validation,cross_fitted,49,7.0,5,1.0,44,6.0,True
PACE,human,seed_4,target,base,0.8,0.1,0.2,test,fitted,95,20.0,10,3.0,85,17.0,True
PACE,human,seed_4,target,base,0.8,0.2,0.2,validation,cross_fitted,49,7.0,10,2.0,39,5.0,True
PACE,human,seed_4,target,base,0.8,0.2,0.2,test,fitted,95,20.0,19,7.0,76,13.0,True
PACE,human,seed_4,target,base,0.9,0.1,0.2,validation,cross_fitted,47,6.0,5,0.0,42,6.0,True
PACE,human,seed_4,target,base,0.9,0.1,0.2,test,fitted,91,19.0,9,2.0,82,17.0,True
PACE,human,seed_4,target,base,0.9,0.2,0.2,validation,cross_fitted,47,6.0,9,2.0,38,4.0,True
PACE,human,seed_4,target,base,0.9,0.2,0.2,test,fitted,91,19.0,18,8.0,73,11.0,True
PACE,human,seed_4,drug,base,0.8,0.1,0.2,validation,cross_fitted,49,7.0,5,3.0,44,4.0,True
PACE,human,seed_4,drug,base,0.8,0.1,0.2,test,fitted,95,20.0,10,3.0,85,17.0,True
PACE,human,seed_4,drug,base,0.8,0.2,0.2,validation,cross_fitted,49,7.0,10,3.0,39,4.0,True
PACE,human,seed_4,drug,base,0.8,0.2,0.2,test,fitted,95,20.0,19,7.0,76,13.0,True
PACE,human,seed_4,drug,base,0.9,0.1,0.2,validation,cross_fitted,47,6.0,5,2.0,42,4.0,True
PACE,human,seed_4,drug,base,0.9,0.1,0.2,test,fitted,91,19.0,9,2.0,82,17.0,True
PACE,human,seed_4,drug,base,0.9,0.2,0.2,validation,cross_fitted,47,6.0,9,3.0,38,3.0,True
PACE,human,seed_4,drug,base,0.9,0.2,0.2,test,fitted,91,19.0,18,8.0,73,11.0,True
PACE,human,seed_5,target,base,0.8,0.1,0.2,validation,cross_fitted,52,10.0,5,3.0,47,7.0,True
PACE,human,seed_5,target,base,0.8,0.1,0.2,test,fitted,96,20.0,10,5.0,86,15.0,True
PACE,human,seed_5,target,base,0.8,0.2,0.2,validation,cross_fitted,52,10.0,10,4.0,42,6.0,True
PACE,human,seed_5,target,base,0.8,0.2,0.2,test,fitted,96,20.0,19,8.0,77,12.0,True
PACE,human,seed_5,target,base,0.9,0.1,0.2,validation,cross_fitted,51,9.0,5,2.0,46,7.0,True
PACE,human,seed_5,target,base,0.9,0.1,0.2,test,fitted,96,20.0,10,5.0,86,15.0,True
PACE,human,seed_5,target,base,0.9,0.2,0.2,validation,cross_fitted,51,9.0,10,3.0,41,6.0,True
PACE,human,seed_5,target,base,0.9,0.2,0.2,test,fitted,96,20.0,19,8.0,77,12.0,True
PACE,human,seed_5,drug,base,0.8,0.1,0.2,validation,cross_fitted,52,10.0,5,3.0,47,7.0,True
PACE,human,seed_5,drug,base,0.8,0.1,0.2,test,fitted,96,20.0,10,5.0,86,15.0,True
PACE,human,seed_5,drug,base,0.8,0.2,0.2,validation,cross_fitted,52,10.0,10,6.0,42,4.0,True
PACE,human,seed_5,drug,base,0.8,0.2,0.2,test,fitted,96,20.0,19,8.0,77,12.0,True
PACE,human,seed_5,drug,base,0.9,0.1,0.2,validation,cross_fitted,51,9.0,5,2.0,46,7.0,True
PACE,human,seed_5,drug,base,0.9,0.1,0.2,test,fitted,96,20.0,10,5.0,86,15.0,True
PACE,human,seed_5,drug,base,0.9,0.2,0.2,validation,cross_fitted,51,9.0,10,5.0,41,4.0,True
PACE,human,seed_5,drug,base,0.9,0.2,0.2,test,fitted,96,20.0,19,8.0,77,12.0,True
PACE,human,seed_6,target,base,0.8,0.1,0.2,validation,cross_fitted,45,4.0,4,2.0,41,2.0,True
PACE,human,seed_6,target,base,0.8,0.1,0.2,test,fitted,85,17.0,8,4.0,77,13.0,True
PACE,human,seed_6,target,base,0.8,0.2,0.2,validation,cross_fitted,45,4.0,9,4.0,36,0.0,False
PACE,human,seed_6,target,base,0.8,0.2,0.2,test,fitted,85,17.0,17,9.0,68,8.0,True
PACE,human,seed_6,target,base,0.9,0.1,0.2,validation,cross_fitted,42,3.0,4,2.0,38,1.0,True
PACE,human,seed_6,target,base,0.9,0.1,0.2,test,fitted,81,16.0,8,5.0,73,11.0,True
PACE,human,seed_6,target,base,0.9,0.2,0.2,validation,cross_fitted,42,3.0,8,3.0,34,0.0,False
PACE,human,seed_6,target,base,0.9,0.2,0.2,test,fitted,81,16.0,16,10.0,65,6.0,True
PACE,human,seed_6,drug,base,0.8,0.1,0.2,validation,cross_fitted,45,4.0,4,2.0,41,2.0,True
PACE,human,seed_6,drug,base,0.8,0.1,0.2,test,fitted,85,17.0,8,4.0,77,13.0,True
PACE,human,seed_6,drug,base,0.8,0.2,0.2,validation,cross_fitted,45,4.0,9,4.0,36,0.0,False
PACE,human,seed_6,drug,base,0.8,0.2,0.2,test,fitted,85,17.0,17,9.0,68,8.0,True
PACE,human,seed_6,drug,base,0.9,0.1,0.2,validation,cross_fitted,42,3.0,4,3.0,38,0.0,False
PACE,human,seed_6,drug,base,0.9,0.1,0.2,test,fitted,81,16.0,8,5.0,73,11.0,True
PACE,human,seed_6,drug,base,0.9,0.2,0.2,validation,cross_fitted,42,3.0,8,3.0,34,0.0,False
PACE,human,seed_6,drug,base,0.9,0.2,0.2,test,fitted,81,16.0,16,10.0,65,6.0,True
PACE,human,seed_7,target,base,0.8,0.1,0.2,validation,cross_fitted,48,6.0,5,2.0,43,4.0,True
PACE,human,seed_7,target,base,0.8,0.1,0.2,test,fitted,91,16.0,9,4.0,82,12.0,True
PACE,human,seed_7,target,base,0.8,0.2,0.2,validation,cross_fitted,48,6.0,10,4.0,38,2.0,True
PACE,human,seed_7,target,base,0.8,0.2,0.2,test,fitted,91,16.0,18,7.0,73,9.0,True
PACE,human,seed_7,target,base,0.9,0.1,0.2,validation,cross_fitted,46,5.0,5,3.0,41,2.0,True
PACE,human,seed_7,target,base,0.9,0.1,0.2,test,fitted,85,14.0,8,3.0,77,11.0,True
PACE,human,seed_7,target,base,0.9,0.2,0.2,validation,cross_fitted,46,5.0,9,3.0,37,2.0,True
PACE,human,seed_7,target,base,0.9,0.2,0.2,test,fitted,85,14.0,17,9.0,68,5.0,True
PACE,human,seed_7,drug,base,0.8,0.1,0.2,validation,cross_fitted,48,6.0,5,2.0,43,4.0,True
PACE,human,seed_7,drug,base,0.8,0.1,0.2,test,fitted,91,16.0,9,4.0,82,12.0,True
PACE,human,seed_7,drug,base,0.8,0.2,0.2,validation,cross_fitted,48,6.0,10,5.0,38,1.0,True
PACE,human,seed_7,drug,base,0.8,0.2,0.2,test,fitted,91,16.0,18,7.0,73,9.0,True
PACE,human,seed_7,drug,base,0.9,0.1,0.2,validation,cross_fitted,46,5.0,5,2.0,41,3.0,True
PACE,human,seed_7,drug,base,0.9,0.1,0.2,test,fitted,85,14.0,8,3.0,77,11.0,True
PACE,human,seed_7,drug,base,0.9,0.2,0.2,validation,cross_fitted,46,5.0,9,5.0,37,0.0,False
PACE,human,seed_7,drug,base,0.9,0.2,0.2,test,fitted,85,14.0,17,9.0,68,5.0,True
PACE,human,seed_8,target,base,0.8,0.1,0.2,validation,cross_fitted,53,7.0,5,1.0,48,6.0,True
PACE,human,seed_8,target,base,0.8,0.1,0.2,test,fitted,95,17.0,10,5.0,85,12.0,True
PACE,human,seed_8,target,base,0.8,0.2,0.2,validation,cross_fitted,53,7.0,11,2.0,42,5.0,True
PACE,human,seed_8,target,base,0.8,0.2,0.2,test,fitted,95,17.0,19,8.0,76,9.0,True
PACE,human,seed_8,target,base,0.9,0.1,0.2,validation,cross_fitted,53,7.0,5,1.0,48,6.0,True
PACE,human,seed_8,target,base,0.9,0.1,0.2,test,fitted,93,15.0,9,4.0,84,11.0,True
PACE,human,seed_8,target,base,0.9,0.2,0.2,validation,cross_fitted,53,7.0,11,2.0,42,5.0,True
PACE,human,seed_8,target,base,0.9,0.2,0.2,test,fitted,93,15.0,19,7.0,74,8.0,True
PACE,human,seed_8,drug,base,0.8,0.1,0.2,validation,cross_fitted,53,7.0,5,1.0,48,6.0,True
PACE,human,seed_8,drug,base,0.8,0.1,0.2,test,fitted,95,17.0,10,5.0,85,12.0,True
PACE,human,seed_8,drug,base,0.8,0.2,0.2,validation,cross_fitted,53,7.0,11,2.0,42,5.0,True
PACE,human,seed_8,drug,base,0.8,0.2,0.2,test,fitted,95,17.0,19,8.0,76,9.0,True
PACE,human,seed_8,drug,base,0.9,0.1,0.2,validation,cross_fitted,53,7.0,5,1.0,48,6.0,True
PACE,human,seed_8,drug,base,0.9,0.1,0.2,test,fitted,93,15.0,9,4.0,84,11.0,True
PACE,human,seed_8,drug,base,0.9,0.2,0.2,validation,cross_fitted,53,7.0,11,2.0,42,5.0,True
PACE,human,seed_8,drug,base,0.9,0.2,0.2,test,fitted,93,15.0,19,7.0,74,8.0,True
