model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,profile,primary_candidate,complexity,model_status,used_features,validation_fold_mean_auprc,validation_fold_se_auprc,validation_finite_folds,universe_n,universe_error_count,universe_error_rate,error_detection_auroc,error_detection_auprc,reviewed_n,review_error_count,review_error_rate,review_lift,review_recall_of_residual_errors,combined_recall_of_candidate_errors,retained_accuracy_after_review,retained_accuracy_gain_vs_residual,selected_profile,selection_fallback,selection_reason,best_profile,best_validation_fold_mean_auprc,one_se_threshold,validation_gain_vs_uncertainty
PACE,human,seed_4,target,base,0.8,0.1,0.2,uncertainty_prior_support,True,3,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability|target_esm_knn_distance|target_esm_nearest_train_distance,0.983333333333,0.016666666667,3,44,6.0,0.136363636364,0.982456140351,0.897222222222,9,6.0,0.666666666667,4.888888888889,1.0,1.0,1.0,0.136363636364,uncertainty_prior_support,False,one_standard_error,uncertainty_prior_support,0.983333333333,0.966666666667,0.477380952381
PACE,human,seed_4,target,base,0.8,0.2,0.2,prior,True,1,complete,prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability,1.0,0.0,3,39,5.0,0.128205128205,0.952941176471,0.775396825397,8,4.0,0.5,3.9,0.8,0.857142857143,0.967741935484,0.095947063689,prior,False,one_standard_error,prior,1.0,1.0,0.137566137566
PACE,human,seed_4,target,base,0.9,0.1,0.2,prior,True,1,complete,prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability,0.899470899471,0.100529100529,3,42,6.0,0.142857142857,0.907407407407,0.827380952381,8,5.0,0.625,4.375,0.833333333333,0.833333333333,0.970588235294,0.113445378151,prior,False,one_standard_error,prior,0.899470899471,0.798941798942,0.357804232804
PACE,human,seed_4,target,base,0.9,0.2,0.2,uncertainty_support,True,2,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|target_esm_knn_distance|target_esm_nearest_train_distance,1.0,0.0,3,38,4.0,0.105263157895,0.977941176471,0.892857142857,8,4.0,0.5,4.75,1.0,1.0,1.0,0.105263157895,uncertainty_support,False,one_standard_error,uncertainty_support,1.0,1.0,0.285714285714
PACE,human,seed_4,drug,base,0.8,0.1,0.2,uncertainty,True,0,group_cv_unavailable,,,,0,44,4.0,0.090909090909,0.55625,0.164411027569,9,2.0,0.222222222222,2.444444444444,0.5,0.714285714286,0.942857142857,0.033766233766,uncertainty,True,no_finite_group_cv_candidate,,,,
PACE,human,seed_4,drug,base,0.8,0.2,0.2,uncertainty_prior_support,True,3,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability|target_esm_knn_distance|target_esm_nearest_train_distance,1.0,0.0,3,39,4.0,0.102564102564,1.0,1.0,8,4.0,0.5,4.875,1.0,1.0,1.0,0.102564102564,uncertainty_prior_support,False,one_standard_error,uncertainty_prior_support,1.0,1.0,0.425
PACE,human,seed_4,drug,base,0.9,0.1,0.2,uncertainty,True,0,complete,calibrated_error_risk,0.715277777778,0.284722222222,3,42,4.0,0.095238095238,0.585526315789,0.217063492063,8,2.0,0.25,2.625,0.5,0.666666666667,0.941176470588,0.036414565826,uncertainty,True,uncertainty_selected,uncertainty,0.715277777778,0.430555555556,0.0
PACE,human,seed_4,drug,base,0.9,0.2,0.2,prior,True,1,complete,prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability,0.833333333333,0.166666666667,3,38,3.0,0.078947368421,0.961904761905,0.722222222222,8,3.0,0.375,4.75,1.0,1.0,1.0,0.078947368421,prior,False,one_standard_error,prior,0.833333333333,0.666666666667,0.42962962963
PACE,human,seed_5,target,base,0.8,0.1,0.2,prior,True,1,complete,prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability,0.936507936508,0.063492063492,3,47,7.0,0.148936170213,0.896428571429,0.714935064935,9,4.0,0.444444444444,2.984126984127,0.571428571429,0.7,0.921052631579,0.069988801792,prior,False,one_standard_error,prior,0.936507936508,0.873015873016,0.547751322751
PACE,human,seed_5,target,base,0.8,0.2,0.2,prior,True,1,complete,prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability,0.755555555556,0.244444444444,3,42,6.0,0.142857142857,0.842592592593,0.467673992674,8,4.0,0.5,3.5,0.666666666667,0.8,0.941176470588,0.084033613445,prior,False,one_standard_error,uncertainty_prior_support,0.805555555556,0.650895434366,0.349611499611
