model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,reference_role,evaluation_role,reference_n,evaluation_n,reference_outcomes_used_for_support,evaluation_batch_appended_to_reference,reference_frozen_before_test_scoring,exact_pair_support_enabled_in_core,overlap_drug_count,overlap_target_count,overlap_pair_count
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,13,3,False,False,True,False,0,2,0
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,11,2,False,False,True,False,0,2,0
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,0,0,False,False,True,False,0,0,0
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,0,0,False,False,True,False,0,0,0
TAPB,bindingdb,seed_4,drug,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,13,3,False,False,True,False,0,2,0
TAPB,bindingdb,seed_4,drug,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,11,2,False,False,True,False,0,2,0
TAPB,bindingdb,seed_4,drug,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,0,0,False,False,True,False,0,0,0
TAPB,bindingdb,seed_4,drug,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,0,0,False,False,True,False,0,0,0
TAPB,bindingdb,seed_5,target,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,752,193,False,False,True,False,59,62,0
TAPB,bindingdb,seed_5,target,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,669,172,False,False,True,False,52,53,0
TAPB,bindingdb,seed_5,target,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,516,125,False,False,True,False,33,41,0
TAPB,bindingdb,seed_5,target,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,458,111,False,False,True,False,26,40,0
