model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,scope,score_source,calibration_n,error_count,error_rate,mean_predicted_error_risk,brier_error_risk,ece_error_risk
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.2,validation,candidate,raw,14,5.0,0.357142857143,0.091921574582,0.297665894604,0.265221282561
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.2,validation,candidate,calibrated,14,5.0,0.357142857143,0.180939517945,0.25218175173,0.176203339198
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.2,validation,deferred,raw,1,0.0,0.0,0.099933261417,0.009986656737,0.099933261417
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.2,validation,deferred,calibrated,1,0.0,0.0,0.230652071096,0.053200377901,0.230652071096
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.2,validation,residual,raw,13,5.0,0.384615384615,0.091305290979,0.319795066748,0.293310093636
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.2,validation,residual,calibrated,13,5.0,0.384615384615,0.177115475395,0.267488011255,0.207499909221
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,candidate,raw,3,0.0,0.0,0.087704951514,0.007718161452,0.087704951514
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,candidate,calibrated,3,0.0,0.0,0.187606238496,0.035225723322,0.187606238496
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,deferred,raw,0,0.0,,,,
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,deferred,calibrated,0,0.0,,,,
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,residual,raw,3,0.0,0.0,0.087704951514,0.007718161452,0.087704951514
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,residual,calibrated,3,0.0,0.0,0.187606238496,0.035225723322,0.187606238496
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.2,validation,candidate,raw,14,5.0,0.357142857143,0.091921574582,0.297665894604,0.265221282561
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.2,validation,candidate,calibrated,14,5.0,0.357142857143,0.180939517945,0.25218175173,0.176203339198
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.2,validation,deferred,raw,3,0.0,0.0,0.099733147168,0.009946784465,0.099733147168
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.2,validation,deferred,calibrated,3,0.0,0.0,0.228643895537,0.052283907231,0.228643895537
