model,dataset,test_run,group_axis,confidence_source,split,added_component,delta_validation_fold_mean_auprc,delta_error_detection_auprc,delta_review_lift,delta_retained_accuracy_gain_vs_residual
TAPB,bindingdb,seed_4,drug,base,test,combined_empirical_support,,,,
TAPB,bindingdb,seed_4,drug,base,test,empirical_support,,,,
TAPB,bindingdb,seed_4,drug,base,test,empirical_support_after_prior,,,,
TAPB,bindingdb,seed_4,drug,base,test,fit_support,,,,
TAPB,bindingdb,seed_4,drug,base,test,fit_support_after_legacy_source_domain,,,,
TAPB,bindingdb,seed_4,drug,base,test,fit_support_after_native_source_domain,,,,
TAPB,bindingdb,seed_4,drug,base,test,general_target_joint_support,,,,
TAPB,bindingdb,seed_4,drug,base,test,legacy_empirical_support,,,,
TAPB,bindingdb,seed_4,drug,base,test,legacy_source_domain_support_after_fit,,,,
TAPB,bindingdb,seed_4,drug,base,test,legacy_support_after_native,,,,
TAPB,bindingdb,seed_4,drug,base,test,native_source_domain_support,,,,
TAPB,bindingdb,seed_4,drug,base,test,native_source_domain_support_after_fit,,,,
TAPB,bindingdb,seed_4,drug,base,test,native_support_after_legacy,,,,
TAPB,bindingdb,seed_4,drug,base,test,prior,,,,
TAPB,bindingdb,seed_4,drug,base,test,prior_after_empirical_support,,,,
TAPB,bindingdb,seed_4,drug,base,test,source_domain_support,,,,
TAPB,bindingdb,seed_4,drug,base,test,target_sequence_support,,,,
TAPB,bindingdb,seed_4,drug,base,validation,combined_empirical_support,,,,
TAPB,bindingdb,seed_4,drug,base,validation,empirical_support,,,,
TAPB,bindingdb,seed_4,drug,base,validation,empirical_support_after_prior,,,,
TAPB,bindingdb,seed_4,drug,base,validation,fit_support,,,,
TAPB,bindingdb,seed_4,drug,base,validation,fit_support_after_legacy_source_domain,,,,
TAPB,bindingdb,seed_4,drug,base,validation,fit_support_after_native_source_domain,,,,
TAPB,bindingdb,seed_4,drug,base,validation,general_target_joint_support,,,,
TAPB,bindingdb,seed_4,drug,base,validation,legacy_empirical_support,,,,
TAPB,bindingdb,seed_4,drug,base,validation,legacy_source_domain_support_after_fit,,,,
TAPB,bindingdb,seed_4,drug,base,validation,legacy_support_after_native,,,,
TAPB,bindingdb,seed_4,drug,base,validation,native_source_domain_support,,,,
TAPB,bindingdb,seed_4,drug,base,validation,native_source_domain_support_after_fit,,,,
TAPB,bindingdb,seed_4,drug,base,validation,native_support_after_legacy,,,,
TAPB,bindingdb,seed_4,drug,base,validation,prior,,,,
TAPB,bindingdb,seed_4,drug,base,validation,prior_after_empirical_support,,,,
TAPB,bindingdb,seed_4,drug,base,validation,source_domain_support,,,,
TAPB,bindingdb,seed_4,drug,base,validation,target_sequence_support,,,,
