model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,support_reference,support_state,residual_n,residual_share,error_count,error_rate,error_rate_delta_vs_all
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,audit_fit,all,3,1.0,0.0,0.0,0.0
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,audit_fit,drug_unseen,3,1.0,0.0,0.0,0.0
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,source_train,all,3,1.0,0.0,0.0,0.0
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,source_train,both_unseen,3,1.0,0.0,0.0,0.0
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.2,test,audit_fit,all,2,1.0,0.0,0.0,0.0
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.2,test,audit_fit,drug_unseen,2,1.0,0.0,0.0,0.0
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.2,test,source_train,all,2,1.0,0.0,0.0,0.0
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.2,test,source_train,both_unseen,2,1.0,0.0,0.0,0.0
TAPB,bindingdb,seed_4,drug,base,0.8,0.1,0.2,test,audit_fit,all,3,1.0,0.0,0.0,0.0
TAPB,bindingdb,seed_4,drug,base,0.8,0.1,0.2,test,audit_fit,drug_unseen,3,1.0,0.0,0.0,0.0
TAPB,bindingdb,seed_4,drug,base,0.8,0.1,0.2,test,source_train,all,3,1.0,0.0,0.0,0.0
TAPB,bindingdb,seed_4,drug,base,0.8,0.1,0.2,test,source_train,both_unseen,3,1.0,0.0,0.0,0.0
TAPB,bindingdb,seed_4,drug,base,0.8,0.2,0.2,test,audit_fit,all,2,1.0,0.0,0.0,0.0
TAPB,bindingdb,seed_4,drug,base,0.8,0.2,0.2,test,audit_fit,drug_unseen,2,1.0,0.0,0.0,0.0
TAPB,bindingdb,seed_4,drug,base,0.8,0.2,0.2,test,source_train,all,2,1.0,0.0,0.0,0.0
TAPB,bindingdb,seed_4,drug,base,0.8,0.2,0.2,test,source_train,both_unseen,2,1.0,0.0,0.0,0.0
TAPB,bindingdb,seed_5,target,base,0.8,0.1,0.2,test,audit_fit,all,193,1.0,72.0,0.373056994819,0.0
TAPB,bindingdb,seed_5,target,base,0.8,0.1,0.2,test,audit_fit,both_seen,64,0.331606217617,29.0,0.453125,0.080068005181
TAPB,bindingdb,seed_5,target,base,0.8,0.1,0.2,test,audit_fit,both_unseen,9,0.046632124352,4.0,0.444444444444,0.071387449626
TAPB,bindingdb,seed_5,target,base,0.8,0.1,0.2,test,audit_fit,drug_unseen,109,0.564766839378,33.0,0.302752293578,-0.070304701241
TAPB,bindingdb,seed_5,target,base,0.8,0.1,0.2,test,audit_fit,target_unseen,11,0.056994818653,6.0,0.545454545455,0.172397550636
TAPB,bindingdb,seed_5,target,base,0.8,0.1,0.2,test,source_train,all,193,1.0,72.0,0.373056994819,0.0
TAPB,bindingdb,seed_5,target,base,0.8,0.1,0.2,test,source_train,both_unseen,193,1.0,72.0,0.373056994819,0.0
TAPB,bindingdb,seed_5,target,base,0.8,0.2,0.2,test,audit_fit,all,172,1.0,59.0,0.343023255814,0.0
TAPB,bindingdb,seed_5,target,base,0.8,0.2,0.2,test,audit_fit,both_seen,52,0.302325581395,21.0,0.403846153846,0.060822898032
TAPB,bindingdb,seed_5,target,base,0.8,0.2,0.2,test,audit_fit,both_unseen,10,0.058139534884,5.0,0.5,0.156976744186
TAPB,bindingdb,seed_5,target,base,0.8,0.2,0.2,test,audit_fit,drug_unseen,97,0.563953488372,25.0,0.257731958763,-0.085291297051
TAPB,bindingdb,seed_5,target,base,0.8,0.2,0.2,test,audit_fit,target_unseen,13,0.075581395349,8.0,0.615384615385,0.272361359571
TAPB,bindingdb,seed_5,target,base,0.8,0.2,0.2,test,source_train,all,172,1.0,59.0,0.343023255814,0.0
TAPB,bindingdb,seed_5,target,base,0.8,0.2,0.2,test,source_train,both_unseen,172,1.0,59.0,0.343023255814,0.0
TAPB,bindingdb,seed_5,target,base,0.9,0.1,0.2,test,audit_fit,all,125,1.0,40.0,0.32,0.0
