model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,profile,primary_candidate,complexity,model_status,used_features,validation_fold_mean_auprc,validation_fold_se_auprc,validation_finite_folds,universe_n,universe_error_count,universe_error_rate,error_detection_auroc,error_detection_auprc,reviewed_n,review_error_count,review_error_rate,review_lift,review_recall_of_residual_errors,combined_recall_of_candidate_errors,retained_accuracy_after_review,retained_accuracy_gain_vs_residual,selected_profile,selection_fallback,selection_reason,best_profile,best_validation_fold_mean_auprc,one_se_threshold,validation_gain_vs_uncertainty
TAPB,bindingdb,seed_4,target,base,0.8,0.1,0.2,uncertainty,True,0,group_cv_unavailable,,,,0,13,5.0,0.384615384615,0.7,0.531111111111,0,,,,,,,,uncertainty,True,no_finite_group_cv_candidate,,,,
TAPB,bindingdb,seed_4,target,base,0.8,0.2,0.2,uncertainty,True,0,complete,calibrated_error_risk,0.916666666667,0.083333333333,3,11,5.0,0.454545454545,0.933333333333,0.942857142857,0,,,,,,,,uncertainty,True,uncertainty_selected,uncertainty,0.916666666667,0.833333333333,0.0
TAPB,bindingdb,seed_4,target,base,0.9,0.1,0.2,uncertainty,True,0,insufficient_residual_n,,,,0,0,0.0,,,,0,,,,,,,,uncertainty,True,no_finite_group_cv_candidate,,,,
TAPB,bindingdb,seed_4,target,base,0.9,0.2,0.2,uncertainty,True,0,insufficient_residual_n,,,,0,0,0.0,,,,0,,,,,,,,uncertainty,True,no_finite_group_cv_candidate,,,,
TAPB,bindingdb,seed_4,drug,base,0.8,0.1,0.2,uncertainty,True,0,group_cv_unavailable,,,,0,13,4.0,0.307692307692,0.638888888889,0.440476190476,0,,,,,,,,uncertainty,True,no_finite_group_cv_candidate,,,,
TAPB,bindingdb,seed_4,drug,base,0.8,0.2,0.2,uncertainty,True,0,group_cv_unavailable,,,,0,11,3.0,0.272727272727,0.625,0.383333333333,0,,,,,,,,uncertainty,True,no_finite_group_cv_candidate,,,,
TAPB,bindingdb,seed_4,drug,base,0.9,0.1,0.2,uncertainty,True,0,insufficient_residual_n,,,,0,0,0.0,,,,0,,,,,,,,uncertainty,True,no_finite_group_cv_candidate,,,,
TAPB,bindingdb,seed_4,drug,base,0.9,0.2,0.2,uncertainty,True,0,insufficient_residual_n,,,,0,0,0.0,,,,0,,,,,,,,uncertainty,True,no_finite_group_cv_candidate,,,,
TAPB,bindingdb,seed_5,target,base,0.8,0.1,0.2,uncertainty,True,0,complete,calibrated_error_risk,0.454935033384,0.129960341598,3,752,254.0,0.337765957447,0.606030420896,0.436347206088,150,74.0,0.493333333333,1.460577427822,0.291338582677,0.391891891892,0.700996677741,0.038762635188,uncertainty,True,uncertainty_selected,uncertainty,0.454935033384,0.324974691786,0.0
TAPB,bindingdb,seed_5,target,base,0.8,0.2,0.2,uncertainty,True,0,complete,calibrated_error_risk,0.386529654201,0.060868394959,3,669,212.0,0.316890881913,0.583636100904,0.399766662425,134,55.0,0.410447761194,1.295233736975,0.259433962264,0.469594594595,0.706542056075,0.023432937988,uncertainty,True,uncertainty_selected,uncertainty,0.386529654201,0.325661259242,0.0
