model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,reference_role,evaluation_role,reference_n,evaluation_n,reference_outcomes_used_for_support,evaluation_batch_appended_to_reference,reference_frozen_before_test_scoring,exact_pair_support_enabled_in_core,overlap_drug_count,overlap_target_count,overlap_pair_count
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,731,202,False,False,True,False,102,55,0
TAPB,biosnap,seed_4,target,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,650,179,False,False,True,False,96,48,0
TAPB,biosnap,seed_4,target,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,600,167,False,False,True,False,88,46,0
TAPB,biosnap,seed_4,target,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,534,148,False,False,True,False,81,39,0
TAPB,biosnap,seed_4,drug,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,731,202,False,False,True,False,102,53,0
TAPB,biosnap,seed_4,drug,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,650,179,False,False,True,False,97,49,0
TAPB,biosnap,seed_4,drug,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,600,167,False,False,True,False,88,45,0
TAPB,biosnap,seed_4,drug,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,534,148,False,False,True,False,81,38,0
TAPB,biosnap,seed_5,target,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,441,115,False,False,True,False,68,31,0
TAPB,biosnap,seed_5,target,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,392,102,False,False,True,False,60,26,0
TAPB,biosnap,seed_5,target,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,313,90,False,False,True,False,49,24,0
TAPB,biosnap,seed_5,target,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,278,80,False,False,True,False,45,22,0
TAPB,biosnap,seed_5,drug,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,441,115,False,False,True,False,69,31,0
TAPB,biosnap,seed_5,drug,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,392,102,False,False,True,False,60,26,0
TAPB,biosnap,seed_5,drug,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,313,90,False,False,True,False,49,24,0
TAPB,biosnap,seed_5,drug,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,278,80,False,False,True,False,45,23,0
TAPB,biosnap,seed_6,target,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,440,121,False,False,True,False,70,28,0
TAPB,biosnap,seed_6,target,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,391,107,False,False,True,False,61,26,0
TAPB,biosnap,seed_6,target,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,334,93,False,False,True,False,51,23,0
TAPB,biosnap,seed_6,target,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,297,82,False,False,True,False,49,20,0
