model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,scope,score_source,calibration_n,error_count,error_rate,mean_predicted_error_risk,brier_error_risk,ece_error_risk
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,candidate,raw,812,107.0,0.131773399015,0.023566239187,0.122874534718,0.108207159827
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,candidate,calibrated,812,107.0,0.131773399015,0.154737757312,0.110885554258,0.031493996952
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,deferred,raw,81,24.0,0.296296296296,0.077625365595,0.252513818848,0.218670930701
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,deferred,calibrated,81,24.0,0.296296296296,0.24884596349,0.210555381735,0.047450332806
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,residual,raw,731,83.0,0.113543091655,0.01757610343,0.108509579842,0.095966988226
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,residual,calibrated,731,83.0,0.113543091655,0.144309898625,0.099841428368,0.031837557684
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.2,test,candidate,raw,224,27.0,0.120535714286,0.022536074604,0.114000950215,0.097999639682
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.2,test,candidate,calibrated,224,27.0,0.120535714286,0.149258967038,0.10445108868,0.028723252753
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.2,test,deferred,raw,22,4.0,0.181818181818,0.082310384113,0.160687637682,0.099507797706
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.2,test,deferred,calibrated,22,4.0,0.181818181818,0.242599464703,0.153984110572,0.060781282885
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.2,test,residual,raw,202,23.0,0.113861386139,0.016026001291,0.108916261481,0.097835384847
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.2,test,residual,calibrated,202,23.0,0.113861386139,0.139093170263,0.099056403128,0.025231784124
TAPB,biosnap,seed_4,target,base,0.8,0.2,0.2,validation,candidate,raw,812,107.0,0.131773399015,0.023566239187,0.122874534718,0.108207159827
TAPB,biosnap,seed_4,target,base,0.8,0.2,0.2,validation,candidate,calibrated,812,107.0,0.131773399015,0.154737757312,0.110885554258,0.031493996952
TAPB,biosnap,seed_4,target,base,0.8,0.2,0.2,validation,deferred,raw,162,45.0,0.277777777778,0.068234601448,0.243196925426,0.20954317633
TAPB,biosnap,seed_4,target,base,0.8,0.2,0.2,validation,deferred,calibrated,162,45.0,0.277777777778,0.235422707556,0.202268239829,0.042355070221
TAPB,biosnap,seed_4,target,base,0.8,0.2,0.2,validation,residual,raw,650,62.0,0.095384615385,0.012433508901,0.092886492727,0.082951106484
TAPB,biosnap,seed_4,target,base,0.8,0.2,0.2,validation,residual,calibrated,650,62.0,0.095384615385,0.134628585097,0.088110177239,0.040448152439
TAPB,biosnap,seed_4,target,base,0.8,0.2,0.2,test,candidate,raw,224,27.0,0.120535714286,0.022536074604,0.114000950215,0.097999639682
TAPB,biosnap,seed_4,target,base,0.8,0.2,0.2,test,candidate,calibrated,224,27.0,0.120535714286,0.149258967038,0.10445108868,0.028723252753
TAPB,biosnap,seed_4,target,base,0.8,0.2,0.2,test,deferred,raw,45,8.0,0.177777777778,0.068121173582,0.158890811064,0.109656604196
TAPB,biosnap,seed_4,target,base,0.8,0.2,0.2,test,deferred,calibrated,45,8.0,0.177777777778,0.230047214045,0.149310083191,0.052269436268
TAPB,biosnap,seed_4,target,base,0.8,0.2,0.2,test,residual,raw,179,19.0,0.106145251397,0.01107613352,0.102715789667,0.095069117876
