model,dataset,test_run,group_axis,confidence_source,split,added_component,delta_validation_fold_mean_auprc,delta_error_detection_auprc,delta_review_lift,delta_retained_accuracy_gain_vs_residual
TAPB,biosnap,seed_4,drug,base,test,combined_empirical_support,,0.219475416055,1.075018636017,0.026134499868
TAPB,biosnap,seed_4,drug,base,test,empirical_support,,0.223191657177,1.219514582322,0.029748423258
TAPB,biosnap,seed_4,drug,base,test,empirical_support_after_prior,,0.151048712515,1.066150058942,0.026203989207
TAPB,biosnap,seed_4,drug,base,test,fit_support,,0.229558186363,1.230047254582,0.029953465129
TAPB,biosnap,seed_4,drug,base,test,fit_support_after_legacy_source_domain,,0.231567190865,0.767512871854,0.018165478059
TAPB,biosnap,seed_4,drug,base,test,fit_support_after_native_source_domain,,0.173810030636,1.029985495689,0.026038638759
TAPB,biosnap,seed_4,drug,base,test,general_target_joint_support,,0.051366882642,0.565787017775,0.013976120478
TAPB,biosnap,seed_4,drug,base,test,legacy_empirical_support,,0.232419885266,1.164623277974,0.028205213381
TAPB,biosnap,seed_4,drug,base,test,legacy_source_domain_support_after_fit,,0.002861698904,-0.065423976608,-0.001748251748
TAPB,biosnap,seed_4,drug,base,test,legacy_support_after_native,,-0.003716241122,-0.144495946305,-0.00361392339
TAPB,biosnap,seed_4,drug,base,test,native_source_domain_support,,0.049381626541,0.189529086633,0.003709784499
TAPB,biosnap,seed_4,drug,base,test,native_source_domain_support_after_fit,,-0.006366529186,-0.01053267226,-0.000205041872
TAPB,biosnap,seed_4,drug,base,test,native_support_after_legacy,,-0.012944469212,-0.089604641957,-0.002070713513
TAPB,biosnap,seed_4,drug,base,test,prior,,0.057578503384,0.15336452338,0.003544434051
TAPB,biosnap,seed_4,drug,base,test,prior_after_empirical_support,,-0.014564441278,0.0,0.0
TAPB,biosnap,seed_4,drug,base,test,source_domain_support,,0.000852694401,0.397110406121,0.010039735322
TAPB,biosnap,seed_4,drug,base,test,target_sequence_support,,-0.082222993559,-0.401113104732,-0.009346490848
TAPB,biosnap,seed_4,drug,base,validation,combined_empirical_support,0.166657652382,0.15961877619,1.299848615058,0.030771013481
TAPB,biosnap,seed_4,drug,base,validation,empirical_support,0.167042077006,0.151733533008,1.324278506377,0.03153223143
TAPB,biosnap,seed_4,drug,base,validation,empirical_support_after_prior,0.113798768768,0.100524647157,1.126220990315,0.027580772483
TAPB,biosnap,seed_4,drug,base,validation,fit_support,0.186031977041,0.17146430641,1.532373462729,0.036778502122
TAPB,biosnap,seed_4,drug,base,validation,fit_support_after_legacy_source_domain,0.122996075921,0.11481823541,0.709420154166,0.017046040253
TAPB,biosnap,seed_4,drug,base,validation,fit_support_after_native_source_domain,0.118264206603,0.106452087707,0.97475387978,0.024021447587
TAPB,biosnap,seed_4,drug,base,validation,general_target_joint_support,0.057610190775,0.0560996554,0.352876589895,0.008752176785
TAPB,biosnap,seed_4,drug,base,validation,legacy_empirical_support,0.177963804349,0.169666777123,1.456996412907,0.034839943754
TAPB,biosnap,seed_4,drug,base,validation,legacy_source_domain_support_after_fit,-0.008068172692,-0.001797529287,-0.075377049822,-0.001938558368
TAPB,biosnap,seed_4,drug,base,validation,legacy_support_after_native,-0.000384424624,0.007885243182,-0.024429891319,-0.000761217949
TAPB,biosnap,seed_4,drug,base,validation,native_source_domain_support,0.048777870403,0.045281445301,0.349524626597,0.007510783843
TAPB,biosnap,seed_4,drug,base,validation,native_source_domain_support_after_fit,-0.018989900035,-0.019730773402,-0.208094956352,-0.005246270692
TAPB,biosnap,seed_4,drug,base,validation,native_support_after_legacy,-0.011306151966,-0.010048000933,-0.157147797848,-0.004068930273
TAPB,biosnap,seed_4,drug,base,validation,prior,0.034951080038,0.035992359809,0.154197866939,0.00290979228
TAPB,biosnap,seed_4,drug,base,validation,prior_after_empirical_support,-0.0182922282,-0.015216526042,-0.043859649123,-0.001041666667
TAPB,biosnap,seed_4,drug,base,validation,source_domain_support,0.054967728427,0.054848541713,0.74757625874,0.017793903501
TAPB,biosnap,seed_4,drug,base,validation,target_sequence_support,-0.018966054416,-0.013993342998,-0.160605881167,-0.003650681058
TAPB,biosnap,seed_4,target,base,test,combined_empirical_support,,0.179678879471,1.230047254582,0.029953465129
TAPB,biosnap,seed_4,target,base,test,empirical_support,,0.205074682052,1.339829863278,0.033039884882
TAPB,biosnap,seed_4,target,base,test,empirical_support_after_prior,,0.16167150784,1.262421988766,0.031448744452
TAPB,biosnap,seed_4,target,base,test,fit_support,,0.223849389476,1.230047254582,0.029953465129
TAPB,biosnap,seed_4,target,base,test,fit_support_after_legacy_source_domain,,0.216934421793,1.111396068812,0.026936534715
TAPB,biosnap,seed_4,target,base,test,fit_support_after_native_source_domain,,0.187565726104,1.150300776645,0.029330100384
TAPB,biosnap,seed_4,target,base,test,general_target_joint_support,,0.079512908223,0.445471736819,0.010684658853
TAPB,biosnap,seed_4,target,base,test,legacy_empirical_support,,0.206613205772,1.230047254582,0.029953465129
TAPB,biosnap,seed_4,target,base,test,legacy_source_domain_support_after_fit,,-0.017236183704,0.0,0.0
TAPB,biosnap,seed_4,target,base,test,legacy_support_after_native,,-0.025395802581,-0.109782608696,-0.003086419753
TAPB,biosnap,seed_4,target,base,test,native_source_domain_support,,0.017508955948,0.189529086633,0.003709784499
TAPB,biosnap,seed_4,target,base,test,native_source_domain_support_after_fit,,-0.018774707424,0.109782608696,0.003086419753
TAPB,biosnap,seed_4,target,base,test,native_support_after_legacy,,-0.026934326301,0.0,0.0
TAPB,biosnap,seed_4,target,base,test,prior,,0.05445331947,0.022516570164,4.7930554e-05
TAPB,biosnap,seed_4,target,base,test,prior_after_empirical_support,,0.011050145258,-0.054891304348,-0.001543209877
TAPB,biosnap,seed_4,target,base,test,source_domain_support,,-0.010321216021,0.118651185771,0.003016930414
