model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,added_component,baseline_profile,augmented_profile,baseline_model_status,augmented_model_status,baseline_validation_fold_mean_auprc,augmented_validation_fold_mean_auprc,delta_validation_fold_mean_auprc,baseline_error_detection_auroc,augmented_error_detection_auroc,delta_error_detection_auroc,baseline_error_detection_auprc,augmented_error_detection_auprc,delta_error_detection_auprc,baseline_review_error_rate,augmented_review_error_rate,delta_review_error_rate,baseline_review_lift,augmented_review_lift,delta_review_lift,baseline_review_recall_of_residual_errors,augmented_review_recall_of_residual_errors,delta_review_recall_of_residual_errors,baseline_combined_recall_of_candidate_errors,augmented_combined_recall_of_candidate_errors,delta_combined_recall_of_candidate_errors,baseline_retained_accuracy_after_review,augmented_retained_accuracy_after_review,delta_retained_accuracy_after_review,baseline_retained_accuracy_gain_vs_residual,augmented_retained_accuracy_gain_vs_residual,delta_retained_accuracy_gain_vs_residual
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,prior,uncertainty,uncertainty_prior,complete,complete,0.225022815913,0.226544569221,0.001521753308,0.605533244087,0.624739699539,0.019206455451,0.185504029862,0.174521087218,-0.010982942644,0.212328767123,0.198630136986,-0.013698630137,1.870028057435,1.749381085988,-0.120646971447,0.373493975904,0.349397590361,-0.024096385542,0.514018691589,0.495327102804,-0.018691588785,0.911111111111,0.907692307692,-0.003418803419,0.024654202766,0.021235399348,-0.003418803419
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,empirical_support,uncertainty,uncertainty_support,complete,complete,0.225022815913,0.217138963983,-0.00788385193,0.605533244087,0.659266696415,0.053733452328,0.185504029862,0.185037854968,-0.000466174894,0.212328767123,0.178082191781,-0.034246575342,1.870028057435,1.568410628817,-0.301617428619,0.373493975904,0.313253012048,-0.060240963855,0.514018691589,0.467289719626,-0.046728971963,0.911111111111,0.902564102564,-0.008547008547,0.024654202766,0.016107194219,-0.008547008547
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,empirical_support_after_prior,uncertainty_prior,uncertainty_prior_support,complete,complete,0.226544569221,0.17880310076,-0.047741468461,0.624739699539,0.588446378105,-0.036293321434,0.174521087218,0.145769418918,-0.0287516683,0.198630136986,0.116438356164,-0.082191780822,1.749381085988,1.025499257303,-0.723881828685,0.349397590361,0.204819277108,-0.144578313253,0.495327102804,0.383177570093,-0.11214953271,0.907692307692,0.887179487179,-0.020512820513,0.021235399348,0.000722578835,-0.020512820513
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,prior_after_empirical_support,uncertainty_support,uncertainty_prior_support,complete,complete,0.217138963983,0.17880310076,-0.038335863223,0.659266696415,0.588446378105,-0.07082031831,0.185037854968,0.145769418918,-0.03926843605,0.178082191781,0.116438356164,-0.061643835616,1.568410628817,1.025499257303,-0.542911371513,0.313253012048,0.204819277108,-0.10843373494,0.467289719626,0.383177570093,-0.084112149533,0.902564102564,0.887179487179,-0.015384615385,0.016107194219,0.000722578835,-0.015384615385
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,legacy_source_domain_support_after_fit,fit_support,legacy_support,complete,complete,0.246186985849,0.231851757733,-0.014335228116,0.676520898408,0.666964152908,-0.009556745501,0.174336658448,0.192437175321,0.018100516873,0.150684931507,0.198630136986,0.047945205479,1.327116685922,1.749381085988,0.422264400066,0.265060240964,0.349397590361,0.084337349398,0.429906542056,0.495327102804,0.065420560748,0.895726495726,0.907692307692,0.011965811966,0.009269587382,0.021235399348,0.011965811966
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,fit_support_after_legacy_source_domain,source_domain_support,legacy_support,complete,complete,0.229473212669,0.231851757733,0.002378545064,0.61802766622,0.666964152908,0.048936486687,0.206557042393,0.192437175321,-0.014119867073,0.205479452055,0.198630136986,-0.006849315068,1.809704571712,1.749381085988,-0.060323485724,0.361445783133,0.349397590361,-0.012048192771,0.504672897196,0.495327102804,-0.009345794393,0.909401709402,0.907692307692,-0.001709401709,0.022944801057,0.021235399348,-0.001709401709
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,native_source_domain_support_after_fit,fit_support,uncertainty_support,complete,complete,0.246186985849,0.217138963983,-0.029048021866,0.676520898408,0.659266696415,-0.017254201993,0.174336658448,0.185037854968,0.01070119652,0.150684931507,0.178082191781,0.027397260274,1.327116685922,1.568410628817,0.241293942895,0.265060240964,0.313253012048,0.048192771084,0.429906542056,0.467289719626,0.03738317757,0.895726495726,0.902564102564,0.006837606838,0.009269587382,0.016107194219,0.006837606838
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,fit_support_after_native_source_domain,native_source_domain_support,uncertainty_support,complete,complete,0.275973574304,0.217138963983,-0.058834610321,0.648743120631,0.659266696415,0.010523575785,0.226799099371,0.185037854968,-0.041761244403,0.184931506849,0.178082191781,-0.006849315068,1.62873411454,1.568410628817,-0.060323485724,0.325301204819,0.313253012048,-0.012048192771,0.476635514019,0.467289719626,-0.009345794393,0.904273504274,0.902564102564,-0.001709401709,0.017816595929,0.016107194219,-0.001709401709
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,native_support_after_legacy,legacy_support,combined_support,complete,complete,0.231851757733,0.218809865292,-0.013041892441,0.666964152908,0.624051762606,-0.042912390302,0.192437175321,0.191547449867,-0.000889725454,0.198630136986,0.171232876712,-0.027397260274,1.749381085988,1.508087143093,-0.241293942895,0.349397590361,0.301204819277,-0.048192771084,0.495327102804,0.457943925234,-0.03738317757,0.907692307692,0.900854700855,-0.006837606838,0.021235399348,0.01439779251,-0.006837606838
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,legacy_support_after_native,uncertainty_support,combined_support,complete,complete,0.217138963983,0.218809865292,0.001670901309,0.659266696415,0.624051762606,-0.035214933809,0.185037854968,0.191547449867,0.006509594899,0.178082191781,0.171232876712,-0.006849315068,1.568410628817,1.508087143093,-0.060323485724,0.313253012048,0.301204819277,-0.012048192771,0.467289719626,0.457943925234,-0.009345794393,0.902564102564,0.900854700855,-0.001709401709,0.016107194219,0.01439779251,-0.001709401709
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,fit_support,uncertainty,fit_support,complete,complete,0.225022815913,0.246186985849,0.021164169936,0.605533244087,0.676520898408,0.070987654321,0.185504029862,0.174336658448,-0.011167371414,0.212328767123,0.150684931507,-0.061643835616,1.870028057435,1.327116685922,-0.542911371513,0.373493975904,0.265060240964,-0.10843373494,0.514018691589,0.429906542056,-0.084112149533,0.911111111111,0.895726495726,-0.015384615385,0.024654202766,0.009269587382,-0.015384615385
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,source_domain_support,uncertainty,source_domain_support,complete,complete,0.225022815913,0.229473212669,0.004450396756,0.605533244087,0.61802766622,0.012494422133,0.185504029862,0.206557042393,0.021053012531,0.212328767123,0.205479452055,-0.006849315068,1.870028057435,1.809704571712,-0.060323485724,0.373493975904,0.361445783133,-0.012048192771,0.514018691589,0.504672897196,-0.009345794393,0.911111111111,0.909401709402,-0.001709401709,0.024654202766,0.022944801057,-0.001709401709
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,native_source_domain_support,uncertainty,native_source_domain_support,complete,complete,0.225022815913,0.275973574304,0.050950758391,0.605533244087,0.648743120631,0.043209876543,0.185504029862,0.226799099371,0.041295069509,0.212328767123,0.184931506849,-0.027397260274,1.870028057435,1.62873411454,-0.241293942895,0.373493975904,0.325301204819,-0.048192771084,0.514018691589,0.476635514019,-0.03738317757,0.911111111111,0.904273504274,-0.006837606838,0.024654202766,0.017816595929,-0.006837606838
