split,group_axis,added_component,measure,num_independent_runs,num_model_dataset_strata,mean,run_win_rate,ci_low,ci_high
test,drug,combined_empirical_support,delta_error_detection_auprc,5,1,0.183690616348,1.0,0.162342039905,0.222312958252
test,drug,combined_empirical_support,delta_review_lift,5,1,1.055042253522,1.0,0.837170175123,1.345238479794
test,drug,combined_empirical_support,delta_retained_accuracy_gain_vs_residual,5,1,0.019886100002,1.0,0.015979445077,0.023147369903
test,drug,empirical_support,delta_error_detection_auprc,5,1,0.203787022971,1.0,0.17348707726,0.228167775204
test,drug,empirical_support,delta_review_lift,5,1,1.239963549331,1.0,1.021922691278,1.601230527478
test,drug,empirical_support,delta_retained_accuracy_gain_vs_residual,5,1,0.023231259553,1.0,0.021275400936,0.026490014819
test,drug,empirical_support_after_prior,delta_error_detection_auprc,5,1,0.15006565628,1.0,0.125397509272,0.177707314124
test,drug,empirical_support_after_prior,delta_review_lift,5,1,0.897612118503,1.0,0.60035463209,1.245654639662
test,drug,empirical_support_after_prior,delta_retained_accuracy_gain_vs_residual,5,1,0.016517845957,1.0,0.008161567915,0.021569109286
test,drug,fit_support,delta_error_detection_auprc,5,1,0.197649208019,1.0,0.160574210708,0.247896139988
test,drug,fit_support,delta_review_lift,5,1,1.161060954024,1.0,0.962788969847,1.359644298828
test,drug,fit_support,delta_retained_accuracy_gain_vs_residual,5,1,0.022704786172,1.0,0.019141521339,0.025186909959
test,drug,fit_support_after_legacy_source_domain,delta_error_detection_auprc,5,1,0.22778949774,1.0,0.202580810504,0.267607904962
test,drug,fit_support_after_legacy_source_domain,delta_review_lift,5,1,1.330859819981,1.0,0.839433609001,2.031356138761
test,drug,fit_support_after_legacy_source_domain,delta_retained_accuracy_gain_vs_residual,5,1,0.023111471446,1.0,0.021016573431,0.027923785925
test,drug,fit_support_after_native_source_domain,delta_error_detection_auprc,5,1,0.217578576154,1.0,0.188142180425,0.25264934479
test,drug,fit_support_after_native_source_domain,delta_review_lift,5,1,1.134336713186,1.0,0.876865160585,1.481202514913
test,drug,fit_support_after_native_source_domain,delta_retained_accuracy_gain_vs_residual,5,1,0.021295797013,1.0,0.019011048285,0.02349923576
test,drug,general_target_joint_support,delta_error_detection_auprc,5,1,0.0316465705,1.0,0.006847077135,0.042170521608
test,drug,general_target_joint_support,delta_review_lift,5,1,0.177705771853,0.6,0.042673368298,0.360425969617
test,drug,general_target_joint_support,delta_retained_accuracy_gain_vs_residual,5,1,0.004094315276,0.6,0.000438061294,0.007828323415
test,drug,legacy_empirical_support,delta_error_detection_auprc,5,1,0.197415205465,1.0,0.146176184145,0.269701846637
test,drug,legacy_empirical_support,delta_review_lift,5,1,1.167072197897,1.0,0.748442368151,1.855028098836
test,drug,legacy_empirical_support,delta_retained_accuracy_gain_vs_residual,5,1,0.021388287243,1.0,0.017011255346,0.026139945584
test,drug,legacy_source_domain_support_after_fit,delta_error_detection_auprc,5,1,-0.000234002554,0.8,-0.05405442895,0.039990487584
test,drug,legacy_source_domain_support_after_fit,delta_review_lift,5,1,0.006011243873,0.2,-0.211305222555,0.290214215792
test,drug,legacy_source_domain_support_after_fit,delta_retained_accuracy_gain_vs_residual,5,1,-0.001316498929,0.2,-0.004460188014,0.00338790166
test,drug,legacy_support_after_native,delta_error_detection_auprc,5,1,-0.020096406622,0.2,-0.052543367882,0.022404752885
test,drug,legacy_support_after_native,delta_review_lift,5,1,-0.184921295809,0.0,-0.256837587759,-0.120083185729
test,drug,legacy_support_after_native,delta_retained_accuracy_gain_vs_residual,5,1,-0.003345159551,0.0,-0.005041360759,-0.001982879041
test,drug,native_source_domain_support,delta_error_detection_auprc,5,1,-0.013791553184,0.4,-0.043457280328,0.009424410684
test,drug,native_source_domain_support,delta_review_lift,5,1,0.105626836145,0.6,0.004787248903,0.176529341975
test,drug,native_source_domain_support,delta_retained_accuracy_gain_vs_residual,5,1,0.00193546254,0.6,0.000217011659,0.004676825286
test,drug,native_source_domain_support_after_fit,delta_error_detection_auprc,5,1,0.006137814952,0.6,-0.012616468396,0.0185576314
