model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,support_reference,support_state,residual_n,residual_share,error_count,error_rate,error_rate_delta_vs_all
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.2,test,audit_fit,all,202,1.0,23.0,0.113861386139,0.0
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.2,test,audit_fit,both_seen,124,0.613861386139,5.0,0.040322580645,-0.073538805493
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.2,test,audit_fit,both_unseen,16,0.079207920792,7.0,0.4375,0.323638613861
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.2,test,audit_fit,drug_unseen,58,0.287128712871,10.0,0.172413793103,0.058552406965
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.2,test,audit_fit,target_unseen,4,0.019801980198,1.0,0.25,0.136138613861
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.2,test,source_train,all,202,1.0,23.0,0.113861386139,0.0
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.2,test,source_train,both_unseen,202,1.0,23.0,0.113861386139,0.0
TAPB,biosnap,seed_4,target,base,0.8,0.2,0.2,test,audit_fit,all,179,1.0,19.0,0.106145251397,0.0
TAPB,biosnap,seed_4,target,base,0.8,0.2,0.2,test,audit_fit,both_seen,117,0.653631284916,5.0,0.042735042735,-0.063410208662
TAPB,biosnap,seed_4,target,base,0.8,0.2,0.2,test,audit_fit,both_unseen,9,0.050279329609,6.0,0.666666666667,0.56052141527
TAPB,biosnap,seed_4,target,base,0.8,0.2,0.2,test,audit_fit,drug_unseen,49,0.27374301676,7.0,0.142857142857,0.03671189146
TAPB,biosnap,seed_4,target,base,0.8,0.2,0.2,test,audit_fit,target_unseen,4,0.022346368715,1.0,0.25,0.143854748603
TAPB,biosnap,seed_4,target,base,0.8,0.2,0.2,test,source_train,all,179,1.0,19.0,0.106145251397,0.0
TAPB,biosnap,seed_4,target,base,0.8,0.2,0.2,test,source_train,both_unseen,179,1.0,19.0,0.106145251397,0.0
TAPB,biosnap,seed_4,target,base,0.9,0.1,0.2,test,audit_fit,all,167,1.0,16.0,0.095808383234,0.0
TAPB,biosnap,seed_4,target,base,0.9,0.1,0.2,test,audit_fit,both_seen,109,0.652694610778,4.0,0.036697247706,-0.059111135527
TAPB,biosnap,seed_4,target,base,0.9,0.1,0.2,test,audit_fit,both_unseen,6,0.035928143713,4.0,0.666666666667,0.570858283433
TAPB,biosnap,seed_4,target,base,0.9,0.1,0.2,test,audit_fit,drug_unseen,48,0.287425149701,7.0,0.145833333333,0.0500249501
TAPB,biosnap,seed_4,target,base,0.9,0.1,0.2,test,audit_fit,target_unseen,4,0.023952095808,1.0,0.25,0.154191616766
TAPB,biosnap,seed_4,target,base,0.9,0.1,0.2,test,source_train,all,167,1.0,16.0,0.095808383234,0.0
TAPB,biosnap,seed_4,target,base,0.9,0.1,0.2,test,source_train,both_unseen,167,1.0,16.0,0.095808383234,0.0
TAPB,biosnap,seed_4,target,base,0.9,0.2,0.2,test,audit_fit,all,148,1.0,11.0,0.074324324324,0.0
TAPB,biosnap,seed_4,target,base,0.9,0.2,0.2,test,audit_fit,both_seen,99,0.668918918919,4.0,0.040404040404,-0.03392028392
TAPB,biosnap,seed_4,target,base,0.9,0.2,0.2,test,audit_fit,both_unseen,4,0.027027027027,2.0,0.5,0.425675675676
TAPB,biosnap,seed_4,target,base,0.9,0.2,0.2,test,audit_fit,drug_unseen,41,0.277027027027,4.0,0.09756097561,0.023236651285
TAPB,biosnap,seed_4,target,base,0.9,0.2,0.2,test,audit_fit,target_unseen,4,0.027027027027,1.0,0.25,0.175675675676
TAPB,biosnap,seed_4,target,base,0.9,0.2,0.2,test,source_train,all,148,1.0,11.0,0.074324324324,0.0
TAPB,biosnap,seed_4,target,base,0.9,0.2,0.2,test,source_train,both_unseen,148,1.0,11.0,0.074324324324,0.0
TAPB,biosnap,seed_4,drug,base,0.8,0.1,0.2,test,audit_fit,all,202,1.0,23.0,0.113861386139,0.0
TAPB,biosnap,seed_4,drug,base,0.8,0.1,0.2,test,audit_fit,both_seen,123,0.608910891089,5.0,0.040650406504,-0.073210979635
TAPB,biosnap,seed_4,drug,base,0.8,0.1,0.2,test,audit_fit,both_unseen,18,0.089108910891,9.0,0.5,0.386138613861
TAPB,biosnap,seed_4,drug,base,0.8,0.1,0.2,test,audit_fit,drug_unseen,56,0.277227722772,8.0,0.142857142857,0.028995756719
TAPB,biosnap,seed_4,drug,base,0.8,0.1,0.2,test,audit_fit,target_unseen,5,0.024752475248,1.0,0.2,0.086138613861
TAPB,biosnap,seed_4,drug,base,0.8,0.1,0.2,test,source_train,all,202,1.0,23.0,0.113861386139,0.0
TAPB,biosnap,seed_4,drug,base,0.8,0.1,0.2,test,source_train,both_unseen,202,1.0,23.0,0.113861386139,0.0
TAPB,biosnap,seed_4,drug,base,0.8,0.2,0.2,test,audit_fit,all,179,1.0,19.0,0.106145251397,0.0
TAPB,biosnap,seed_4,drug,base,0.8,0.2,0.2,test,audit_fit,both_seen,118,0.659217877095,5.0,0.042372881356,-0.063772370041
TAPB,biosnap,seed_4,drug,base,0.8,0.2,0.2,test,audit_fit,both_unseen,8,0.04469273743,5.0,0.625,0.518854748603
TAPB,biosnap,seed_4,drug,base,0.8,0.2,0.2,test,audit_fit,drug_unseen,49,0.27374301676,8.0,0.163265306122,0.057120054726
TAPB,biosnap,seed_4,drug,base,0.8,0.2,0.2,test,audit_fit,target_unseen,4,0.022346368715,1.0,0.25,0.143854748603
TAPB,biosnap,seed_4,drug,base,0.8,0.2,0.2,test,source_train,all,179,1.0,19.0,0.106145251397,0.0
TAPB,biosnap,seed_4,drug,base,0.8,0.2,0.2,test,source_train,both_unseen,179,1.0,19.0,0.106145251397,0.0
TAPB,biosnap,seed_4,drug,base,0.9,0.1,0.2,test,audit_fit,all,167,1.0,16.0,0.095808383234,0.0
TAPB,biosnap,seed_4,drug,base,0.9,0.1,0.2,test,audit_fit,both_seen,109,0.652694610778,4.0,0.036697247706,-0.059111135527
TAPB,biosnap,seed_4,drug,base,0.9,0.1,0.2,test,audit_fit,both_unseen,7,0.041916167665,4.0,0.571428571429,0.475620188195
TAPB,biosnap,seed_4,drug,base,0.9,0.1,0.2,test,audit_fit,drug_unseen,47,0.281437125749,7.0,0.148936170213,0.053127786979
TAPB,biosnap,seed_4,drug,base,0.9,0.1,0.2,test,audit_fit,target_unseen,4,0.023952095808,1.0,0.25,0.154191616766
TAPB,biosnap,seed_4,drug,base,0.9,0.1,0.2,test,source_train,all,167,1.0,16.0,0.095808383234,0.0
TAPB,biosnap,seed_4,drug,base,0.9,0.1,0.2,test,source_train,both_unseen,167,1.0,16.0,0.095808383234,0.0
TAPB,biosnap,seed_4,drug,base,0.9,0.2,0.2,test,audit_fit,all,148,1.0,11.0,0.074324324324,0.0
TAPB,biosnap,seed_4,drug,base,0.9,0.2,0.2,test,audit_fit,both_seen,97,0.655405405405,4.0,0.041237113402,-0.033087210922
TAPB,biosnap,seed_4,drug,base,0.9,0.2,0.2,test,audit_fit,both_unseen,4,0.027027027027,2.0,0.5,0.425675675676
TAPB,biosnap,seed_4,drug,base,0.9,0.2,0.2,test,audit_fit,drug_unseen,41,0.277027027027,4.0,0.09756097561,0.023236651285
TAPB,biosnap,seed_4,drug,base,0.9,0.2,0.2,test,audit_fit,target_unseen,6,0.040540540541,1.0,0.166666666667,0.092342342342
TAPB,biosnap,seed_4,drug,base,0.9,0.2,0.2,test,source_train,all,148,1.0,11.0,0.074324324324,0.0
TAPB,biosnap,seed_4,drug,base,0.9,0.2,0.2,test,source_train,both_unseen,148,1.0,11.0,0.074324324324,0.0
TAPB,biosnap,seed_5,target,base,0.8,0.1,0.2,test,audit_fit,all,115,1.0,8.0,0.069565217391,0.0
TAPB,biosnap,seed_5,target,base,0.8,0.1,0.2,test,audit_fit,both_seen,88,0.765217391304,4.0,0.045454545455,-0.024110671937
TAPB,biosnap,seed_5,target,base,0.8,0.1,0.2,test,audit_fit,drug_unseen,27,0.234782608696,4.0,0.148148148148,0.078582930757
TAPB,biosnap,seed_5,target,base,0.8,0.1,0.2,test,source_train,all,115,1.0,8.0,0.069565217391,0.0
TAPB,biosnap,seed_5,target,base,0.8,0.1,0.2,test,source_train,both_unseen,115,1.0,8.0,0.069565217391,0.0
TAPB,biosnap,seed_5,target,base,0.8,0.2,0.2,test,audit_fit,all,102,1.0,8.0,0.078431372549,0.0
TAPB,biosnap,seed_5,target,base,0.8,0.2,0.2,test,audit_fit,both_seen,78,0.764705882353,4.0,0.051282051282,-0.027149321267
TAPB,biosnap,seed_5,target,base,0.8,0.2,0.2,test,audit_fit,drug_unseen,24,0.235294117647,4.0,0.166666666667,0.088235294118
TAPB,biosnap,seed_5,target,base,0.8,0.2,0.2,test,source_train,all,102,1.0,8.0,0.078431372549,0.0
TAPB,biosnap,seed_5,target,base,0.8,0.2,0.2,test,source_train,both_unseen,102,1.0,8.0,0.078431372549,0.0
TAPB,biosnap,seed_5,target,base,0.9,0.1,0.2,test,audit_fit,all,90,1.0,7.0,0.077777777778,0.0
TAPB,biosnap,seed_5,target,base,0.9,0.1,0.2,test,audit_fit,both_seen,66,0.733333333333,3.0,0.045454545455,-0.032323232323
TAPB,biosnap,seed_5,target,base,0.9,0.1,0.2,test,audit_fit,drug_unseen,24,0.266666666667,4.0,0.166666666667,0.088888888889
TAPB,biosnap,seed_5,target,base,0.9,0.1,0.2,test,source_train,all,90,1.0,7.0,0.077777777778,0.0
TAPB,biosnap,seed_5,target,base,0.9,0.1,0.2,test,source_train,both_unseen,90,1.0,7.0,0.077777777778,0.0
TAPB,biosnap,seed_5,target,base,0.9,0.2,0.2,test,audit_fit,all,80,1.0,6.0,0.075,0.0
TAPB,biosnap,seed_5,target,base,0.9,0.2,0.2,test,audit_fit,both_seen,58,0.725,2.0,0.034482758621,-0.040517241379
TAPB,biosnap,seed_5,target,base,0.9,0.2,0.2,test,audit_fit,drug_unseen,21,0.2625,3.0,0.142857142857,0.067857142857
TAPB,biosnap,seed_5,target,base,0.9,0.2,0.2,test,audit_fit,target_unseen,1,0.0125,1.0,1.0,0.925
TAPB,biosnap,seed_5,target,base,0.9,0.2,0.2,test,source_train,all,80,1.0,6.0,0.075,0.0
TAPB,biosnap,seed_5,target,base,0.9,0.2,0.2,test,source_train,both_unseen,80,1.0,6.0,0.075,0.0
TAPB,biosnap,seed_5,drug,base,0.8,0.1,0.2,test,audit_fit,all,115,1.0,8.0,0.069565217391,0.0
TAPB,biosnap,seed_5,drug,base,0.8,0.1,0.2,test,audit_fit,both_seen,89,0.773913043478,4.0,0.044943820225,-0.024621397167
TAPB,biosnap,seed_5,drug,base,0.8,0.1,0.2,test,audit_fit,drug_unseen,26,0.226086956522,4.0,0.153846153846,0.084280936455
TAPB,biosnap,seed_5,drug,base,0.8,0.1,0.2,test,source_train,all,115,1.0,8.0,0.069565217391,0.0
TAPB,biosnap,seed_5,drug,base,0.8,0.1,0.2,test,source_train,both_unseen,115,1.0,8.0,0.069565217391,0.0
TAPB,biosnap,seed_5,drug,base,0.8,0.2,0.2,test,audit_fit,all,102,1.0,8.0,0.078431372549,0.0
TAPB,biosnap,seed_5,drug,base,0.8,0.2,0.2,test,audit_fit,both_seen,78,0.764705882353,4.0,0.051282051282,-0.027149321267
TAPB,biosnap,seed_5,drug,base,0.8,0.2,0.2,test,audit_fit,drug_unseen,24,0.235294117647,4.0,0.166666666667,0.088235294118
