model,dataset,test_run,group_axis,confidence_source,delta_error_detection_auprc_vs_uncertainty,delta_review_error_rate_vs_uncertainty,delta_retained_accuracy_gain_vs_residual_vs_uncertainty
TAPB,biosnap,seed_4,drug,base,0.223191657177,0.119255050505,0.029748423258
TAPB,biosnap,seed_4,target,base,0.017367015617,0.001388888889,0.00037039232
TAPB,biosnap,seed_5,drug,base,0.070590122021,0.018719806763,0.004679951691
TAPB,biosnap,seed_5,target,base,-0.007249634542,0.015625,0.00390625
TAPB,biosnap,seed_6,drug,base,0.052427528612,0.013157894737,0.003378378378
TAPB,biosnap,seed_6,target,base,0.00512696805,0.0,0.0
TAPB,biosnap,seed_7,drug,base,0.089094326271,0.047964400099,0.012080026455
TAPB,biosnap,seed_7,target,base,0.035670032185,0.000312695435,6.9693349e-05
TAPB,biosnap,seed_8,drug,base,0.161074053586,0.035185185185,0.008727990285
TAPB,biosnap,seed_8,target,base,0.044380321546,0.036363636364,0.008956529748
