model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,calibration_status,candidate_n,candidate_error_count,deferred_n,deferred_error_count,residual_n,residual_error_count,residual_has_two_classes
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,cross_fitted,812,107.0,81,24.0,731,83.0,True
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.2,test,fitted,224,27.0,22,4.0,202,23.0,True
TAPB,biosnap,seed_4,target,base,0.8,0.2,0.2,validation,cross_fitted,812,107.0,162,45.0,650,62.0,True
TAPB,biosnap,seed_4,target,base,0.8,0.2,0.2,test,fitted,224,27.0,45,8.0,179,19.0,True
TAPB,biosnap,seed_4,target,base,0.9,0.1,0.2,validation,cross_fitted,667,69.0,67,15.0,600,54.0,True
TAPB,biosnap,seed_4,target,base,0.9,0.1,0.2,test,fitted,185,20.0,18,4.0,167,16.0,True
TAPB,biosnap,seed_4,target,base,0.9,0.2,0.2,validation,cross_fitted,667,69.0,133,24.0,534,45.0,True
TAPB,biosnap,seed_4,target,base,0.9,0.2,0.2,test,fitted,185,20.0,37,9.0,148,11.0,True
TAPB,biosnap,seed_4,drug,base,0.8,0.1,0.2,validation,cross_fitted,812,107.0,81,26.0,731,81.0,True
TAPB,biosnap,seed_4,drug,base,0.8,0.1,0.2,test,fitted,224,27.0,22,4.0,202,23.0,True
TAPB,biosnap,seed_4,drug,base,0.8,0.2,0.2,validation,cross_fitted,812,107.0,162,40.0,650,67.0,True
TAPB,biosnap,seed_4,drug,base,0.8,0.2,0.2,test,fitted,224,27.0,45,8.0,179,19.0,True
TAPB,biosnap,seed_4,drug,base,0.9,0.1,0.2,validation,cross_fitted,667,69.0,67,12.0,600,57.0,True
TAPB,biosnap,seed_4,drug,base,0.9,0.1,0.2,test,fitted,185,20.0,18,4.0,167,16.0,True
TAPB,biosnap,seed_4,drug,base,0.9,0.2,0.2,validation,cross_fitted,667,69.0,133,24.0,534,45.0,True
TAPB,biosnap,seed_4,drug,base,0.9,0.2,0.2,test,fitted,185,20.0,37,9.0,148,11.0,True
TAPB,biosnap,seed_5,target,base,0.8,0.1,0.2,validation,cross_fitted,490,43.0,49,9.0,441,34.0,True
TAPB,biosnap,seed_5,target,base,0.8,0.1,0.2,test,fitted,128,11.0,13,3.0,115,8.0,True
TAPB,biosnap,seed_5,target,base,0.8,0.2,0.2,validation,cross_fitted,490,43.0,98,13.0,392,30.0,True
