model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,profile,primary_candidate,complexity,model_status,used_features,validation_fold_mean_auprc,validation_fold_se_auprc,validation_finite_folds,universe_n,universe_error_count,universe_error_rate,error_detection_auroc,error_detection_auprc,reviewed_n,review_error_count,review_error_rate,review_lift,review_recall_of_residual_errors,combined_recall_of_candidate_errors,retained_accuracy_after_review,retained_accuracy_gain_vs_residual,selected_profile,selection_fallback,selection_reason,best_profile,best_validation_fold_mean_auprc,one_se_threshold,validation_gain_vs_uncertainty
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.2,uncertainty,True,0,complete,calibrated_error_risk,0.225022815913,0.045754219892,3,731,83.0,0.113543091655,0.605533244087,0.185504029862,146,31.0,0.212328767123,1.870028057435,0.373493975904,0.514018691589,0.911111111111,0.024654202766,uncertainty,True,uncertainty_selected,prior,0.226883444649,0.190282104888,0.0
TAPB,biosnap,seed_4,target,base,0.8,0.2,0.2,prior,True,1,complete,prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_logit|prior_support_probability,0.211213178027,0.056209725262,3,650,62.0,0.095384615385,0.670287469827,0.192636026613,130,18.0,0.138461538462,1.451612903226,0.290322580645,0.588785046729,0.915384615385,0.010769230769,prior,False,one_standard_error,uncertainty_prior,0.211281803776,0.154988607391,0.073157372975
TAPB,biosnap,seed_4,target,base,0.9,0.1,0.2,uncertainty,True,0,complete,calibrated_error_risk,0.132957155456,0.043548046736,3,600,54.0,0.09,0.515398182065,0.102487210316,120,13.0,0.108333333333,1.203703703704,0.240740740741,0.405797101449,0.914583333333,0.004583333333,uncertainty,True,uncertainty_selected,uncertainty_prior,0.195662700646,0.131777041712,0.0
TAPB,biosnap,seed_4,target,base,0.9,0.2,0.2,prior,True,1,complete,prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_logit|prior_support_probability,0.198750036211,0.010530585007,3,534,45.0,0.084269662921,0.669484208135,0.167357190277,107,17.0,0.158878504673,1.885358255452,0.377777777778,0.594202898551,0.934426229508,0.01869589243,prior,False,one_standard_error,uncertainty_prior,0.199678511054,0.189406167571,0.096417998229
TAPB,biosnap,seed_4,drug,base,0.8,0.1,0.2,uncertainty_support,True,2,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|target_esm_knn_distance|target_esm_nearest_train_distance,0.286004270034,0.038282729226,3,731,81.0,0.110807113543,0.773846153846,0.267906275726,146,44.0,0.301369863014,2.719769998309,0.543209876543,0.654205607477,0.936752136752,0.047559250295,uncertainty_support,False,one_standard_error,uncertainty_support,0.286004270034,0.247721540808,0.121709606026
TAPB,biosnap,seed_4,drug,base,0.8,0.2,0.2,uncertainty_support,True,2,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|target_esm_knn_distance|target_esm_nearest_train_distance,0.345465999883,0.01541743768,3,650,67.0,0.103076923077,0.809195873122,0.32095423857,130,37.0,0.284615384615,2.761194029851,0.55223880597,0.719626168224,0.942307692308,0.045384615385,uncertainty_support,False,one_standard_error,uncertainty_support,0.345465999883,0.330048562203,0.183048957792
TAPB,biosnap,seed_4,drug,base,0.9,0.1,0.2,uncertainty_support,True,2,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|target_esm_knn_distance|target_esm_nearest_train_distance,0.325786558136,0.021748898099,3,600,57.0,0.095,0.770055894801,0.284684707661,120,32.0,0.266666666667,2.80701754386,0.561403508772,0.63768115942,0.947916666667,0.042916666667,uncertainty_support,False,one_standard_error,uncertainty_support,0.325786558136,0.304037660037,0.144360263822
TAPB,biosnap,seed_4,drug,base,0.9,0.2,0.2,uncertainty_support,True,2,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|target_esm_knn_distance|target_esm_nearest_train_distance,0.346194584757,0.070415973614,3,534,45.0,0.084269662921,0.796909793229,0.285282145492,107,27.0,0.252336448598,2.994392523364,0.6,0.739130434783,0.957845433255,0.042115096177,uncertainty_support,False,one_standard_error,uncertainty_prior_support,0.3470330284,0.268656469917,0.219049480383
TAPB,biosnap,seed_5,target,base,0.8,0.1,0.2,uncertainty,True,0,complete,calibrated_error_risk,0.202842955802,0.073593755891,3,441,34.0,0.077097505669,0.584332996098,0.140332951242,88,6.0,0.068181818182,0.88435828877,0.176470588235,0.348837209302,0.920679886686,-0.002222607646,uncertainty,True,uncertainty_selected,uncertainty_prior,0.275222221364,0.149097068471,0.0
TAPB,biosnap,seed_5,target,base,0.8,0.2,0.2,uncertainty,True,0,complete,calibrated_error_risk,0.121700974915,0.00953529556,3,392,30.0,0.076530612245,0.598158379374,0.097432066104,78,7.0,0.089743589744,1.17264957265,0.233333333333,0.46511627907,0.926751592357,0.003282204602,uncertainty,True,uncertainty_selected,uncertainty_prior,0.156343423055,0.10102676431,0.0
