model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,reference_role,evaluation_role,reference_n,evaluation_n,reference_outcomes_used_for_support,evaluation_batch_appended_to_reference,reference_frozen_before_test_scoring,exact_pair_support_enabled_in_core,overlap_drug_count,overlap_target_count,overlap_pair_count
TAPB,human,seed_4,target,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,36,55,False,False,True,False,12,9,6
TAPB,human,seed_4,target,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,32,49,False,False,True,False,11,9,6
TAPB,human,seed_4,target,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,33,46,False,False,True,False,11,9,6
TAPB,human,seed_4,target,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,30,41,False,False,True,False,9,8,4
TAPB,human,seed_4,drug,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,36,55,False,False,True,False,12,9,6
TAPB,human,seed_4,drug,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,32,49,False,False,True,False,10,8,5
TAPB,human,seed_4,drug,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,33,46,False,False,True,False,11,9,6
TAPB,human,seed_4,drug,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,30,41,False,False,True,False,9,8,4
TAPB,human,seed_5,target,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,38,84,False,False,True,False,14,10,7
TAPB,human,seed_5,target,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,34,74,False,False,True,False,13,10,6
TAPB,human,seed_5,target,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,33,73,False,False,True,False,13,10,6
TAPB,human,seed_5,target,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,30,65,False,False,True,False,12,10,5
TAPB,human,seed_5,drug,base,0.8,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,38,84,False,False,True,False,14,10,7
TAPB,human,seed_5,drug,base,0.8,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,34,74,False,False,True,False,13,10,6
TAPB,human,seed_5,drug,base,0.9,0.1,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,33,73,False,False,True,False,13,10,6
TAPB,human,seed_5,drug,base,0.9,0.2,0.2,fixed_validation_policy_residual,held_out_test_policy_residual,30,65,False,False,True,False,13,10,6
