model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,scope,score_source,calibration_n,error_count,error_rate,mean_predicted_error_risk,brier_error_risk,ece_error_risk
TAPB,human,seed_4,target,base,0.8,0.1,0.2,validation,candidate,raw,40,5.0,0.125,0.018065838372,0.114989651039,0.106934161628
TAPB,human,seed_4,target,base,0.8,0.1,0.2,validation,candidate,calibrated,40,5.0,0.125,0.126123723465,0.104029034743,0.0248782152
TAPB,human,seed_4,target,base,0.8,0.1,0.2,validation,deferred,raw,4,1.0,0.25,0.044571309445,0.232126038408,0.205428690555
TAPB,human,seed_4,target,base,0.8,0.1,0.2,validation,deferred,calibrated,4,1.0,0.25,0.26909101316,0.192382873364,0.139200619498
TAPB,human,seed_4,target,base,0.8,0.1,0.2,validation,residual,raw,36,4.0,0.111111111111,0.015120786031,0.101974496887,0.09599032508
TAPB,human,seed_4,target,base,0.8,0.1,0.2,validation,residual,calibrated,36,4.0,0.111111111111,0.110238469054,0.094211941563,0.025521237649
TAPB,human,seed_4,target,base,0.8,0.1,0.2,test,candidate,raw,61,9.0,0.147540983607,0.023890181323,0.135841224431,0.123650802283
TAPB,human,seed_4,target,base,0.8,0.1,0.2,test,candidate,calibrated,61,9.0,0.147540983607,0.120563930863,0.113952087378,0.072457779771
TAPB,human,seed_4,target,base,0.8,0.1,0.2,test,deferred,raw,6,2.0,0.333333333333,0.083982470015,0.281485715556,0.249350863318
TAPB,human,seed_4,target,base,0.8,0.1,0.2,test,deferred,calibrated,6,2.0,0.333333333333,0.256963241659,0.223730114173,0.076370091674
TAPB,human,seed_4,target,base,0.8,0.1,0.2,test,residual,raw,55,7.0,0.127272727273,0.01733465892,0.11995273449,0.109938068352
TAPB,human,seed_4,target,base,0.8,0.1,0.2,test,residual,calibrated,55,7.0,0.127272727273,0.105684006049,0.101976302637,0.074830560321
TAPB,human,seed_4,target,base,0.8,0.2,0.2,validation,candidate,raw,40,5.0,0.125,0.018065838372,0.114989651039,0.106934161628
TAPB,human,seed_4,target,base,0.8,0.2,0.2,validation,candidate,calibrated,40,5.0,0.125,0.126123723465,0.104029034743,0.0248782152
TAPB,human,seed_4,target,base,0.8,0.2,0.2,validation,deferred,raw,8,2.0,0.25,0.041177458565,0.229802159154,0.208822541435
TAPB,human,seed_4,target,base,0.8,0.2,0.2,validation,deferred,calibrated,8,2.0,0.25,0.237948128804,0.193492485956,0.142061564521
TAPB,human,seed_4,target,base,0.8,0.2,0.2,validation,residual,raw,32,3.0,0.09375,0.012287933324,0.08628652401,0.081462066676
TAPB,human,seed_4,target,base,0.8,0.2,0.2,validation,residual,calibrated,32,3.0,0.09375,0.09816762213,0.08166317194,0.004496279328
TAPB,human,seed_4,target,base,0.8,0.2,0.2,test,candidate,raw,61,9.0,0.147540983607,0.023890181323,0.135841224431,0.123650802283
TAPB,human,seed_4,target,base,0.8,0.2,0.2,test,candidate,calibrated,61,9.0,0.147540983607,0.120563930863,0.113952087378,0.072457779771
TAPB,human,seed_4,target,base,0.8,0.2,0.2,test,deferred,raw,12,3.0,0.25,0.069607650378,0.216796206866,0.180392349622
TAPB,human,seed_4,target,base,0.8,0.2,0.2,test,deferred,calibrated,12,3.0,0.25,0.234327547696,0.183020185515,0.047866239234
TAPB,human,seed_4,target,base,0.8,0.2,0.2,test,residual,raw,49,6.0,0.122448979592,0.012694066453,0.116015514447,0.109754913139
TAPB,human,seed_4,target,base,0.8,0.2,0.2,test,residual,calibrated,49,6.0,0.122448979592,0.092703453271,0.0970374511,0.086364390579
TAPB,human,seed_4,target,base,0.9,0.1,0.2,validation,candidate,raw,37,4.0,0.108108108108,0.014008114535,0.10116087324,0.094099993573
TAPB,human,seed_4,target,base,0.9,0.1,0.2,validation,candidate,calibrated,37,4.0,0.108108108108,0.117111347044,0.090292572892,0.009744597947
TAPB,human,seed_4,target,base,0.9,0.1,0.2,validation,deferred,raw,4,1.0,0.25,0.034651548785,0.231180775531,0.215348451215
TAPB,human,seed_4,target,base,0.9,0.1,0.2,validation,deferred,calibrated,4,1.0,0.25,0.246885843361,0.180295581304,0.003114156639
TAPB,human,seed_4,target,base,0.9,0.1,0.2,validation,residual,raw,33,3.0,0.090909090909,0.011505880081,0.085400885083,0.079403210828
TAPB,human,seed_4,target,base,0.9,0.1,0.2,validation,residual,calibrated,33,3.0,0.090909090909,0.101381105066,0.079383117327,0.010548287803
TAPB,human,seed_4,target,base,0.9,0.1,0.2,test,candidate,raw,51,6.0,0.117647058824,0.014051536138,0.11155380658,0.103595522685
TAPB,human,seed_4,target,base,0.9,0.1,0.2,test,candidate,calibrated,51,6.0,0.117647058824,0.096794565096,0.094754982153,0.083129084408
TAPB,human,seed_4,target,base,0.9,0.1,0.2,test,deferred,raw,5,1.0,0.2,0.043213198684,0.186531934689,0.156786801316
TAPB,human,seed_4,target,base,0.9,0.1,0.2,test,deferred,calibrated,5,1.0,0.2,0.188443244265,0.164302872735,0.091913110943
TAPB,human,seed_4,target,base,0.9,0.1,0.2,test,residual,raw,46,5.0,0.108695652174,0.010881790209,0.103404010046,0.097813861965
TAPB,human,seed_4,target,base,0.9,0.1,0.2,test,residual,calibrated,46,5.0,0.108695652174,0.086832752142,0.087195428829,0.082174298916
TAPB,human,seed_4,target,base,0.9,0.2,0.2,validation,candidate,raw,37,4.0,0.108108108108,0.014008114535,0.10116087324,0.094099993573
TAPB,human,seed_4,target,base,0.9,0.2,0.2,validation,candidate,calibrated,37,4.0,0.108108108108,0.117111347044,0.090292572892,0.009744597947
