model,dataset,test_run,group_axis,confidence_source,split,added_component,delta_validation_fold_mean_auprc,delta_error_detection_auprc,delta_review_lift,delta_retained_accuracy_gain_vs_residual
TAPB,human,seed_4,drug,base,test,combined_empirical_support,,-0.083041830696,-0.102579365079,-0.001803376803
TAPB,human,seed_4,drug,base,test,empirical_support,,-0.027750120609,0.280158730159,0.010288697789
TAPB,human,seed_4,drug,base,test,empirical_support_after_prior,,0.122355957948,1.276587301587,0.037697662698
TAPB,human,seed_4,drug,base,test,fit_support,,0.12087456683,0.535714285714,0.017045454545
TAPB,human,seed_4,drug,base,test,fit_support_after_legacy_source_domain,,0.040193961893,-0.076984126984,-0.001074938575
TAPB,human,seed_4,drug,base,test,fit_support_after_native_source_domain,,0.010438814334,-0.248511904762,-0.001893939394
TAPB,human,seed_4,drug,base,test,general_target_joint_support,,-0.015729354141,-0.127182539683,-0.005335317835
TAPB,human,seed_4,drug,base,test,legacy_empirical_support,,-0.07345283718,-0.740873015873,-0.020652208152
TAPB,human,seed_4,drug,base,test,legacy_source_domain_support_after_fit,,-0.194327404009,-1.276587301587,-0.037697662698
TAPB,human,seed_4,drug,base,test,legacy_support_after_native,,-0.055291710087,-0.382738095238,-0.012092074592
TAPB,human,seed_4,drug,base,test,native_source_domain_support,,-0.038188934944,0.528670634921,0.012182637183
TAPB,human,seed_4,drug,base,test,native_source_domain_support_after_fit,,-0.148624687439,-0.255555555556,-0.006756756757
TAPB,human,seed_4,drug,base,test,native_support_after_legacy,,-0.009588993516,0.638293650794,0.018848831349
TAPB,human,seed_4,drug,base,test,prior,,-0.142499372255,-1.379166666667,-0.039501039501
TAPB,human,seed_4,drug,base,test,prior_after_empirical_support,,0.007606706302,-0.382738095238,-0.012092074592
TAPB,human,seed_4,drug,base,test,source_domain_support,,-0.113646799073,-0.663888888889,-0.019577269577
TAPB,human,seed_4,drug,base,test,target_sequence_support,,-0.133592618985,-0.56130952381,-0.017773892774
TAPB,human,seed_4,drug,base,validation,combined_empirical_support,,,,
TAPB,human,seed_4,drug,base,validation,empirical_support,,,,
TAPB,human,seed_4,drug,base,validation,empirical_support_after_prior,,,,
TAPB,human,seed_4,drug,base,validation,fit_support,,,,
TAPB,human,seed_4,drug,base,validation,fit_support_after_legacy_source_domain,,,,
TAPB,human,seed_4,drug,base,validation,fit_support_after_native_source_domain,,,,
TAPB,human,seed_4,drug,base,validation,general_target_joint_support,,,,
TAPB,human,seed_4,drug,base,validation,legacy_empirical_support,,,,
TAPB,human,seed_4,drug,base,validation,legacy_source_domain_support_after_fit,,,,
TAPB,human,seed_4,drug,base,validation,legacy_support_after_native,,,,
TAPB,human,seed_4,drug,base,validation,native_source_domain_support,,,,
TAPB,human,seed_4,drug,base,validation,native_source_domain_support_after_fit,,,,
TAPB,human,seed_4,drug,base,validation,native_support_after_legacy,,,,
TAPB,human,seed_4,drug,base,validation,prior,,,,
TAPB,human,seed_4,drug,base,validation,prior_after_empirical_support,,,,
TAPB,human,seed_4,drug,base,validation,source_domain_support,,,,
TAPB,human,seed_4,drug,base,validation,target_sequence_support,,,,
TAPB,human,seed_4,target,base,test,combined_empirical_support,,0.011919576646,-0.562301587302,-0.01497038997
TAPB,human,seed_4,target,base,test,empirical_support,,-0.00501177898,-0.306746031746,-0.008213633214
TAPB,human,seed_4,target,base,test,empirical_support_after_prior,,0.314550158702,0.612698412698,0.01812039312
TAPB,human,seed_4,target,base,test,fit_support,,0.08464349065,0.535714285714,0.017045454545
TAPB,human,seed_4,target,base,test,fit_support_after_legacy_source_domain,,0.148916208806,1.250992063492,0.036969224469
TAPB,human,seed_4,target,base,test,fit_support_after_native_source_domain,,0.029817088998,0.357142857143,0.011363636364
TAPB,human,seed_4,target,base,test,general_target_joint_support,,0.000844319317,0.204166666667,0.00641025641
TAPB,human,seed_4,target,base,test,legacy_empirical_support,,-0.058428889326,-0.529662698413,-0.009379134379
TAPB,human,seed_4,target,base,test,legacy_source_domain_support_after_fit,,-0.143072379975,-1.065376984127,-0.026424588925
TAPB,human,seed_4,target,base,test,legacy_support_after_native,,0.016931355627,-0.255555555556,-0.006756756757
TAPB,human,seed_4,target,base,test,native_source_domain_support,,-0.034828867979,-0.663888888889,-0.019577269577
TAPB,human,seed_4,target,base,test,native_source_domain_support_after_fit,,-0.08965526963,-0.84246031746,-0.025259087759
TAPB,human,seed_4,target,base,test,native_support_after_legacy,,0.070348465972,-0.032638888889,-0.005591255591
TAPB,human,seed_4,target,base,test,prior,,-0.151041903265,-0.919444444444,-0.026334026334
TAPB,human,seed_4,target,base,test,prior_after_empirical_support,,0.168520034418,0.0,0.0
TAPB,human,seed_4,target,base,test,source_domain_support,,-0.207345098132,-1.780654761905,-0.046348358848
TAPB,human,seed_4,target,base,test,target_sequence_support,,-0.084721576398,0.0,0.0
TAPB,human,seed_4,target,base,validation,combined_empirical_support,-0.183207070707,-0.190716602297,-1.571428571429,-0.038461538462
TAPB,human,seed_4,target,base,validation,empirical_support,-0.070707070707,-0.142042359873,-0.785714285714,-0.019230769231
TAPB,human,seed_4,target,base,validation,empirical_support_after_prior,0.17215007215,0.098687328467,0.642857142857,0.01724137931
TAPB,human,seed_4,target,base,validation,fit_support,-0.056547619048,-0.13046289508,-0.785714285714,-0.019230769231
TAPB,human,seed_4,target,base,validation,fit_support_after_legacy_source_domain,-0.030555555556,-0.02610479798,-0.785714285714,-0.019230769231
TAPB,human,seed_4,target,base,validation,fit_support_after_native_source_domain,-0.027777777778,-0.009221161654,0.0,0.0
TAPB,human,seed_4,target,base,validation,general_target_joint_support,-0.0625,0.033521135727,0.0,0.0
TAPB,human,seed_4,target,base,validation,legacy_empirical_support,0.030681818182,-0.035195707071,-0.785714285714,-0.019230769231
TAPB,human,seed_4,target,base,validation,legacy_source_domain_support_after_fit,0.087229437229,0.095267188009,0.0,0.0
TAPB,human,seed_4,target,base,validation,legacy_support_after_native,-0.1125,-0.048674242424,-0.785714285714,-0.019230769231
TAPB,human,seed_4,target,base,validation,native_source_domain_support,-0.042929292929,-0.132821198219,-0.785714285714,-0.019230769231
TAPB,human,seed_4,target,base,validation,native_source_domain_support_after_fit,-0.014159451659,-0.011579464793,0.0,0.0
TAPB,human,seed_4,target,base,validation,native_support_after_legacy,-0.213888888889,-0.155520895227,-0.785714285714,-0.019230769231
TAPB,human,seed_4,target,base,validation,prior,-0.369246031746,-0.28947006833,-2.214285714286,-0.055702917772
TAPB,human,seed_4,target,base,validation,prior_after_empirical_support,-0.126388888889,-0.04874037999,-0.785714285714,-0.019230769231
TAPB,human,seed_4,target,base,validation,source_domain_support,0.061237373737,-0.009090909091,0.0,0.0
TAPB,human,seed_4,target,base,validation,target_sequence_support,-0.008333333333,0.001787128993,-0.785714285714,-0.019230769231
TAPB,human,seed_5,drug,base,test,combined_empirical_support,,0.045699257387,-0.188421280277,-0.004824887052
TAPB,human,seed_5,drug,base,test,empirical_support,,0.052385917458,0.140164359862,0.004799094936
TAPB,human,seed_5,drug,base,test,empirical_support_after_prior,,0.194374009279,0.791578719723,0.029365644801
TAPB,human,seed_5,drug,base,test,fit_support,,0.011333920964,0.0,0.0
TAPB,human,seed_5,drug,base,test,fit_support_after_legacy_source_domain,,0.020522245447,0.484835640138,0.014431674295
TAPB,human,seed_5,drug,base,test,fit_support_after_native_source_domain,,0.086351047665,0.775493079585,0.029357047429
TAPB,human,seed_5,drug,base,test,general_target_joint_support,,0.017157802311,-0.179912053057,-0.007960034047
TAPB,human,seed_5,drug,base,test,legacy_empirical_support,,-0.04455967124,0.083585640138,0.001076349024
TAPB,human,seed_5,drug,base,test,legacy_source_domain_support_after_fit,,-0.055893592204,0.083585640138,0.001076349024
TAPB,human,seed_5,drug,base,test,legacy_support_after_native,,-0.006686660071,-0.328585640138,-0.009623981987
TAPB,human,seed_5,drug,base,test,native_source_domain_support,,-0.033965130206,-0.635328719723,-0.024557952494
TAPB,human,seed_5,drug,base,test,native_source_domain_support_after_fit,,0.041051996494,0.140164359862,0.004799094936
TAPB,human,seed_5,drug,base,test,native_support_after_legacy,,0.090258928627,-0.272006920415,-0.005901236076
TAPB,human,seed_5,drug,base,test,prior,,-0.243083957668,-1.72848615917,-0.06619397617
TAPB,human,seed_5,drug,base,test,prior_after_empirical_support,,-0.101095865847,-1.077071799308,-0.041627426304
TAPB,human,seed_5,drug,base,test,source_domain_support,,-0.065081916687,-0.40125,-0.013355325271
TAPB,human,seed_5,drug,base,test,target_sequence_support,,-0.019194376099,-0.15625,-0.004807692308
TAPB,human,seed_5,drug,base,validation,combined_empirical_support,0.240740740741,0.407407407407,1.619047619048,0.037037037037
TAPB,human,seed_5,drug,base,validation,empirical_support,0.462962962963,0.574074074074,1.619047619048,0.037037037037
TAPB,human,seed_5,drug,base,validation,empirical_support_after_prior,0.25,0.403282828283,1.619047619048,0.037037037037
TAPB,human,seed_5,drug,base,validation,fit_support,0.010582010582,-0.052592592593,0.0,0.0
TAPB,human,seed_5,drug,base,validation,fit_support_after_legacy_source_domain,0.0,0.05,0.0,0.0
TAPB,human,seed_5,drug,base,validation,fit_support_after_native_source_domain,0.0,0.0,0.0,0.0
TAPB,human,seed_5,drug,base,validation,general_target_joint_support,0.0,0.0,0.0,0.0
TAPB,human,seed_5,drug,base,validation,legacy_empirical_support,0.462962962963,0.490740740741,1.619047619048,0.037037037037
TAPB,human,seed_5,drug,base,validation,legacy_source_domain_support_after_fit,0.452380952381,0.543333333333,1.619047619048,0.037037037037
TAPB,human,seed_5,drug,base,validation,legacy_support_after_native,-0.222222222222,-0.166666666667,0.0,0.0
TAPB,human,seed_5,drug,base,validation,native_source_domain_support,0.462962962963,0.574074074074,1.619047619048,0.037037037037
TAPB,human,seed_5,drug,base,validation,native_source_domain_support_after_fit,0.452380952381,0.626666666667,1.619047619048,0.037037037037
TAPB,human,seed_5,drug,base,validation,native_support_after_legacy,-0.222222222222,-0.083333333333,0.0,0.0
TAPB,human,seed_5,drug,base,validation,prior,-0.009259259259,-0.148653198653,-1.619047619048,-0.037037037037
TAPB,human,seed_5,drug,base,validation,prior_after_empirical_support,-0.222222222222,-0.319444444444,-1.619047619048,-0.037037037037
TAPB,human,seed_5,drug,base,validation,source_domain_support,0.462962962963,0.440740740741,1.619047619048,0.037037037037
TAPB,human,seed_5,drug,base,validation,target_sequence_support,0.0,0.0,0.0,0.0
TAPB,human,seed_5,target,base,test,combined_empirical_support,,0.049970244803,-0.12,-0.00438340152
TAPB,human,seed_5,target,base,test,empirical_support,,0.053473167774,-0.348914359862,-0.012922437111
TAPB,human,seed_5,target,base,test,empirical_support_after_prior,,0.2153661514,1.093157439446,0.041636023676
TAPB,human,seed_5,target,base,test,fit_support,,-0.088614040872,-0.537324106113,-0.023399949406
TAPB,human,seed_5,target,base,test,fit_support_after_legacy_source_domain,,0.100339349524,1.334659746251,0.047447008316
TAPB,human,seed_5,target,base,test,fit_support_after_native_source_domain,,0.085589944436,0.647916666667,0.021829901542
TAPB,human,seed_5,target,base,test,general_target_joint_support,,0.054987721173,0.17824538639,0.008033090739
TAPB,human,seed_5,target,base,test,legacy_empirical_support,,-0.056378286926,0.230581026528,0.008465978899
TAPB,human,seed_5,target,base,test,legacy_source_domain_support_after_fit,,0.032235753945,0.767905132641,0.031865928305
TAPB,human,seed_5,target,base,test,legacy_support_after_native,,-0.003502922971,0.228914359862,0.008539035591
TAPB,human,seed_5,target,base,test,native_source_domain_support,,-0.032116776661,-0.996831026528,-0.034752338653
TAPB,human,seed_5,target,base,test,native_source_domain_support_after_fit,,0.142087208646,0.188409746251,0.010477512295
TAPB,human,seed_5,target,base,test,native_support_after_legacy,,0.10634853173,-0.350581026528,-0.012849380419
TAPB,human,seed_5,target,base,test,prior,,-0.174361883421,-1.31449538639,-0.0470313149
TAPB,human,seed_5,target,base,test,prior_after_empirical_support,,-0.012468899796,0.127576412918,0.007527145887
TAPB,human,seed_5,target,base,test,source_domain_support,,-0.15671763645,-1.104078719723,-0.038981029417
TAPB,human,seed_5,target,base,test,target_sequence_support,,-0.023754466713,-0.228914359862,-0.008539035591
TAPB,human,seed_5,target,base,validation,combined_empirical_support,0.911111111111,0.562969924812,2.5,0.041666666667
TAPB,human,seed_5,target,base,validation,empirical_support,0.911111111111,0.537969924812,2.5,0.041666666667
TAPB,human,seed_5,target,base,validation,empirical_support_after_prior,0.373015873016,0.402777777778,5.0,0.083333333333
TAPB,human,seed_5,target,base,validation,fit_support,0.494444444444,0.164160401003,2.5,0.041666666667
TAPB,human,seed_5,target,base,validation,fit_support_after_legacy_source_domain,0.191666666667,0.078571428571,0.0,0.0
TAPB,human,seed_5,target,base,validation,fit_support_after_native_source_domain,0.0,0.0,0.0,0.0
TAPB,human,seed_5,target,base,validation,general_target_joint_support,-0.333333333333,0.0,0.0,0.0
TAPB,human,seed_5,target,base,validation,legacy_empirical_support,0.327777777778,0.187969924812,2.5,0.041666666667
TAPB,human,seed_5,target,base,validation,legacy_source_domain_support_after_fit,-0.166666666667,0.02380952381,0.0,0.0
TAPB,human,seed_5,target,base,validation,legacy_support_after_native,0.0,0.025,0.0,0.0
TAPB,human,seed_5,target,base,validation,native_source_domain_support,0.911111111111,0.537969924812,2.5,0.041666666667
TAPB,human,seed_5,target,base,validation,native_source_domain_support_after_fit,0.416666666667,0.37380952381,0.0,0.0
TAPB,human,seed_5,target,base,validation,native_support_after_legacy,0.583333333333,0.375,0.0,0.0
TAPB,human,seed_5,target,base,validation,prior,0.038095238095,0.035192147034,0.0,0.0
TAPB,human,seed_5,target,base,validation,prior_after_empirical_support,-0.5,-0.1,2.5,0.041666666667
TAPB,human,seed_5,target,base,validation,source_domain_support,0.136111111111,0.109398496241,2.5,0.041666666667
TAPB,human,seed_5,target,base,validation,target_sequence_support,0.0,0.0,0.0,0.0
TAPB,human,seed_6,drug,base,test,combined_empirical_support,,0.41748656673,1.511118742369,0.062292654436
TAPB,human,seed_6,drug,base,test,empirical_support,,0.407015107268,1.511118742369,0.062292654436
TAPB,human,seed_6,drug,base,test,empirical_support_after_prior,,0.073017657984,0.709035409035,0.030145159074
TAPB,human,seed_6,drug,base,test,fit_support,,0.173627884833,1.62847985348,0.06671287707
TAPB,human,seed_6,drug,base,test,fit_support_after_legacy_source_domain,,0.156728112384,0.883684371184,0.036197347626
TAPB,human,seed_6,drug,base,test,fit_support_after_native_source_domain,,-0.024485383237,-0.488545482295,-0.020413488628
TAPB,human,seed_6,drug,base,test,general_target_joint_support,,-0.000119910479,0.0,0.0
TAPB,human,seed_6,drug,base,test,legacy_empirical_support,,0.280106925525,1.777090964591,0.073076513434
TAPB,human,seed_6,drug,base,test,legacy_source_domain_support_after_fit,,0.106479040692,0.148611111111,0.006363636364
TAPB,human,seed_6,drug,base,test,legacy_support_after_native,,0.010471459462,0.0,0.0
TAPB,human,seed_6,drug,base,test,native_source_domain_support,,0.431500490505,1.999664224664,0.082706143063
TAPB,human,seed_6,drug,base,test,native_source_domain_support_after_fit,,0.233387222435,-0.117361111111,-0.004420222635
TAPB,human,seed_6,drug,base,test,native_support_after_legacy,,0.137379641205,-0.265972222222,-0.010783858998
TAPB,human,seed_6,drug,base,test,prior,,0.430084157581,2.093070818071,0.087335772693
TAPB,human,seed_6,drug,base,test,prior_after_empirical_support,,0.096086708296,1.290987484737,0.055188277331
TAPB,human,seed_6,drug,base,test,source_domain_support,,0.12337881314,0.893406593407,0.036879165808
TAPB,human,seed_6,drug,base,test,target_sequence_support,,8.2420007e-05,0.0,0.0
TAPB,human,seed_6,drug,base,validation,combined_empirical_support,0.387554112554,0.371594386348,1.321428571429,0.033333333333
TAPB,human,seed_6,drug,base,validation,empirical_support,0.683189033189,0.58793637769,5.285714285714,0.133333333333
TAPB,human,seed_6,drug,base,validation,empirical_support_after_prior,0.166666666667,0.035714285714,0.0,0.0
TAPB,human,seed_6,drug,base,validation,fit_support,0.399855699856,0.210092462346,3.964285714286,0.1
TAPB,human,seed_6,drug,base,validation,fit_support_after_legacy_source_domain,-0.065133477633,-0.02797459893,0.0,0.0
TAPB,human,seed_6,drug,base,validation,fit_support_after_native_source_domain,0.166666666667,0.042857142857,1.321428571429,0.033333333333
TAPB,human,seed_6,drug,base,validation,general_target_joint_support,0.0,-0.025,0.0,0.0
TAPB,human,seed_6,drug,base,validation,legacy_empirical_support,0.309722222222,0.097407666205,1.321428571429,0.033333333333
TAPB,human,seed_6,drug,base,validation,legacy_source_domain_support_after_fit,-0.090133477633,-0.112684796141,-2.642857142857,-0.066666666667
TAPB,human,seed_6,drug,base,validation,legacy_support_after_native,-0.295634920635,-0.216341991342,-3.964285714286,-0.1
TAPB,human,seed_6,drug,base,validation,native_source_domain_support,0.516522366522,0.545079234833,3.964285714286,0.1
TAPB,human,seed_6,drug,base,validation,native_source_domain_support_after_fit,0.283333333333,0.377843915344,1.321428571429,0.033333333333
TAPB,human,seed_6,drug,base,validation,native_support_after_legacy,0.077831890332,0.274186720143,0.0,0.0
TAPB,human,seed_6,drug,base,validation,prior,0.710966810967,0.717698282452,3.964285714286,0.1
TAPB,human,seed_6,drug,base,validation,prior_after_empirical_support,0.194444444444,0.165476190476,-1.321428571429,-0.033333333333
TAPB,human,seed_6,drug,base,validation,source_domain_support,0.374855699856,0.125382265136,1.321428571429,0.033333333333
TAPB,human,seed_6,drug,base,validation,target_sequence_support,-0.016666666667,-0.042857142857,-1.321428571429,-0.033333333333
TAPB,human,seed_6,target,base,test,combined_empirical_support,,0.36465243429,1.999664224664,0.082706143063
TAPB,human,seed_6,target,base,test,empirical_support,,0.372108447221,1.511118742369,0.062292654436
TAPB,human,seed_6,target,base,test,empirical_support_after_prior,,0.005591167012,0.393055555556,0.015885899814
TAPB,human,seed_6,target,base,test,fit_support,,0.123157325484,0.977090964591,0.040826977256
TAPB,human,seed_6,target,base,test,fit_support_after_legacy_source_domain,,0.0720640086,0.301732295482,0.011154229369
TAPB,human,seed_6,target,base,test,fit_support_after_native_source_domain,,-0.065170219183,-0.488545482295,-0.020413488628
TAPB,human,seed_6,target,base,test,general_target_joint_support,,-0.003111249151,-0.127083333333,-0.005102040816
TAPB,human,seed_6,target,base,test,legacy_empirical_support,,0.239883361715,1.719444444444,0.068817254174
