model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,added_component,baseline_profile,augmented_profile,baseline_model_status,augmented_model_status,baseline_validation_fold_mean_auprc,augmented_validation_fold_mean_auprc,delta_validation_fold_mean_auprc,baseline_error_detection_auroc,augmented_error_detection_auroc,delta_error_detection_auroc,baseline_error_detection_auprc,augmented_error_detection_auprc,delta_error_detection_auprc,baseline_review_error_rate,augmented_review_error_rate,delta_review_error_rate,baseline_review_lift,augmented_review_lift,delta_review_lift,baseline_review_recall_of_residual_errors,augmented_review_recall_of_residual_errors,delta_review_recall_of_residual_errors,baseline_combined_recall_of_candidate_errors,augmented_combined_recall_of_candidate_errors,delta_combined_recall_of_candidate_errors,baseline_retained_accuracy_after_review,augmented_retained_accuracy_after_review,delta_retained_accuracy_after_review,baseline_retained_accuracy_gain_vs_residual,augmented_retained_accuracy_gain_vs_residual,delta_retained_accuracy_gain_vs_residual,baseline_deduplicated_error_detection_auroc,augmented_deduplicated_error_detection_auroc,delta_deduplicated_error_detection_auroc,baseline_deduplicated_error_detection_auprc,augmented_deduplicated_error_detection_auprc,delta_deduplicated_error_detection_auprc,baseline_deduplicated_review_error_rate,augmented_deduplicated_review_error_rate,delta_deduplicated_review_error_rate,baseline_deduplicated_review_lift,augmented_deduplicated_review_lift,delta_deduplicated_review_lift,baseline_deduplicated_review_recall_of_residual_errors,augmented_deduplicated_review_recall_of_residual_errors,delta_deduplicated_review_recall_of_residual_errors,baseline_deduplicated_combined_recall_of_candidate_errors,augmented_deduplicated_combined_recall_of_candidate_errors,delta_deduplicated_combined_recall_of_candidate_errors,baseline_deduplicated_retained_accuracy_after_review,augmented_deduplicated_retained_accuracy_after_review,delta_deduplicated_retained_accuracy_after_review,baseline_deduplicated_retained_accuracy_gain_vs_residual,augmented_deduplicated_retained_accuracy_gain_vs_residual,delta_deduplicated_retained_accuracy_gain_vs_residual
TAPB,human,seed_4,target,base,0.8,0.1,0.2,validation,prior,uncertainty,uncertainty_prior,complete,complete,0.569444444444,0.255952380952,-0.313492063492,0.6640625,0.515625,-0.1484375,0.288194444444,0.167424242424,-0.12077020202,0.285714285714,0.142857142857,-0.142857142857,2.571428571429,1.285714285714,-1.285714285714,0.5,0.25,-0.25,0.6,0.4,-0.2,0.931034482759,0.896551724138,-0.034482758621,0.04214559387,0.007662835249,-0.034482758621,,,,,,,,,,,,,,,,,,,,,,,,
TAPB,human,seed_4,target,base,0.8,0.1,0.2,validation,empirical_support,uncertainty,uncertainty_support,complete,complete,0.569444444444,0.666666666667,0.097222222222,0.6640625,0.8125,0.1484375,0.288194444444,0.377005347594,0.088810903149,0.285714285714,0.285714285714,0.0,2.571428571429,2.571428571429,0.0,0.5,0.5,0.0,0.6,0.6,0.0,0.931034482759,0.931034482759,0.0,0.04214559387,0.04214559387,0.0,,,,,,,,,,,,,,,,,,,,,,,,
TAPB,human,seed_4,target,base,0.8,0.1,0.2,validation,empirical_support_after_prior,uncertainty_prior,uncertainty_prior_support,complete,complete,0.255952380952,0.444444444444,0.188492063492,0.515625,0.703125,0.1875,0.167424242424,0.293452380952,0.126028138528,0.142857142857,0.285714285714,0.142857142857,1.285714285714,2.571428571429,1.285714285714,0.25,0.5,0.25,0.4,0.6,0.2,0.896551724138,0.931034482759,0.034482758621,0.007662835249,0.04214559387,0.034482758621,,,,,,,,,,,,,,,,,,,,,,,,
TAPB,human,seed_4,target,base,0.8,0.1,0.2,validation,prior_after_empirical_support,uncertainty_support,uncertainty_prior_support,complete,complete,0.666666666667,0.444444444444,-0.222222222222,0.8125,0.703125,-0.109375,0.377005347594,0.293452380952,-0.083552966641,0.285714285714,0.285714285714,0.0,2.571428571429,2.571428571429,0.0,0.5,0.5,0.0,0.6,0.6,0.0,0.931034482759,0.931034482759,0.0,0.04214559387,0.04214559387,0.0,,,,,,,,,,,,,,,,,,,,,,,,
TAPB,human,seed_4,target,base,0.8,0.1,0.2,validation,legacy_source_domain_support_after_fit,fit_support,legacy_support,complete,complete,0.575396825397,0.677777777778,0.102380952381,0.703125,0.84375,0.140625,0.386424731183,0.520833333333,0.134408602151,0.285714285714,0.285714285714,0.0,2.571428571429,2.571428571429,0.0,0.5,0.5,0.0,0.6,0.6,0.0,0.931034482759,0.931034482759,0.0,0.04214559387,0.04214559387,0.0,,,,,,,,,,,,,,,,,,,,,,,,
TAPB,human,seed_4,target,base,0.8,0.1,0.2,validation,fit_support_after_legacy_source_domain,source_domain_support,legacy_support,complete,complete,0.638888888889,0.677777777778,0.038888888889,0.7890625,0.84375,0.0546875,0.472537878788,0.520833333333,0.048295454545,0.285714285714,0.285714285714,0.0,2.571428571429,2.571428571429,0.0,0.5,0.5,0.0,0.6,0.6,0.0,0.931034482759,0.931034482759,0.0,0.04214559387,0.04214559387,0.0,,,,,,,,,,,,,,,,,,,,,,,,
TAPB,human,seed_4,target,base,0.8,0.1,0.2,validation,native_source_domain_support_after_fit,fit_support,uncertainty_support,complete,complete,0.575396825397,0.666666666667,0.09126984127,0.703125,0.8125,0.109375,0.386424731183,0.377005347594,-0.009419383589,0.285714285714,0.285714285714,0.0,2.571428571429,2.571428571429,0.0,0.5,0.5,0.0,0.6,0.6,0.0,0.931034482759,0.931034482759,0.0,0.04214559387,0.04214559387,0.0,,,,,,,,,,,,,,,,,,,,,,,,
TAPB,human,seed_4,target,base,0.8,0.1,0.2,validation,fit_support_after_native_source_domain,native_source_domain_support,uncertainty_support,complete,complete,0.694444444444,0.666666666667,-0.027777777778,0.8046875,0.8125,0.0078125,0.377631578947,0.377005347594,-0.000626231354,0.285714285714,0.285714285714,0.0,2.571428571429,2.571428571429,0.0,0.5,0.5,0.0,0.6,0.6,0.0,0.931034482759,0.931034482759,0.0,0.04214559387,0.04214559387,0.0,,,,,,,,,,,,,,,,,,,,,,,,
TAPB,human,seed_4,target,base,0.8,0.1,0.2,validation,native_support_after_legacy,legacy_support,combined_support,complete,complete,0.677777777778,0.444444444444,-0.233333333333,0.84375,0.7890625,-0.0546875,0.520833333333,0.279656862745,-0.241176470588,0.285714285714,0.285714285714,0.0,2.571428571429,2.571428571429,0.0,0.5,0.5,0.0,0.6,0.6,0.0,0.931034482759,0.931034482759,0.0,0.04214559387,0.04214559387,0.0,,,,,,,,,,,,,,,,,,,,,,,,
TAPB,human,seed_4,target,base,0.8,0.1,0.2,validation,legacy_support_after_native,uncertainty_support,combined_support,complete,complete,0.666666666667,0.444444444444,-0.222222222222,0.8125,0.7890625,-0.0234375,0.377005347594,0.279656862745,-0.097348484848,0.285714285714,0.285714285714,0.0,2.571428571429,2.571428571429,0.0,0.5,0.5,0.0,0.6,0.6,0.0,0.931034482759,0.931034482759,0.0,0.04214559387,0.04214559387,0.0,,,,,,,,,,,,,,,,,,,,,,,,
