model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,support_reference,support_state,residual_n,residual_share,error_count,error_rate,error_rate_delta_vs_all
TAPB,human,seed_4,target,base,0.8,0.1,0.2,test,audit_fit,all,55,1.0,7.0,0.127272727273,0.0
TAPB,human,seed_4,target,base,0.8,0.1,0.2,test,audit_fit,both_seen,10,0.181818181818,0.0,0.0,-0.127272727273
TAPB,human,seed_4,target,base,0.8,0.1,0.2,test,audit_fit,both_unseen,19,0.345454545455,6.0,0.315789473684,0.188516746411
TAPB,human,seed_4,target,base,0.8,0.1,0.2,test,audit_fit,drug_unseen,13,0.236363636364,0.0,0.0,-0.127272727273
TAPB,human,seed_4,target,base,0.8,0.1,0.2,test,audit_fit,target_unseen,13,0.236363636364,1.0,0.076923076923,-0.05034965035
TAPB,human,seed_4,target,base,0.8,0.1,0.2,test,source_train,all,55,1.0,7.0,0.127272727273,0.0
TAPB,human,seed_4,target,base,0.8,0.1,0.2,test,source_train,both_unseen,55,1.0,7.0,0.127272727273,0.0
TAPB,human,seed_4,target,base,0.8,0.2,0.2,test,audit_fit,all,49,1.0,6.0,0.122448979592,0.0
TAPB,human,seed_4,target,base,0.8,0.2,0.2,test,audit_fit,both_seen,9,0.183673469388,0.0,0.0,-0.122448979592
TAPB,human,seed_4,target,base,0.8,0.2,0.2,test,audit_fit,both_unseen,19,0.387755102041,5.0,0.263157894737,0.140708915145
TAPB,human,seed_4,target,base,0.8,0.2,0.2,test,audit_fit,drug_unseen,11,0.224489795918,0.0,0.0,-0.122448979592
TAPB,human,seed_4,target,base,0.8,0.2,0.2,test,audit_fit,target_unseen,10,0.204081632653,1.0,0.1,-0.022448979592
TAPB,human,seed_4,target,base,0.8,0.2,0.2,test,source_train,all,49,1.0,6.0,0.122448979592,0.0
TAPB,human,seed_4,target,base,0.8,0.2,0.2,test,source_train,both_unseen,49,1.0,6.0,0.122448979592,0.0
TAPB,human,seed_4,target,base,0.9,0.1,0.2,test,audit_fit,all,46,1.0,5.0,0.108695652174,0.0
TAPB,human,seed_4,target,base,0.9,0.1,0.2,test,audit_fit,both_seen,9,0.195652173913,0.0,0.0,-0.108695652174
TAPB,human,seed_4,target,base,0.9,0.1,0.2,test,audit_fit,both_unseen,16,0.347826086957,4.0,0.25,0.141304347826
TAPB,human,seed_4,target,base,0.9,0.1,0.2,test,audit_fit,drug_unseen,11,0.239130434783,0.0,0.0,-0.108695652174
TAPB,human,seed_4,target,base,0.9,0.1,0.2,test,audit_fit,target_unseen,10,0.217391304348,1.0,0.1,-0.008695652174
TAPB,human,seed_4,target,base,0.9,0.1,0.2,test,source_train,all,46,1.0,5.0,0.108695652174,0.0
TAPB,human,seed_4,target,base,0.9,0.1,0.2,test,source_train,both_unseen,46,1.0,5.0,0.108695652174,0.0
TAPB,human,seed_4,target,base,0.9,0.2,0.2,test,audit_fit,all,41,1.0,3.0,0.073170731707,0.0
TAPB,human,seed_4,target,base,0.9,0.2,0.2,test,audit_fit,both_seen,6,0.146341463415,0.0,0.0,-0.073170731707
TAPB,human,seed_4,target,base,0.9,0.2,0.2,test,audit_fit,both_unseen,12,0.292682926829,2.0,0.166666666667,0.093495934959
TAPB,human,seed_4,target,base,0.9,0.2,0.2,test,audit_fit,drug_unseen,13,0.317073170732,0.0,0.0,-0.073170731707
TAPB,human,seed_4,target,base,0.9,0.2,0.2,test,audit_fit,target_unseen,10,0.243902439024,1.0,0.1,0.026829268293
TAPB,human,seed_4,target,base,0.9,0.2,0.2,test,source_train,all,41,1.0,3.0,0.073170731707,0.0
TAPB,human,seed_4,target,base,0.9,0.2,0.2,test,source_train,both_unseen,41,1.0,3.0,0.073170731707,0.0
TAPB,human,seed_4,drug,base,0.8,0.1,0.2,test,audit_fit,all,55,1.0,7.0,0.127272727273,0.0
TAPB,human,seed_4,drug,base,0.8,0.1,0.2,test,audit_fit,both_seen,10,0.181818181818,0.0,0.0,-0.127272727273
TAPB,human,seed_4,drug,base,0.8,0.1,0.2,test,audit_fit,both_unseen,19,0.345454545455,6.0,0.315789473684,0.188516746411
TAPB,human,seed_4,drug,base,0.8,0.1,0.2,test,audit_fit,drug_unseen,13,0.236363636364,0.0,0.0,-0.127272727273
TAPB,human,seed_4,drug,base,0.8,0.1,0.2,test,audit_fit,target_unseen,13,0.236363636364,1.0,0.076923076923,-0.05034965035
TAPB,human,seed_4,drug,base,0.8,0.1,0.2,test,source_train,all,55,1.0,7.0,0.127272727273,0.0
TAPB,human,seed_4,drug,base,0.8,0.1,0.2,test,source_train,both_unseen,55,1.0,7.0,0.127272727273,0.0
TAPB,human,seed_4,drug,base,0.8,0.2,0.2,test,audit_fit,all,49,1.0,6.0,0.122448979592,0.0
TAPB,human,seed_4,drug,base,0.8,0.2,0.2,test,audit_fit,both_seen,8,0.163265306122,0.0,0.0,-0.122448979592
TAPB,human,seed_4,drug,base,0.8,0.2,0.2,test,audit_fit,both_unseen,20,0.408163265306,5.0,0.25,0.127551020408
TAPB,human,seed_4,drug,base,0.8,0.2,0.2,test,audit_fit,drug_unseen,11,0.224489795918,0.0,0.0,-0.122448979592
TAPB,human,seed_4,drug,base,0.8,0.2,0.2,test,audit_fit,target_unseen,10,0.204081632653,1.0,0.1,-0.022448979592
TAPB,human,seed_4,drug,base,0.8,0.2,0.2,test,source_train,all,49,1.0,6.0,0.122448979592,0.0
TAPB,human,seed_4,drug,base,0.8,0.2,0.2,test,source_train,both_unseen,49,1.0,6.0,0.122448979592,0.0
TAPB,human,seed_4,drug,base,0.9,0.1,0.2,test,audit_fit,all,46,1.0,5.0,0.108695652174,0.0
TAPB,human,seed_4,drug,base,0.9,0.1,0.2,test,audit_fit,both_seen,9,0.195652173913,0.0,0.0,-0.108695652174
