model,dataset,test_run,group_axis,confidence_source,delta_error_detection_auprc_vs_uncertainty,delta_review_error_rate_vs_uncertainty,delta_retained_accuracy_gain_vs_residual_vs_uncertainty
TAPB,human,seed_4,drug,base,0.0,0.0,0.0
TAPB,human,seed_4,target,base,0.0,0.0,0.0
TAPB,human,seed_5,drug,base,0.007561332121,-0.020833333333,-0.005
TAPB,human,seed_5,target,base,-0.007485310188,-0.045454545455,-0.011363636364
TAPB,human,seed_6,drug,base,0.101768765431,0.104166666667,0.027173913043
TAPB,human,seed_6,target,base,0.212912210211,0.225,0.054152148664
TAPB,human,seed_7,drug,base,-0.018557563413,-0.033333333333,-0.008196721311
TAPB,human,seed_7,target,base,0.020427485023,0.03125,0.007692307692
TAPB,human,seed_8,drug,base,0.0,0.0,0.0
TAPB,human,seed_8,target,base,0.038555751447,0.046875,0.01171875
